TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02568558,-1,15.29215,-33,0,0,0
0.04657887,-1,15.27646,-33,0.2,359.9,-1.302763E-11
0.07126022,-1,15.22152,-33,0.8000001,359.9,0
0.09658557,-1,15.18228,-33,1.2,359.9,-1.042433E-10
0.1179063,-1,15.13519,-33,1.7,359.9,0
0.1398716,-1,15.08026,-33,2,359.9,-1.042839E-10
0.1624978,-1,15.01747,-33,2.3,359.7,4.172177E-10
0.1848761,-1,14.94684,-33,2.4,359.6,0
0.2065828,-1,14.86836,-33,2.6,359.5,-8.346225E-10
0.2286245,-1,14.78203,-33,2.7,359.4,0
0.2507904,-1,14.58583,-33,2.9,359.2,0
0.2723087,-1,14.47596,-33,2.9,359.2,0
0.2955969,-1,14.35824,-33,3,359.1,-1.669815E-09
0.3176735,-1,14.23267,-33,3,358.9,0
0.3396839,-1,14.09926,-33,3.100001,358.8,-3.33994E-09
0.3615358,-1,13.95799,-33,3.100001,358.8,-3.33994E-09
0.3848106,-1,13.80888,-33,3.1,358.7,0
0.406549,-1,13.675,-33,3.1,358.6,0
0.4296463,-1,13.675,-33,3.1,358.6,0
0.4515412,-1,13.675,-33,3.1,358.6,0
0.4732869,-1,13.675,-33,3.1,358.6,0
0.4963354,-1,13.675,-33,3.1,358.6,0
0.5185362,-1,13.675,-33,3.1,358.6,0
0.5416207,-1,13.675,-33,3.1,358.6,0
0.5635669,-1,13.675,-33,3.1,358.6,0
0.5856276,-1,13.675,-33,3.1,358.6,0
0.6087485,-1,13.675,-33,3,358.7,-3.33963E-09
0.6304382,-1,13.675,-33,3,358.7,-3.33963E-09
0.6524876,-1,13.675,-33,2.8,358.7,3.339039E-09
0.6754771,-1,13.675,-33,2.7,358.8,0
0.6974434,-1,13.675,-33,2.6,358.8,0
0.7196499,-1,13.675,-33,2.5,358.8,1.669115E-09
0.7424136,-1,13.675,-33,2.4,358.8,1.66899E-09
0.7644461,-1,13.675,-33,2.4,358.8,1.66899E-09
0.7867151,-1,13.675,-33,2.3,358.8,0
0.8095399,-1,13.675,-33,2.3,358.8,0
0.8315308,-1,13.675,-33,2.3,358.8,0
0.8547312,-1,13.675,-33,2.3,358.8,0
0.8762469,-1,13.675,-33,2.3,358.8,0
0.8986725,-1,13.675,-33,2.3,358.8,0
0.9214762,-1,13.675,-33,1.6,358.7,0
0.9438089,-1,13.675,-33,1.2,358.4,1.667892E-09
0.9658583,-1,13.675,-33,0.7999998,358.2,0
0.98794,-1,13.675,-33,0.2999998,358,4.168874E-10
1.010428,-1,13.675,-33,359.9,357.9,0
1.032627,-1,13.675,-33,359.5,357.8,8.33795E-10
1.054942,-1,13.675,-33,358.8,357.7,0
1.077693,-1,13.675,-33,358,357.7,-3.337086E-09
1.099983,-1,13.675,-33,357.6,357.6,-6.675961E-09
1.121721,-1,13.675,-33,357.5,357.6,0
1.143379,-1,13.675,-33,357.4,357.6,3.33849E-09
1.16556,-1,13.675,-33,357.3,357.6,0
1.188831,-1,13.675,-33,357.3,357.6,0
1.210235,-1,13.675,-33,357.3,357.6,0
1.232475,-1.00335,13.675,-32.92007,357.3,357.6,0
