TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0335511,-1,15.27646,-33,0,0,0
0.06298009,-1,15.25291,-33,0,0,0
0.09493735,-1,15.18228,-33,0,0,0
0.1280451,-1,15.13519,-33,0,0,0
0.1577758,-1,15.01747,-33,0,0,0
0.1867383,-1,14.94684,-33,0,0,0
0.2166656,-1,14.78203,-33,0,0,0
0.2459365,-1,14.68786,-33,0,0,0
0.2746066,-1,14.47596,-33,0,0,0
0.3048083,-1,14.35824,-33,0,0,0
0.3337078,-1,14.09926,-33,0,0,0
0.3628915,-1,13.95799,-33,0,0,0
0.3928788,-1,13.675,-33,0,0,0
0.4218675,-1,13.675,-33,0,0,0
0.4518656,-1,13.675,-33,0,0,0
0.4817297,-1,13.675,-33,0,0,0
0.5110843,-1,13.675,-33,0,0,0
0.5407832,-1,13.675,-33,0.1,0.1,6.513785E-12
0.5707484,-1,13.675,-33,0.1,0.1,6.513785E-12
0.6006926,-1,13.675,-33,0.1,0.1,6.513785E-12
0.6307779,-1,13.675,-33,0.1,0.1,6.513785E-12
0.6620049,-1,13.675,-33,0.1,0.1,6.513785E-12
0.6918091,-1,13.675,-33,0.1,0.1,6.513785E-12
0.7206628,-1,13.675,-33,0.1,0.1,6.513785E-12
0.7506599,-1,13.675,-33,0.1,0.1,6.513785E-12
0.780817,-1,13.675,-33,0.1,0.1,6.513785E-12
0.809796,-1,13.675,-33,0.1,0.1,6.513785E-12
0.8396457,-1,13.675,-33,0.1,0.1,6.513785E-12
0.8696499,-1,13.675,-33,0.1,0.1,6.513785E-12
0.8996547,-1,13.675,-33,0.1,0.1,6.513785E-12
0.9287927,-1,13.675,-33,0.1,0.1,6.513785E-12
0.9586774,-1,13.675,-33,0.1,0.1,6.513785E-12
0.9887385,-1,13.675,-33,0.1,0.1,6.513785E-12
1.01882,-1,13.675,-33,0.1,0.1,6.513785E-12
1.047696,-1,13.675,-33,0.1,0.1,6.513785E-12
1.077942,-1,13.675,-33,0.1,0.1,6.513785E-12
1.107718,-1,13.675,-33,0.1,0.1,6.513785E-12
1.13677,-1,13.675,-33,0.1,0.1,6.513785E-12
1.166806,-1,13.675,-33,0.1,0.1,6.513785E-12
1.196808,-1,13.675,-33,0.1,0.1,6.513785E-12
1.226859,-1,13.675,-33,0.1,0.1,6.513785E-12
1.255748,-1,13.675,-33,0.1,0.1,6.513785E-12
1.285586,-1,13.675,-33,0.1,0.1,6.513785E-12
1.315784,-1,13.675,-33,0.1,0.1,6.513785E-12
1.345912,-1,13.675,-33,0.1,0.1,6.513785E-12
1.374563,-1,13.675,-33,0.1,0.1,6.513785E-12
1.404656,-1,13.675,-33,0.1,0.1,6.513785E-12
1.434735,-1,13.675,-33,0.1,0.1,6.513785E-12
1.464669,-1,13.675,-33,0.1,0.1,6.513785E-12
1.493887,-1,13.675,-33,0.1,0.1,6.513785E-12
1.523692,-1,13.675,-33,0.1,0.1,6.513785E-12
1.553794,-1,13.675,-33,359.8,0.3,0
1.583844,-1,13.675,-33,359.5,0.5000001,0
1.612979,-1,13.675,-33,359.4,0.6000001,0
1.642827,-0.9991623,13.675,-32.92001,359.2,0.6000001,0
1.673019,-0.9972075,13.675,-32.76002,358.7,0.7000001,0
1.702795,-0.9960906,13.675,-32.68002,358.2,0.8,0
1.732938,-0.9932982,13.675,-32.52005,357.5,1,-1.669115E-09
1.763075,-0.9914832,13.675,-32.44007,356.7,1.3,0
1.792104,-0.9870157,13.675,-32.28013,355.9,1.6,0
1.82184,-0.9842238,13.675,-32.20018,355,2,-1.339117E-08
1.851838,-0.9783608,13.675,-32.04029,354.4,2.1,6.702093E-09
1.881142,-0.9751502,13.675,-31.96035,353.6,2.3,1.342387E-08
1.909882,-0.9681711,13.675,-31.8005,352.2,2.5,0
1.939769,-0.9646816,13.675,-31.72058,351.8,2.5,0
1.968768,-0.9574235,13.675,-31.56075,351.4,2.6,1.349191E-08
1.99784,-0.9537945,13.675,-31.48083,351.2,2.6,0
2.026767,-0.9501654,13.675,-31.40091,351.1,2.6,-1.350279E-08
2.054718,-0.9429073,13.675,-31.24108,351.1,2.6,-1.350279E-08
2.083642,-0.9392783,13.675,-31.16116,351.1,2.6,-1.350279E-08
2.112768,-0.9320202,13.675,-31.00132,351.1,2.6,-1.350279E-08
2.141854,-0.9283912,13.675,-30.9214,351.1,2.6,-1.350279E-08
2.170726,-0.9211331,13.675,-30.76157,351.1,2.6,-1.350279E-08
2.199916,-0.9175041,13.675,-30.68165,351.1,2.6,-1.350279E-08
2.229047,-0.9124783,13.675,-30.52173,351.3,1.8,-1.349549E-08
2.25787,-0.9112217,13.675,-30.44174,351.9,0.9000002,6.73732E-09
2.286786,-0.911501,13.675,-30.36174,352.8,359.8,0
2.315804,-0.913735,13.675,-30.20176,353.6,359.2,0
2.346009,-0.9151312,13.675,-30.12177,353.9,359,0
2.376028,-0.9182028,13.675,-29.9618,354.1,358.9,6.705628E-09
2.404795,-0.9197385,13.675,-29.88181,354.5,358.9,0
2.434786,-0.9228101,13.675,-29.72184,354.7,358.9,3.349373E-09
2.464928,-0.9244855,13.675,-29.64186,355.2,358.8,-3.346791E-09
2.493819,-0.9278363,13.675,-29.4819,355.6,358.8,3.344911E-09
2.523801,-0.9295117,13.675,-29.40191,356,358.8,0
2.553912,-0.9328625,13.675,-29.24195,356.8,358.8,0
2.583928,-0.9345379,13.675,-29.16196,357.6,358.8,-1.66899E-09
2.613744,-0.9364926,13.675,-29.00198,358,359.3,0
2.643898,-0.9359341,13.675,-28.92198,357.6,0.4000001,0
2.673748,-0.9339794,13.675,-28.76199,357.4,0.7,0
2.703755,-0.9330021,13.675,-28.682,357.4,0.7,0
2.734743,-0.9310473,13.675,-28.52201,357.4,0.7,0
2.765607,-0.9300699,13.675,-28.44201,357.4,0.7,0
2.796664,-0.9281152,13.675,-28.28203,357.4,0.7,0
2.828054,-0.9271379,13.675,-28.20203,357.4,0.7,0
2.858696,-0.9251831,13.675,-28.04204,357.4,0.7,0
2.888656,-0.9232284,13.675,-27.88206,357.4,0.7,0
2.919812,-0.922251,13.675,-27.80206,357.4,0.7,0
2.950639,-0.9202964,13.675,-27.64207,357.4,0.7,0
2.980748,-0.919319,13.675,-27.56208,357.4,0.7,0
3.01225,-0.9173642,13.675,-27.40209,357.4,0.7,0
3.042873,-0.9163869,13.675,-27.3221,357.4,0.7,0
3.073754,-0.9144322,13.675,-27.16211,357.4,0.7,0
3.103689,-0.9134548,13.675,-27.08212,357.4,0.7,0
3.134772,-0.9115001,13.675,-26.92213,357.4,0.7,0
3.165722,-0.9105228,13.675,-26.84213,357.4,0.7,0
3.195803,-0.908568,13.675,-26.68215,357.4,0.7,0
3.226773,-0.9075907,13.675,-26.60215,357.4,0.7,0
3.257718,-0.905636,13.675,-26.44216,357.4,0.7,0
3.287734,-0.9046586,13.675,-26.36217,357.4,0.7,0
3.318719,-0.9024246,13.675,-26.20218,357.3,0.8,1.66938E-09
3.349803,-0.8999115,13.675,-26.04221,357.3,0.9,-1.66938E-09
3.380677,-0.8985153,13.675,-25.96222,357.3,1,0
3.412056,-0.8954437,13.675,-25.80225,357.2,1.1,-1.66952E-09
3.442792,-0.8934891,13.675,-25.72227,356.9,1.4,0
3.473717,-0.88958,13.675,-25.56232,356.5,1.4,0
3.50576,-0.8873462,13.675,-25.48235,355.8,1.6,0
3.536897,-0.8828788,13.675,-25.32241,355.2,1.6,0
3.567829,-0.880645,13.675,-25.24244,354.5,1.6,6.700957E-09
3.598893,-0.8761775,13.675,-25.08251,353.8,1.6,-6.70935E-09
3.629904,-0.8717101,13.675,-24.92257,353.3,1.6,6.715973E-09
3.660929,-0.8697555,13.675,-24.84259,352.9,1.4,0
3.691732,-0.8661256,13.675,-24.68263,352.7,1.3,-6.724613E-09
3.723713,-0.8644502,13.675,-24.60265,352.4,1.2,0
3.754647,-0.8613786,13.675,-24.44268,352.3,1.1,-6.730797E-09
3.786756,-0.8598428,13.675,-24.3627,352.2,1.1,1.346479E-08
3.817662,-0.8570504,13.675,-24.20272,352.1,1,6.734016E-09
3.848724,-0.854258,13.675,-24.04274,352.1,1,6.734016E-09
3.880927,-0.8532807,13.675,-23.96275,351.8,0.7000002,0
3.912045,-0.8524429,13.675,-23.80275,351.7,0.3000001,-3.370355E-09
3.944004,-0.8527222,13.675,-23.72275,351.7,359.8,-1.685178E-09
3.974756,-0.8543977,13.675,-23.56276,351.7,359.4,0
4.006732,-0.8562126,13.675,-23.48278,351.7,358.7,0
4.037663,-0.8612384,13.675,-23.32286,351.8,358.2,0
4.069907,-0.8684964,13.67518,-23.16302,352.1,357.4,1.346803E-08
4.100681,-0.8748453,13.68721,-23.08419,352.6,355.5,2.690451E-08
4.13283,-0.8909186,13.71123,-22.92682,352.9,354.3,-2.688659E-08
4.163664,-0.9009194,13.7232,-22.84836,353.1,352.9,0
4.195843,-0.9231603,13.7471,-22.69172,353.1,352.1,-5.375014E-08
4.227838,-0.9346999,13.75904,-22.61347,353.1,351.8,5.375014E-08
4.258638,-0.9597331,13.78288,-22.45724,353.3,351.1,0
4.290792,-0.9881065,13.80663,-22.30158,353.7,349.9,0
4.322623,-1.003403,13.81848,-22.22396,354.1,349.1,0
4.354621,-1.035103,13.84214,-22.06892,354.3,348.7,0
4.386691,-1.051644,13.85395,-21.99155,354.6,348.2,-5.359873E-08
4.417609,-1.087207,13.87748,-21.83734,354.8,347.3,0
4.44972,-1.125788,13.9009,-21.68383,355.1,346.2,0
4.481648,-1.147804,13.9125,-21.6078,355.6,344.2,5.351859E-08
4.513578,-1.194808,13.93558,-21.45661,355.9,343.1,-5.349776E-08
4.545747,-1.21858,13.9471,-21.3811,356,342.9,0
4.577755,-1.266123,13.97015,-21.23008,356,342.9,0
4.609703,-1.314204,13.99317,-21.07922,356.2,342.7,5.347843E-08
4.641563,-1.33838,14.00467,-21.00383,356.3,342.6,0
4.672817,-1.387803,14.02763,-20.8534,356.5,342.2,0
4.703795,-1.413585,14.03905,-20.77853,356.6,341.4,-5.345494E-08
4.735619,-1.467807,14.06176,-20.62972,356.6,340.4,0
4.767658,-1.495844,14.07306,-20.55565,356.6,339.7,-5.345493E-08
4.798527,-1.554023,14.09554,-20.40831,356.4,338.9,0
4.83086,-1.613772,14.11793,-20.26159,356.2,338.3,5.347843E-08
4.861762,-1.644038,14.1291,-20.18838,356.2,338,0
4.892622,-1.704831,14.1517,-20.04207,356.1,337.9,5.348471E-08
4.922538,-1.735258,14.16341,-19.96902,356.1,337.9,5.348471E-08
4.953545,-1.797411,14.18673,-19.82344,355.7,337.4,0
4.98461,-1.829394,14.19833,-19.75103,355.1,336.7,0
5.014408,-1.895676,14.22137,-19.60724,354.5,335.8,1.072153E-07
5.045662,-1.929966,14.23281,-19.53587,353.9,334.9,0
5.076564,-2.000067,14.25556,-19.39386,353.5,334.3,-1.074122E-07
5.106351,-2.035749,14.26689,-19.32316,353.3,333.8,0
5.137442,-2.107112,14.28954,-19.18176,353.3,333.8,0
5.168365,-2.178476,14.3122,-19.04036,353.3,333.8,0
5.199553,-2.214158,14.32353,-18.96966,353.1,333.8,0
5.229516,-2.285522,14.34618,-18.82826,352.5,333.8,-1.076426E-07
5.259529,-2.320572,14.35756,-18.75725,352,334.3,-2.15541E-07
5.290515,-2.388643,14.38047,-18.61428,351.6,335.1,1.07879E-07
5.320599,-2.421527,14.39201,-18.54227,351,336,2.16104E-07
5.35146,-2.484976,14.41525,-18.39724,350.6,336.9,0
5.382608,-2.515272,14.42696,-18.32413,350.3,338,0
5.412648,-2.573247,14.45055,-18.17688,350,339,-1.08368E-07
5.443538,-2.601445,14.4624,-18.10295,349.8,339.6,-1.084355E-07
5.474427,-2.654128,14.4863,-17.95378,349.6,341,0
5.505478,-2.678329,14.49836,-17.87849,349.4,342.6,-2.17149E-07
5.536695,-2.72295,14.52267,-17.72677,349.4,344,2.17149E-07
5.567783,-2.743083,14.53492,-17.65032,349.4,345.6,0
5.59746,-2.77896,14.55959,-17.49636,349.6,347.2,0
5.628738,-2.810973,14.58439,-17.34157,349.8,348.6,0
5.659718,-2.824619,14.59686,-17.26373,350.1,350.3,5.416744E-08
5.690743,-2.847445,14.62192,-17.10737,350.5,351.9,0
5.722721,-2.856053,14.6345,-17.02883,351.1,353.9,0
5.754705,-2.867074,14.65975,-16.87122,351.5,356.1,-2.697674E-08
5.786801,-2.869619,14.67241,-16.79227,351.9,358.2,1.347464E-08
5.819677,-2.869053,14.69772,-16.63429,352.4,0.1999986,0
5.851555,-2.862268,14.72301,-16.47644,352.7,2.399999,-1.344923E-08
5.88455,-2.855911,14.73563,-16.3977,353,4.499999,0
5.916651,-2.835887,14.76074,-16.24096,353.4,7.099999,0
5.949512,-2.808873,14.78565,-16.08524,353.7,9.599998,0
5.981931,-2.773989,14.79468,-16.02675,354.1,11.5,1.0729E-07
6.013518,-2.679999,14.80939,-15.93033,354.3,13,0
6.046834,-2.632666,14.81682,-15.88162,354.5,13.8,5.360765E-08
6.078865,-2.536367,14.83205,-15.78182,354.9,15.8,-5.357294E-08
6.111907,-2.438217,14.84757,-15.68011,355.3,17.8,0
6.143873,-2.388893,14.85548,-15.62827,355.6,19.2,0
6.17675,-2.287734,14.87098,-15.52674,355.6,19.4,0
6.208526,-2.186389,14.88644,-15.4254,355.6,19.4,0
6.240787,-2.135717,14.89417,-15.37472,355.6,19.4,0
6.273614,-2.034378,14.90967,-15.2732,355.6,19.5,-5.351858E-08
6.305461,-1.983955,14.91753,-15.22168,355.8,20.1,-5.350454E-08
6.337525,-1.882161,14.93345,-15.11732,356,21.5,-5.349115E-08
6.369452,-1.779213,14.94942,-15.01271,356.2,22.4,5.347843E-08
6.402721,-1.727436,14.95738,-14.96055,356.2,22.6,0
6.434566,-1.623523,14.97326,-14.85644,356.2,22.7,0
6.467589,-1.571519,14.9812,-14.80444,356.2,22.7,0
6.499489,-1.467512,14.99707,-14.70043,356.2,22.7,0
6.532568,-1.363504,15.01294,-14.59642,356.2,22.7,0
6.564492,-1.3115,15.02088,-14.54442,356.2,22.7,0
6.596424,-1.20756,15.03676,-14.44031,356.2,22.7,0
6.628602,-1.103806,15.05268,-14.33598,356.2,22.7,0
6.660866,-1.051802,15.06062,-14.28398,356.2,22.7,0
6.692458,-0.9477937,15.07649,-14.17997,356.2,22.7,0
6.724484,-0.8957896,15.08443,-14.12796,356.2,22.7,0
6.756586,-0.7917814,15.1003,-14.02396,356.2,22.7,0
6.788354,-0.6877732,15.11617,-13.91995,356.2,22.7,0
6.820591,-0.635883,15.12409,-13.86806,356.2,22.4,5.347843E-08
6.852806,-0.5325665,15.13985,-13.76474,356.1,21.8,-5.34847E-08
6.884527,-0.4812267,15.14769,-13.7134,356,21,5.349115E-08
6.916677,-0.3795407,15.16321,-13.61172,355.8,19.8,5.350454E-08
6.948627,-0.2781959,15.17867,-13.51037,355.8,19.4,-5.350454E-08
6.980447,-0.2275236,15.1864,-13.4597,355.8,19.4,-5.350454E-08
7.012492,-0.1261789,15.20187,-13.35835,355.8,19.4,-5.350454E-08
7.04568,-0.07550653,15.2096,-13.30768,355.8,19.4,-5.350454E-08
7.077779,0.02583813,15.22506,-13.20634,355.8,19.4,-5.350454E-08
7.109402,0.1271829,15.24053,-13.10499,355.8,19.4,-5.350454E-08
7.141615,0.1778552,15.24826,-13.05432,355.8,19.4,-5.350454E-08
7.173386,0.2791999,15.26373,-12.95298,355.8,19.4,-5.350454E-08
7.20543,0.3298723,15.27146,-12.9023,355.8,19.4,-5.350454E-08
7.237439,0.4311308,15.28691,-12.80104,355.8,19.3,-5.350454E-08
7.269627,0.5323894,15.30236,-12.69979,355.8,19.3,-5.350454E-08
7.301764,0.582801,15.31005,-12.64937,355.9,18.8,0
7.333535,0.6830912,15.32536,-12.54908,355.9,18.2,0
7.365447,0.7330557,15.33298,-12.49912,355.9,17.8,5.349777E-08
7.397484,0.8328017,15.3482,-12.39937,355.9,17.6,-5.349777E-08
7.429789,0.9320858,15.36335,-12.30009,355.9,17.1,0
7.461748,0.9811575,15.37084,-12.25102,356,15.9,-5.349115E-08
7.493617,1.07761,15.38556,-12.15456,356,14.2,5.349115E-08
7.525682,1.124568,15.39273,-12.10761,356,11.8,0
7.557609,1.214007,15.40683,-12.01817,355.7,7.799998,0
7.589639,1.297794,15.42025,-11.93438,355.1,3.499998,0
7.620584,1.338337,15.42675,-11.89384,354.9,1.499998,0
7.652576,1.418869,15.43965,-11.8133,354.9,1.099998,0
7.685713,1.458997,15.44608,-11.77318,354.9,0.8999976,0
7.717722,1.538693,15.45885,-11.69348,354.9,0.4999976,-1.674155E-09
7.749686,1.617118,15.47142,-11.61506,354.9,359.6,0
7.781726,1.655395,15.47755,-11.57678,354.7,358.3,-6.698745E-09
7.813418,1.729887,15.48948,-11.50229,354.5,356.9,-1.340191E-08
7.845778,1.765929,15.49526,-11.46624,354.3,355.3,0
7.877683,1.833175,15.50603,-11.39902,353.8,352.2,2.68374E-08
7.909681,1.895559,15.51603,-11.33663,353.2,349.2,0
7.941319,1.92406,15.52059,-11.30813,352.8,346,5.378497E-08
7.972612,1.979171,15.52942,-11.25302,352.6,344.9,1.07618E-07
8.004443,2.006578,15.53386,-11.22532,352.5,344.6,0
8.036281,2.06365,15.54585,-11.15048,352.5,344.5,-1.076426E-07
8.067367,2.090669,15.55372,-11.10136,352.5,344.4,0
8.099316,2.130327,15.57362,-10.97718,352.5,344.3,2.152852E-07
8.130229,2.146161,15.59808,-10.82452,352.5,343.7,0
8.162471,2.132167,15.59808,-10.74735,352.5,342.8,0
8.19337,2.078461,15.63444,-10.59759,352.3,341.2,1.076928E-07
8.225426,2.05,15.64627,-10.52377,352,339.4,0
8.256519,1.988626,15.66965,-10.37787,351.8,337.7,0
8.28846,1.922857,15.69272,-10.23385,351.5,336,0
8.319481,1.888187,15.70413,-10.16266,351.3,334.6,0
8.351344,1.817075,15.7268,-10.02113,351.2,333.9,0
8.382504,1.78089,15.73809,-9.950685,351.1,333.4,0
8.414209,1.707269,15.76057,-9.810417,351.1,332.9,-2.160446E-07
8.444468,1.669216,15.7717,-9.740933,350.9,331.9,0
8.476332,1.590648,15.79375,-9.603308,350.7,330.9,0
8.507333,1.549181,15.80458,-9.535755,350.2,329.1,2.166041E-07
8.538307,1.462437,15.82585,-9.403004,349.8,327.5,2.168709E-07
8.569262,1.373116,15.84685,-9.271929,349.7,326.4,0
8.599152,1.32799,15.8573,-9.206702,349.6,326,0
8.630335,1.237046,15.87813,-9.07672,349.6,325.7,-4.340171E-07
8.65924,1.191113,15.88849,-9.012045,349.6,325.3,0
8.689288,1.09879,15.90916,-8.883015,349.6,325.1,0
8.718321,1.052628,15.9195,-8.8185,349.6,325.1,0
8.748234,0.9603038,15.94017,-8.689468,349.6,325.1,0
8.778283,0.914142,15.95051,-8.624953,349.6,325.1,0
8.806991,0.86798,15.96085,-8.560438,349.6,325.1,0
8.837098,0.7756562,15.98152,-8.431408,349.6,325.1,0
8.866162,0.7294943,15.99186,-8.366893,349.6,325.1,0
8.895113,0.6371704,16.01253,-8.237862,349.6,325.1,0
8.925033,0.5910085,16.02287,-8.173347,349.6,325.1,0
8.953939,0.4983276,16.04314,-8.045307,349.6,325.1,0
8.98312,0.4522016,16.053,-7.980692,349.6,325.1,0
9.012166,0.3599495,16.07272,-7.851461,349.6,325.1,0
9.042171,0.3138234,16.08258,-7.786845,349.6,325.1,0
9.071009,0.2215713,16.1023,-7.657614,349.6,325.1,0
9.099998,0.1754453,16.11216,-7.592999,349.6,325.1,0
9.128842,0.08319318,16.13188,-7.463768,349.6,325.1,0
9.158177,0.03706712,16.14174,-7.399152,349.6,325.1,0
9.187165,-0.009058937,16.1516,-7.334537,349.6,325.1,0
9.215975,-0.101311,16.17132,-7.205306,349.6,325.1,0
9.245222,-0.1474371,16.18118,-7.14069,349.6,325.1,0
9.273973,-0.2396892,16.2009,-7.011459,349.6,325.1,0
9.302972,-0.2858153,16.21076,-6.946844,349.6,325.1,0
9.332006,-0.3780674,16.23048,-6.817613,349.6,325.1,0
9.36126,-0.4241934,16.24035,-6.752997,349.6,325.1,0
9.388966,-0.5164455,16.26007,-6.623766,349.6,325.1,0
9.418208,-0.5625716,16.26993,-6.559151,349.6,325.1,0
9.447182,-0.6086977,16.27979,-6.494535,349.6,325.1,0
9.476321,-0.7296799,16.29095,-6.421409,349.6,325.1,0
9.504886,-0.7924376,16.29585,-6.389271,349.6,325.1,0
9.533858,-0.9179529,16.30566,-6.324997,349.6,325.1,0
9.562923,-0.9807106,16.31056,-6.29286,349.6,325.1,0
9.59203,-1.106226,16.32037,-6.228585,349.6,325.1,0
9.621107,-1.168984,16.32527,-6.196448,349.6,325.1,0
9.649937,-1.294499,16.33508,-6.132174,349.6,325.1,0
9.67894,-1.357257,16.33998,-6.100037,349.6,325.1,0
9.707899,-1.420014,16.34489,-6.0679,349.6,325.1,0
9.73595,-1.54553,16.3547,-6.003626,349.6,325.1,0
9.764831,-1.608287,16.3596,-5.971489,349.6,325.1,0
9.793155,-1.733803,16.36941,-5.907215,349.6,325.1,0
9.822057,-1.796557,16.37432,-5.875014,349.6,325.1,0
9.849902,-1.922064,16.38418,-5.810428,349.6,325.1,0
9.878906,-1.984811,16.38912,-5.778032,349.6,325.1,0
9.90675,-2.047552,16.39408,-5.745564,349.6,325.1,0
9.935772,-2.173008,16.40402,-5.680403,349.6,325.1,0
9.963865,-2.235722,16.40901,-5.647706,349.6,325.1,0
9.990959,-2.361111,16.41903,-5.582068,349.6,325.1,0
10.01896,-2.423784,16.42405,-5.549124,349.6,325.1,0
10.04584,-2.486442,16.42909,-5.516094,349.6,325.1,0
10.07375,-2.611706,16.43921,-5.449769,349.6,325.1,0
10.10075,-2.674309,16.44429,-5.416471,349.6,325.1,0
10.12892,-2.798769,16.45444,-5.349983,349.6,325.7,-4.340171E-07
10.1558,-2.860398,16.45947,-5.317002,349.6,326.7,0
10.18306,-2.920896,16.46562,-5.276717,349.7,327.7,2.169394E-07
10.21122,-3.017928,16.48387,-5.157146,349.9,329.4,0
10.23911,-3.061226,16.49398,-5.090844,350.1,330.6,2.166698E-07
10.26712,-3.098626,16.50465,-5.020934,350.4,332.4,2.164749E-07
10.29716,-3.170677,16.5262,-4.87971,350.5,333.5,0
10.32746,-3.204807,16.53712,-4.808183,350.7,335,0
10.35819,-3.268194,16.55928,-4.662956,351,336.9,0
10.38807,-3.297152,16.57053,-4.589234,351.3,339,1.07964E-07
10.41916,-3.350313,16.59329,-4.440051,351.6,340.8,0
10.45027,-3.397587,16.61635,-4.288944,351.9,343,0
10.48139,-3.417835,16.62803,-4.212434,352.2,345.5,1.077183E-07
10.51248,-3.453397,16.65156,-4.058221,352.5,347.3,5.38213E-08
10.54335,-3.469938,16.66337,-3.980846,352.5,348.2,0
10.57317,-3.500254,16.68707,-3.825542,352.5,349.2,0
10.60428,-3.513745,16.69896,-3.74759,352.5,350.4,0
10.63528,-3.535147,16.72288,-3.590842,352.7,352.4,0
10.66627,-3.54234,16.7349,-3.512078,353.2,354.9,0
10.69752,-3.548836,16.75902,-3.354039,353.6,357.7,0
10.72859,-3.548836,16.78315,-3.19587,354,-2.302198E-06,1.27923E-14
10.75943,-3.545447,16.79521,-3.116857,354.4,2.399998,0
10.79045,-3.534157,16.81928,-2.959082,354.7,3.999998,0
10.8213,-3.526121,16.83129,-2.880398,354.9,5.699998,0
10.85241,-3.505839,16.85523,-2.723505,355,7.199996,2.678234E-08
10.88242,-3.493183,16.86715,-2.645416,355.2,8.999998,0
10.91342,-3.462036,16.89082,-2.490273,355.5,11.1,-2.676293E-08
10.94447,-3.443294,16.90256,-2.413389,355.8,13.4,-5.350454E-08
10.97545,-3.401708,16.92586,-2.260656,356,14.9,5.349115E-08
11.00622,-3.379692,16.93747,-2.184625,356.2,15.8,1.069569E-07
11.03744,-3.333227,16.96056,-2.033273,356.3,16.7,0
11.06836,-3.284072,16.98353,-1.882753,356.4,17.7,5.346636E-08
11.09934,-3.258958,16.99499,-1.807666,356.5,18.1,0
11.13033,-3.207395,17.01784,-1.657936,356.5,18.6,0
11.1614,-3.18108,17.02923,-1.583252,356.5,19,0
11.19233,-3.127919,17.052,-1.434069,356.6,19.2,0
11.2232,-3.100808,17.06335,-1.359664,356.6,19.6,0
11.25424,-3.046586,17.08606,-1.210854,356.6,19.6,0
11.28617,-3.019474,17.09741,-1.13645,356.6,19.6,0
11.31711,-2.965252,17.12012,-0.9876402,356.6,19.6,0
11.34817,-2.938008,17.13147,-0.9132828,356.6,19.7,-5.345494E-08
11.37847,-2.882726,17.15412,-0.7648546,356.7,20,0
11.40942,-2.825599,17.17666,-0.617111,356.8,20.7,0
11.44037,-2.796116,17.18788,-0.5435928,357,21.40001,-5.343408E-08
11.47157,-2.735845,17.21024,-0.397075,357.1,21.9,0
11.50217,-2.704799,17.22136,-0.3241885,357.3,22.6,-5.342015E-08
11.53313,-2.64038,17.24346,-0.1794058,357.4,23.5,0
11.56452,-2.607399,17.25445,-0.1073545,357.5,24.10001,0
11.59542,-2.539107,17.27713,0.03559975,357.7,25.00001,0
11.62627,-2.496941,17.28668,0.09522521,357.9,26.3,5.339671E-08
11.65712,-2.38111,17.29768,0.1638953,358.3,27.60001,-2.669217E-08
11.68817,-2.322758,17.30344,0.1998253,358.8,29.2,2.668628E-08
11.71937,-2.203104,17.3149,0.2713286,359.3,30.90001,-1.334121E-08
11.75029,-2.081563,17.32651,0.3438111,359.7,32.50001,-6.670199E-09
11.78135,-2.020384,17.33243,0.3807379,359.7,33.60001,-6.670197E-09
11.81229,-1.896297,17.3441,0.4535576,359.7,34.4,-6.670198E-09
11.84321,-1.834126,17.35008,0.4909318,359.7,35.40001,-6.670199E-09
11.87307,-1.708038,17.36208,0.5658193,359.7,36.80001,0
11.90424,-1.644828,17.36829,0.6045735,359.7,38.30001,-6.670199E-09
11.93405,-1.516198,17.38048,0.6806608,359.8,39.5,6.670147E-09
11.96519,-1.451635,17.3866,0.7188522,359.9,40.10001,3.335058E-09
11.99517,-1.321701,17.39865,0.7940223,-2.412165E-06,40.20001,0
12.02386,-1.256701,17.40466,0.8315502,-2.412165E-06,40.20001,0
12.05103,-1.126701,17.41669,0.9066063,-2.412165E-06,40.20001,0
12.07798,-1.0617,17.4227,0.944134,-2.412165E-06,40.20001,0
12.10381,-0.9967001,17.42871,0.9816619,-2.412165E-06,40.20001,0
12.13099,-0.8666998,17.44074,1.056718,-2.412165E-06,40.20001,0
12.15683,-0.8016996,17.44675,1.094246,-2.412165E-06,40.20001,0
12.18284,-0.7366994,17.45276,1.131774,-2.412165E-06,40.20001,0
12.20884,-0.6066991,17.46479,1.20683,-2.412165E-06,40.20001,0
12.23485,-0.5416989,17.4708,1.244357,-2.412165E-06,40.20001,0
12.26107,-0.4766988,17.47681,1.281886,-2.412165E-06,40.20001,0
12.28694,-0.4116986,17.48283,1.319414,-2.412165E-06,40.20001,0
12.31278,-0.2816982,17.49485,1.394469,-2.412165E-06,40.20001,0
12.33876,-0.216698,17.50087,1.431997,-2.412165E-06,40.20001,0
12.36482,-0.1517388,17.50688,1.469501,0.0999976,40.10001,0
12.39091,-0.02182025,17.51889,1.54451,0.0999976,40.10001,0
12.41699,0.043139,17.5249,1.582014,0.0999976,40.10001,0
12.44301,0.1080571,17.53091,1.619495,0.0999976,40.00001,0
