TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04221712,-1,15.27646,-33,0,0,0
0.07821234,-1,15.22152,-33,0,0,0
0.1178119,-1,15.13519,-33,0,0,0
0.1590243,-1,15.01747,-33,0,0,0
0.19709,-1,14.86836,-33,0.1,0.1,6.513785E-12
0.2337051,-1,14.68786,-33,0.1,0.1,6.513785E-12
0.2709355,-1,14.47596,-33,0.1,0.1,6.513785E-12
0.3093764,-1,14.23267,-33,0.1,0.2,0
0.3467304,-1,14.09926,-33,0.1,0.3,0
0.3839633,-1,13.80888,-33,0.1,0.3,0
0.4216366,-1,13.675,-33,0.1,0.3,0
0.4599794,-1,13.675,-33,0.1,0.3,0
0.497004,-1,13.675,-33,0.1,0.4,0
0.5348748,-1,13.675,-33,0.1,0.4,0
0.572023,-1,13.675,-33,0.2,0.5,0
0.6100349,-1,13.675,-33,0.2,0.5,0
0.647818,-1,13.675,-33,0.2,0.5,0
0.6856897,-1,13.675,-33,0.2,0.5,0
0.724905,-1,13.675,-33,0.2,0.5,0
0.7619686,-1,13.675,-33,0.2,0.5,0
0.799632,-1,13.675,-33,0.2,0.5,0
0.8367603,-1,13.675,-33,0.2,0.5,0
0.8748558,-1,13.675,-33,0.2,0.5,0
0.9127297,-1,13.675,-33,0.2,0.5,0
0.9497512,-1,13.675,-33,0.2,0.5,0
0.9877185,-1,13.675,-33,0.2,0.5,0
1.026074,-1,13.675,-33,0.2,0.5,0
1.062724,-1,13.675,-33,0.2,0.5,0
1.10072,-1,13.675,-33,0.2,0.5,0
1.13869,-1,13.675,-33,0.2,0.5,0
1.176133,-1,13.675,-33,0.2,0.5,0
1.213788,-1,13.675,-33,0.2,0.5,0
1.251628,-1,13.675,-33,0.2,0.5,0
1.289791,-1,13.675,-33,0.2,0.5,0
1.326797,-1,13.675,-33,0.2,0.5,0
1.364943,-1,13.675,-33,0.2,0.5,0
1.402857,-1,13.675,-33,0.2,0.5,0
1.440027,-1,13.675,-33,0.2,0.5,0
1.478049,-1,13.675,-33,0.2,0.5,0
1.515769,-1,13.675,-33,0.2,0.5,0
1.553804,-1,13.675,-33,0.2,0.5,0
1.590716,-1,13.675,-33,0.2,0.5,0
1.629211,-1,13.675,-33,0.2,0.5,0
1.665931,-1,13.675,-33,0.2,0.5,0
1.703772,-1,13.675,-33,0.2,0.5,0
1.741935,-1,13.675,-33,0.2,0.5,0
1.77928,-1,13.675,-33,0.2,0.5,0
1.816842,-1,13.675,-33,0.2,0.5,0
1.854969,-0.9986038,13.675,-32.84001,0.2,0.5,0
1.892956,-0.9972075,13.675,-32.68001,0.2,0.5,0
1.929855,-0.9958113,13.675,-32.52002,0.2,0.5,0
1.967945,-0.994415,13.675,-32.36002,0.2,0.5,0
2.005972,-0.9937169,13.675,-32.28003,0.2,0.5,0
2.04415,-0.9923207,13.675,-32.12003,0.2,0.5,0
2.08178,-0.9909244,13.675,-31.96004,0.2,0.5,0
2.119756,-0.9895282,13.675,-31.80005,0.2,0.5,0
2.156853,-0.9881319,13.675,-31.64005,0.2,0.5,0
2.195181,-0.9867356,13.675,-31.48006,0.2,0.5,0
2.233977,-0.9853394,13.675,-31.32006,0.2,0.5,0
2.27182,-0.9839432,13.675,-31.16007,0.2,0.5,0
2.31026,-0.9825469,13.675,-31.00008,0.2,0.5,0
2.348213,-0.9808714,13.675,-30.84008,359.9,0.6,5.211029E-11
2.387094,-0.9800337,13.675,-30.76009,359.9,0.6,5.211029E-11
