TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01647818,2.922889,22.27023,43.2,15.90002,23.79998,0
0.03297945,2.922889,22.27023,43.2,15.90002,23.79998,0
0.04969317,2.922889,22.27023,43.2,15.90002,23.79998,0
0.0661888,2.922889,22.27023,43.2,15.90002,23.79998,0
0.08303387,2.922889,22.27023,43.2,15.90002,23.79998,0
0.09969627,2.922889,22.27023,43.2,15.90002,23.79998,0
0.1163741,2.922889,22.27023,43.2,15.90002,23.79998,0
0.1329903,2.922889,22.27023,43.2,15.90002,23.79998,0
0.1497486,2.922889,22.27023,43.2,15.90002,23.79998,0
0.1664731,2.922889,22.27023,43.2,15.90002,23.79998,0
0.1831314,2.922889,22.27023,43.2,15.90002,23.79998,0
0.2000437,2.922889,22.27023,43.2,15.90002,23.79998,0
0.2162663,2.922889,22.27023,43.2,15.90002,23.79998,0
0.2332043,2.922889,22.27023,43.2,15.90002,23.79998,0
0.2497435,2.922889,22.27023,43.2,15.90002,23.79998,0
0.266331,2.922889,22.27023,43.2,15.90002,23.79998,0
0.2830735,2.922889,22.27023,43.2,15.90002,23.79998,0
0.2999237,2.922889,22.27023,43.2,15.90002,23.79998,0
0.3164275,2.922889,22.27023,43.2,15.90002,23.79998,0
0.3331058,2.922889,22.27023,43.2,15.90002,23.79998,0
0.3496861,2.922889,22.27023,43.2,15.90002,23.79998,0
0.3663013,2.922889,22.27023,43.2,15.90002,23.79998,0
0.3830253,2.922889,22.27023,43.2,15.90002,23.79998,0
0.3997405,2.922889,22.27023,43.2,15.90002,23.79998,0
0.4165779,2.922889,22.27023,43.2,15.90002,23.79998,0
0.4331356,2.922889,22.27023,43.2,15.90002,23.79998,0
0.4497919,2.922889,22.27023,43.2,15.90002,23.79998,0
0.4662834,2.922889,22.27023,43.2,15.90002,23.79998,0
0.4830936,2.922889,22.27023,43.2,15.90002,23.79998,0
0.4995959,2.922889,22.27023,43.2,15.90002,23.79998,0
0.5162275,2.922889,22.27023,43.2,15.90002,23.79998,0
0.5331131,2.922889,22.27023,43.2,15.90002,23.79998,0
0.5498838,2.922889,22.27023,43.2,15.90002,23.79998,0
0.5662999,2.922889,22.27023,43.2,15.90002,23.79998,0
0.5830582,2.922889,22.27023,43.2,15.90002,23.79998,0
0.5998048,2.922889,22.27023,43.2,15.90002,23.79998,0
0.6163821,2.922889,22.27023,43.2,15.90002,23.79998,0
0.6330855,2.922889,22.27023,43.2,15.90002,23.79998,0
0.6498905,2.922889,22.27023,43.2,15.90002,23.79998,0
0.6662553,2.922889,22.27023,43.2,15.90002,23.79998,0
0.6831994,2.922889,22.27023,43.2,15.90002,23.79998,0
0.6997458,2.922889,22.27023,43.2,15.90002,23.79998,0
0.7161357,2.922889,22.27023,43.2,15.90002,23.79998,0
0.7329295,2.922889,22.27023,43.2,15.90002,23.79998,0
0.7496135,2.922889,22.27023,43.2,15.90002,23.79998,0
0.7662564,2.922889,22.27023,43.2,15.90002,23.79998,0
0.7831682,2.922889,22.27023,43.2,15.90002,23.79998,0
0.7997788,2.922889,22.27023,43.2,15.90002,23.79998,0
0.8162687,2.922889,22.27023,43.2,15.90002,23.79998,0
0.8330974,2.922889,22.27023,43.2,15.90002,23.79998,0
0.8497141,2.922889,22.27023,43.2,15.90002,23.79998,0
0.8663709,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.8829712,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.8997516,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.916297,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.9329666,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.9498912,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.9663124,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.9833289,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
0.9998214,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.016256,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.0332,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.049691,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.066407,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.083109,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.099917,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.116369,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.132937,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.149615,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.166232,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.183169,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.199725,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.216253,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.23324,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.249801,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.266478,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.282985,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.299919,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.316313,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.332952,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.349657,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.36629,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.383315,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.399729,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.416282,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.433114,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.449753,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.46619,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.483151,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.49979,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.516333,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.533055,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.549705,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.566234,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.58296,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.599669,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.616432,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.632915,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.649752,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.666377,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.682956,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.699616,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.716477,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.732941,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.749849,2.922889,22.27023,43.2,16.00002,23.89998,2.220451E-07
1.766446,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.783323,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.799674,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.816178,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.833067,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.849508,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.866149,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.882921,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.899775,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.916478,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.93311,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.949667,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.966592,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.983031,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
1.999711,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.016499,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.032992,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.049871,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.066378,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.083514,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.099611,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.116262,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.133154,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.149766,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.166255,2.922889,22.27023,43.2,16.10002,23.79998,2.221566E-07
2.183291,2.955173,22.27023,43.2732,16.10002,23.79998,2.221566E-07
2.199781,2.987456,22.27023,43.34639,16.10002,23.79998,2.221566E-07
2.216398,3.01974,22.27023,43.41959,16.10002,23.79998,2.221566E-07
2.23315,3.01974,22.27023,43.41959,16.10002,23.79998,2.221566E-07
2.249739,3.052023,22.27024,43.49279,16.10002,23.79998,2.221566E-07
2.266334,3.084307,22.27023,43.56599,16.10002,23.79998,2.221566E-07
2.282933,3.11659,22.27023,43.63918,16.10002,23.79998,2.221566E-07
2.299982,3.148874,22.27023,43.71238,16.10002,23.79998,2.221566E-07
2.316443,3.181158,22.27023,43.78558,16.10002,23.79998,2.221566E-07
2.333106,3.181158,22.27023,43.78558,16.10002,23.79998,2.221566E-07
2.349693,3.213441,22.27024,43.85877,16.10002,23.79998,2.221566E-07
2.366323,3.245725,22.27023,43.93197,16.10002,23.79998,2.221566E-07
2.382937,3.278008,22.27023,44.00517,16.10002,23.79998,2.221566E-07
2.399695,3.310292,22.27023,44.07836,16.10002,23.79998,2.221566E-07
2.416688,3.342576,22.27023,44.15156,16.10002,23.79998,2.221566E-07
2.433028,3.342576,22.27023,44.15156,16.10002,23.79998,2.221566E-07
2.449623,3.374859,22.27024,44.22475,16.10002,23.79998,2.221566E-07
2.46623,3.407143,22.27023,44.29795,16.10002,23.79998,2.221566E-07
2.482903,3.439427,22.27024,44.37115,16.10002,23.79998,2.221566E-07
2.499621,3.47171,22.27023,44.44435,16.10002,23.79998,2.221566E-07
2.516432,3.503994,22.27023,44.51754,16.10002,23.79998,2.221566E-07
2.532941,3.503994,22.27023,44.51754,16.10002,23.79998,2.221566E-07
2.549564,3.536277,22.27023,44.59074,16.10002,23.79998,2.221566E-07
2.566458,3.568561,22.27023,44.66394,16.10002,23.79998,2.221566E-07
2.582869,3.600845,22.27024,44.73713,16.10002,23.79998,2.221566E-07
2.59934,3.633128,22.27023,44.81033,16.10002,23.79998,2.221566E-07
2.616373,3.665412,22.27023,44.88353,16.10002,23.79998,2.221566E-07
2.632826,3.665412,22.27023,44.88353,16.10002,23.79998,2.221566E-07
2.649359,3.697695,22.27023,44.95672,16.10002,23.79998,2.221566E-07
2.66604,3.729979,22.27023,45.02992,16.10002,23.79998,2.221566E-07
2.682674,3.762263,22.27024,45.10312,16.10002,23.79998,2.221566E-07
2.699394,3.794546,22.27023,45.17632,16.10002,23.79998,2.221566E-07
2.716255,3.82683,22.27023,45.24951,16.10002,23.79998,2.221566E-07
2.73266,3.82683,22.27023,45.24951,16.10002,23.79998,2.221566E-07
2.749343,3.859113,22.27023,45.32271,16.10002,23.79998,2.221566E-07
2.766655,3.891397,22.27023,45.3959,16.10002,23.79998,2.221566E-07
2.782842,3.923681,22.27024,45.4691,16.10002,23.79998,2.221566E-07
2.799348,3.955964,22.27023,45.5423,16.10002,23.79998,2.221566E-07
2.816031,3.988248,22.27023,45.61549,16.10002,23.79998,2.221566E-07
2.832694,3.988248,22.27023,45.61549,16.10002,23.79998,2.221566E-07
2.849378,3.988248,22.27023,45.61549,16.10002,23.79998,2.221566E-07
2.866036,4.020531,22.27023,45.68869,16.10002,23.79998,2.221566E-07
2.882581,4.052815,22.27024,45.76189,16.10002,23.79998,2.221566E-07
2.899192,4.085098,22.27023,45.83509,16.10002,23.79998,2.221566E-07
2.91594,4.117382,22.27023,45.90828,16.10002,23.79998,2.221566E-07
2.932848,4.117382,22.27023,45.90828,16.10002,23.79998,2.221566E-07
2.949297,4.149666,22.27023,45.98148,16.10002,23.79998,2.221566E-07
2.965885,4.181949,22.27023,46.05468,16.10002,23.79998,2.221566E-07
2.98279,4.214233,22.27024,46.12787,16.10002,23.79998,2.221566E-07
2.999373,4.246828,22.27023,46.2008,16.10002,23.79998,2.221566E-07
3.016125,4.296736,22.27023,46.25884,16.10002,23.79998,2.221566E-07
3.032459,4.296736,22.27023,46.25884,16.10002,23.79998,2.221566E-07
3.04918,4.32902,22.27023,46.33204,16.10002,23.79998,2.221566E-07
3.066026,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.082584,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.099313,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.116183,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.13259,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.149217,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.165829,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.182659,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.19944,4.361303,22.27023,46.40524,16.10002,23.79998,2.221566E-07
3.216029,4.393587,22.27023,46.47843,16.10002,23.79998,2.221566E-07
3.232499,4.393587,22.27023,46.47843,16.10002,23.79998,2.221566E-07
3.249285,4.42587,22.27765,46.55163,16.10002,23.79998,2.221566E-07
3.265917,4.458281,22.28,46.62442,16.10002,23.79998,2.221566E-07
3.282676,4.490565,22.28,46.69762,16.10002,23.79998,2.221566E-07
3.299284,4.522849,22.28015,46.77082,16.10002,23.79998,2.221566E-07
3.316084,4.555178,22.281,46.84387,16.10002,23.79998,2.221566E-07
3.332614,4.555178,22.281,46.84387,16.10002,23.79998,2.221566E-07
3.349236,4.587461,22.281,46.91707,16.10002,23.79998,2.221566E-07
3.366142,4.619745,22.281,46.99026,16.10002,23.79998,2.221566E-07
3.382555,4.652029,22.281,47.06346,16.10002,23.79998,2.221566E-07
3.399182,4.684312,22.281,47.13666,16.10002,23.79998,2.221566E-07
3.415868,4.716596,22.281,47.20985,16.10002,23.79998,2.221566E-07
3.432445,4.716596,22.281,47.20985,16.10002,23.79998,2.221566E-07
3.449139,4.74888,22.281,47.28305,16.10002,23.79998,2.221566E-07
3.46577,4.781163,22.281,47.35625,16.10002,23.79998,2.221566E-07
3.482355,4.781163,22.281,47.35625,16.10002,23.79998,2.221566E-07
3.499182,4.781163,22.281,47.35625,16.10002,23.79998,2.221566E-07
3.515901,4.781163,22.281,47.35625,16.10002,23.79998,2.221566E-07
3.532544,4.781163,22.281,47.35625,16.10002,23.79998,2.221566E-07
3.549217,4.781163,22.281,47.35625,16.20002,23.59998,0
3.566051,4.781163,22.281,47.35625,16.20002,22.89997,0
3.582635,4.781163,22.281,47.35625,16.10002,22.19997,-2.221566E-07
3.599219,4.781163,22.281,47.35625,16.00002,21.89997,-4.440902E-07
3.616047,4.781163,22.281,47.35625,16.00002,21.49998,0
3.632636,4.781163,22.281,47.35625,15.90002,20.89998,0
3.649343,4.781163,22.281,47.35625,15.80002,20.39998,0
3.6661,4.781163,22.281,47.35625,15.80002,19.59998,-2.218244E-07
3.682879,4.781163,22.281,47.35625,15.80002,18.69998,-2.218244E-07
3.699627,4.781163,22.281,47.35625,15.80002,17.89998,-2.218244E-07
3.716192,4.781163,22.281,47.35625,15.80002,17.09998,-2.218244E-07
3.733045,4.781163,22.281,47.35625,15.80002,16.19998,2.218244E-07
3.749711,4.781163,22.281,47.35625,15.80002,15.09998,2.218244E-07
3.766306,4.781163,22.281,47.35625,15.80002,13.99998,0
3.783102,4.781163,22.281,47.35625,15.90002,12.59998,0
3.799806,4.781163,22.281,47.35625,16.10002,11.19998,1.110783E-07
3.816243,4.781163,22.281,47.35625,16.30002,9.699976,-1.11191E-07
3.833183,4.781163,22.281,47.35625,16.60002,8.099977,-1.11363E-07
3.849883,4.781163,22.281,47.35625,16.70002,6.299975,-1.114212E-07
3.866638,4.781163,22.281,47.35625,16.70002,3.899976,0
3.883214,4.781163,22.281,47.35625,16.70002,2.399976,0
