TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0379551,-1,15.29215,-33,0,0,0
0.0711492,-1,15.25291,-33,0,0,0
0.1077316,-1,15.18228,-33,0,0,0
0.1458535,-1,15.08026,-33,0,0,0
0.1788059,-1,14.94684,-33,0,0,0
0.2129355,-1,14.86836,-33,0,0,0
0.2469552,-1,14.68786,-33,0,0,0
0.2806845,-1,14.47596,-33,0,0,0
0.3160333,-1,14.35824,-33,0,0.1,0
0.348918,-1,14.09926,-33,0,0.3,0
0.3827787,-1,13.80888,-33,0,0.3,0
0.4180367,-1,13.675,-33,0,0.3,0
0.4519127,-1,13.675,-33,0,0.3,0
0.4861234,-1,13.675,-33,0,0.3,0
0.5200944,-1,13.675,-33,0,0.3,0
0.5540197,-1,13.675,-33,0,0.3,0
0.588898,-1,13.675,-33,0,0.3,0
0.6230963,-1,13.675,-33,0,0.3,0
0.6567199,-1,13.675,-33,0,0.3,0
0.6907279,-1,13.675,-33,0,0.3,0
0.7257698,-1,13.675,-33,0,0.3,0
0.7598686,-1,13.675,-33,0,0.3,0
0.7938961,-0.9995811,13.675,-32.92,0,0.3,0
0.8279979,-0.9987434,13.675,-32.76,0,0.3,0
0.8616903,-0.9979056,13.675,-32.60001,0,0.3,0
0.8957403,-0.9974867,13.675,-32.52001,0,0.3,0
0.9309424,-0.996649,13.675,-32.36001,0,0.3,0
0.9651494,-0.9958112,13.675,-32.20001,0,0.3,0
0.9987761,-0.9949735,13.675,-32.04001,0,0.3,0
1.032745,-0.9945546,13.675,-31.96001,0,0.3,0
1.067016,-0.9937168,13.675,-31.80002,0,0.3,0
1.10185,-0.9928791,13.675,-31.64002,0,0.3,0
1.13595,-0.9924602,13.675,-31.56002,0,0.3,0
1.170149,-0.9916224,13.675,-31.40002,0,0.3,0
1.204089,-0.9907847,13.675,-31.24002,0,0.3,0
1.239069,-0.989947,13.675,-31.08003,0,0.3,0
1.27279,-0.9895281,13.675,-31.00003,0,0.3,0
1.308038,-0.9886903,13.675,-30.84003,0,0.3,0
1.341982,-0.9878526,13.675,-30.68003,0,0.3,0
1.376983,-0.9874337,13.675,-30.60003,0,0.3,0
1.410971,-0.9865959,13.675,-30.44003,0,0.3,0
1.446016,-0.9857582,13.675,-30.28004,0,0.3,0
1.479859,-0.9849204,13.675,-30.12004,0,0.3,0
1.514911,-0.9845015,13.675,-30.04004,0,0.3,0
1.548997,-0.9836638,13.675,-29.88004,0,0.3,0
1.584184,-0.9828261,13.675,-29.72005,0,0.3,0
1.618049,-0.9824072,13.675,-29.64005,0,0.3,0
1.653321,-0.9815694,13.675,-29.48005,0,0.3,0
1.687076,-0.9807317,13.675,-29.32005,0,0.3,0
1.722052,-0.9798939,13.675,-29.16005,0,0.3,0
1.755789,-0.979475,13.675,-29.08005,0,0.3,0
1.791047,-0.9786373,13.675,-28.92006,0,0.3,0
1.825905,-0.9777995,13.675,-28.76006,0,0.3,0
1.860066,-0.9769617,13.675,-28.60006,0,0.3,0
1.894758,-0.9765429,13.675,-28.52006,0,0.3,0
1.929965,-0.9757051,13.675,-28.36006,0,0.3,0
1.963864,-0.9748673,13.675,-28.20007,0,0.3,0
1.998983,-0.9740296,13.675,-28.04007,0,0.3,0
2.032883,-0.9736108,13.675,-27.96007,0,0.3,0
2.068523,-0.972773,13.675,-27.80007,0,0.3,0
2.102967,-0.9719352,13.675,-27.64007,0,0.3,0
2.137061,-0.9715164,13.675,-27.56007,0,0.3,0
2.17198,-0.9706786,13.675,-27.40008,0,0.3,0
2.206805,-0.9698408,13.675,-27.24008,0,0.3,0
2.240996,-0.9690031,13.675,-27.08008,0,0.3,0
