TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05889579,-1,15.25291,-33,0,0,0
0.1130659,-1,15.13519,-33,0,0,0
0.1705044,-1,14.94684,-33,0,0.1,0
0.2283621,-1,14.68786,-33,359.6,0.2,0
0.2835616,-1,14.47596,-33,358.9,359.8,0
0.337234,-1,14.09926,-33,357.9,359,1.668647E-09
0.3922036,-1,13.675,-33,357.9,359,1.668647E-09
0.4468084,-1,13.675,-33,357.8,358.9,3.337514E-09
0.5010412,-1,13.675,-33,357.5,358.4,3.33823E-09
0.5532018,-1,13.675,-33,357.2,358.1,-3.339039E-09
0.6057678,-1,13.675,-33,357,357.8,0
0.6587619,-1,13.675,-33,356.7,357.4,0
0.7119657,-1,13.675,-33,356.7,357.4,0
0.7648386,-1,13.675,-33,356.7,357.4,0
0.8179768,-1,13.675,-33,356.7,357.4,0
0.8702149,-1,13.675,-33,356.7,357.4,0
0.922861,-1,13.675,-33,356.7,357.4,0
0.9760136,-1.010887,13.675,-32.76025,356.7,357.4,0
1.028049,-1.021774,13.675,-32.52049,356.7,357.4,0
1.081055,-1.030427,13.675,-32.36073,356.7,356.9,-6.681185E-09
1.134161,-1.043824,13.675,-32.1211,356.8,356.8,-6.680522E-09
1.186068,-1.052755,13.675,-31.96135,356.8,356.8,-6.680522E-09
1.238992,-1.066153,13.675,-31.72173,356.8,356.8,-6.680522E-09
1.292043,-1.07955,13.675,-31.4821,356.8,356.8,-6.680522E-09
1.34416,-1.088481,13.675,-31.32235,356.8,356.8,-6.680522E-09
1.397062,-1.101878,13.675,-31.08272,356.8,356.8,-6.680522E-09
1.450031,-1.115276,13.675,-30.8431,356.8,356.8,-6.680522E-09
1.503307,-1.124207,13.675,-30.68335,356.8,356.8,-6.680522E-09
1.556095,-1.137604,13.675,-30.44372,356.8,356.8,-6.680522E-09
1.609274,-1.151001,13.675,-30.2041,356.8,356.8,-6.680522E-09
1.662216,-1.159933,13.675,-30.04435,356.8,356.8,-6.680522E-09
1.71512,-1.17333,13.675,-29.80472,356.8,356.8,-6.680522E-09
1.7681,-1.186309,13.675,-29.56507,356.6,356.9,0
1.821144,-1.194404,13.675,-29.40528,356.3,357.1,0
1.875195,-1.206128,13.675,-29.16556,356.1,357.2,-6.685589E-09
1.928224,-1.217433,13.675,-28.92583,356,357.3,-6.686394E-09
1.982413,-1.224412,13.675,-28.76598,355.8,357.5,-6.688067E-09
2.034164,-1.234462,13.675,-28.52619,355.7,357.6,0
2.086222,-1.240883,13.675,-28.36632,355.5,357.7,0
2.13798,-1.250515,13.675,-28.12651,355.5,357.7,0
2.189818,-1.259728,13.675,-27.88669,355.4,357.8,0
2.242984,-1.26587,13.675,-27.72681,355.2,357.8,0
2.294259,-1.274665,13.675,-27.48697,355.1,357.9,0
2.346107,-1.280528,13.675,-27.32708,355.1,357.9,0
2.397092,-1.288904,13.675,-27.08722,354.9,358,-1.339324E-08
2.448971,-1.296861,13.675,-26.84735,354.8,358.1,0
2.501013,-1.302166,13.675,-26.68744,354.8,358.1,0
2.553553,-1.310123,13.675,-26.44758,354.8,358.1,0
2.605371,-1.315428,13.675,-26.28766,354.8,358.1,0
2.657189,-1.323385,13.675,-26.0478,354.8,358.1,0
2.709179,-1.331342,13.675,-25.80793,354.8,358.1,0
2.763279,-1.336647,13.675,-25.64802,354.8,358.1,0
2.817343,-1.344604,13.675,-25.40815,354.8,358.1,0
2.871233,-1.352562,13.675,-25.16828,354.8,358.1,0
2.926098,-1.357866,13.675,-25.00837,354.8,358.1,0
2.980254,-1.365824,13.675,-24.7685,354.8,358.1,0
3.034118,-1.373781,13.675,-24.52863,354.8,358.1,0
3.088348,-1.381738,13.675,-24.28876,354.8,358.1,0
3.142423,-1.386485,13.675,-24.12883,355,358.3,0
3.19636,-1.392767,13.675,-23.88892,355.5,358.5,0
3.250636,-1.39905,13.675,-23.649,355.6,358.5,0
3.304534,-1.404354,13.675,-23.48909,355.9,358.1,0
3.359572,-1.41817,13.675,-23.24948,356.3,356.7,0
3.413674,-1.441261,13.6983,-23.01151,356.8,354.5,-1.336105E-08
3.468943,-1.472523,13.7342,-22.77628,357.1,352.6,1.335732E-08
3.525799,-1.499785,13.75798,-22.62042,357.4,350.3,-1.335396E-08
3.581497,-1.554778,13.79322,-22.38948,357.7,346.9,0
3.638515,-1.622855,13.82794,-22.16197,358.1,343.7,2.66951E-08
3.693402,-1.697795,13.86233,-21.93658,358.2,342,2.66936E-08
3.743388,-1.750424,13.88513,-21.78721,358.3,341,0
3.79311,-1.834139,13.91906,-21.56486,358.3,339.8,0
3.843054,-1.892841,13.94151,-21.41772,358.3,338.7,0
3.892828,-1.982465,13.9751,-21.19763,358.3,338.3,-2.669218E-08
3.942989,-2.042997,13.99744,-21.05122,358.3,338,0
3.991953,-2.134186,14.03093,-20.83176,358.3,337.9,-2.669218E-08
4.042008,-2.194979,14.05325,-20.68545,358.3,337.9,-2.669218E-08
4.09194,-2.286168,14.08674,-20.46599,358.3,337.9,-2.669218E-08
4.138066,-2.346961,14.10907,-20.31968,358.3,337.9,-2.669218E-08
4.185423,-2.407493,14.13141,-20.17327,358.3,338,0
4.231424,-2.494396,14.1661,-19.9522,358.3,339,0
4.277266,-2.548675,14.18991,-19.80359,358.6,340.4,0
4.324512,-2.599222,14.21393,-19.65369,358.7,341.8,-1.334365E-08
4.371533,-2.667778,14.25032,-19.42659,358.8,343.6,0
4.418544,-2.706403,14.27488,-19.27328,358.9,346.2,0
4.465652,-2.737307,14.29972,-19.11827,359,349,6.671123E-09
4.515988,-2.774062,14.33724,-18.88408,359,351.3,0
4.565692,-2.792121,14.36239,-18.72711,359.3,353.6,0
4.615615,-2.810344,14.40025,-18.49082,359.5,355.7,1.66759E-09
4.667003,-2.815434,14.42555,-18.33291,359.5,358.2,0
4.716717,-2.813313,14.46352,-18.09594,359.5,0.4999998,0
4.766644,-2.80455,14.4888,-17.93819,359.7,3.1,0
4.818748,-2.779147,14.52655,-17.70255,359.7,6,-1.66755E-09
4.870717,-2.744069,14.56412,-17.46812,359.7,8.300001,-1.66755E-09
4.922637,-2.715108,14.58901,-17.31274,359.7,10.3,-3.335099E-09
4.974729,-2.663359,14.62609,-17.08134,359.7,12.3,0
5.027075,-2.622273,14.65055,-16.92865,359.9,14.7,0
5.078724,-2.553453,14.6868,-16.70246,-2.844021E-07,16.7,0
5.12981,-2.616558,14.71264,-16.54115,0.09999973,18.4,0
5.18349,-2.62287,14.73522,-16.40022,0.09999972,20.3,0
5.236776,-2.586147,14.73522,-16.18021,0.2999997,22.2,0
5.289596,-2.491166,14.80449,-15.96243,0.5999998,24.4,1.334095E-08
5.343578,-2.419617,14.82608,-15.82096,0.7999997,26.3,0
5.39649,-2.306674,14.85803,-15.61162,0.9,27.8,0
5.450242,-2.186417,14.88901,-15.40855,0.8999997,28.4,0
5.503378,-2.078726,14.90551,-15.30047,0.7999997,28.6,-1.334151E-08
5.556257,-1.916922,14.93025,-15.13828,0.6999997,28.8,-1.334121E-08
5.610195,-1.754928,14.95498,-14.97628,0.6999997,28.8,-1.334121E-08
5.663262,-1.646969,14.97148,-14.86813,0.5999998,28.9,0
5.717353,-1.484893,14.99621,-14.70605,0.5999998,28.9,0
5.770148,-1.322814,15.02094,-14.54397,0.5999998,28.9,0
5.822965,-1.214838,15.03745,-14.43582,0.5999998,28.9,0
5.876113,-1.052759,15.06218,-14.27374,0.5999998,28.9,0
5.929011,-0.8906808,15.08691,-14.11167,0.5999998,28.9,0
5.98205,-0.7826284,15.1034,-14.00361,0.5999998,28.9,0
6.034522,-0.6205497,15.12814,-13.84153,0.5999998,28.9,0
6.086597,-0.5124974,15.14462,-13.73348,0.5999998,28.9,0
6.138663,-0.3507524,15.1693,-13.57174,0.2999998,28.5,6.670197E-09
6.190376,-0.1896989,15.19388,-13.41068,0.2999998,27.7,0
6.24257,-0.08331581,15.21012,-13.3043,0.2999998,26.1,0
6.294587,0.07475724,15.23424,-13.14623,0.4999999,24.6,1.334072E-08
6.346703,0.179212,15.25018,-13.04177,0.5999999,23.3,-1.334094E-08
6.398642,0.3329878,15.27364,-12.888,0.7999998,20.8,-1.334151E-08
6.450891,0.4842226,15.29672,-12.73676,0.9999998,18.8,0
6.502608,0.5809798,15.31149,-12.64,1.2,14.5,1.334314E-08
6.554931,0.7200261,15.3327,-12.50096,1.5,10.7,0
6.606496,0.8106533,15.34653,-12.41033,1.6,8.899999,0
6.659602,0.944809,15.367,-12.27618,1.7,7.899999,1.334609E-08
6.711762,1.075646,15.38697,-12.14534,1.899999,6.099998,-6.673775E-09
6.764762,1.159122,15.39952,-12.06186,2.4,3.199999,6.675962E-09
6.816888,1.278018,15.41888,-11.94297,2.8,0.09999831,-2.0869E-10
6.86973,1.392192,15.43717,-11.82879,3.1,358,0
6.92152,1.462583,15.44845,-11.7584,3.4,354.2,-1.336374E-08
6.974458,1.561539,15.4643,-11.65944,3.8,351.4,-2.673921E-08
7.02687,1.623425,15.47422,-11.59756,3.899999,348.9,-2.674236E-08
7.078636,1.708929,15.48792,-11.51205,4.2,346,5.350454E-08
7.130749,1.786359,15.50033,-11.43462,4.2,342.9,-5.350454E-08
7.181778,1.831722,15.5076,-11.38926,4.2,339.4,0
7.23028,1.892632,15.51735,-11.32835,4.3,336.8,0
7.277262,1.928963,15.52318,-11.29202,4.4,334.5,0
7.324162,1.962097,15.52848,-11.25888,4.5,332.8,1.070517E-07
7.372375,2.007105,15.53588,-11.21273,4.5,330.7,-1.070517E-07
7.419516,2.040774,15.54258,-11.17089,4.5,329.4,0
7.467341,2.077204,15.55188,-11.11289,4.6,328.6,-2.141332E-07
7.514297,2.126115,15.5728,-10.98228,4.699999,327.9,-1.070818E-07
7.562366,2.137605,15.59231,-10.86051,4.699999,327.2,0
7.609083,2.098268,15.60511,-10.63679,4.699999,327,0
7.656021,2.010348,15.64931,-10.5048,4.699999,327,0
