TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02085532,-0.3797541,22.27023,43.2,0.4999946,345.4,0
0.04197697,-0.3999196,22.27024,43.27742,0.4999946,345.4,0
0.06381857,-0.4402507,22.27024,43.43225,0.4999946,345.4,0
0.08481757,-0.4604163,22.27023,43.50967,0.4999946,345.4,0
0.1059551,-0.4805818,22.27023,43.58709,0.4999946,345.4,0
0.127182,-0.5007474,22.27023,43.6645,0.4999946,345.4,0
0.1479778,-0.5209129,22.27023,43.74192,0.4999946,345.4,0
0.1698291,-0.5410785,22.27024,43.81934,0.4999946,345.4,0
0.1910806,-0.5612441,22.27023,43.89675,0.4999946,345.4,0
0.2118599,-0.5814096,22.27023,43.97417,0.4999946,345.4,0
0.2329893,-0.6015752,22.27023,44.05159,0.4999946,345.4,0
0.2551049,-0.6217408,22.27023,44.129,0.4999946,345.4,0
0.2771482,-0.6419063,22.27024,44.20642,0.4999946,345.4,0
0.2979614,-0.6620719,22.27023,44.28384,0.4999946,345.4,0
0.3199528,-0.6822374,22.27023,44.36125,0.4999946,345.4,0
0.3409801,-0.7024029,22.27023,44.43867,0.4999946,345.4,0
0.3618529,-0.7225685,22.27023,44.51609,0.4999946,345.4,0
0.3839823,-0.7628996,22.27023,44.67092,0.4999946,345.4,0
0.4047509,-0.7830652,22.27023,44.74834,0.4999946,345.4,0
0.4261682,-0.8032308,22.27023,44.82575,0.4999946,345.4,0
0.4468624,-0.8233963,22.27023,44.90317,0.4999946,345.4,0
0.4678239,-0.8435619,22.27024,44.98059,0.4999946,345.4,0
0.4898174,-0.8637275,22.27023,45.058,0.4999946,345.4,0
0.5109924,-0.883893,22.27023,45.13542,0.4999946,345.4,0
0.5318277,-0.9040585,22.27023,45.21284,0.4999946,345.4,0
0.5528303,-0.9242241,22.27023,45.29025,0.4999946,345.4,0
0.5737174,-0.9443896,22.27024,45.36767,0.4999946,345.4,0
0.5959074,-0.9645552,22.27023,45.44509,0.4999946,345.4,0
0.6169783,-0.9847208,22.27023,45.5225,0.4999946,345.4,0
0.6387762,-1.004886,22.27023,45.59992,0.4999946,345.4,0
0.6599928,-1.025052,22.27023,45.67734,0.4999946,345.4,0
0.6818385,-1.045217,22.27024,45.75475,0.4999946,345.4,0
0.7028853,-1.068937,22.27023,45.80901,0.4999946,345.4,0
0.7239207,-1.133472,22.27023,45.81985,0.4999946,345.4,0
0.7448161,-1.166054,22.27023,45.82549,0.4999946,345.4,0
0.7659449,-1.199272,22.27023,45.83157,0.4999946,345.4,0
0.7869573,-1.233128,22.27023,45.83811,0.4999946,345.4,0
0.8081533,-1.267633,22.27024,45.84514,0.4999946,345.4,0
