TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04126884,-1,15.27646,-33,0,0,0
0.05698283,-1,15.25291,-33,0,0,0
0.06983543,-1,15.22152,-33,0,0,0
0.09457539,-1,15.18228,-33,0,0,0
0.1170159,-1,15.13519,-33,0,0,0
0.1381268,-1,15.08026,-33,0,0,0
0.158843,-1,15.01747,-33,0,0,0
0.1809161,-1,14.94684,-33,0,0,0
0.2023195,-1,14.86836,-33,0,0,0
0.2233755,-1,14.78203,-33,0,0,0
0.2437684,-1,14.68786,-33,0,0,0
0.2647187,-1,14.58583,-33,0,0,0
0.2861236,-1,14.35824,-33,0,0,0
0.3079781,-1,14.23267,-33,0,0,0
0.3287729,-1,14.09926,-33,0,0,0
0.3499279,-1,13.95799,-33,0,0,0
0.3723186,-1,13.80888,-33,359.8,0.2,-2.605526E-11
0.3969821,-1,13.675,-33,359.6,1,-2.084459E-10
0.4154887,-1,13.675,-33,359.5,1.3,0
0.4366663,-1,13.675,-33,359.5,1.4,4.168975E-10
0.4578475,-1,13.675,-33,359.5,1.4,4.168975E-10
0.4797348,-1,13.675,-33,359.6,1.3,0
0.5018746,-1,13.675,-33,359.6,1.3,0
0.5235505,-1,13.675,-33,359.6,1.3,0
0.5468197,-1,13.675,-33,359.6,1.3,0
0.567809,-1,13.675,-33,359.6,1.3,0
0.5888568,-1,13.675,-33,359.6,1.3,0
0.6112644,-1,13.675,-33,359.6,1.3,0
0.6329623,-1,13.675,-33,359.6,1.3,0
0.6541902,-1,13.675,-33,359.6,1.3,0
0.6748429,-1,13.675,-33,359.6,1.3,0
0.69688,-1,13.675,-33,359.6,1.3,0
0.7180356,-1,13.675,-33,359.6,1.3,0
0.7389545,-1,13.675,-33,359.6,1.3,0
0.7608018,-1,13.675,-33,359.6,1.3,0
0.7818619,-1,13.675,-33,359.6,1.3,0
0.8041741,-1,13.675,-33,359.6,1.3,0
0.8247483,-1,13.675,-33,359.6,1.3,0
0.8460829,-1,13.675,-33,359.6,1.3,0
0.8678394,-1,13.675,-33,359.6,1.3,0
0.8887681,-1,13.675,-33,359.6,1.3,0
0.9110767,-1,13.675,-33,359.6,1.3,0
0.9317463,-1,13.675,-33,359.6,1.3,0
0.9530507,-1,13.675,-33,359.6,1.3,0
0.9748538,-1,13.675,-33,359.6,1.3,0
0.9958256,-1,13.675,-33,359.6,1.3,0
1.018052,-1,13.675,-33,359.6,1.3,0
1.038804,-1,13.675,-33,359.6,1.3,0
1.059874,-1,13.675,-33,359.6,1.3,0
1.082297,-1,13.675,-33,359.6,1.3,0
1.103025,-1,13.675,-33,359.6,1.3,0
1.12422,-1,13.675,-33,359.6,1.3,0
1.145881,-1,13.675,-33,359.6,1.3,0
1.166939,-1,13.675,-33,359.6,1.3,0
1.189041,-1,13.675,-33,359.6,1.3,0
1.209849,-1,13.675,-33,359.6,1.3,0
1.230967,-1,13.675,-33,359.6,1.3,0
1.253251,-1,13.675,-33,359.6,1.3,0
1.273982,-1,13.675,-33,359.6,1.3,0
1.295988,-1,13.675,-33,359.6,1.3,0
1.316829,-1,13.675,-33,359.6,1.3,0
1.33827,-0.998185,13.675,-32.92002,359.6,1.3,0
1.360064,-0.99637,13.675,-32.84004,359.6,1.3,0
1.380927,-0.9945551,13.675,-32.76006,359.6,1.3,0
1.402228,-0.99274,13.675,-32.68008,359.6,1.3,0
1.424499,-0.9909251,13.675,-32.6001,359.6,1.3,0
1.444834,-0.9891101,13.675,-32.52012,359.6,1.3,0
1.467084,-0.9854801,13.675,-32.36016,359.6,1.3,0
1.488089,-0.9836651,13.675,-32.28019,359.6,1.3,0
1.509036,-0.9818501,13.675,-32.20021,359.6,1.3,0
1.530992,-0.9800351,13.675,-32.12023,359.6,1.3,0
1.553239,-0.9782202,13.675,-32.04025,359.6,1.3,0
1.573868,-0.9764052,13.675,-31.96027,359.6,1.3,0
1.595866,-0.9745902,13.675,-31.88029,359.6,1.3,0
1.617918,-0.9727752,13.675,-31.80031,359.6,1.3,0
1.638934,-0.9709602,13.675,-31.72033,359.6,1.3,0
1.660884,-0.9691452,13.675,-31.64035,359.6,1.3,0
1.683037,-0.9673302,13.675,-31.56037,359.6,1.3,0
1.704041,-0.9655153,13.675,-31.48039,359.6,1.3,0
1.725988,-0.9618853,13.675,-31.32043,359.6,1.3,0
1.747014,-0.9600703,13.675,-31.24045,359.6,1.3,0
1.768978,-0.9582553,13.675,-31.16047,359.6,1.3,0
1.791053,-0.9564403,13.675,-31.08049,359.6,1.3,0
1.812244,-0.9546253,13.675,-31.00051,359.6,1.3,0
1.834291,-0.9528103,13.675,-30.92054,359.6,1.3,0
1.856148,-0.9509954,13.675,-30.84056,359.6,1.3,0
1.876927,-0.9491804,13.675,-30.76058,359.6,1.3,0
1.898991,-0.9473654,13.675,-30.6806,359.6,1.3,0
1.921232,-0.9455504,13.675,-30.60062,359.6,1.3,0
1.943102,-0.9437354,13.675,-30.52064,359.6,1.3,0
1.96499,-0.9419205,13.675,-30.44066,359.6,1.3,0
1.986117,-0.9382905,13.675,-30.2807,359.6,1.3,0
2.008071,-0.9364755,13.675,-30.20072,359.6,1.3,0
2.030022,-0.9346605,13.675,-30.12074,359.6,1.3,0
2.052219,-0.9328455,13.675,-30.04076,359.6,1.3,0
2.074367,-0.9310305,13.675,-29.96078,359.6,1.3,0
2.09606,-0.9292156,13.675,-29.8808,359.6,1.3,0
2.118111,-0.9274005,13.675,-29.80082,359.6,1.3,0
2.140162,-0.9255856,13.675,-29.72084,359.6,1.3,0
2.161239,-0.9237705,13.675,-29.64087,359.6,1.3,0
2.183239,-0.9219556,13.675,-29.56089,359.6,1.3,0
2.205057,-0.9201406,13.675,-29.48091,359.6,1.3,0
2.227907,-0.9165106,13.675,-29.32095,359.6,1.3,0
2.249993,-0.9146956,13.675,-29.24097,359.6,1.3,0
2.272277,-0.9128807,13.675,-29.16099,359.6,1.3,0
2.294101,-0.9110656,13.675,-29.08101,359.6,1.3,0
2.316085,-0.9092507,13.675,-29.00103,359.6,1.3,0
2.337492,-0.9074357,13.675,-28.92105,359.6,1.3,0
2.35905,-0.9056207,13.675,-28.84107,359.6,1.3,0
2.380976,-0.9038057,13.675,-28.76109,359.6,1.3,0
2.403307,-0.9019907,13.675,-28.68111,359.6,1.3,0
2.424915,-0.9001758,13.675,-28.60113,359.6,1.3,0
2.446839,-0.8965458,13.675,-28.44117,359.6,1.3,0
2.469136,-0.8947308,13.675,-28.36119,359.6,1.3,0
2.491058,-0.8929158,13.675,-28.28122,359.6,1.3,0
2.512969,-0.8911008,13.675,-28.20123,359.6,1.3,0
2.535185,-0.8892858,13.675,-28.12126,359.6,1.3,0
2.557482,-0.8874708,13.675,-28.04128,359.6,1.3,0
2.579093,-0.8856558,13.675,-27.9613,359.6,1.3,0
2.601122,-0.8838409,13.675,-27.88132,359.6,1.3,0
2.623478,-0.8820259,13.675,-27.80134,359.6,1.3,0
2.644851,-0.8802109,13.675,-27.72136,359.6,1.3,0
2.666902,-0.8765809,13.675,-27.5614,359.6,1.3,0
2.68911,-0.8747659,13.675,-27.48142,359.6,1.3,0
2.712378,-0.8729509,13.675,-27.40144,359.6,1.3,0
2.734199,-0.871136,13.675,-27.32146,359.6,1.3,0
2.756043,-0.869321,13.675,-27.24148,359.6,1.3,0
2.778234,-0.867506,13.675,-27.1615,359.6,1.3,0
2.80008,-0.865691,13.675,-27.08152,359.6,1.2,-4.168919E-10
2.823437,-0.8640156,13.675,-27.00154,359.5,358.4,0
2.845116,-0.8662493,13.675,-26.92157,357.5,350.1,1.335292E-08
2.867288,-0.893758,13.675,-26.76396,355.3,342.2,0
2.889248,-0.9182136,13.675,-26.68778,352.5,341.7,-1.076426E-07
2.911802,-0.943333,13.675,-26.61183,348.2,345.7,1.090257E-07
2.934055,-0.9630929,13.675,-26.53431,346.7,349.8,0
2.955148,-0.9772597,13.675,-26.45557,346.9,349.9,0
2.976007,-0.9912891,13.675,-26.37681,346.9,349.9,0
2.99774,-1.005318,13.675,-26.29805,346.9,349.9,0
3.01894,-1.019348,13.675,-26.21929,346.9,349.9,0
3.038897,-1.033377,13.675,-26.14053,346.9,349.9,0
3.059806,-1.047406,13.675,-26.06177,346.9,349.9,0
3.07974,-1.061436,13.675,-25.98301,346.9,349.9,0
3.100976,-1.075465,13.675,-25.90425,346.9,349.9,0
3.121089,-1.089494,13.675,-25.82549,346.9,349.9,0
3.141957,-1.103524,13.675,-25.74673,346.9,349.9,0
3.161947,-1.117553,13.675,-25.66797,346.9,349.9,0
3.182766,-1.131582,13.675,-25.58921,346.9,349.9,0
3.204084,-1.145612,13.675,-25.51045,346.9,349.9,0
3.223863,-1.159641,13.675,-25.43169,346.9,349.9,0
3.244902,-1.173671,13.675,-25.35293,346.9,349.9,0
3.265843,-1.201729,13.675,-25.19541,346.9,349.9,0
3.286827,-1.215759,13.675,-25.11665,346.9,349.9,0
3.308112,-1.229788,13.675,-25.03789,346.9,349.9,0
3.328751,-1.243817,13.675,-24.95913,346.9,349.9,0
3.349923,-1.257847,13.675,-24.88037,346.8,349.7,-1.096179E-07
3.371156,-1.272151,13.675,-24.80166,346.8,349.7,-1.096179E-07
3.390847,-1.286455,13.675,-24.72295,346.8,349.7,-1.096179E-07
3.411787,-1.300759,13.675,-24.64424,346.8,349.7,-1.096179E-07
3.432912,-1.315063,13.675,-24.56553,347.4,349.7,1.093553E-07
3.454118,-1.329367,13.675,-24.48681,348.6,349.8,0
3.474731,-1.343534,13.675,-24.40808,349.7,349.7,1.084697E-07
3.495904,-1.357838,13.675,-24.32937,350.2,349.4,-1.083021E-07
3.517183,-1.372555,13.675,-24.25073,350.6,349.3,-5.408712E-08
3.539045,-1.387408,13.675,-24.17212,350.8,349.1,0
