TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0240998,-1,15.29215,-33,0,0,0
0.04394862,-1,15.27646,-33,0,0,0
0.06586649,-1,15.25291,-33,0,0,0
0.08991753,-1,15.22152,-33,0,0,0
0.1100979,-1,15.18228,-33,0,0,0
0.1290122,-1,15.13519,-33,0,0,0
0.1490786,-1,15.08026,-33,0,0,0
0.1679838,-1,15.01747,-33,0,0,0
0.1878937,-1,14.94684,-33,0,0,0
0.2079472,-1,14.86836,-33,0,0,0
0.2270104,-1,14.78203,-33,0,0,0
0.2472297,-1,14.68786,-33,0,0,0
0.2657982,-1,14.58583,-33,0,0,0
0.2860083,-1,14.47596,-33,0,0,0
0.3049771,-1,14.35824,-33,0,0,0
0.3250368,-1,14.23267,-33,0,0,0
0.3451304,-1,14.09926,-33,0,0,0
0.3641695,-1,13.95799,-33,359.9,359.9,6.513785E-12
0.3840445,-1,13.80888,-33,359.9,359.9,6.513785E-12
0.4039389,-1,13.675,-33,359.8,359.7,0
0.4241593,-1,13.675,-33,359.7,359.6,0
0.4431429,-1,13.675,-33,359.4,359.4,2.084523E-10
0.4633356,-1,13.675,-33,359.2,359.2,-4.169223E-10
0.4830833,-1,13.675,-33,358.8,359.1,8.339462E-10
0.5033175,-1,13.675,-33,358.4,359,0
0.523211,-1,13.675,-33,358,358.9,1.668543E-09
0.5436161,-1,13.675,-33,357.7,358.8,0
0.5629276,-1,13.675,-33,357.4,358.7,0
0.5831187,-1,13.675,-33,357.3,358.6,3.338759E-09
0.6032318,-1,13.675,-33,357,358.5,3.33963E-09
0.6221703,-1,13.675,-33,356.7,358.4,-3.340593E-09
0.6421818,-1,13.675,-33,356.4,358.2,6.683295E-09
0.6621209,-1,13.675,-33,355.7,358,-6.688936E-09
0.681982,-1,13.675,-33,355.4,358,0
0.7008851,-1,13.675,-33,355,357.7,-6.695585E-09
0.7213533,-1,13.675,-33,354.8,357.6,-1.339534E-08
0.7402076,-1.003489,13.675,-32.92007,354.6,357.5,-1.339968E-08
0.7602309,-1.006979,13.675,-32.84015,354.4,357.5,0
0.7799453,-1.010608,13.675,-32.76023,354,357.4,0
0.7991085,-1.014377,13.675,-32.68032,353.5,357.3,1.342652E-08
0.8190635,-1.018285,13.675,-32.60042,352.8,357.2,0
0.8382221,-1.022193,13.675,-32.52052,352.1,357.2,1.346803E-08
0.8583604,-1.026101,13.675,-32.44061,351.5,357.2,0
0.8780851,-1.030148,13.675,-32.36071,350.5,357.1,0
0.8971837,-1.034335,13.675,-32.28082,349.9,357,2.71004E-08
0.9161971,-1.038801,13.675,-32.20095,349,356.8,2.71798E-08
0.9352494,-1.043266,13.675,-32.12107,348.6,356.8,0
0.9539816,-1.047871,13.675,-32.0412,348.1,356.7,0
0.9728529,-1.047871,13.675,-32.0412,347.8,356.6,0
0.992187,-1.052755,13.675,-31.96135,347.5,356.5,-2.732822E-08
1.011281,-1.057779,13.675,-31.88151,347,356.4,0
1.029866,-1.062802,13.675,-31.80167,346.7,356.4,-2.741575E-08
