TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01376024,-0.2425122,22.27023,42.19038,356.9,355.7,1.335976E-08
0.03479343,-0.2485106,22.27023,42.27016,356.9,355.7,1.335976E-08
0.05566702,-0.2545089,22.27023,42.34993,356.9,355.7,1.335976E-08
0.06957762,-0.2545089,22.27023,42.34993,356.9,355.7,1.335976E-08
0.09030137,-0.2605072,22.27024,42.42971,356.9,355.7,1.335976E-08
0.1040098,-0.2665055,22.27023,42.50948,356.9,355.7,1.335976E-08
0.1249829,-0.2725039,22.27023,42.58926,356.9,355.7,1.335976E-08
0.1455102,-0.2785022,22.27023,42.66903,356.9,355.7,1.335976E-08
0.1595147,-0.2845005,22.27023,42.74881,356.9,355.7,1.335976E-08
0.1804118,-0.2904988,22.27024,42.82858,356.9,355.7,1.335976E-08
0.1941952,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.2151971,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.2290168,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.2499946,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.2706054,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.2844186,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.3052962,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.3193346,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.3402221,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.3540644,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.3748179,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.3955801,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.4094194,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.4305131,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.4441564,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.4649366,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.4791048,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.5000615,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.520697,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.5344229,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.5553709,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.5694975,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.5899898,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.6039671,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.6247848,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.6455963,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.6594288,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.6805354,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.694445,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.7150291,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.729165,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.7500427,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.7706059,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.784597,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.8053685,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.8191929,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.840219,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.8540469,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.8747892,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.8955386,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.9096221,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.930528,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.9440152,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.9649658,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
0.9790708,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.000024,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.020705,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.034442,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.055438,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.076098,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.090016,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.111161,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
1.12475,-0.2904988,22.27023,42.82858,356.9,355.7,1.335976E-08
