Object,Scene,Response,Rt
Cube,LivingRoom,Seen,8.131578
Pineapple,None,New,2.222721
Apple,ArtStudio,Familiar,1.478992
Wheels,MeetingRoom,New,3.485798
OrangeJuice,None,Familiar,2.118271
PiggyBank,None,Seen,0.992878
CottonSticks,None,Familiar,1.292805
Leaf,Kitchen,Seen,1.562756
MechanicalGloves,Kindergarten,Seen,0.8404312
Honey,None,New,1.22905
Clamps,None,New,0.9654579
Buiscuits,None,Familiar,1.402954
Recorder,Office,New,1.096977
ShowerHead,Bedroom,New,1.166931
FirstAidKit,None,New,1.236221
Cocktail,Kindergarten,Familiar,1.013718
Mouse,Kitchen,New,1.66642
JBLSpeaker,StorageRoom,Seen,0.8333435
Mushroom,None,Seen,0.8820648
Weimeng,SPA,Seen,0.8123322
Cucumber,Bedroom,Seen,1.131531
Vanish,Library,Seen,0.6807175
OldRadio,None,Seen,1.749756
Cabbaage,None,Seen,1.992737
EggBeater,Library,New,0.8543777
Cake,KTV,New,1.382179
Cupcake,Office,Familiar,1.270645
Openner,None,Seen,1.062103
Strawberries,Office,Familiar,1.17363
Jam,Library,New,0.9457092
RockingHorse,None,New,1.069496
PaperCoffeeCup,None,Familiar,1.270676
Basketball,Cafe,New,1.222008
Burger,ArtStudio,New,1.72924
ToothBrush,MeetingRoom,Seen,2.603966
Dish,Library,Seen,0.7913361
Controller,None,New,1.214981
Jug,KTV,Seen,0.9926605
Kela,SPA,Seen,1.895638
Pears,None,New,1.326126
CinRoll,None,New,0.8820801
BirdCage,Kindergarten,Seen,0.8960419
Sandals,Office,Familiar,1.319153
BandShell,Museum,Seen,3.520935
MilkCarton,None,Seen,0.8121948
MobilePhone_FLIPPED,Gym,New,0.854248
NikonCamera_FLIPPED,Kindergarten,New,0.9100647
Deer,Lounge,New,1.229416
Paprika,Lounge,Seen,0.7918091
Highlighter,MeetingRoom,New,1.01384
Ganmianzhang,StorageRoom,Seen,1.520905
Router,Classroom,Seen,0.958313
MokaEspress,MeetingRoom,Seen,1.909882
OfficeBin,Classroom,New,1.152939
RoadCone,Cafe,Seen,1.090347
Garlic,Office,Seen,0.8399963
Perrier,None,Seen,0.7081451
RugbyBall,SPA,Seen,1.06926
CokeBottle,Bedroom,New,0.8821106
NailScissors,None,Familiar,0.8816986
Chaynik,Museum,New,0.9512024
Pomegranate,SPA,New,0.6872559
Motorbike,None,Familiar,1.243103
Laptop_FLIPPED,ArtStudio,New,1.780838
Calculator,None,Familiar,1.416336
Suitcase,Kitchen,Seen,0.7984009
Toaster,None,Seen,0.8261871
Watermelon,None,Seen,0.6038818
FireHydrant,MeetingRoom,New,1.069672
Mixer,None,Seen,1.153137
MetalBucket,LivingRoom,Seen,0.7496948
Flower,None,New,1.430481
Slippers,Kindergarten,New,1.874756
PaintBucket,None,New,1.659988
RasberryJam,None,Familiar,1.72197
CleaningBucket,Classroom,Familiar,2.882065
PencilSharpener,None,New,2.284592
Brush,ArtStudio,Seen,1.895584
Matrioshka,None,New,0.9511719
Cereal,KTV,Seen,0.7844543
Stapler,None,Seen,1.902664
Canister,Classroom,Seen,0.9164124
Kettle,Museum,Seen,0.6942139
Bus,None,New,1.215805
Lotion,None,Seen,1.027603
MosquitoRacket,Gym,New,1.180389
Oranges,SPA,Familiar,0.9235229
RetroFan,Museum,Familiar,0.8607635
CacerolaPan,KTV,Seen,1.632111
Coconut,LivingRoom,Seen,0.8681946
Skateboard,KTV,New,0.7913513
BaseballBat,Museum,New,0.9649963
Banana,None,Seen,0.729126
FireExtinguisher,Gym,New,3.381653
TennisBall,StorageRoom,New,1.096924
Glasses,Gym,Seen,1.305267
Chips,LivingRoom,New,1.312622
Shoe,Library,New,1.721954
FiellaCase,Museum,Seen,1.181
DeskLight,Cafe,Seen,0.5974121
CandyBar,None,Familiar,2.395721
HandDrill,None,Seen,0.7501526
Toothpaste,LivingRoom,Seen,1.069183
Lipsticks,None,New,0.7913513
CoffeePot,KTV,Seen,0.7775574
Basket,None,New,0.9651489
Headphones,ArtStudio,Familiar,1.618256
ClothesBasket,Lounge,Familiar,1.715027
Spoons,Bedroom,New,0.9512329
LegoTruck,Cafe,New,0.7437439
Cheese,None,New,0.8474121
Lasagna,None,New,1.340118
Markers,Classroom,Familiar,1.424286
Padella,None,Familiar,0.7914429
Car01_FLIPPED,Classroom,Familiar,1.437286
Marmite_FLIPPED,Bedroom,Seen,0.7705688
Grape,Kitchen,Familiar,1.354614
Scent_FLIPPED,Cafe,Seen,0.9586487
Mango,Lounge,Seen,3.888794
BallonDog,None,New,0.8126526
IceBoots,None,New,1.159546
HTCViveController,None,New,2.312225
UGGboot,LivingRoom,New,0.8887634
SaltSub,StorageRoom,Familiar,2.48642
Official hat,Kitchen,New,2.083099
Avocado,StorageRoom,Seen,0.5553284
SecurityCam,None,Seen,0.9653931
Pumpkin,Bedroom,Seen,0.6248169
StrawberryDonut,Lounge,Familiar,1.353882
AmazonEcho,Office,Seen,0.7568054
Ketchup,Kitchen,Seen,1.11087
HandHeldRadio,Cafe,Seen,0.6942444
YellowDuck,None,Familiar,0.784668
Dog,MeetingRoom,New,0.6387939
Teacup,None,New,0.8053284
Typewriter,StorageRoom,New,1.159515
Squeezer,Gym,Familiar,1.263672
Pinza,Library,Familiar,0.9512634
PeanutButter_FLIPPED,ArtStudio,Seen,2.472015
Icecream,Lounge,New,0.8817139
Downy,Kindergarten,New,2.312225
Muffin,Gym,New,1.027588
Candle Lattern,SPA,Seen,2.722412
Kiwi,None,Familiar,0.9651489

