TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03813663,-1,15.27646,-33,0,0,0
0.06905779,-1,15.22152,-33,0,0,0
0.1029275,-1,15.18228,-33,0,0,0
0.1390244,-1,15.08026,-33,0,0,0
0.1710894,-1,14.94684,-33,0,0,0
0.2041027,-1,14.86836,-33,0,0,0
0.2362534,-1,14.68786,-33,0,0,0
0.2680433,-1,14.58583,-33,0,0,0
0.2999631,-1,14.35824,-33,0,0,0
0.3320634,-1,14.09926,-33,0,0,0
0.3649849,-1,13.95799,-33,0,0,0
0.3971479,-1,13.675,-33,0,0,0
0.4289157,-1,13.675,-33,0,0,0
0.4609771,-1,13.675,-33,0,0,0
0.4940879,-1,13.675,-33,0,0,0
0.5258871,-1,13.675,-33,0,0,0
0.5588691,-1,13.675,-33,0,0,0
0.5909541,-1,13.675,-33,0,0,0
0.6239407,-1,13.675,-33,0,0,0
0.6562407,-1,13.675,-33,0,0,0
0.6889451,-1,13.675,-33,0,0,0
0.7208971,-1,13.675,-33,0,0,0
0.753853,-1,13.675,-33,0,0,0
0.7861042,-1,13.675,-33,0,0,0
0.8191072,-1,13.675,-33,0,0,0
0.8512682,-1,13.675,-33,0,0,0
0.8830293,-1,13.675,-33,0,0,0
0.9158605,-1,13.675,-33,0,0,0
0.9478762,-1,13.675,-33,0,0,0
0.9810419,-1,13.675,-33,0,0,0
1.012986,-1,13.675,-33,0,0,0
1.046001,-1,13.675,-33,0,0,0
1.077949,-1,13.675,-32.84,0,0,0
1.110061,-1,13.675,-32.68,0,0,0
1.142882,-1,13.675,-32.6,0,0,0
1.174912,-1,13.675,-32.44,0,0,0
1.208061,-1,13.675,-32.36,0,0,0
1.241036,-1,13.675,-32.2,0,0,0
1.272932,-1,13.675,-32.04,0,0,0
1.304901,-1,13.675,-31.96,0,0,0
1.338059,-1,13.675,-31.8,0,0,0
1.371142,-1,13.675,-31.64,0,0,0
1.404151,-1,13.675,-31.56,0,0,0
1.437203,-1,13.675,-31.4,0,0,0
1.470405,-1,13.675,-31.24,0,0,0
1.503114,-1,13.675,-31.16,0,0,0
1.536025,-1,13.675,-31,0,0,0
1.569211,-1,13.675,-30.84,0,0,0
1.60213,-1,13.675,-30.76,0,0,0
1.635238,-1,13.675,-30.6,0,0,0
1.668176,-1,13.675,-30.52,0,0,0
1.701047,-1,13.675,-30.36,0,0,0
1.735002,-1,13.675,-30.2,0,0,0
1.768263,-1,13.675,-30.12,0,0,0
1.801249,-1,13.675,-29.96,0,0,0
1.8352,-1,13.675,-29.8,0,0,0
1.868183,-1,13.675,-29.72,0,0,0
1.902116,-1,13.675,-29.56,0,0,0
1.935125,-1,13.675,-29.4,0,0,0
1.968864,-0.9998603,13.675,-29.32,0.1,0.1,6.513785E-12
2.002354,-0.9937183,13.675,-29.16012,0.1,2.2,0
2.035552,-0.9831145,13.675,-29.00047,0.4,3.8,0
2.069434,-0.9680572,13.675,-28.84118,0.9000002,5.4,0
2.103344,-0.9596949,13.675,-28.76162,1,6,0
2.136478,-0.9410276,13.675,-28.60271,1.2,6.700001,0
2.170371,-0.9198666,13.675,-28.44412,1.4,7.599999,0
2.204398,-0.9072139,13.675,-28.36512,1.7,9.1,0
2.237309,-0.8791552,13.675,-28.2076,2,10.1,0
2.271183,-0.849723,13.675,-28.05033,2.2,10.6,0
2.304201,-0.8347325,13.675,-27.97175,2.2,10.8,1.335005E-08
2.338076,-0.8047515,13.675,-27.81458,2.2,10.8,1.335005E-08
2.371893,-0.7747705,13.675,-27.65742,2.2,10.8,1.335005E-08
2.404973,-0.75978,13.675,-27.57883,2.2,10.8,1.335005E-08
2.438166,-0.729799,13.675,-27.42167,2.2,10.8,1.335005E-08
2.471976,-0.699818,13.675,-27.2645,2.2,10.8,1.335005E-08
2.505202,-0.6848274,13.675,-27.18592,2.2,10.8,1.335005E-08
2.537923,-0.6548464,13.675,-27.02876,2.2,10.8,1.335005E-08
2.571936,-0.6248654,13.675,-26.87159,2.2,10.8,1.335005E-08
2.605105,-0.6098749,13.675,-26.793,2.2,10.8,1.335005E-08
2.637857,-0.5798939,13.675,-26.63584,2.2,10.8,1.335005E-08
2.671926,-0.5499129,13.675,-26.47867,2.2,10.8,1.335005E-08
2.704936,-0.5349224,13.675,-26.40009,2.2,10.8,1.335005E-08
2.738134,-0.5049413,13.675,-26.24292,2.2,10.8,1.335005E-08
2.772027,-0.4746861,13.675,-26.08581,2.3,10.9,0
2.805117,-0.4607942,13.675,-26.00703,2.3,10,2.670194E-08
2.839103,-0.4396332,13.675,-25.84843,2.1,7.600001,0
2.872933,-0.4256883,13.675,-25.68904,1.5,5.000001,0
2.906249,-0.4192724,13.675,-25.6093,1.4,4.600001,0
2.940937,-0.4067189,13.675,-25.44979,1.4,4.500001,0
2.975139,-0.3961151,13.675,-25.29014,1.4,3.800001,3.336049E-09
3.010257,-0.389694,13.675,-25.13027,1.4,2.300001,0
3.044151,-0.3884374,13.675,-25.05028,1.4,0.9000007,8.340121E-10
3.078918,-0.3878789,13.675,-24.89028,1.5,0.2000007,-2.085123E-10
3.114375,-0.3889959,13.675,-24.73029,1.800001,359.6,4.170874E-10
3.148948,-0.3915091,13.675,-24.57031,2.100001,359.1,-1.668647E-09
3.184208,-0.3931845,13.675,-24.49032,2.3,358.8,0
3.21902,-0.3965352,13.675,-24.33036,2.3,358.8,0
3.255118,-0.399886,13.675,-24.17039,2.3,358.8,0
3.290044,-0.4032368,13.675,-24.01043,2.3,358.8,0
3.324944,-0.4049122,13.675,-23.93045,2.3,358.8,0
3.360307,-0.408263,13.675,-23.77048,2.3,358.8,0
3.396007,-0.411893,13.675,-23.61052,2.3,358.7,0
3.432038,-0.4155229,13.675,-23.45057,2.3,358.7,0
3.46727,-0.4173379,13.675,-23.37059,2.3,358.7,0
3.502139,-0.4209679,13.675,-23.21063,2.3,358.7,0
3.537028,-0.4246188,13.69219,-23.05158,2.3,358.7,0
3.571877,-0.4282908,13.71632,-22.89346,2.3,358.7,0
3.607146,-0.4301268,13.72838,-22.81439,2.3,358.7,0
3.642946,-0.4337988,13.75251,-22.65627,2.3,358.7,0
3.678215,-0.4380355,13.77664,-22.49815,2.300001,358.5,-3.337742E-09
3.713352,-0.442837,13.80077,-22.34005,2.3,358.3,0
3.749016,-0.4507433,13.82487,-22.18208,2.1,357.2,0
3.784165,-0.4569514,13.8369,-22.10323,1.9,355.6,0
3.81926,-0.4738674,13.8609,-21.94595,1.7,354,0
3.855182,-0.4935888,13.88486,-21.78899,1.6,353,0
3.890132,-0.5166681,13.90874,-21.63247,1.5,351.8,6.672393E-09
3.926018,-0.5297421,13.92065,-21.55445,1.5,350.7,0
3.961189,-0.5603349,13.94434,-21.3992,1.5,349.1,0
3.997069,-0.5989165,13.96776,-21.2457,1.5,346.2,0
