TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02833752,-1,15.29215,-33,0,0,0
0.05183863,-1,15.25291,-33,0,0,0
0.07790393,-1,15.22152,-33,0,0,0
0.1056493,-1,15.18228,-33,0,0,0
0.12972,-1,15.08026,-33,0,0,0
0.1539821,-1,15.01747,-33,0,0,0
0.1768515,-1,14.94684,-33,0,0,0
0.2008709,-1,14.86836,-33,0,0,0
0.224604,-1,14.78203,-33,0,0,0
0.2479999,-1,14.68786,-32.92,0,0,0
0.2726217,-1,14.47596,-32.76,0,0,0
0.2956492,-1,14.35824,-32.68,0,0,0
0.3198749,-1,14.23267,-32.6,0,0,0
0.343904,-1.00014,14.09926,-32.52,359.9,359.9,6.513785E-12
0.3678418,-1.000279,13.95799,-32.44,359.9,359.9,6.513785E-12
0.3909945,-1.000558,13.675,-32.28,359.9,359.9,6.513785E-12
0.4156373,-1.000698,13.675,-32.2,359.9,359.9,6.513785E-12
0.4429875,-1.000838,13.675,-32.12,359.9,359.9,6.513785E-12
0.4638849,-1.000977,13.675,-32.04,359.9,359.9,6.513785E-12
0.4878201,-1.001117,13.675,-31.96,359.9,359.9,6.513785E-12
0.5127504,-1.001396,13.675,-31.8,359.9,359.9,6.513785E-12
0.5367385,-1.001536,13.675,-31.72,359.9,359.9,6.513785E-12
0.5610606,-1.001675,13.675,-31.64,359.9,359.9,6.513785E-12
0.5846592,-1.001815,13.675,-31.56,359.9,359.9,6.513785E-12
0.6089516,-1.001955,13.675,-31.48,359.9,359.9,6.513785E-12
0.6328504,-1.002513,13.675,-31.32,359.7,359.8,0
0.6568893,-1.002792,13.675,-31.24,359.7,359.8,0
0.6810211,-1.003072,13.675,-31.16,359.7,359.8,0
0.7046171,-1.003351,13.675,-31.08,359.7,359.8,0
0.7300569,-1.00391,13.675,-30.92001,359.6,359.8,0
0.7536483,-1.004189,13.675,-30.84001,359.5,359.8,0
0.7764434,-1.004468,13.675,-30.76001,359.5,359.8,0
0.8010595,-1.004747,13.675,-30.68001,359.5,359.8,0
0.8247618,-1.005027,13.675,-30.60001,359.5,359.8,0
0.8479679,-1.005306,13.675,-30.52001,359.5,359.8,0
0.8717574,-1.005864,13.675,-30.36001,359.5,359.8,0
0.8949752,-1.006144,13.675,-30.28001,359.4,359.8,-1.042261E-10
0.9190655,-1.006423,13.675,-30.20001,359.4,359.8,-1.042261E-10
0.9429176,-1.006702,13.675,-30.12001,359.4,359.8,-1.042261E-10
0.9659733,-1.006981,13.675,-30.04001,359.4,359.8,-1.042261E-10
0.9897043,-1.00754,13.675,-29.88001,359.2,359.8,0
1.01289,-1.007819,13.675,-29.80001,359.2,359.8,0
1.036888,-1.008098,13.675,-29.72001,359.2,359.8,0
1.061103,-1.008378,13.675,-29.64001,359.2,359.8,0
1.084904,-1.008657,13.675,-29.56001,359.2,359.8,0
1.107758,-1.008796,13.675,-29.48001,359,359.9,0
1.131776,-1.009076,13.675,-29.32001,359,359.9,0
1.155916,-1.009215,13.675,-29.24001,359,359.9,0
1.180206,-1.009355,13.675,-29.16001,359,359.9,0
1.202769,-1.009495,13.675,-29.08001,358.9,359.9,0
1.226778,-1.009634,13.675,-29.00002,358.8,359.9,0
1.251056,-1.009913,13.675,-28.84002,358.6,359.9,0
1.273895,-1.010053,13.675,-28.76002,358.5,359.9,0
1.297959,-1.010193,13.675,-28.68002,358.5,359.9,0
1.321939,-1.010193,13.675,-28.60002,358.4,-7.379745E-09,0
1.345924,-1.010193,13.675,-28.52002,358.4,-7.379745E-09,0
1.368924,-1.010193,13.675,-28.44002,358.4,-7.379745E-09,0
1.392558,-1.010193,13.675,-28.28001,358.4,-7.379745E-09,0
1.416604,-1.010193,13.675,-28.20001,358.4,-7.379745E-09,0
1.440948,-1.010193,13.675,-28.12001,358.4,-7.379745E-09,0
1.464994,-1.010193,13.675,-28.04001,358.4,-7.379745E-09,0
1.487764,-1.010193,13.675,-27.96001,358.4,-7.379745E-09,0
1.511668,-1.010193,13.675,-27.80001,358.4,-7.379745E-09,0
1.535957,-1.010193,13.675,-27.72001,358.3,-7.379745E-09,0
1.559819,-1.010193,13.675,-27.64001,358.2,-7.379745E-09,1.243017E-17
1.583647,-1.010193,13.675,-27.56001,358.2,-7.379745E-09,1.243017E-17
1.606841,-1.010193,13.675,-27.48001,358.2,-7.379745E-09,1.243017E-17
1.630867,-1.010193,13.675,-27.32001,358.2,-7.379745E-09,1.243017E-17
1.655206,-1.010193,13.675,-27.24002,358.2,-7.379745E-09,1.243017E-17
1.678904,-1.010193,13.675,-27.16002,358.2,-7.379745E-09,1.243017E-17
1.702986,-1.010193,13.675,-27.08002,358.2,-7.379745E-09,1.243017E-17
1.725588,-1.010193,13.675,-27.00002,358.2,-7.379745E-09,1.243017E-17
1.749824,-1.010193,13.675,-26.84002,358.2,-7.379745E-09,1.243017E-17
1.773849,-1.010193,13.675,-26.76002,358.2,-7.379745E-09,1.243017E-17
1.797881,-1.010193,13.675,-26.68002,358.2,-7.379745E-09,1.243017E-17
1.821909,-1.010193,13.675,-26.60002,358.2,-7.379745E-09,1.243017E-17
1.844678,-1.010193,13.675,-26.52002,358.2,-7.379745E-09,1.243017E-17
1.869067,-1.010193,13.675,-26.44002,358.2,-7.379745E-09,1.243017E-17
1.892712,-1.010193,13.675,-26.28001,358.1,-7.379745E-09,0
