TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0246172,-1,15.29215,-33,0,0,0
0.04136581,-1,15.27646,-33,0.1,0,0
0.06188707,-1,15.25291,-33,0.1,0,0
0.08222207,-1,15.22152,-33,0.1,0,0
0.1028121,-1,15.18228,-33,0.1,0,0
0.1168472,-1,15.18228,-33,0.1,0,0
0.1387873,-1,15.13519,-33,0.1,0,0
0.1526197,-1,15.08026,-33,0.1,0,0
0.1731666,-1,15.01747,-33,0.1,0,0
0.1872946,-1,14.94684,-33,0.1,0,0
0.2079328,-1,14.86836,-33,0.1,0,0
0.221989,-1,14.78203,-33,0.1,0,0
0.2428176,-1,14.68786,-33,0.1,0,0
0.263832,-1,14.58583,-33,0.2,359.9,-1.302763E-11
0.2773478,-1,14.58583,-33,0.2,359.9,-1.302763E-11
0.2981687,-1,14.47596,-33,0.2,359.9,-1.302763E-11
0.3126118,-1,14.35824,-33,0.1,359.8,0
0.3342691,-1,14.23267,-33,0.1,359.8,0
0.3473062,-1,14.09926,-33,-2.41226E-09,359.7,0
0.3678639,-1,13.95799,-33,359.8,359.7,0
0.381939,-1,13.80888,-33,358.8,-2.668034E-08,0
0.4025772,-1,13.675,-33,358.3,0.2,2.085326E-10
0.4233833,-1,13.675,-33,357,1,-1.669815E-09
0.4373563,-1,13.675,-33,357,1.1,0
0.4579422,-1,13.675,-33,357,1.1,0
0.4720307,-1,13.675,-33,357,1.1,0
0.4928937,-1,13.675,-33,357,1.1,0
0.5067117,-1,13.675,-33,357,1.1,0
0.5273428,-1,13.675,-33,357,1.1,0
0.5413717,-1,13.675,-33,357,1.1,0
0.5620869,-1,13.675,-33,357,1.1,0
0.5761292,-1,13.675,-33,357,1.1,0
0.597023,-1,13.675,-33,357,1.1,0
0.6177054,-1,13.675,-33,357,1.1,0
0.631624,-1,13.675,-33,357,1.1,0
0.6523613,-1,13.675,-33,357,1.1,0
0.6663291,-1,13.675,-33,357,1.1,0
0.6870926,-1,13.675,-33,357,1.1,0
0.7012314,-0.9984642,13.675,-32.92001,357,1.1,0
0.7219471,-0.9969284,13.675,-32.84003,357,1.1,0
0.7358513,-0.9969284,13.675,-32.84003,357,1.1,0
0.7565697,-0.9953926,13.675,-32.76004,357,1.1,0
0.7706294,-0.9938568,13.675,-32.68006,357,1.1,0
0.7913985,-0.992321,13.675,-32.60007,357,1.1,0
0.8050811,-0.9907852,13.675,-32.52009,357,1.1,0
0.8259872,-0.9892494,13.675,-32.4401,357,1.1,0
0.8398678,-0.9877136,13.675,-32.36012,357,1.1,0
0.861106,-0.9861779,13.675,-32.28013,357,1.1,0
0.874866,-0.9861779,13.675,-32.28013,357,1.1,0
0.895726,-0.984642,13.675,-32.20015,357,1.1,0
0.9095501,-0.9825479,13.675,-32.12017,356.6,1.5,0
0.9302361,-0.9804537,13.675,-32.0402,356.7,1.5,0
0.9509616,-0.9783596,13.675,-31.96023,356.7,1.5,0
0.9648412,-0.9762654,13.675,-31.88026,356.7,1.5,0
0.985697,-0.9741713,13.675,-31.80029,356.7,1.5,0
0.9998111,-0.9720771,13.675,-31.72031,356.7,1.5,0
1.020618,-0.969983,13.675,-31.64034,356.7,1.5,0
1.034369,-0.969983,13.675,-31.64034,356.7,1.5,0
1.055286,-0.9678888,13.675,-31.56037,356.7,1.5,0
1.069016,-0.9657946,13.675,-31.48039,356.7,1.5,0
1.089961,-0.9637005,13.675,-31.40042,356.7,1.5,0
1.103863,-0.9616063,13.675,-31.32045,356.7,1.5,0
1.124716,-0.9595122,13.675,-31.24048,356.7,1.5,0
1.138702,-0.9595122,13.675,-31.24048,356.7,1.5,0
1.159355,-0.9553239,13.675,-31.08053,356.7,1.5,0
1.173398,-0.9553239,13.675,-31.08053,356.7,1.5,0
1.19399,-0.9532297,13.675,-31.00056,356.7,1.5,0
1.215199,-0.9511356,13.675,-30.92059,356.4,1.5,0
1.228996,-0.9489018,13.675,-30.84062,355.9,1.6,0
1.249911,-0.9466681,13.675,-30.76065,355.8,1.6,6.688068E-09
1.263669,-0.9442948,13.675,-30.68068,355.5,1.7,0
1.284622,-0.9417819,13.675,-30.60072,355.4,1.8,-6.691661E-09
1.29858,-0.9417819,13.675,-30.60072,355.1,2,0
1.319263,-0.9359189,13.675,-30.44083,355,2.1,0
1.33323,-0.9359189,13.675,-30.44083,354.8,2.3,6.697671E-09
1.353924,-0.9327084,13.675,-30.3609,354.8,2.3,6.697671E-09
1.367791,-0.9292188,13.675,-30.28097,354.6,2.5,1.339968E-08
1.388514,-0.9257293,13.675,-30.20105,354.6,2.5,1.339968E-08
1.409587,-0.9221002,13.675,-30.12113,354.5,2.6,0
1.423452,-0.9183317,13.675,-30.04122,354.5,2.7,0
1.444173,-0.9144238,13.675,-29.96131,354.5,2.799999,1.340191E-08
1.457928,-0.9144238,13.675,-29.96131,354.5,2.799999,1.340191E-08
1.479043,-0.9105158,13.675,-29.88141,354.5,2.799999,1.340191E-08
1.492868,-0.9061895,13.675,-29.80153,354.3,3.1,0
1.513739,-0.9018632,13.675,-29.72164,354.3,3.1,0
1.527517,-0.8971187,13.675,-29.64178,354.3,3.4,0
1.548625,-0.8920954,13.675,-29.56194,354.2,3.6,-1.340886E-08
1.562317,-0.8870722,13.675,-29.4821,354.2,3.6,-1.340886E-08
1.583133,-0.8819096,13.675,-29.40227,354.2,3.700001,0
1.597165,-0.8819096,13.675,-29.40227,354.2,3.800001,-1.340886E-08
1.617758,-0.8766077,13.675,-29.32244,354.2,3.800001,-1.340886E-08
