TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03913003,-1,15.27646,-33,0,0,0
0.07266368,-1,15.25291,-33,0,359.8,0
0.1081976,-1,15.18228,-33,0,359.7,0
0.1478372,-1,15.08026,-33,0.1,359.6,0
0.1808628,-1,14.94684,-33,0.2,359.4,0
0.2167436,-1,14.78203,-33,0.2,359.4,0
0.2497877,-1,14.68786,-33,0.6000001,359.2,0
0.2849849,-1,14.47596,-33,1.3,359.3,0
0.3210058,-1,14.23267,-33,1.3,359.3,0
0.3537097,-1,14.09926,-33,1.4,359.3,0
0.3876,-1,13.80888,-33,1.9,359.3,0
0.4249299,-1,13.675,-33,2.6,359.4,-8.346225E-10
0.4589562,-1,13.675,-33,2.8,359.4,0
0.4917991,-1,13.675,-33,2.9,359.4,0
0.5268958,-1,13.675,-33,3,359.5,-1.669815E-09
0.5609288,-1,13.675,-33,2.400001,359.7,0
0.5959285,-1,13.675,-33,359.9,0.09999995,-6.513785E-12
0.631134,-1,13.675,-33,357.9,0.09999996,0
0.6659038,-1,13.675,-33,356.2,0.09999994,-2.089001E-10
0.7010641,-1,13.675,-33,352.8,358.8,6.72312E-09
0.7360115,-1,13.675,-33,351,357.4,1.35065E-08
0.7708116,-1,13.675,-33,350.5,356.6,-2.705142E-08
0.8050139,-1,13.675,-33,350.4,356.4,2.705936E-08
0.8399726,-1,13.675,-33,350.3,356.3,2.70674E-08
0.8737294,-1,13.675,-33,349.9,356.1,0
0.9078788,-1,13.675,-33,349.5,356,0
0.942817,-1,13.675,-33,349.5,356,0
0.9747409,-1,13.675,-33,349.4,355.9,2.714362E-08
1.008948,-1,13.675,-33,349.4,355.6,-2.714362E-08
1.044855,-1,13.675,-33,349.4,355.2,2.714362E-08
1.076847,-1,13.675,-33,349.5,355,0
1.111458,-1,13.675,-33,349.8,354.9,0
1.144739,-1,13.675,-33,350.8,355.6,2.702811E-08
1.177975,-1,13.675,-33,351.5,356.6,0
1.211875,-1,13.675,-33,351.6,356.9,2.696975E-08
1.245844,-1,13.675,-33,351.6,356.9,2.696975E-08
1.279726,-1,13.675,-33,351.6,356.9,2.696975E-08
1.313794,-1,13.675,-33,351.6,356.9,2.696975E-08
1.349958,-1,13.675,-33,351.6,356.9,2.696975E-08
1.383754,-1,13.675,-33,351.8,357.1,0
1.418087,-1,13.675,-33,352.5,358,2.691065E-08
1.452132,-1,13.675,-33,353.2,359,0
1.483562,-1,13.675,-33,353.2,359,0
1.517725,-1,13.675,-33,353.2,359,0
1.552694,-1,13.675,-33,353.2,359,0
1.588713,-1,13.675,-33,353.2,359,0
1.622458,-1,13.675,-33,353.2,359,0
1.656834,-1,13.675,-33,353.2,359,0
1.690858,-1,13.675,-33,353.3,359.1,0
1.724997,-1,13.675,-33,353.3,359.1,0
1.759861,-1,13.675,-33,353.3,359.1,0
1.791684,-1,13.675,-33,353.3,359.1,0
1.827685,-1,13.675,-33,353.3,359.1,0
1.861821,-1,13.675,-33,353.3,359.1,0
1.895725,-1,13.675,-33,353.3,359.1,0
1.930916,-1,13.675,-33,353.3,359.1,0
1.964756,-1,13.675,-33,353.3,359.1,0
1.999824,-1,13.675,-33,353.3,359.1,0
2.032737,-1,13.675,-33,353.3,359.1,0
2.066853,-1,13.675,-33,353.3,359.1,0
2.101706,-1,13.675,-33,353.3,358.9,0
2.135932,-1,13.675,-33,353.2,358.8,-6.71736E-09
2.169924,-1,13.675,-33,353.1,358.7,0
2.202905,-1,13.675,-33,353.1,358.7,0
2.236726,-1,13.675,-33,353.1,358.7,0
2.271926,-1,13.675,-33,353.1,358.6,6.718768E-09
2.307021,-1.003909,13.675,-32.84005,353.1,358.5,-6.718768E-09
2.340851,-1.008097,13.675,-32.6801,353.1,358.3,6.718768E-09
2.37369,-1.010471,13.675,-32.60014,353.1,358.2,-6.718769E-09
2.40776,-1.015496,13.675,-32.44022,353.1,358.1,0
2.442752,-1.020801,13.675,-32.2803,353.1,358.1,0
2.478875,-1.026106,13.675,-32.12039,353.1,358,0
2.510903,-1.028898,13.675,-32.04044,353.1,358,0
2.547779,-1.034482,13.675,-31.88054,353.2,357.9,0
2.579918,-1.040345,13.675,-31.72065,353.2,357.9,0
2.615852,-1.040345,13.675,-31.72065,353.2,357.9,0
2.648672,-1.040345,13.675,-31.72065,353.2,357.9,0
2.684747,-1.040345,13.675,-31.72065,353.2,357.9,0
2.719725,-1.040345,13.675,-31.72065,353.2,357.9,0
2.754578,-1.040345,13.675,-31.72065,353.2,357.9,0
2.788741,-1.040345,13.675,-31.72065,353.5,357.9,0
2.823664,-1.046208,13.675,-31.56075,353.6,357.9,-1.342387E-08
2.857952,-1.052071,13.675,-31.40086,353.8,358.1,6.709349E-09
2.890998,-1.054723,13.675,-31.32091,353.9,358.2,0
2.926841,-1.059749,13.675,-31.16098,354,358.3,-6.706847E-09
2.960011,-1.064496,13.675,-31.00105,354.3,358.6,0
2.994946,-1.06645,13.675,-30.92108,354.5,359,0
3.030258,-1.069243,13.675,-30.7611,354.8,359.6,1.674418E-09
3.064923,-1.07036,13.675,-30.60111,355,0.1000009,0
3.100064,-1.07008,13.675,-30.44111,355.3,0.8000008,0
3.136051,-1.068963,13.675,-30.36111,355.5,1.300001,0
3.171064,-1.065333,13.675,-30.20116,355.6,1.600001,-6.689823E-09
3.205751,-1.060866,13.675,-30.04122,355.6,1.800001,-6.689823E-09
3.241898,-1.05584,13.675,-29.8813,355.6,1.800001,-6.689823E-09
3.27776,-1.050815,13.675,-29.72138,355.6,1.800001,-6.689823E-09
3.314002,-1.048302,13.675,-29.64142,355.6,1.800001,-6.689823E-09
3.350732,-1.043276,13.675,-29.48149,355.6,1.800001,-6.689823E-09
3.386842,-1.03825,13.675,-29.32157,355.6,1.800001,-6.689823E-09
3.421818,-1.033224,13.675,-29.16165,355.6,1.800001,-6.689823E-09
3.45768,-1.028199,13.675,-29.00173,355.6,1.800001,-6.689823E-09
3.493918,-1.025686,13.675,-28.92177,355.6,1.800001,-6.689823E-09
3.529868,-1.02066,13.675,-28.76185,355.6,1.800001,-6.689823E-09
3.566097,-1.015635,13.675,-28.60193,355.6,1.800001,-6.689823E-09
3.602694,-1.010609,13.675,-28.44201,355.6,1.800001,-6.689823E-09
3.638773,-1.005583,13.675,-28.28209,355.6,1.800001,-6.689823E-09
3.67489,-1.00307,13.675,-28.20213,355.6,1.800001,-6.689823E-09
3.710863,-0.9980444,13.675,-28.04221,355.6,1.800001,-6.689823E-09
3.747569,-0.9930187,13.675,-27.88228,355.6,1.800001,-6.689823E-09
3.784943,-0.987993,13.675,-27.72236,355.6,1.800001,-6.689823E-09
3.821097,-0.9829673,13.675,-27.56244,355.6,1.900001,-6.689823E-09
3.856844,-0.9776624,13.675,-27.40253,355.6,1.900001,-6.689823E-09
3.893634,-0.97501,13.675,-27.32257,355.6,1.900001,-6.689823E-09
3.928796,-0.9697052,13.675,-27.16266,355.6,1.900001,-6.689823E-09
3.966827,-0.9644004,13.675,-27.00275,355.6,1.900001,-6.689823E-09
4.003644,-0.9590955,13.675,-26.84284,355.6,1.900001,-6.689823E-09
4.040874,-0.9537907,13.675,-26.68293,355.6,2.000001,0
4.076945,-0.9482068,13.675,-26.52302,355.6,2.300001,-6.689823E-09
4.113715,-0.9449962,13.675,-26.44309,355.6,2.600001,-1.337965E-08
4.14893,-0.9377382,13.675,-26.28325,355.5,2.800001,0
4.185946,-0.9299222,13.675,-26.12344,355.5,2.900001,-1.338146E-08
4.223787,-0.9218273,13.675,-25.96365,355.4,3.100001,0
4.260787,-0.9131747,13.675,-25.80388,355.3,3.200001,0
4.297952,-0.9042433,13.675,-25.64413,355.3,3.200001,0
4.335696,-0.8997775,13.675,-25.56426,355.3,3.200001,0
4.374544,-0.8908461,13.675,-25.40451,355.3,3.200001,0
4.411811,-0.8819147,13.675,-25.24476,355.2,3.200001,1.338717E-08
4.449973,-0.8729832,13.675,-25.085,355.2,3.200001,1.338717E-08
4.486972,-0.8640518,13.675,-24.92525,355,3.200001,0
4.522785,-0.8551203,13.675,-24.7655,354.9,3.200001,-1.339324E-08
4.562784,-0.8461889,13.675,-24.60575,354.5,3.100001,0
4.599075,-0.8375363,13.675,-24.44599,354.3,3.000001,0
4.636876,-0.8291625,13.675,-24.28621,353.9,2.800001,0
4.674747,-0.8252545,13.675,-24.2063,353.6,2.500001,-1.342387E-08
4.712734,-0.8182755,13.675,-24.04646,353.5,2.400001,0
4.751665,-0.8115753,13.675,-23.88659,353.4,2.300001,0
4.789605,-0.8051542,13.675,-23.72672,353.4,2.300001,0
4.829762,-0.7987331,13.675,-23.56685,353.4,2.300001,0
4.865583,-0.792312,13.675,-23.40698,353.4,2.300001,0
4.90587,-0.7858909,13.675,-23.24711,353.3,1.400001,0
4.943967,-0.7819818,13.68676,-23.08716,352.7,359.2,0
4.98091,-0.7842416,13.71089,-22.92901,352,357.2,0
5.017798,-0.7921478,13.735,-22.77103,351.8,356.4,2.695602E-08
5.055877,-0.797229,13.74704,-22.6921,351.8,356.2,0
5.093612,-0.807955,13.77112,-22.53429,351.8,356.1,0
5.131991,-0.8189628,13.7952,-22.3765,351.6,355.5,2.696975E-08
5.169937,-0.8316607,13.81926,-22.21883,351.2,354.1,-5.399648E-08
5.208994,-0.8482959,13.84327,-22.06152,350.4,350.8,-5.411872E-08
5.246836,-0.8741653,13.86709,-21.90543,350,347.9,0
5.284594,-0.9080752,13.89068,-21.75085,350,347.2,0
5.322678,-0.9439127,13.9142,-21.5967,350,347.1,0
5.360519,-0.9800254,13.93771,-21.44261,350,347.1,0
5.398526,-1.016138,13.96123,-21.28853,350,347,0
5.436538,-1.052525,13.98473,-21.1345,350,346.9,-1.083681E-07
5.475627,-1.070856,13.99648,-21.05752,349.7,346.2,0
5.511467,-1.109438,14.0199,-20.90402,349.4,345.1,0
5.54986,-1.151023,14.04321,-20.75129,349.1,343.2,1.086825E-07
5.586647,-1.197758,14.06629,-20.60002,349,342.3,0
5.624527,-1.246914,14.08926,-20.4495,349,341.9,-2.174384E-07
5.661586,-1.297141,14.11217,-20.29932,349,341.9,-2.174384E-07
5.69932,-1.347368,14.13509,-20.14915,349,341.9,-2.174384E-07
5.736602,-1.397586,14.15861,-19.99894,349,341.9,-2.174384E-07
5.775461,-1.422726,14.17063,-19.92395,349,341.9,-2.174384E-07
5.812177,-1.473006,14.19466,-19.77397,349,341.9,-2.174384E-07
5.849493,-1.523286,14.21869,-19.62399,349,341.9,-2.174384E-07
5.886245,-1.573566,14.24272,-19.47401,349,341.9,-2.174384E-07
5.923158,-1.623846,14.26675,-19.32402,349,341.9,-2.174384E-07
5.959334,-1.674126,14.29078,-19.17404,349,341.9,-2.174384E-07
5.997357,-1.724406,14.31481,-19.02406,349,341.9,-2.174384E-07
6.034271,-1.749546,14.32683,-18.94907,349,341.9,-2.174384E-07
6.071373,-1.799826,14.35086,-18.79909,349,341.9,-2.174384E-07
6.108363,-1.850106,14.37489,-18.64911,349,341.9,-2.174384E-07
6.144984,-1.900386,14.39892,-18.49913,349,341.9,-2.174384E-07
6.182246,-1.950666,14.42295,-18.34915,349,341.9,-2.174384E-07
6.220345,-2.000947,14.44698,-18.19917,349.4,342.9,0
6.256571,-2.04854,14.47115,-18.04833,350.4,345.2,0
6.293526,-2.069219,14.48338,-17.97202,352.4,350.3,0
6.329611,-2.096511,14.50832,-17.81635,353.5,353.1,-2.685304E-08
6.366879,-2.115975,14.53344,-17.65954,353.6,353.5,0
6.404778,-2.134315,14.55859,-17.5026,353.6,353.5,0
6.443355,-2.152656,14.58374,-17.34566,353.6,353.5,0
6.481382,-2.170996,14.60888,-17.18871,353.7,353.8,0
6.522833,-2.203933,14.63157,-17.04711,354.3,355.1,-2.6813E-08
6.560757,-2.289549,14.64529,-16.9615,354.7,356.1,1.339749E-08
6.597755,-2.373864,14.6588,-16.87718,354.8,356.2,0
6.636337,-2.415956,14.66554,-16.83509,354.8,356.2,0
6.675579,-2.499811,14.67952,-16.74785,354.7,356.3,0
6.714554,-2.565774,14.6993,-16.62442,354.7,356.3,0
6.754193,-2.611037,14.71123,-16.47883,354.7,356.3,0
6.791409,-2.623679,14.74802,-16.32035,354.8,357.8,6.697672E-09
6.832654,-2.6299,14.77331,-16.16249,357.4,3.800002,0
6.870832,-2.619153,14.798,-16.00498,0.9999964,12.3,-6.671122E-09
6.907896,-2.584692,14.82157,-15.85052,2.999996,17.8,0
6.945834,-2.496729,14.83864,-15.73863,3.599997,19.7,5.346635E-08
6.985656,-2.396847,14.85441,-15.63531,3.799996,20.1,-5.347843E-08
7.024675,-2.295276,14.87002,-15.533,3.799996,20.1,-5.347843E-08
7.064485,-2.193337,14.88558,-15.43106,3.799996,20.1,-5.347843E-08
7.103718,-2.091398,14.90113,-15.32912,4.099997,20.7,5.349776E-08
7.145751,-1.989509,14.91685,-15.22614,4.499996,21.4,5.352586E-08
7.18476,-1.887154,14.93266,-15.1225,4.799996,22.4,1.070973E-07
7.22259,-1.784302,14.94864,-15.01779,4.799997,22.6,0
7.262645,-1.680555,14.96453,-14.91367,4.799997,22.6,0
7.301454,-1.576622,14.98039,-14.80974,4.699996,22.7,1.070818E-07
7.341689,-1.472707,14.99627,-14.70563,4.599996,22.7,5.353329E-08
7.382599,-1.368699,15.01215,-14.60163,4.499997,22.7,0
7.420737,-1.26469,15.02802,-14.49762,4.199997,22.90001,5.350454E-08
7.461759,-1.161015,15.044,-14.39289,3.799997,23,0
7.499564,-1.056782,15.05991,-14.28866,3.099997,23.1,0
7.539722,-0.952475,15.07582,-14.18435,2.499997,23.1,5.341169E-08
7.578749,-0.8481678,15.09174,-14.08004,2.299997,23.1,5.340387E-08
7.618762,-0.7438606,15.10766,-13.97574,2.099997,23,-2.669836E-08
7.657588,-0.6396277,15.12356,-13.8715,2.099997,23,-2.669836E-08
7.697834,-0.5353948,15.13947,-13.76727,2.099997,23,-2.669836E-08
7.73644,-0.4311619,15.15537,-13.66304,2.099997,23,-2.669836E-08
7.777605,-0.326929,15.17128,-13.5588,2.099997,23,-2.669836E-08
7.817475,-0.2226961,15.18718,-13.45457,2.099997,23,-2.669836E-08
7.856444,-0.1184631,15.20309,-13.35034,2.099997,23,-2.669836E-08
7.895527,-0.06634667,15.21104,-13.29822,2.099997,23,-2.669836E-08
7.934523,0.03788621,15.22695,-13.19399,2.099997,23,-2.669836E-08
7.973369,0.1421191,15.24285,-13.08976,2.099997,23,-2.669836E-08
8.01253,0.246352,15.25876,-12.98552,2.099997,23,-2.669836E-08
8.052373,0.350585,15.27467,-12.88129,2.099997,23,-2.669836E-08
8.091304,0.4548179,15.29057,-12.77706,2.099997,23,-2.669836E-08
8.130527,0.5590508,15.30648,-12.67282,2.099997,23,-2.669836E-08
8.169518,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.209434,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.248411,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.287602,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.326241,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.365405,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.40532,0.6632837,15.32238,-12.56859,2.099997,23,-2.669836E-08
8.444524,0.6632837,15.32238,-12.56859,2.499996,23,-5.341169E-08
8.483384,0.7675166,15.33829,-12.46436,3.699996,23.1,-5.347231E-08
8.522516,0.8718238,15.35421,-12.36005,4.299997,23.1,-5.351147E-08
8.560666,0.976131,15.37012,-12.25574,5.099998,23.2,1.071459E-07
8.599465,1.080512,15.38605,-12.15136,6.599997,23.4,0
8.638806,1.184914,15.40225,-12.04671,7.899997,23.7,-1.077443E-07
8.678738,1.289266,15.41908,-11.9417,8.599998,23.7,1.079353E-07
8.717528,1.393946,15.43585,-11.83702,9.799998,23.7,0
8.757846,1.498625,15.45262,-11.73234,11,24,0
8.796473,1.603238,15.46948,-11.62717,11.9,24.5,0
8.836475,1.708014,15.48641,-11.52145,12.6,25,0
8.875534,1.760336,15.49495,-11.46818,13.9,25.9,0
8.914357,1.760336,15.49495,-11.46818,14.5,26.4,0
8.954669,1.760336,15.49495,-11.46818,15,26.8,-2.209729E-07
8.993554,1.760336,15.49495,-11.46818,15.5,27.1,2.214992E-07
9.032506,1.760336,15.49495,-11.46818,15.9,27.4,0
9.072458,1.760336,15.49495,-11.46818,16.3,27.7,-4.447639E-07
9.111659,1.760336,15.49495,-11.46818,17.4,28.4,0
9.15062,1.760336,15.49495,-11.46818,18.2,28.9,4.493677E-07
9.189406,1.760336,15.49495,-11.46818,18.5,29,0
9.227477,1.760336,15.49495,-11.46818,18.79999,29.2,-4.509451E-07
9.266379,1.760336,15.49495,-11.46818,19.19999,29.4,4.520303E-07
9.305268,1.760336,15.49495,-11.46818,19.7,29.6,0
9.343276,1.760336,15.49495,-11.46818,20.5,29.9,0
9.381268,1.760336,15.49495,-11.46818,21.19999,30.10001,4.57874E-07
9.420163,1.760336,15.49495,-11.46818,21.79999,30.3,-4.597667E-07
9.4579,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.495975,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.533733,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.569787,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.607647,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.643755,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.679945,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.715858,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.751881,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.787898,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.823544,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.860012,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.897019,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.932819,1.760336,15.49495,-11.46818,22.09999,30.4,0
9.968536,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.0046,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.04083,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.07678,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.11289,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.14876,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.1845,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.22072,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.25816,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.29375,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.32969,1.760336,15.49495,-11.46818,22.09999,30.4,0
10.36686,1.760336,15.49495,-11.46818,18.09999,26.79999,0
10.40384,1.760336,15.49495,-11.46818,12.49999,17.2,2.186257E-07
10.43973,1.760336,15.49495,-11.46818,10.29999,10.6,0
10.47355,1.760336,15.49495,-11.46818,9.89999,8.799994,5.416744E-08
10.51251,1.760336,15.49495,-11.46818,9.799989,8.599993,0
10.55264,1.760336,15.49495,-11.46818,8.699987,7.099993,5.398197E-08
10.59159,1.760336,15.49495,-11.46818,7.099988,2.699993,-1.34433E-08
10.63159,1.760336,15.49495,-11.46818,5.399988,358.1,0
10.67068,1.760336,15.49495,-11.46818,3.399987,353.4,0
10.70969,1.760336,15.49495,-11.46818,1.799988,348.2,0
10.74846,1.760336,15.49495,-11.46818,0.999988,344.8,1.334225E-08
10.78838,1.760336,15.49495,-11.46818,0.5999878,343.7,-6.670473E-09
10.82726,1.760336,15.49495,-11.46818,0.2999878,342.9,-6.670198E-09
10.86533,1.760336,15.49495,-11.46818,-1.21449E-05,341.7,0
10.9034,1.760336,15.49495,-11.46818,-1.21449E-05,341.1,0
10.94238,1.760336,15.49495,-11.46818,0.1999879,340.5,0
10.98134,1.760336,15.49495,-11.46818,1.499988,339.8,0
11.01917,1.760336,15.49495,-11.46818,4.699988,340.2,0
11.05855,1.760336,15.49495,-11.46818,8.899987,342.6,0
11.09641,1.760336,15.49495,-11.46818,12.89999,346.8,1.09485E-07
11.13561,1.760336,15.49495,-11.46818,14.59999,350.2,0
11.17481,1.760336,15.49495,-11.46818,15.19999,351.8,0
11.21342,1.760336,15.49495,-11.46818,15.39999,353,-1.106962E-07
11.25362,1.760336,15.49495,-11.46818,16.29999,356.4,0
11.2938,1.760336,15.49495,-11.46818,16.49999,359.2,0
11.33257,1.760336,15.49495,-11.46818,16.79999,0.2999957,0
11.37254,1.760336,15.49495,-11.46818,16.89999,1.399996,-1.394233E-08
11.41258,1.760336,15.49495,-11.46818,16.89999,1.499996,-1.394233E-08
11.45273,1.760336,15.49495,-11.46818,16.89999,1.599996,0
11.49356,1.760336,15.49495,-11.46818,16.79999,1.599996,0
11.53335,1.760336,15.49495,-11.46818,16.79999,1.599996,0
11.57254,1.84156,15.50796,-11.38697,16.59999,1.499996,-1.392038E-08
11.61453,1.922645,15.52095,-11.30588,16.59999,1.499996,-1.392038E-08
11.65471,2.003731,15.53395,-11.2248,16.59999,1.499996,-1.392038E-08
11.69234,2.078282,15.55132,-11.11634,16.59999,1.499996,-1.392038E-08
11.73336,2.11394,15.57492,-10.96907,16.39999,1.499996,-1.390599E-08
11.77349,2.217354,15.59665,-10.83345,16.19999,1.399996,1.38918E-08
11.81252,2.221313,15.62195,-10.67552,16.09999,1.399996,0
11.85047,2.225272,15.64726,-10.51758,16.09999,1.399996,0
11.89035,2.229231,15.67257,-10.35964,16.09999,1.399996,0
11.93139,2.23319,15.69787,-10.20171,15.89999,1.299996,2.774179E-08
11.97061,2.236866,15.72318,-10.04376,15.09998,0.6999959,-6.908643E-09
12.00964,2.238846,15.74849,-9.885792,12.19999,355.5,0
12.04748,2.226133,15.77372,-9.728306,8.699985,347.1,-1.079639E-07
12.08658,2.189981,15.79838,-9.574407,6.699986,341.3,0
12.12635,2.138097,15.82233,-9.424959,6.399985,340.3,1.07391E-07
12.16522,2.083553,15.84613,-9.276437,6.299985,340.1,0
12.20435,2.028479,15.86989,-9.128106,5.899986,339,0
12.24337,1.970505,15.89349,-8.980857,5.299986,337.4,0
12.28126,1.908351,15.91681,-8.835279,4.899986,335.8,0
12.3206,1.842069,15.93985,-8.691488,4.499987,333.8,-1.070517E-07
12.35817,1.770706,15.96251,-8.550089,4.399987,333.2,0
12.39739,1.697835,15.98504,-8.40944,4.399987,333.1,-1.070372E-07
12.43507,1.661274,15.9963,-8.339179,4.399987,333.1,-1.070372E-07
12.4731,1.588153,16.01882,-8.198657,4.399987,333.1,-1.070372E-07
12.51196,1.515032,16.04118,-8.058135,4.399987,333.1,-1.070372E-07
12.55191,1.441979,16.06266,-7.917416,4.399987,333.1,-1.070372E-07
12.59009,1.368925,16.08413,-7.776696,4.399987,333.1,-1.070372E-07
12.62805,1.295871,16.1056,-7.635976,4.399987,333.1,-1.070372E-07
12.66711,1.222818,16.12708,-7.495256,4.399987,333.1,-1.070372E-07
12.70494,1.133489,16.1437,-7.386319,4.399987,333.1,-1.070372E-07
12.74302,1.018523,16.15269,-7.327446,4.399987,333.1,-1.070372E-07
12.78205,0.9035567,16.16167,-7.268573,4.399987,333.1,-1.070372E-07
12.82052,0.7885903,16.17065,-7.2097,4.299987,332.9,0
12.85837,0.6734353,16.17969,-7.150475,4.299987,332.6,0
12.89733,0.5578988,16.18878,-7.090921,3.999987,331.7,1.069823E-07
12.93333,0.4998849,16.19349,-7.060034,3.999988,330.4,0
12.97253,0.3817903,16.20298,-6.997837,3.999988,329.4,0
13.01025,0.2621913,16.21253,-6.93525,4.099987,328.8,0
13.0494,0.1415854,16.22208,-6.872678,4.499988,328.3,-1.070517E-07
13.08702,0.02027645,16.23166,-6.809877,4.899988,327.8,0
13.12633,-0.1016713,16.2413,-6.746747,5.199987,327.6,0
