HandHeldRadio,None,NoFlip
SaltSub,Library,Flip
Stapler,None,NoFlip
CoffeePot,None,NoFlip
OfficeBin,Office,Flip
Pomegranate,StorageRoom,NoFlip
CandyBar,Kindergarten,NoFlip
OldRadio,None,NoFlip
Openner,None,NoFlip
Cheese,Gym,Flip
CokeBottle,Gym,NoFlip
Recorder,Lounge,NoFlip
RugbyBall,ArtStudio,NoFlip
FiellaCase,Library,NoFlip
CleaningBucket,ArtStudio,Flip
Chaynik,None,NoFlip
Pumpkin,None,NoFlip
Basketball,None,NoFlip
StrawberryDonut,Classroom,NoFlip
Perrier,Bedroom,NoFlip
Cereal,None,NoFlip
YellowDuck,None,NoFlip
HTCVive,LivingRoom,NoFlip
TennisBall,None,NoFlip
NikonCamera,None,NoFlip
Kiwi,Classroom,NoFlip
RoadCone,StorageRoom,Flip
Caiban,Kitchen,Flip
Ganmianzhang,None,NoFlip
DeskLight,Kitchen,Flip
ClothesBasket,None,NoFlip
CoffeeMachine,StorageRoom,NoFlip
AmazonEcho_FLIPPED,Lounge,Flip
CinRoll,Kitchen,NoFlip
PeanutButter,Museum,NoFlip
Candle Lattern,None,NoFlip
FireExtinguisher_FLIPPED,SPA,Flip
Printer_FLIPPED,Lounge,Flip
MechanicalGloves,None,NoFlip
Xmas Globe,Kitchen,NoFlip
Oranges,None,NoFlip
Clamps,Office,NoFlip
Squeezer,KTV,Flip
Brush,Museum,NoFlip
Car02,Museum,Flip
Jam,MeetingRoom,Flip
Spoons,Bedroom,NoFlip
Typewriter,None,NoFlip
Burger,Kitchen,NoFlip
Watermelon,ArtStudio,Flip
HTCViveController,LivingRoom,NoFlip
Apple,None,NoFlip
Headphones,None,NoFlip
Matrioshka,KTV,NoFlip
RasberryJam_FLIPPED,Kindergarten,Flip
Mushroom,Lounge,NoFlip
BandShell,None,NoFlip
Pinza,None,NoFlip
Banana,SPA,NoFlip
HandDrill,None,NoFlip
FacialCream,None,NoFlip
Router,None,NoFlip
Car01,SPA,NoFlip
BirdCage,None,NoFlip
Cocktail,Classroom,Flip
Motorbike,Cafe,Flip
RockingHorse,None,NoFlip
SecurityCam,Cafe,Flip
Cube,None,NoFlip
Calculator_FLIPPED,Museum,Flip
Toaster,Museum,NoFlip
Skateboard,SPA,Flip
Vanish_FLIPPED,SPA,Flip
Canister_FLIPPED,Lounge,Flip
Buiscuits_FLIPPED,MeetingRoom,Flip
IceBoots,Cafe,NoFlip
Deer,Office,Flip
MilkCarton_FLIPPED,LivingRoom,Flip
Avocado,LivingRoom,Flip
Mouse,None,NoFlip
JBLSpeaker,LivingRoom,Flip
Paprika,StorageRoom,Flip
CottonSticks,None,NoFlip
Lipsticks,Gym,NoFlip
Kettle,None,NoFlip
PaintBucket,Bedroom,Flip
Bus,None,NoFlip
Cabbaage,StorageRoom,Flip
Padella,Gym,Flip
BallonDog,None,NoFlip
Honey,Cafe,NoFlip
Chips,None,NoFlip
PiggyBank,None,NoFlip
Scent,None,NoFlip
Wheels,KTV,Flip
Muffin,Classroom,NoFlip
Hammer,None,NoFlip
MosquitoRacket,Bedroom,Flip
Controller,None,NoFlip
MobilePhone,SPA,NoFlip
Suitcase_FLIPPED,Library,Flip
Mixer,Library,NoFlip
Slippers,Kindergarten,Flip
ShowerHead,Office,NoFlip
Downy_FLIPPED,Office,Flip
PencilSharpener,ArtStudio,Flip
Dish,KTV,NoFlip
Grape,Cafe,NoFlip
Lasagna,LivingRoom,NoFlip
ToothBrush,KTV,NoFlip
LegoTruck,None,NoFlip
BaseballBat,KTV,Flip
Cupcake,MeetingRoom,NoFlip
Weimeng_FLIPPED,Museum,Flip
Pears,Classroom,Flip
EggBeater,Classroom,Flip
Laptop,ArtStudio,NoFlip
PaperCoffeeCup,Office,NoFlip
Garlic,Bedroom,Flip
Mango,None,NoFlip
Coconut,None,NoFlip
Kela,Kitchen,Flip
Teacup,None,NoFlip
Jug,Kindergarten,NoFlip
CacerolaPan,Kindergarten,Flip
Icecream,None,NoFlip
UGGboot,MeetingRoom,Flip
MetalBucket,Library,Flip
Marmite,None,NoFlip
Carrots,Gym,NoFlip
Shoe,ArtStudio,NoFlip
Basket,Lounge,NoFlip
Leaf,StorageRoom,NoFlip
Official hat,MeetingRoom,NoFlip
Lotion_FLIPPED,Gym,Flip
Toothpaste,None,NoFlip
Flower,Kindergarten,NoFlip
Tide,MeetingRoom,NoFlip
Sandals,Bedroom,NoFlip
Pineapple,None,NoFlip
Dog,None,NoFlip
Strawberries,Library,NoFlip
FireHydrant,Cafe,Flip
MokaEspress,None,NoFlip
