TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01356145,-2.073065,22.27024,41.11597,352.9,338.6,0
0.02740565,-2.102255,22.27023,41.19046,352.9,338.6,0
0.04126523,-2.102255,22.27023,41.19046,352.9,338.6,0
0.05511661,-2.131445,22.27023,41.26494,352.9,338.6,0
0.06913374,-2.160635,22.27024,41.33942,352.9,338.6,0
0.08387029,-2.160635,22.27024,41.33942,352.9,338.6,0
0.1036942,-2.189826,22.27023,41.41391,352.9,338.6,0
0.1177241,-2.219016,22.27023,41.4884,352.9,338.6,0
0.1317546,-2.248206,22.27023,41.56288,352.9,338.6,0
0.1526469,-2.277396,22.27023,41.63736,352.9,338.6,0
0.1733939,-2.306586,22.27024,41.71185,352.9,338.6,0
0.1942344,-2.335777,22.27023,41.78633,352.9,338.6,0
0.215162,-2.335777,22.27023,41.78633,352.9,338.6,0
0.2359147,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.2568634,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.2776131,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.2983668,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.3193432,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.3401093,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.3611283,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.38161,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.4025711,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.4233238,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.444195,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.4650873,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.4856624,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.5068682,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.527587,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.5486348,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.569369,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.5902823,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.6109467,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.631625,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.652642,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.6733233,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.6941078,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.7149519,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.7359155,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.7565609,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.7774568,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.7982916,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.8193126,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.8401598,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.8609228,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.8816385,-2.335777,22.27023,41.78633,352.9,338.5,-1.075464E-07
0.9028628,-2.335777,22.27023,41.78633,352.6,338,-2.152361E-07
0.9234872,-2.335777,22.27023,41.78633,352,336.6,0
0.9444431,-2.335777,22.27023,41.78633,351.5,335.5,-1.07907E-07
0.9651743,-2.335777,22.27023,41.78633,350.8,334.1,0
0.9857782,-2.335777,22.27023,41.78633,350.1,333,-2.166698E-07
1.006856,-2.335777,22.27023,41.78633,349.9,332.6,0
1.027837,-2.335777,22.27023,41.78633,349.6,332.2,0
1.048334,-2.335777,22.27023,41.78633,349.6,332.1,0
1.069117,-2.335777,22.27023,41.78633,349.5,332,0
