TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03807459,-1,15.27646,-33,0,0,0
0.07129313,-1,15.22152,-33,359.7,359.9,-2.605546E-11
0.1062282,-1,15.18228,-33,358.7,359.5,4.16989E-10
0.1483778,-1,15.01747,-33,358,359.1,-1.668543E-09
0.1762246,-1,14.94684,-33,357,358.7,3.33963E-09
0.2092666,-1,14.78203,-33,355.6,358.3,6.689824E-09
0.2424636,-1,14.68786,-33,353.6,357.2,-1.342387E-08
0.2762692,-1,14.47596,-33,352.3,356.4,0
0.3092732,-1,14.23267,-33,351.5,355.9,0
0.3421325,-1,14.09926,-33,350.2,355.4,-2.707552E-08
0.3742627,-1,13.80888,-33,348.8,354.8,0
0.4069254,-1,13.675,-33,348.3,354.6,-5.449307E-08
0.4389848,-1,13.675,-33,348.3,354.6,-5.449307E-08
0.4709691,-1,13.675,-33,348.1,354.6,5.453281E-08
0.5019862,-1,13.675,-33,347.4,354.4,-5.467766E-08
0.5339588,-1,13.675,-33,346.6,354,0
0.565995,-1,13.675,-33,346.3,353.7,0
0.5977721,-1,13.675,-33,346.1,353.7,-5.497058E-08
0.6296892,-1,13.675,-33,345.9,353.7,0
0.661728,-1,13.675,-33,345.9,353.7,0
0.692839,-1,13.675,-33,345.9,353.7,0
0.7252437,-1,13.675,-33,345.9,353.7,0
0.7561104,-1,13.675,-33,345.9,353.7,0
0.7876325,-1,13.675,-33,345.9,353.7,0
0.81892,-1,13.675,-33,345.9,353.7,0
0.8507289,-1,13.675,-33,345.9,353.7,0
0.8818907,-1,13.675,-33,345.9,353.7,0
0.9137991,-1,13.675,-33,345.9,353.7,0
0.944868,-1,13.675,-33,345.9,353.7,0
0.9758097,-1,13.675,-33,345.9,353.7,0
1.008148,-1,13.675,-33,345.9,353.7,0
1.038716,-1,13.675,-33,345.9,353.7,0
1.070754,-1,13.675,-33,345.9,353.7,0
1.101846,-1,13.675,-33,345.9,353.7,0
1.133847,-1,13.675,-33,345.9,353.7,0
1.164873,-1,13.675,-33,345.9,353.7,0
1.196003,-1,13.675,-33,345.9,353.7,0
1.227868,-1.017558,13.675,-32.84097,345.9,353.7,0
1.25896,-1.026336,13.675,-32.76145,345.9,353.7,0
1.290916,-1.043894,13.675,-32.60242,345.9,353.7,0
1.321891,-1.052673,13.675,-32.5229,345.9,353.7,0
1.353709,-1.07023,13.675,-32.36386,345.9,353.7,0
1.384772,-1.079009,13.675,-32.28435,345.9,353.7,0
1.416836,-1.096566,13.675,-32.12531,345.9,353.7,0
1.447641,-1.114124,13.675,-31.96628,345.9,353.7,0
1.479723,-1.122902,13.675,-31.88676,345.9,353.7,0
1.510806,-1.14046,13.675,-31.72773,345.9,353.7,0
1.54301,-1.149239,13.675,-31.64821,345.9,353.7,0
1.57499,-1.166796,13.675,-31.48918,345.9,353.7,0
1.606981,-1.184354,13.675,-31.33014,345.9,353.7,0
1.63895,-1.192438,13.675,-31.25056,346.1,354.2,0
1.671229,-1.204992,13.675,-31.09105,347,355.5,5.476446E-08
1.703839,-1.210433,13.675,-31.01123,347.3,356.1,-5.469909E-08
1.737001,-1.221315,13.675,-30.8516,347.3,356.1,-5.469909E-08
1.770118,-1.229689,13.675,-30.69182,347.3,357,2.734954E-08
1.802948,-1.232062,13.675,-30.61186,347.3,358.3,1.367477E-08
1.836227,-1.232342,13.675,-30.45186,347.8,359.9,8.530281E-10
1.869981,-1.224247,13.675,-30.29206,349,2.9,0
1.904418,-1.217692,13.675,-30.21233,349.8,4.7,-2.710887E-08
1.938208,-1.201523,13.675,-30.05315,350.2,5.800001,0
1.971974,-1.185076,13.675,-29.894,350.3,5.900001,0
2.005997,-1.176852,13.675,-29.81442,350.3,5.900001,0
2.040156,-1.160406,13.675,-29.65527,350.3,5.900001,0
2.074289,-1.143959,13.675,-29.49612,350.3,5.900001,0
2.108259,-1.128068,13.675,-29.33691,350.1,5.700001,0
2.142309,-1.121095,13.675,-29.25721,349.9,5.000001,5.420079E-08
2.176451,-1.107707,13.675,-29.09777,349.9,4.800001,0
2.211154,-1.094318,13.675,-28.93834,349.9,4.800001,0
2.245189,-1.087763,13.675,-28.8586,349.9,4.7,0
2.280315,-1.074931,13.675,-28.69912,349.9,4.600001,0
2.314235,-1.063213,13.675,-28.53955,349.9,4.200001,0
2.349144,-1.053167,13.675,-28.37987,350.1,3.600001,-2.708372E-08
2.383382,-1.049259,13.675,-28.29996,350.2,2.800001,-2.707552E-08
2.418016,-1.04228,13.675,-28.14011,350.3,2.500001,0
2.453301,-1.035301,13.675,-27.98027,350.3,2.500001,0
2.486783,-1.031811,13.675,-27.90034,350.3,2.500001,0
2.522408,-1.024832,13.675,-27.74049,350.3,2.500001,0
2.55702,-1.017853,13.675,-27.58065,350.3,2.500001,0
2.592227,-1.011432,13.675,-27.42078,350.4,2.300001,0
2.626969,-1.005011,13.675,-27.2609,350.5,2.300001,0
2.661968,-1.0018,13.675,-27.18097,350.5,2.300001,0
2.697963,-0.995379,13.675,-27.0211,350.5,2.300001,0
2.73303,-0.9889579,13.675,-26.86123,350.5,2.300001,0
2.767962,-0.9825368,13.675,-26.70135,350.5,2.300001,0
2.80293,-0.9793262,13.675,-26.62142,350.5,2.300001,0
2.839241,-0.9729052,13.675,-26.46155,350.5,2.300001,0
2.874158,-0.9664841,13.675,-26.30168,350.5,2.300001,0
2.910049,-0.960063,13.675,-26.14181,350.5,2.300001,0
2.94635,-0.956713,13.675,-26.06188,351.5,2.400001,0
2.981336,-0.9466665,13.675,-25.90219,352.6,3.600002,-2.690451E-08
3.017216,-0.9327216,13.675,-25.7428,353.7,5.000001,0
3.053343,-0.9140542,13.675,-25.58389,354.9,6.700002,-2.678647E-08
3.090273,-0.8934469,13.675,-25.42523,355.4,7.400001,0
3.126309,-0.8828664,13.675,-25.34593,355.5,7.600001,2.676292E-08
3.162204,-0.8611519,13.675,-25.18741,355.6,7.800001,-2.67593E-08
3.198218,-0.8383313,13.675,-25.02905,355.9,8.200001,-2.674888E-08
3.234174,-0.8152343,13.675,-24.87072,356,8.300001,0
3.270028,-0.7921373,13.675,-24.7124,356,8.300001,0
3.306123,-0.7805888,13.675,-24.63324,356,8.300001,0
3.342173,-0.7574918,13.675,-24.47491,356,8.300001,0
3.378102,-0.7343948,13.675,-24.31659,356,8.300001,0
3.413971,-0.7112978,13.675,-24.15826,356,8.300001,0
3.449909,-0.6882008,13.675,-23.99994,356,8.300001,0
3.485951,-0.6766523,13.675,-23.92078,356,8.300001,0
3.522317,-0.6538317,13.675,-23.76241,356.1,8.200001,0
3.558132,-0.6321172,13.675,-23.60389,356.1,7.800002,0
3.594273,-0.6153926,13.675,-23.44477,356.3,6,0
3.630172,-0.612321,13.675,-23.2848,357,1.100001,3.33963E-09
3.666466,-0.6167867,13.675,-23.20492,357.1,356.8,0
3.70319,-0.6391808,13.69283,-23.04741,357.1,352,0
3.739169,-0.6708809,13.71648,-22.89237,357.1,348.7,0
3.776413,-0.7069935,13.74,-22.73829,357.1,347.1,0
3.812203,-0.7447532,13.76345,-22.58458,357.1,346.5,2.671464E-08
3.848347,-0.7852482,13.7868,-22.43156,356.9,345.5,2.671952E-08
3.88506,-0.8091543,13.79832,-22.35609,356.5,342.8,0
3.921045,-0.8641714,13.82098,-22.20757,356.1,340.1,0
3.956986,-0.9226122,13.84345,-22.06033,355.9,338.8,5.349776E-08
3.992982,-0.981053,13.86592,-21.91309,355.9,338.8,5.349776E-08
4.02879,-1.039494,13.88839,-21.76585,355.9,338.8,5.349776E-08
4.063949,-1.068714,13.89962,-21.69223,355.9,338.8,5.349776E-08
4.099732,-1.127155,13.92209,-21.54498,355.9,338.8,5.349776E-08
4.13506,-1.185596,13.94456,-21.39775,355.9,338.8,5.349776E-08
4.170015,-1.244299,13.96701,-21.25061,355.7,338.7,0
4.205923,-1.27365,13.97824,-21.17704,355.7,338.7,0
4.241096,-1.332353,14.00069,-21.0299,355.7,338.7,0
4.276668,-1.391056,14.02314,-20.88276,355.7,338.7,0
4.31291,-1.449759,14.0456,-20.73562,355.7,338.7,0
4.347748,-1.508462,14.06805,-20.58848,355.7,338.7,0
4.383785,-1.537813,14.07928,-20.51491,355.7,338.7,0
4.418878,-1.596516,14.10173,-20.36777,355.7,338.7,0
4.454912,-1.655219,14.12418,-20.22063,355.7,338.7,0
4.489841,-1.713922,14.14663,-20.0735,355.7,338.7,0
4.525027,-1.743258,14.15846,-19.99988,355.7,338.7,0
4.559669,-1.80202,14.182,-19.85293,355.7,338.7,0
4.594724,-1.860783,14.20555,-19.70599,355.7,338.7,0
4.629859,-1.919545,14.22909,-19.55904,355.6,338.7,0
4.666128,-1.948926,14.24087,-19.48557,355.5,338.7,5.352585E-08
4.700765,-2.007688,14.26441,-19.33863,355.5,338.7,5.352585E-08
4.735883,-2.06645,14.28795,-19.19168,355.5,338.7,5.352585E-08
4.770766,-2.125212,14.3115,-19.04474,355.5,338.7,5.352585E-08
4.805969,-2.154593,14.32327,-18.97127,355.5,338.7,5.352585E-08
4.84203,-2.213093,14.34683,-18.82422,355.3,338.8,0
4.876869,-2.271593,14.37039,-18.67717,355.3,338.8,0
4.911666,-2.330092,14.39395,-18.53013,355.3,338.8,0
