TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02145788,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.04257349,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.06341404,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.08550157,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.1066921,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.1276496,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.1491009,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.169946,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.1911843,-6.931665,22.27023,43.14275,10.9,336.9,-2.17365E-07
0.2128254,-6.931665,22.27023,43.14275,10.9,337.7,0
0.2346681,-6.931665,22.27023,43.14275,11,338.8,0
0.2564467,-6.931665,22.27023,43.14275,11.4,340.8,2.177391E-07
0.2805136,-6.931665,22.27023,43.14275,11.7,342.8,1.089861E-07
0.3057232,-6.931665,22.27023,43.14275,11.9,344.5,0
0.3331096,-6.931665,22.27023,43.14275,12.1,345.7,0
0.364001,-6.931665,22.27023,43.14275,12.2,347,0
0.3979749,-6.931665,22.27023,43.14275,12.5,349,0
0.4324158,-6.931665,22.27023,43.14275,12.8,351.2,1.094414E-07
0.4677039,-6.931665,22.27023,43.14275,12.9,352.6,5.474249E-08
0.5042436,-6.931665,22.27023,43.14275,12.9,352.9,0
0.5426025,-6.931665,22.27023,43.14275,12.9,352.9,0
0.5805647,-6.931665,22.27023,43.14275,12.9,352.9,0
0.6192689,-6.931665,22.27023,43.14275,12.9,352.9,0
0.6575518,-6.931665,22.27023,43.14275,12.9,352.9,0
0.697423,-6.931665,22.27023,43.14275,12.9,352.9,0
0.7353626,-6.931665,22.27023,43.14275,12.9,352.9,0
0.7722318,-6.931665,22.27023,43.14275,12.9,352.9,0
0.8105876,-6.931665,22.27023,43.14275,12.9,352.9,0
0.8495582,-6.931665,22.27023,43.14275,12.9,352.9,0
0.8873967,-6.931665,22.27023,43.14275,12.9,352.9,0
