TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03239733,-4.366187,22.27023,43.20043,6.500018,327,-1.074122E-07
0.06590205,-4.453329,22.27024,43.33462,6.500018,327,-1.074122E-07
0.09774928,-4.540471,22.27023,43.4688,6.500018,327,-1.074122E-07
0.130005,-4.584043,22.27023,43.5359,6.500018,327,-1.074122E-07
0.16204,-4.670716,22.27024,43.67039,6.500017,327.2,0
0.1929569,-4.7137,22.27023,43.73786,6.700018,327.5,0
0.2240836,-4.798487,22.27024,43.87355,7.000018,328,-2.150463E-07
0.254883,-4.839809,22.27023,43.94205,7.300017,328.9,2.151876E-07
0.2861498,-4.839809,22.27023,43.94205,7.800017,329.8,0
0.3189674,-4.839809,22.27023,43.94205,8.600019,331.7,2.158706E-07
0.3520878,-4.839809,22.27023,43.94205,9.800018,334.3,0
0.3864577,-4.839809,22.27023,43.94205,11.30002,338.9,0
0.422576,-4.839809,22.27023,43.94205,12.60002,343.4,0
0.4624038,-4.839809,22.27023,43.94205,13.80002,347.6,1.098939E-07
0.5056058,-4.839809,22.27023,43.94205,14.90002,351.3,1.10435E-07
0.5495425,-4.839809,22.27023,43.94205,15.80002,354.8,-5.54561E-08
0.594538,-4.839809,22.27023,43.94205,16.40002,356.7,0
0.6384721,-4.839809,22.27023,43.94205,16.90002,358.5,2.788466E-08
0.6835178,-4.839809,22.27023,43.94205,17.40002,359.6,0
0.7284958,-4.839809,22.27023,43.94205,17.60002,359.9,0
0.7737046,-4.839809,22.27023,43.94205,17.60002,359.9,0
0.8193959,-4.839809,22.27023,43.94205,17.60002,359.9,0
0.8666764,-4.839809,22.27023,43.94205,17.50002,358.7,1.39876E-08
0.9137804,-4.839809,22.27023,43.94205,16.40002,355.8,0
0.9605513,-4.839809,22.27023,43.94205,15.40002,353,0
1.006747,-4.839809,22.27023,43.94205,15.10002,351.5,-1.105383E-07
1.051402,-4.839809,22.27023,43.94205,15.10002,350.6,1.105383E-07
1.096499,-4.839809,22.27023,43.94205,15.10002,349.8,-1.105383E-07
1.141588,-4.839809,22.27023,43.94205,15.00002,348.9,1.104864E-07
1.185579,-4.839809,22.27023,43.94205,15.00002,348.4,1.104864E-07
1.230384,-4.839809,22.27023,43.94205,14.70003,346.4,1.103331E-07
1.274463,-4.839809,22.27023,43.94205,14.20002,344.4,0
1.31941,-4.839809,22.27023,43.94205,13.70002,342.6,0
1.363414,-4.839809,22.27023,43.94205,13.40002,341.9,0
1.408462,-4.839809,22.27023,43.94205,13.30002,341.7,0
1.452412,-4.839809,22.27023,43.94205,13.30002,341.7,0
1.496466,-4.839809,22.27023,43.94205,13.20002,341.8,0
1.540485,-4.839809,22.27023,43.94205,11.90002,341.9,-2.181312E-07
1.584411,-4.839809,22.27023,43.94205,10.10002,341.9,0
1.628445,-4.839809,22.27023,43.94205,7.700019,342.3,2.153855E-07
1.672369,-4.839809,22.27023,43.94205,6.100021,342.6,-1.073294E-07
1.716499,-4.839809,22.27023,43.94205,5.20002,343,5.358137E-08
1.759687,-4.839809,22.27023,43.94205,4.900019,343.3,5.355658E-08
1.803319,-4.839809,22.27023,43.94205,4.30002,343.8,0
