TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05064376,-1,15.27646,-33,0,0,0
0.09465441,-1,15.22152,-33,359.4,359.5,0
0.1413104,-1,15.08026,-33,359.1,359.2,-4.16933E-10
0.1923062,-1,14.94684,-33,358.8,358.9,0
0.2366242,-1,14.78203,-33,358,358.4,1.668543E-09
0.2826275,-1,14.47596,-33,356.9,357.6,6.679881E-09
0.3273689,-1,14.23267,-33,355.6,356.9,-1.337965E-08
0.3712989,-1,13.95799,-33,355,356.8,-1.339117E-08
0.4164873,-1,13.675,-33,354.2,356.7,0
0.4604354,-1,13.675,-33,353.4,356.6,0
0.5055909,-1,13.675,-33,351.9,355.8,0
0.5492084,-1,13.675,-33,351.2,355.3,0
0.5932267,-1,13.675,-33,350.8,355.1,2.702811E-08
0.6370075,-1,13.675,-33,350.6,355,0
0.6805624,-1,13.675,-33,350.5,355,2.705142E-08
0.7250842,-1,13.675,-33,350.5,355,2.705142E-08
0.7692586,-1,13.675,-33,350,355.2,-2.709201E-08
0.8132728,-1.010882,13.675,-32.84037,350,356.1,0
0.8564342,-1.013396,13.675,-32.68039,350.7,359.1,6.758948E-09
0.899183,-1.01172,13.675,-32.4404,351,0.4000001,3.376625E-09
0.9430464,-1.003904,13.675,-32.28059,351.1,2.8,1.350279E-08
0.9876061,-0.9863467,13.675,-32.12155,351.5,6.300001,0
1.030004,-0.957189,13.675,-31.96423,351.6,10.5,-5.39395E-08
1.073941,-0.921469,13.675,-31.80827,351.6,12.9,-1.07879E-07
1.117976,-0.8609723,13.675,-31.57602,351.2,14.6,0
1.16216,-0.8125931,13.675,-31.42351,350.6,17.6,0
1.206185,-0.7594473,13.675,-31.27259,350.2,19.4,0
1.249018,-0.7039376,13.675,-31.12253,349.8,20.3,2.168709E-07
1.29312,-0.6481661,13.675,-30.97257,349.6,20.4,0
1.337288,-0.5660813,13.675,-30.74704,349.3,20,0
1.379828,-0.5145188,13.675,-30.59558,349.2,18.8,1.086461E-07
1.422891,-0.4645452,13.675,-30.44358,349.1,18.2,1.086825E-07
1.465902,-0.416166,13.675,-30.29107,349.1,17.6,0
1.509845,-0.3734079,13.675,-30.13689,349.6,15.5,-1.085043E-07
1.553368,-0.3420565,13.675,-29.97999,351.2,11.3,-1.07993E-07
1.597258,-0.3069966,13.675,-29.74257,352,8.399999,0
1.641729,-0.2880519,13.675,-29.58369,352.3,6.799999,0
1.685311,-0.2735507,13.675,-29.42435,352.4,5.2,0
1.729968,-0.2623897,13.675,-29.26474,352.4,4,2.691688E-08
1.775117,-0.2520645,13.675,-29.10507,352.4,3.7,0
1.821163,-0.2382492,13.675,-28.86547,352.4,3.299999,0
1.866581,-0.2309911,13.675,-28.70564,352.6,2.599999,-1.345225E-08
1.912193,-0.2276403,13.675,-28.54567,353.5,1.199999,-6.71326E-09
1.957477,-0.2272214,13.675,-28.30567,354.7,0.09999932,-4.186716E-10
2.003697,-0.2277799,13.675,-28.14567,356.5,359.8,0
2.050485,-0.2272214,13.675,-27.98567,358.3,0.1999993,2.085326E-10
2.096178,-0.2249875,13.675,-27.82569,359.9,0.7999994,-5.211029E-11
2.144207,-0.2212177,13.675,-27.58572,0.7000011,0.8999993,0
2.191243,-0.2187046,13.675,-27.42574,1.100001,0.8999994,0
2.240069,-0.2153536,13.675,-27.18576,0.4000011,0.7999992,0
2.287136,-0.2131197,13.675,-27.02578,0.4000011,0.7999992,0
2.335332,-0.2108857,13.675,-26.86579,0.4000011,0.7999992,0
2.38225,-0.2075348,13.675,-26.62582,0.4000011,0.7999992,0
2.428993,-0.2053009,13.675,-26.46583,0.4000011,0.7999992,0
2.47594,-0.2030669,13.675,-26.30585,0.4000011,0.7999992,0
2.524165,-0.199716,13.675,-26.06587,0.4000011,0.7999992,0
2.571199,-0.1974821,13.675,-25.90589,0.4000011,0.7999992,0
2.619103,-0.1941312,13.675,-25.66591,0.4000011,0.7999992,0
2.666299,-0.1949689,13.675,-25.50591,0.1000012,359.7,0
2.714159,-0.1999946,13.675,-25.34599,359.7,358.2,-4.168874E-10
2.761251,-0.2267472,13.675,-25.10749,358.7,353.6,0
2.809387,-0.2542558,13.675,-24.94987,358.8,350.1,6.67157E-09
2.858049,-0.3049738,13.675,-24.71529,359.2,347.8,0
2.906463,-0.3420535,13.675,-24.55965,359.3,346.6,-6.670605E-09
2.955434,-0.3856183,13.675,-24.40569,359.5,344.2,0
3.003133,-0.4605787,13.675,-24.1777,359.7,341.8,6.670198E-09
3.051303,-0.5166119,13.675,-24.02783,359.8,339.5,-3.335074E-09
3.099133,-0.611158,13.675,-23.80724,0.1000012,336.8,0
3.146761,-0.6780167,13.675,-23.66188,0.4000012,335.3,0
3.193867,-0.745129,13.675,-23.51663,0.4000012,335.2,0
3.240203,-0.8461777,13.675,-23.29894,0.5000012,335.1,6.67036E-09
3.286551,-0.9135434,13.67659,-23.15381,0.6000012,335.1,-1.334095E-08
3.330861,-0.9805285,13.69851,-23.01017,1.000001,335.5,0
3.375579,-1.047513,13.72043,-22.86653,1.000001,335.5,0
3.421912,-1.147608,13.75333,-22.6509,1.000001,335.6,-2.668449E-08
3.467923,-1.214081,13.77529,-22.50703,1.100001,335.7,0
3.513787,-1.279786,13.79729,-22.36281,1.100001,336,1.334267E-08
3.559764,-1.377573,13.83035,-22.14614,1.100001,336.2,0
3.607062,-1.44225,13.85243,-22.00147,0.9000011,336.4,0
3.653672,-1.506926,13.87451,-21.8568,0.9000011,336.4,0
3.70114,-1.603555,13.90765,-21.63963,0.800001,336.5,0
3.749145,-1.667974,13.92974,-21.49484,0.800001,336.5,0
3.796085,-1.73162,13.95189,-21.34973,0.800001,336.8,0
3.843898,-1.826313,13.98515,-21.13172,0.800001,337,1.334151E-08
