TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05020809,-1,15.27646,-33,359.7,359.7,0
0.09151284,-1,15.22152,-33,359.7,359.7,0
0.1374894,-1,15.13519,-33,359.7,359.7,0
0.1849962,-1,14.94684,-33,359.9,359.9,1.302757E-11
0.2301322,-1,14.78203,-33,359.9,1.334021E-08,7.765038E-19
0.273056,-1,14.58583,-33,0.4,0.6999999,-2.084459E-10
0.3165483,-1,14.35824,-33,0.9,0.9,0
0.3611584,-1,13.95799,-33,1,0.9,-8.338902E-10
0.4048237,-1,13.675,-33,1.6,0.9999999,8.340885E-10
0.449719,-1,13.675,-33,1.8,0.9,0
0.4936378,-1,13.675,-33,1.8,0.9,0
0.537611,-1,13.675,-33,2.6,1.2,0
0.5826059,-1,13.675,-33,4.400001,4,-1.337965E-08
0.6266068,-1,13.675,-33,4.400001,4.2,1.337965E-08
0.6707565,-1,13.675,-33,4.400001,4.2,1.337965E-08
0.7143264,-1,13.675,-33,4.400001,4.2,1.337965E-08
0.7595009,-1,13.675,-33,4.2,4.7,1.337614E-08
0.803762,-1,13.675,-33,3.300001,4.8,1.336237E-08
0.8473677,-1,13.675,-33,3.1,4.6,0
0.8915703,-1,13.675,-33,2.400001,4.399999,-6.675962E-09
0.9356225,-1,13.675,-33,1.700001,4.099999,0
0.9798933,-1,13.675,-33,0.5000008,4.099999,-1.66759E-09
1.023804,-1,13.675,-33,359.8,4.199999,-8.337684E-10
1.067599,-1,13.675,-33,359.4,4.5,-1.667618E-09
1.11265,-1,13.675,-33,359.3,4.5,0
1.156423,-1,13.675,-33,359.1,4.7,0
1.200968,-1,13.675,-33,359,4.8,-3.335561E-09
1.245373,-1,13.675,-33,358.6,5.299999,-6.672098E-09
1.289556,-1,13.675,-33,358.3,5.399999,0
1.333524,-1,13.675,-33,358,5.499999,-1.334834E-08
1.377396,-1,13.675,-33,357.7,5.499999,6.675484E-09
1.421786,-1,13.675,-33,357.3,5.599999,0
1.465559,-1,13.675,-33,357.1,5.799999,-1.335732E-08
1.509507,-1,13.675,-33,356.6,6.299999,0
1.553695,-1,13.675,-33,356.4,6.499999,1.336659E-08
1.59764,-1,13.675,-33,356.1,6.699998,0
1.641522,-1,13.675,-33,356,6.699999,0
1.685377,-1,13.675,-33,355.7,6.699999,2.675574E-08
1.729213,-1,13.675,-33,355.5,6.799999,0
1.773466,-1,13.675,-33,355.5,6.799999,0
1.816418,-1,13.675,-33,355.3,6.799999,0
1.860533,-1,13.675,-33,355.2,6.799999,-2.677433E-08
1.904579,-1,13.675,-33,355.2,6.799999,-2.677433E-08
1.948177,-1,13.675,-33,355.2,6.799999,-2.677433E-08
1.99245,-1,13.675,-33,355.2,6.799999,-2.677433E-08
2.035716,-1,13.675,-33,355.2,6.799999,-2.677433E-08
2.079301,-1,13.675,-33,355.2,6.799999,-2.677433E-08
2.123525,-1,13.675,-33,355.2,6.799999,-2.677433E-08
2.166368,-1,13.675,-33,355.2,6.799999,-2.677433E-08
2.210301,-1,13.675,-33,355,6.799999,0
2.254738,-1,13.675,-33,354.9,6.799999,0
2.298692,-0.9810554,13.675,-32.84113,354.6,6.8,2.679936E-08
2.341372,-0.9526384,13.675,-32.60281,354.5,6.799999,-2.680383E-08
2.385408,-0.9336938,13.675,-32.44394,354.3,6.599999,-2.6813E-08
2.42825,-0.9153038,13.675,-32.285,354.3,6.599999,-2.6813E-08
2.472559,-0.8969139,13.675,-32.12606,354.4,6.399999,2.680837E-08
2.516673,-0.8790789,13.675,-31.96706,354.4,6.399999,2.680837E-08
2.560364,-0.8523263,13.675,-31.72855,354.4,6.399999,2.680837E-08
2.603786,-0.8344913,13.675,-31.56955,354.4,5.899998,2.680837E-08
2.647441,-0.8180445,13.675,-31.4104,354.4,4.999999,2.680837E-08
2.691351,-0.8040996,13.675,-31.25101,354.3,4.599998,0
2.735095,-0.7912678,13.675,-31.09152,354.2,4.399999,1.340886E-08
2.778421,-0.7789927,13.675,-30.93199,354,4.199999,1.34137E-08
2.822693,-0.7614156,13.675,-30.69264,353.8,3.899998,-1.34187E-08
2.866832,-0.7505331,13.675,-30.53301,353.5,3.399999,-1.342652E-08
2.910718,-0.7410441,13.675,-30.37329,353.4,3.299998,1.342921E-08
2.953829,-0.7318339,13.675,-30.21356,353.3,3.199998,0
2.997514,-0.7229024,13.675,-30.0538,353.2,3.099998,-1.343472E-08
3.041544,-0.7099236,13.675,-29.81416,353.2,2.999999,0
3.085623,-0.7015498,13.675,-29.65438,353.2,2.999999,0
3.129491,-0.693176,13.675,-29.49459,353.2,2.999999,0
3.173577,-0.6848023,13.675,-29.33481,353.2,2.999999,0
3.21759,-0.6764286,13.675,-29.17503,353.2,2.999999,0
3.26148,-0.663868,13.675,-28.93536,353.2,2.999999,0
3.304594,-0.6554942,13.675,-28.77558,353.2,2.999999,0
3.348622,-0.6471204,13.675,-28.6158,353.2,2.999999,0
3.392384,-0.6387467,13.675,-28.45602,353.2,2.999999,0
3.436403,-0.6303729,13.675,-28.29624,353.2,2.999999,0
3.480659,-0.6178123,13.675,-28.05657,353.2,2.999999,0
3.524424,-0.6094385,13.675,-27.89679,353,2.799998,1.34404E-08
3.568964,-0.6016226,13.675,-27.73698,352.9,2.799998,0
3.611535,-0.5938066,13.675,-27.57717,352.8,2.799998,1.344624E-08
3.655762,-0.5859907,13.675,-27.41736,352.7,2.799998,0
3.699748,-0.5742667,13.675,-27.17765,352.6,2.699998,1.345225E-08
3.743575,-0.5667297,13.675,-27.01782,352.6,2.699998,1.345225E-08
3.786577,-0.5591927,13.675,-26.858,352.6,2.699998,1.345225E-08
3.830377,-0.5516557,13.675,-26.69818,352.4,2.699998,1.345844E-08
3.875504,-0.5441186,13.675,-26.53836,352.4,2.699998,1.345844E-08
3.919829,-0.5328131,13.675,-26.29862,352.4,2.699998,1.345844E-08
