TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0401794,-1,15.27646,-33,359.4,0,0
0.07355225,-1,15.25291,-33,358.8,0.1,-1.042433E-10
0.1100933,-1,15.18228,-33,358.1,359.9,-1.042777E-10
0.1526317,-1,15.08026,-33,356.8,358.3,0
0.182005,-1,14.94684,-33,354.6,355.9,-1.339968E-08
0.2170313,-1,14.86836,-33,352.9,353.8,0
0.2511559,-1,14.68786,-33,351.9,353.6,5.389856E-08
0.2851138,-1,14.47596,-33,350.7,353.7,0
0.3201928,-1,14.23267,-33,349.4,352.4,-5.428725E-08
0.3540465,-1,14.09926,-33,349.5,352.4,0
0.3870945,-1,13.80888,-33,349.5,352.4,0
0.4211478,-1,13.675,-33,349.3,352,0
0.4540947,-1,13.675,-33,349.2,351.9,5.432306E-08
0.4871535,-1,13.675,-33,349.2,351.9,5.432306E-08
0.5200152,-1,13.675,-33,349.2,351.9,5.432306E-08
0.5540311,-1,13.675,-33,349.2,351.9,5.432306E-08
0.5870463,-1,13.675,-33,349.2,351.9,5.432306E-08
0.6214485,-1,13.675,-33,345.9,352.3,0
0.6539613,-1,13.675,-33,340.2,354.1,0
0.6865079,-1,13.675,-33,333.6,357.6,0
0.7187755,-1,13.675,-33,330.1,359.6,0
0.7501008,-1,13.675,-33,329.5,0.5000002,0
0.7819434,-1,13.675,-33,330.4,1.5,3.068497E-08
0.807004,-1,13.675,-33,332.2,2.9,0
0.8272405,-1,13.675,-33,333.7,4.5,0
0.8465508,-1,13.675,-33,335.6,7.6,0
0.8663639,-1,13.675,-33,336.5,9.9,0
0.8906097,-1,13.675,-33,337.3,12.2,0
0.9154097,-1,13.675,-33,337.6,13,0
0.9406571,-1,13.675,-33,337.8,13.2,0
0.9656367,-1,13.675,-33,337.9,13.2,-2.303689E-07
0.9907333,-1,13.675,-33,338,13.2,0
1.015692,-1,13.675,-33,338.1,13.1,2.300443E-07
1.040904,-1,13.675,-33,338.5,12.9,2.29406E-07
1.065933,-1,13.675,-33,338.7,12.8,2.290924E-07
1.091942,-1,13.675,-33,339.3,12.1,0
1.117144,-1,13.675,-33,339.9,11.2,0
1.146211,-1,13.675,-33,340.2,10.8,-2.268549E-07
1.175069,-1,13.675,-33,340.2,10.8,-2.268549E-07
1.206153,-1,13.675,-33,340.2,10.8,-2.268549E-07
1.237222,-1,13.675,-33,340.2,10.8,-2.268549E-07
1.268229,-1,13.675,-33,340.2,10.8,-2.268549E-07
1.29913,-1,13.675,-33,340.2,10.4,0
1.331661,-1,13.675,-33,340.9,7.9,-2.258782E-07
1.362362,-1,13.675,-33,341.2,6.8,1.127363E-07
1.393165,-1,13.675,-33,341.3,6.4,0
1.425455,-1,13.675,-33,341.4,5.5,-5.630157E-08
1.456586,-1,13.675,-33,341.6,4.800001,-5.623585E-08
1.488539,-1,13.675,-33,342.2,4.1,-5.60437E-08
1.520738,-1,13.675,-33,343.6,2.7,2.781198E-08
1.552709,-1,13.675,-33,345.7,0.6000004,0
1.58555,-1,13.675,-33,348.3,359.1,0
1.618158,-1,13.675,-33,350.8,358.1,-1.351405E-08
1.651362,-1,13.675,-33,352.5,357.6,0
1.684227,-1,13.675,-33,353.8,357.6,0
1.71708,-1,13.675,-33,355.2,357.4,6.693582E-09
1.751064,-1,13.675,-33,357.1,356.9,0
1.785085,-1,13.675,-33,358.5,356.6,-3.336196E-09
1.819179,-1,13.675,-33,358.5,356.6,-3.336196E-09
1.853228,-1,13.675,-33,358.5,356.6,-3.336196E-09
1.888137,-1,13.675,-33,358.6,356.7,-6.672098E-09
1.923252,-1,13.675,-33,358.3,357.1,0
1.957141,-1,13.675,-33,358,357.4,0
1.99229,-1,13.675,-33,357.6,357.7,0
2.027138,-1,13.675,-33,356.9,358.2,-3.33994E-09
2.061439,-1,13.675,-33,356.4,358.4,3.341647E-09
2.096159,-1,13.675,-33,356.4,358.4,3.341647E-09
2.13095,-1,13.675,-33,356.4,358.4,3.341647E-09
2.165016,-1,13.675,-33,356.4,358.4,3.341647E-09
2.200201,-1,13.675,-33,356.4,358.4,3.341647E-09
2.233946,-1,13.675,-33,356.4,358.4,3.341647E-09
2.267845,-1,13.675,-33,356.4,358.4,3.341647E-09
2.302209,-1,13.675,-33,356.4,358.4,3.341647E-09
2.337155,-1,13.675,-33,356.4,358.4,3.341647E-09
2.37133,-1,13.675,-33,356.4,358.4,3.341647E-09
2.405052,-1,13.675,-33,356.4,358.4,3.341647E-09
2.440334,-1,13.675,-33,356.4,358.4,3.341647E-09
2.474184,-1,13.675,-33,356.4,358.4,3.341647E-09
2.50804,-1,13.675,-33,356.4,358.4,3.341647E-09
2.542118,-1,13.675,-33,356.4,358.4,3.341647E-09
2.576972,-1,13.675,-33,356.4,358.4,3.341647E-09
2.61112,-1,13.675,-33,356.4,358.4,3.341647E-09
2.645017,-1,13.675,-33,356.4,358.4,3.341647E-09
2.678956,-1,13.675,-33,356.4,358.4,3.341647E-09
2.713827,-1,13.675,-33,356.3,358.5,-3.342019E-09
2.748122,-1,13.675,-33,356.3,358.5,-3.342019E-09
2.781963,-1,13.675,-33,356.3,358.6,-3.34202E-09
2.817088,-1,13.675,-33,356.3,358.6,-3.34202E-09
2.851095,-1,13.675,-33,356.3,358.7,3.342019E-09
2.885285,-1,13.675,-33,356.3,358.7,3.342019E-09
2.919082,-1,13.675,-33,356.3,358.7,3.342019E-09
2.954122,-1,13.675,-33,356.3,358.7,3.342019E-09
2.988013,-1,13.675,-33,356.3,358.7,3.342019E-09
3.022084,-1,13.675,-33,356.3,358.7,3.342019E-09
3.056907,-1,13.675,-33,356.3,358.7,3.342019E-09
3.091278,-1,13.675,-33,356.3,358.7,3.342019E-09
3.125006,-1,13.675,-33,356.3,358.7,3.342019E-09
3.15912,-1.00363,13.675,-32.84004,356.5,358.9,0
3.193259,-1.005166,13.675,-32.76006,356.5,358.9,0
3.228015,-1.008237,13.675,-32.60009,356.5,358.9,0
3.262344,-1.011309,13.675,-32.44011,356.5,358.9,0
