TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01786609,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.03647933,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.05549694,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.07478653,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.09388881,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.1119735,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.1308972,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.1498779,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.1689063,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.1879013,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.2068856,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.2259068,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.244696,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.2629752,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.2829314,-0.6947657,22.27023,43.12,359.8,0.1999971,0
0.3020244,-0.6947657,22.27023,43.12,359.9,0.09999713,-6.513785E-12
0.3210656,-0.6947657,22.27023,43.12,3.324123E-06,0.09999713,0
0.3399344,-0.6947657,22.27023,43.12,0.1000033,-2.865869E-06,0
0.3580345,-0.6947657,22.27023,43.12,0.1000033,-2.865869E-06,0
0.3771989,-0.6947657,22.27023,43.12,0.2000033,-2.865869E-06,0
0.3961405,-0.6947657,22.27023,43.12,0.2000033,-2.865869E-06,0
0.4159048,-0.6947657,22.27023,43.12,0.2000033,-2.865869E-06,0
0.4350604,-0.6947657,22.27023,43.12,0.4000033,-2.865869E-06,7.95158E-16
0.453375,-0.6947657,22.27023,43.12,0.5000033,359.9,-2.60561E-11
0.4730644,-0.6947657,22.27023,43.12,0.8000035,359.8,0
0.4919706,-0.6947657,22.27023,43.12,0.9000034,359.8,0
0.5109805,-0.6947657,22.27023,43.12,1.000004,359.8,-1.042363E-10
0.5300049,-0.6947657,22.27023,43.12,1.100003,359.8,0
0.5490876,-0.6947657,22.27023,43.12,1.400003,359.7,0
0.5681006,-0.6947657,22.27023,43.12,1.500003,359.6,4.170246E-10
0.5868704,-0.6947657,22.27023,43.12,1.500003,359.6,4.170246E-10
0.6071467,-0.6947657,22.27023,43.12,1.600004,359.6,0
0.6261597,-0.6947657,22.27023,43.12,1.700004,359.6,0
0.6450557,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.6639302,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.6837935,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.7028855,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.7218939,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.7409059,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.7598512,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.77884,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.7981152,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.8181638,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.8371711,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.8559316,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.8749158,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.8940156,-0.6947657,22.27023,43.12,1.900003,359.5,0
0.9129111,-0.6947657,22.27023,43.12,2.000004,359.6,-4.171358E-10
0.9320005,-0.6947657,22.27023,43.12,2.300003,0.2999972,-4.172177E-10
0.9519018,-0.6947657,22.27023,43.12,2.600003,1.099997,3.33849E-09
0.9720422,-0.6947657,22.27023,43.12,3.100004,2.199997,0
0.9908699,-0.6947657,22.27023,43.12,3.300004,2.699997,0
1.010984,-0.6947657,22.27023,43.12,3.600004,3.399997,0
1.029929,-0.6947657,22.27023,43.12,3.800004,4.199997,2.673921E-08
1.050111,-0.6947657,22.27023,43.12,3.900003,4.699997,1.337118E-08
1.068992,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.088965,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.108898,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.128014,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.148083,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.168054,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.186843,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.207077,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.227192,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.246015,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.266071,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.28617,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.30489,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.32501,-0.6947657,22.27023,43.12,3.900003,5.099997,1.337118E-08
1.345031,-0.6947657,22.27023,43.12,3.900003,5.199997,1.337118E-08
1.363968,-0.6947657,22.27023,43.12,3.900004,5.299997,1.337118E-08
1.383886,-0.6947657,22.27023,43.12,3.900004,5.299997,1.337118E-08
1.403991,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.423922,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.443038,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.462928,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.482949,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.501854,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.521995,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.541966,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.560976,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.580913,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.599913,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.619982,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.639859,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.658887,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.678879,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.69903,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.718113,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.73814,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.757004,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.777071,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.796001,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.815901,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.836122,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.855036,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.874897,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.894057,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.914042,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.933981,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.953015,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.972918,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
1.992908,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.011953,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.031979,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.050992,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.070948,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.090994,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.109997,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.129837,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.149895,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.16885,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.188849,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.208848,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.228062,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.247905,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.268044,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.287979,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.307972,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.328018,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.346985,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.366877,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.387189,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.407146,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.427175,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.447017,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.466997,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.487131,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.507084,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.52707,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.54693,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.566942,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.587089,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.607136,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.627146,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.646906,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.667031,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.686889,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.707939,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.728065,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.747981,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.768073,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.787885,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.807907,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.828974,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.849043,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.869031,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.889141,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.908989,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.928896,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.949786,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.969984,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
2.989854,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.009978,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.03097,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.050976,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.070942,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.09098,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.111971,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.131961,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.151905,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.171978,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.193023,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.213012,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.232933,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.253155,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.273943,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.29414,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.314041,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.333979,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.353958,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
3.37503,-0.6947657,22.27023,43.12,3.800004,5.399997,1.336961E-08
