TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05216604,-1,15.25291,-33,0,0,0
0.09971212,-1,15.18228,-33,0.1,0.1,6.513785E-12
0.1488264,-1,15.01747,-33,0.1,0.2,0
0.2008082,-1,14.86836,-33,359.9,0.4,0
0.248888,-1,14.58583,-33,359.7,0.5000001,0
0.295496,-1,14.35824,-33,359.6,0.5,-1.042229E-10
0.3435645,-1,13.95799,-33,359.6,0.5,-1.042229E-10
0.3918639,-1,13.675,-33,359.5,0.6000001,2.084488E-10
0.4386772,-1,13.675,-33,359.5,0.6000001,2.084488E-10
0.4865199,-1,13.675,-33,359.2,0.7,8.338447E-10
0.5347834,-0.9980453,13.675,-32.84001,359.1,0.7,0
0.5814622,-0.9960905,13.675,-32.68002,358.6,0.7,8.340122E-10
0.6296241,-0.9931585,13.675,-32.44004,358,0.7,-8.342715E-10
0.6777485,-0.9920415,13.675,-32.28004,357.5,0.4000001,0
0.7247537,-0.9920415,13.675,-32.04005,356.9,5.619898E-08,0
0.7727258,-0.9928792,13.675,-31.88005,356.4,359.7,0
0.8205505,-0.9945547,13.675,-31.72006,356,359.4,1.671598E-09
0.8681176,-0.9991621,13.675,-31.4801,355.5,358.9,0
0.9156745,-1.002234,13.675,-31.32013,355.5,358.9,0
0.9635834,-1.00726,13.675,-31.08018,355.4,358.8,0
1.01151,-1.010611,13.675,-30.92022,355.3,358.8,0
1.058746,-1.01452,13.675,-30.76027,355,358.6,0
1.10678,-1.020802,13.675,-30.52035,354.8,358.5,0
1.15474,-1.02527,13.675,-30.36041,354.6,358.4,6.699841E-09
1.202549,-1.029737,13.675,-30.20047,354.5,358.4,0
1.251055,-1.036857,13.675,-29.96058,354.4,358.3,0
1.298743,-1.041604,13.675,-29.80065,354.2,358.3,0
1.346516,-1.048724,13.675,-29.56075,354,358.3,0
1.394583,-1.053749,13.675,-29.40083,353.8,358.2,0
1.442029,-1.059054,13.675,-29.24092,353.6,358.1,-1.342387E-08
1.489634,-1.06743,13.675,-29.00107,353.1,358,1.343754E-08
1.537655,-1.073014,13.675,-28.84117,353.1,358,1.343754E-08
1.585565,-1.08139,13.675,-28.60131,353.1,358,1.343754E-08
1.633859,-1.086974,13.675,-28.44141,353,358,0
1.681798,-1.092558,13.675,-28.28151,353,358,0
1.729636,-1.100934,13.675,-28.04165,353,358,0
1.776566,-1.106517,13.675,-27.88175,353,358,0
1.824681,-1.114893,13.675,-27.6419,353,358,0
1.872659,-1.120477,13.675,-27.48199,353,358,0
1.920623,-1.126061,13.675,-27.32209,353,358,0
1.968693,-1.134437,13.675,-27.08224,353,358,0
2.015718,-1.140021,13.675,-26.92233,353,358,0
2.063661,-1.148397,13.675,-26.68248,353,358,0
2.111534,-1.153981,13.675,-26.52258,353,358,0
2.159641,-1.159565,13.675,-26.36268,353,358,0
2.207804,-1.167941,13.675,-26.12282,353,358,0
2.255735,-1.173524,13.675,-25.96292,353,358,0
2.303841,-1.1819,13.675,-25.72307,352.8,358,2.689248E-08
2.35164,-1.188042,13.675,-25.56318,352.2,357.8,1.346479E-08
2.400867,-1.194184,13.675,-25.4033,352.2,357.8,1.346479E-08
2.44855,-1.203398,13.675,-25.16348,352.2,357.8,1.346479E-08
2.496417,-1.209819,13.675,-25.00361,352.1,357.7,0
2.544593,-1.21945,13.675,-24.7638,352.1,357.7,0
2.592703,-1.225871,13.675,-24.60393,352.1,357.7,0
2.640826,-1.232292,13.675,-24.44406,352.1,357.7,0
2.688523,-1.241924,13.675,-24.20425,352,357.7,0
2.736499,-1.248345,13.675,-24.04438,351.9,357.7,1.347464E-08
2.78479,-1.258814,13.675,-23.80461,351.6,357.5,-2.696975E-08
2.832837,-1.265793,13.675,-23.64476,351.6,357.5,-2.696975E-08
2.880875,-1.273051,13.675,-23.48493,351.5,357.4,0
2.929729,-1.284356,13.675,-23.24519,351.4,357.3,0
2.979509,-1.292172,13.68703,-23.08538,351.3,357.2,2.699099E-08
3.031679,-1.304455,13.72319,-22.84844,351.2,357.1,0
3.083611,-1.31843,13.75933,-22.61159,350.9,356.7,0
3.136899,-1.328874,13.78341,-22.45376,350.8,356.3,0
3.188642,-1.346653,13.81952,-22.21716,350.7,355.8,0
3.241595,-1.359914,13.84357,-22.05953,350.7,355.3,5.407159E-08
3.294803,-1.382759,13.87961,-21.82336,350.6,354.6,0
3.347873,-1.408976,13.9156,-21.58752,350.5,353.8,0
3.400806,-1.427295,13.93958,-21.43039,350.3,353.5,0
3.453645,-1.457718,13.97549,-21.19505,350.2,352.8,0
3.506654,-1.49066,14.01135,-20.96004,350.1,352.2,5.416744E-08
3.559963,-1.517086,14.03515,-20.80405,349.8,350.6,-5.421773E-08
3.612878,-1.567537,14.07055,-20.5721,349,348,1.087192E-07
3.664975,-1.626641,14.10564,-20.34215,348.3,345.9,0
3.717797,-1.667136,14.12899,-20.18913,348.3,345.5,0
3.77049,-1.732799,14.16469,-19.96102,348.1,344.3,0
3.822575,-1.779314,14.18891,-19.80986,348,343.3,0
3.874746,-1.851916,14.2251,-19.58398,347.9,342.6,0
3.925651,-1.926934,14.26117,-19.35888,347.8,342,-2.183752E-07
3.976465,-1.976946,14.28521,-19.20881,347.8,342,-2.183752E-07
4.026674,-2.051965,14.32128,-18.98371,347.8,342,-2.183752E-07
4.075535,-2.101977,14.34532,-18.83364,347.8,342,-2.183752E-07
4.125707,-2.176995,14.38139,-18.60854,347.8,342,-2.183752E-07
4.176644,-2.227007,14.40544,-18.45847,347.8,342,-2.183752E-07
4.226431,-2.302025,14.4415,-18.23336,347.8,342,-2.183752E-07
4.27747,-2.352037,14.46555,-18.0833,347.8,342,-2.183752E-07
4.329462,-2.42826,14.50155,-17.85859,347.6,341.7,0
4.381437,-2.479075,14.52556,-17.70878,347.6,341.7,0
4.433515,-2.555299,14.56156,-17.48407,347.6,341.7,0
4.4856,-2.63112,14.59759,-17.25923,347.4,341.8,0
4.538551,-2.680328,14.62167,-17.10891,347.2,342.3,2.188828E-07
4.590617,-2.734143,14.65868,-16.87796,348,347.2,-1.091059E-07
4.642622,-2.745446,14.68392,-16.72037,350.5,356,2.705142E-08
4.694705,-2.742477,14.72189,-16.48341,351.5,0.699999,0
4.747597,-2.722563,14.75973,-16.24725,352.1,4.699999,0
4.803813,-2.684918,14.79669,-16.01354,352.6,8.900001,0
4.861644,-2.628765,14.81734,-15.87823,353,13.5,0
4.91903,-2.481659,14.84164,-15.71902,353.5,20.3,-1.074122E-07
4.976843,-2.327507,14.86704,-15.55251,354.1,26.9,-1.0729E-07
5.034876,-2.16781,14.89268,-15.38453,354.3,31.2,-2.14504E-07
5.087703,-2.004386,14.91803,-15.21839,354.3,32.6,0
5.140663,-1.894588,14.93482,-15.10839,354.3,32.7,-1.07252E-07
5.190428,-1.729745,14.95997,-14.94354,354.3,32.7,-1.07252E-07
5.238283,-1.619851,14.97674,-14.83364,354.3,32.7,-1.07252E-07
5.286193,-1.455006,15.0019,-14.66879,354.3,32.7,-1.07252E-07
5.334471,-1.345108,15.01867,-14.5589,354.3,32.7,-1.07252E-07
5.38237,-1.235245,15.03544,-14.44896,354.3,32.7,-1.07252E-07
5.43051,-1.070462,15.06059,-14.28417,354.3,32.6,-1.07252E-07
5.479674,-0.96065,15.07735,-14.17436,354.2,32.5,-1.072708E-07
5.527619,-0.7960609,15.10246,-14.00977,354.1,32.3,1.0729E-07
5.577574,-0.6865565,15.11917,-13.90027,354.1,31.8,1.0729E-07
5.626452,-0.5227157,15.14417,-13.73643,354,31.2,1.073096E-07
5.676968,-0.413877,15.16078,-13.62759,354,30.4,1.073096E-07
5.727592,-0.2526476,15.18539,-13.46636,353.8,27.9,0
5.779437,-0.1455171,15.20173,-13.35923,353.8,27.3,-1.073496E-07
5.832776,0.01376625,15.22604,-13.19994,353.9,25.8,0
5.885539,0.1714201,15.2501,-13.04229,353.9,24.2,1.073294E-07
5.938747,0.2752006,15.26593,-12.93851,353.9,22.4,0
5.991907,0.428731,15.28936,-12.78498,353.9,20.6,1.073294E-07
6.045523,0.5812601,15.31264,-12.63245,354,19.8,0
6.103609,0.7306035,15.33543,-12.48311,354,17.4,0
6.161807,0.8278626,15.35027,-12.38585,354,15,-5.365478E-08
6.218854,0.9705127,15.37204,-12.2432,354,12.9,0
