TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04802441,-1,15.25291,-33,0,0,0
0.1170991,-1,15.13519,-33,359.9,0.3,0
0.1833793,-1,14.86836,-33,359.9,0.3,0
0.2768331,-1,14.47596,-33,359.9,0.3,0
0.3185555,-1,14.23267,-33,359.9,0.3,0
0.3856439,-1,13.675,-33,359.9,0.3,0
0.4512138,-1,13.675,-33,359.9,0.3,0
0.5173534,-1,13.675,-33,359.9,0.3,0
0.5853018,-1,13.675,-33,359.9,0.3,0
0.653127,-1,13.675,-33,359.8,0.4,0
0.716943,-1,13.675,-33,359.6,0.2,0
0.7826412,-1,13.675,-33,359.6,0.2,0
0.8674505,-1,13.675,-33,359.4,0.09999999,0
0.9166731,-1,13.675,-33,359.3,0.09999999,5.21141E-11
0.980993,-1,13.675,-33,359.3,0.09999999,5.21141E-11
1.048653,-1,13.675,-33,359.3,0.09999999,5.21141E-11
1.115548,-1,13.675,-33,359,-5.960463E-09,0
1.182401,-1,13.675,-33,359,-5.960463E-09,0
1.247246,-1,13.675,-33,359,-5.960463E-09,0
1.314424,-1,13.675,-32.76,359,-5.960463E-09,0
1.382863,-1,13.675,-32.44,359,-5.960463E-09,0
1.44798,-1,13.675,-32.2,359,-5.960463E-09,0
1.51406,-1,13.675,-31.96,358.9,-5.960463E-09,0
1.580725,-1,13.675,-31.72,358.9,-5.960463E-09,0
1.647301,-1,13.675,-31.4,358.9,-5.960463E-09,0
1.715788,-1,13.675,-31.16,358.9,-5.960463E-09,0
1.781916,-1,13.675,-30.84,358.9,-5.960463E-09,0
1.849519,-1,13.675,-30.6,358.8,-5.960463E-09,0
1.915216,-1.000419,13.675,-30.36,358.2,359.9,0
1.984458,-1.000977,13.675,-30.04,358.1,359.9,-1.042777E-10
2.053174,-1.001396,13.675,-29.8,358.1,359.9,-1.042777E-10
2.120871,-1.001815,13.675,-29.56,358.1,359.9,-1.042777E-10
2.188727,-1.002374,13.675,-29.24,358.1,359.9,-1.042777E-10
2.256677,-1.002792,13.675,-29,358.1,359.9,-1.042777E-10
2.32542,-1.004468,13.675,-28.68001,357.8,359.7,4.171891E-10
2.394638,-1.012425,13.675,-28.44014,357.1,358.1,0
2.46215,-1.027499,13.675,-28.12049,356.5,357.3,6.68257E-09
2.530561,-1.038805,13.675,-27.88076,356.5,357.3,6.68257E-09
2.599139,-1.050947,13.675,-27.64107,356.3,357.1,6.684037E-09
2.669723,-1.067137,13.675,-27.32148,356.3,357.1,6.684037E-09
2.737397,-1.079279,13.675,-27.08179,356.3,357.1,6.684037E-09
2.808597,-1.096027,13.675,-26.76222,356.2,357,-6.684803E-09
2.875346,-1.116944,13.675,-26.52314,355.6,355,0
2.944134,-1.148171,13.675,-26.20466,355.4,354.4,0
3.014232,-1.171591,13.675,-25.96581,355.4,354.4,0
3.081796,-1.202817,13.675,-25.64734,355.4,354.4,0
3.151864,-1.226237,13.675,-25.40848,355.4,354.4,0
3.23853,-1.257463,13.675,-25.09001,355.4,354.4,0
3.290903,-1.280883,13.675,-24.85115,355.4,354.4,0
3.360939,-1.304303,13.675,-24.6123,355.4,354.4,0
3.432119,-1.33553,13.675,-24.29383,355.4,354.4,0
3.50108,-1.359367,13.675,-24.05501,355.4,354.3,0
3.56945,-1.391705,13.675,-23.73665,355.4,354.2,-2.676664E-08
3.64005,-1.415958,13.675,-23.49788,355.4,354.2,-2.676664E-08
3.709468,-1.448296,13.675,-23.17952,355.4,354.2,-2.676664E-08
3.781455,-1.482032,13.72081,-22.86403,355.4,354,0
3.851389,-1.517908,13.75661,-22.62945,355.5,351.5,2.676293E-08
3.920906,-1.566702,13.79205,-22.39715,355.5,348.4,-5.352585E-08
