TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03704563,-1,15.27646,-33,0,0,0
0.06905164,-1,15.25291,-33,0,0,0
0.1029861,-1,15.18228,-33,0,0,0
0.1400527,-1,15.08026,-33,0,0,0
0.1720988,-1,14.94684,-33,359.2,0.09999999,0
0.2038928,-1,14.86836,-33,358.4,0.09999999,0
0.23565,-1,14.68786,-33,358,0.1,-2.085679E-10
0.2687782,-1,14.58583,-33,358,0.1,-2.085679E-10
0.3006272,-1,14.35824,-33,358,0.1,-2.085679E-10
0.3337026,-1,14.09926,-33,358,0.1,-2.085679E-10
0.3650277,-1,13.95799,-33,358,0.1,-2.085679E-10
0.3973052,-1,13.675,-33,357.3,359.7,0
0.4303488,-1,13.675,-33,355.8,358.7,-3.344034E-09
0.4624723,-1,13.675,-33,353.5,357.5,0
0.4939882,-1,13.675,-33,351.5,356.4,0
0.5269271,-1,13.675,-33,351.1,356.1,5.401115E-08
0.5602201,-1,13.675,-33,351.1,356.1,5.401115E-08
0.5917032,-1,13.675,-33,351.1,356.1,5.401115E-08
0.6237903,-1,13.675,-33,351.1,356.1,5.401115E-08
0.655004,-1,13.675,-33,351.1,356.1,5.401115E-08
0.6871604,-1,13.675,-33,351.1,356.1,5.401115E-08
0.7179225,-1,13.675,-33,351.1,356.1,5.401115E-08
0.7487103,-1,13.675,-33,351.1,356.1,5.401115E-08
0.7811058,-1.010882,13.675,-32.84037,351.1,356.1,5.401115E-08
0.812434,-1.019814,13.675,-32.68062,351.3,356.8,0
0.8433536,-1.023024,13.675,-32.60069,351.6,357.7,2.696975E-08
0.8750415,-1.027492,13.675,-32.44075,351.8,358.4,0
0.9068258,-1.028888,13.675,-32.36076,352,359,-6.735658E-09
0.938798,-1.030843,13.675,-32.20077,352.1,359.3,0
0.9710139,-1.032239,13.675,-32.04078,352.2,359.5,-3.366198E-09
1.002907,-1.032658,13.675,-31.96078,352.3,359.7,-1.682699E-09
1.034786,-1.033496,13.675,-31.80078,352.3,359.7,-1.682699E-09
