TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03930806,-2.284733,22.27023,42.92181,356.5,334.4,0
0.08000164,-2.284733,22.27023,42.92181,356.5,334.4,0
0.1199322,-2.284733,22.27023,42.92181,356.5,334.4,0
0.1598129,-2.284733,22.27023,42.92181,356.5,334.4,0
0.1987972,-2.284733,22.27023,42.92181,356.5,334.4,0
0.2398961,-2.284733,22.27023,42.92181,356.5,334.4,0
0.2786469,-2.284733,22.27023,42.92181,356.5,334.4,0
0.3188612,-2.284733,22.27023,42.92181,356.5,334.4,0
0.3586911,-2.284733,22.27023,42.92181,356.5,334.4,0
0.3987633,-2.284733,22.27023,42.92181,356.5,334.4,0
0.4386938,-2.284733,22.27023,42.92181,356.5,334.4,0
0.4788301,-2.284733,22.27023,42.92181,356.5,334.4,0
0.518697,-2.284733,22.27023,42.92181,356.5,334.4,0
0.5588132,-2.284733,22.27023,42.92181,356.5,334.4,0
0.5988305,-2.284733,22.27023,42.92181,356.5,334.4,0
0.6387205,-2.284733,22.27023,42.92181,356.5,334.4,0
0.678829,-2.284733,22.27023,42.92181,356.5,334.4,0
0.7186543,-2.284733,22.27023,42.92181,356.5,334.4,0
0.7587619,-2.284733,22.27023,42.92181,356.5,334.4,0
0.797702,-2.284733,22.27023,42.92181,356.5,334.4,0
0.8387409,-2.284733,22.27023,42.92181,356.5,334.4,0
0.8778843,-2.284733,22.27023,42.92181,356.5,334.4,0
0.9179692,-2.284733,22.27023,42.92181,356.5,334.4,0
0.9578449,-2.284733,22.27023,42.92181,356.5,334.4,0
0.9980817,-2.284733,22.27023,42.92181,356.5,334.4,0
1.037942,-2.284733,22.27023,42.92181,356.5,335.6,-5.346056E-08
1.077924,-2.284733,22.27023,42.92181,356.5,337.1,0
1.118046,-2.284733,22.27023,42.92181,356.5,337.1,0
1.158772,-2.284733,22.27023,42.92181,356.4,336.6,-5.346635E-08
1.198807,-2.284733,22.27023,42.92181,356.4,336.6,-5.346635E-08
1.238754,-2.284733,22.27023,42.92181,356.4,336.6,-5.346635E-08
1.278926,-2.284733,22.27023,42.92181,356.4,336.6,-5.346635E-08
1.319836,-2.284733,22.27023,42.92181,356.4,336.6,-5.346635E-08
1.359824,-2.284733,22.27023,42.92181,356.4,336.6,-5.346635E-08
1.400022,-2.284733,22.27023,42.92181,356.4,336.5,0
1.439942,-2.284733,22.27023,42.92181,356.4,335.3,-5.346635E-08
1.479904,-2.284733,22.27023,42.92181,356.2,332.4,0
1.520752,-2.284733,22.27023,42.92181,355.5,329.1,1.070517E-07
1.560733,-2.284733,22.27023,42.92181,355.2,328.4,2.141946E-07
1.599921,-2.284733,22.27023,42.92181,355.2,328.4,2.141946E-07
1.636652,-2.284733,22.27023,42.92181,355.2,328,-1.070973E-07
1.673604,-2.284733,22.27023,42.92181,355.2,326.2,0
1.709474,-2.284733,22.27023,42.92181,354.9,324.5,1.071459E-07
1.745343,-2.284733,22.27023,42.92181,354.3,322,0
1.777365,-2.284733,22.27023,42.92181,354,320.9,0
1.807213,-2.284733,22.27023,42.92181,354,320.9,0
1.832152,-2.284733,22.27023,42.92181,354,320.9,0
1.85614,-2.335295,22.27024,42.98381,354,320.8,2.146191E-07
1.8802,-2.385857,22.27023,43.0458,354,320.8,2.146191E-07
1.904021,-2.43642,22.27023,43.1078,354,320.8,2.146191E-07
1.927176,-2.537761,22.27023,43.23161,354.1,320.7,0
1.951094,-2.588431,22.27023,43.29352,354.2,320.7,0
1.973985,-2.638885,22.27023,43.3556,354.6,320.9,-1.071974E-07
1.997306,-2.689013,22.27023,43.41795,354.9,321.2,1.071459E-07
2.02014,-2.738924,22.27024,43.48047,355.1,321.4,1.071132E-07
2.043183,-2.788834,22.27023,43.54299,355.1,321.4,1.071132E-07
2.06634,-2.888655,22.27024,43.66804,355.1,321.4,1.071132E-07
2.089148,-2.938565,22.27023,43.73056,355.1,321.4,1.071132E-07
2.111983,-2.988476,22.27023,43.79308,355.1,321.4,1.071132E-07
2.133977,-3.038386,22.27023,43.8556,355.1,321.4,1.071132E-07
2.156901,-3.088296,22.27023,43.91812,355.1,321.4,1.071132E-07
2.179013,-3.138098,22.27024,43.98073,355.2,321.5,1.070973E-07
2.200074,-3.187899,22.27023,44.04334,355.2,321.5,1.070973E-07
2.222036,-3.2377,22.27023,44.10595,355.2,321.5,1.070973E-07
2.24408,-3.287501,22.27024,44.16856,355.2,321.5,1.070973E-07
2.265295,-3.387103,22.27023,44.29377,355.2,321.5,1.070973E-07
