TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04549984,-1,15.25291,-33,0,0,0
0.08577931,-1,15.18228,-33,0,0,0
0.1284675,-1,15.08026,-33,0,0,0
0.1733916,-1,14.94684,-33,0,0,0
0.2145809,-1,14.78203,-33,0,0,0
0.2544632,-1,14.58583,-33,0,0,0
0.2955617,-1,14.35824,-33,359.9,359.8,0
0.3369506,-1,14.09926,-33,359.9,359.8,0
0.3773681,-1,13.80888,-33,359.9,359.8,0
0.4194565,-1,13.675,-33,359.9,359.8,0
0.4597626,-1,13.675,-33,359.9,359.8,0
0.5005773,-1,13.675,-33,359.9,359.8,0
0.5414212,-1,13.675,-33,359.9,359.8,0
0.5828666,-1,13.675,-33,359.9,359.8,0
0.6234298,-1,13.675,-33,359.9,359.8,0
0.6645391,-1,13.675,-33,359.9,359.8,0
0.7066675,-1,13.675,-33,359.9,359.8,0
0.7474411,-1,13.675,-33,359.9,359.8,0
0.788399,-1,13.675,-33,359.9,359.8,0
0.8293332,-1,13.675,-33,359.9,359.8,0
0.8707345,-1.000558,13.675,-32.84,359.9,359.8,0
0.911346,-1.001117,13.675,-32.68,359.8,359.7,0
0.9537945,-1.001955,13.675,-32.52,359.8,359.7,0
0.994837,-1.002792,13.675,-32.36001,359.8,359.7,0
1.036071,-1.00363,13.675,-32.20001,359.8,359.7,0
1.076622,-1.004468,13.675,-32.04001,359.8,359.7,0
1.117777,-1.005306,13.675,-31.88001,359.8,359.7,0
1.158672,-1.006144,13.675,-31.72001,359.8,359.7,0
1.200605,-1.006981,13.675,-31.56002,359.8,359.7,0
1.241382,-1.007819,13.675,-31.40002,359.8,359.7,0
1.283814,-1.009076,13.675,-31.16002,359.8,359.7,0
1.324597,-1.009913,13.675,-31.00002,359.8,359.7,0
1.365544,-1.010751,13.675,-30.84003,359.8,359.7,0
1.407675,-1.011589,13.675,-30.68003,359.8,359.7,0
1.448917,-1.012427,13.675,-30.52003,359.8,359.7,0
1.490408,-1.013264,13.675,-30.36003,359.8,359.7,0
1.531765,-1.014102,13.675,-30.20004,359.8,359.7,0
1.573879,-1.01494,13.675,-30.04004,359.8,359.7,0
1.614902,-1.015778,13.675,-29.88004,359.8,359.7,0
1.656678,-1.016616,13.675,-29.72004,359.8,359.7,0
1.697553,-1.017453,13.675,-29.56005,359.8,359.6,0
1.739665,-1.01857,13.675,-29.40005,359.8,359.6,0
1.780598,-1.019687,13.675,-29.24005,359.8,359.6,0
1.822626,-1.020804,13.675,-29.08006,359.8,359.6,0
1.865125,-1.02248,13.675,-28.84006,359.8,359.6,0
1.905715,-1.023597,13.675,-28.68007,359.8,359.6,0
1.947867,-1.024714,13.675,-28.52007,359.8,359.6,0
1.989545,-1.025831,13.675,-28.36007,359.8,359.6,0
2.030424,-1.026948,13.675,-28.20008,359.8,359.6,0
2.072546,-1.028065,13.675,-28.04008,359.8,359.6,0
2.114998,-1.029182,13.675,-27.88008,359.8,359.6,0
2.156469,-1.030299,13.675,-27.72009,359.8,359.6,0
2.197681,-1.031416,13.675,-27.56009,359.8,359.6,0
2.240616,-1.032533,13.675,-27.4001,359.8,359.6,0
2.283039,-1.034208,13.675,-27.1601,359.8,359.6,0
2.323676,-1.035325,13.675,-27.00011,359.8,359.6,0
2.366019,-1.036442,13.675,-26.84011,359.8,359.6,0
2.407434,-1.037559,13.675,-26.68011,359.8,359.6,0
2.449474,-1.038676,13.675,-26.52012,359.8,359.6,0
2.491552,-1.039793,13.675,-26.36012,359.8,359.6,0
2.533982,-1.04091,13.675,-26.20013,359.8,359.6,0
2.57562,-1.042027,13.675,-26.04013,359.8,359.6,0
2.618801,-1.043144,13.675,-25.88013,359.8,359.6,0
2.661435,-1.044261,13.675,-25.72014,359.8,359.6,0
2.705656,-1.045937,13.675,-25.48014,359.8,359.6,0
2.749496,-1.047054,13.675,-25.32015,359.8,359.6,0
2.793828,-1.048171,13.675,-25.16015,359.8,359.6,0
2.838553,-1.049288,13.675,-25.00016,359.8,359.6,0
2.88398,-1.050963,13.675,-24.76016,359.8,359.6,0
2.929478,-1.05208,13.675,-24.60017,359.8,359.6,0
2.974684,-1.053197,13.675,-24.44017,359.8,359.6,0
3.020721,-1.054314,13.675,-24.28017,359.8,359.6,0
3.067893,-1.05599,13.675,-24.04018,359.8,359.6,0
3.114749,-1.057107,13.675,-23.88018,359.8,359.6,0
3.161689,-1.058224,13.675,-23.72019,359.8,359.6,0
