TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02859276,-1,15.29215,-33,0,0,0
0.0544119,-1,15.27646,-33,359.8,0.09999999,-1.302763E-11
0.08113727,-1,15.22152,-33,359.5,0.1,-2.60561E-11
0.1092697,-1,15.18228,-33,359.2,0.2,0
0.1340574,-1,15.13519,-33,359.1,0.2,1.042333E-10
0.1590657,-1,15.01747,-33,359,0.2,0
0.1852153,-1,14.94684,-33,358.9,0.2,0
0.2099938,-1,14.86836,-33,358.7,0.1,0
0.2351176,-1,14.78203,-33,358.7,0.1,0
0.2599817,-1,14.58583,-33,358.6,0.1,0
0.2850906,-1,14.47596,-33,358.6,0.1,0
0.3100441,-1,14.35824,-33,358.6,0.1,0
0.335155,-1,14.23267,-33,358.6,0.1,0
0.3600848,-1,13.95799,-33,358.6,0.1,0
0.3850742,-1,13.80888,-33,358.6,0.1,0
0.4099994,-1,13.675,-33,358.5,7.379745E-09,-1.24283E-17
0.4353454,-1,13.675,-33,358.2,359.9,0
0.4601947,-1,13.675,-33,357.5,359.5,8.345577E-10
0.4852656,-1,13.675,-33,357.2,359.4,0
0.5109636,-1,13.675,-33,356.7,359.3,0
0.5359689,-1,13.675,-33,356.7,359.3,0
0.5620179,-1,13.675,-33,356.7,359.3,0
0.5871387,-1,13.675,-33,356.7,359.3,0
0.6119428,-1,13.675,-33,356.7,359.3,0
0.6371569,-1.000977,13.675,-32.92001,356.7,359.3,0
0.661939,-1.002932,13.675,-32.76002,356.7,359.3,0
0.6871952,-1.003909,13.675,-32.68002,356.7,359.3,0
0.7131205,-1.004887,13.675,-32.60003,356.7,359.3,0
0.7380447,-1.005864,13.675,-32.52003,356.7,359.3,0
0.7631074,-1.007819,13.675,-32.36005,356.7,359.3,0
0.7881163,-1.008796,13.675,-32.28005,356.7,359.3,0
0.8130882,-1.009774,13.675,-32.20006,356.7,359.3,0
0.8381945,-1.010751,13.675,-32.12006,356.7,359.3,0
0.8631562,-1.012706,13.675,-31.96008,356.7,359.3,0
0.8881055,-1.013683,13.675,-31.88008,356.7,359.3,0
0.9130661,-1.01466,13.675,-31.80009,356.7,359.3,0
0.9391413,-1.016615,13.675,-31.6401,356.7,359.3,0
0.9640881,-1.017592,13.675,-31.56011,356.7,359.3,0
0.9891903,-1.01857,13.675,-31.48011,356.7,359.3,0
1.014104,-1.019547,13.675,-31.40012,356.7,359.3,0
1.03922,-1.021502,13.675,-31.24013,356.7,359.3,0
1.064009,-1.022479,13.675,-31.16014,356.7,359.3,0
1.089305,-1.023457,13.675,-31.08014,356.7,359.3,0
1.115173,-1.024434,13.675,-31.00015,356.7,359.3,0
1.140092,-1.026389,13.675,-30.84016,356.7,359.3,0
1.166077,-1.027366,13.675,-30.76017,356.7,359.3,0
1.190975,-1.028343,13.675,-30.68017,356.7,359.3,0
1.217129,-1.029321,13.675,-30.60018,356.7,359.3,0
1.241997,-1.031276,13.675,-30.44019,356.7,359.3,0
1.268052,-1.032253,13.675,-30.3602,356.7,359.3,0
1.294177,-1.03323,13.675,-30.2802,356.7,359.3,0
1.318871,-1.035185,13.675,-30.12021,356.7,359.3,0
1.345084,-1.036162,13.675,-30.04022,356.7,359.3,0
1.370012,-1.03714,13.675,-29.96023,356.7,359.3,0
1.396138,-1.038117,13.675,-29.88023,356.7,359.3,0
1.421121,-1.04063,13.675,-29.72025,356.5,359.1,0
1.447048,-1.041887,13.675,-29.64026,356.5,359.1,0
1.472215,-1.043143,13.675,-29.56027,356.5,359.1,0
1.498049,-1.0444,13.675,-29.48028,356.5,359.1,0
1.523333,-1.046913,13.675,-29.3203,356.5,359.1,0
1.549078,-1.04817,13.675,-29.24031,356.5,359.1,0
1.575127,-1.049426,13.675,-29.16032,356.5,359.1,0
1.600006,-1.051939,13.675,-29.00034,356.5,359.1,0
1.625115,-1.053196,13.675,-28.92035,356.5,359.1,0
1.650004,-1.054453,13.675,-28.84036,356.5,359.1,0
1.676184,-1.055709,13.675,-28.76037,356.5,359.1,0
1.701025,-1.058222,13.675,-28.60039,356.5,359.1,0
1.726313,-1.059479,13.675,-28.5204,356.5,359.1,0
1.752075,-1.060736,13.675,-28.44041,356.5,359.1,0
