TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04127705,-1,15.27646,-33,0,0,0
0.076175,-1,15.22152,-33,359.5,0.1,-2.60561E-11
0.1129147,-1,15.13519,-33,359.1,0.1,0
0.1530089,-1,15.01747,-33,358.9,0.1,1.042396E-10
0.1880213,-1,14.94684,-33,358.4,0.09999999,0
0.2240426,-1,14.78203,-33,357.4,0.2,-4.173112E-10
0.2594398,-1,14.58583,-33,356.2,0.1,2.089001E-10
0.294991,-1,14.35824,-33,355,359.8,0
0.3305597,-1,14.09926,-33,354.3,359.5,1.675813E-09
0.3659903,-1,13.95799,-33,353.7,359.4,3.355316E-09
0.4009765,-1,13.675,-33,353.4,359.2,0
0.436967,-1,13.675,-33,353.3,359.2,-3.357986E-09
0.4730591,-1,13.675,-33,352.9,359,0
0.5094817,-1,13.675,-33,352.5,358.9,6.727662E-09
0.545116,-1,13.675,-33,352.1,358.8,0
0.5810044,-1,13.675,-33,351.9,358.7,-6.73732E-09
0.6168953,-1,13.675,-33,351.9,358.7,-6.73732E-09
0.6519046,-1,13.675,-33,351.9,358.7,-6.73732E-09
0.6869396,-1,13.675,-33,351.9,358.7,-6.73732E-09
0.7219412,-1,13.675,-33,351.9,358.7,-6.73732E-09
0.7569403,-1,13.675,-33,351.9,358.7,-6.73732E-09
0.7921416,-1.00363,13.675,-32.84004,351.9,358.7,-6.73732E-09
0.8272052,-1.005724,13.675,-32.76007,352.1,358.5,0
0.8620067,-1.010471,13.675,-32.60014,352.3,358.3,0
0.8980465,-1.016613,13.675,-32.44026,352.7,357.8,-1.344923E-08
0.9329506,-1.02415,13.675,-32.28043,353.1,357.3,0
0.9689411,-1.028197,13.675,-32.20054,353.2,357.1,0
1.003886,-1.036292,13.675,-32.04074,353.2,357.1,0
1.039842,-1.044387,13.675,-31.88095,353.2,357.1,0
1.07601,-1.052482,13.675,-31.72115,353.2,357.1,0
1.11191,-1.060577,13.675,-31.56136,353.2,357.1,0
1.146881,-1.064624,13.675,-31.48146,353.2,357.1,0
1.182006,-1.072719,13.675,-31.32166,353.2,357.1,0
1.216934,-1.080814,13.675,-31.16187,353.2,357.1,0
1.251863,-1.088909,13.675,-31.00207,353.2,357.1,0
1.286898,-1.092956,13.675,-30.92218,353.2,357.1,0
1.322015,-1.101051,13.675,-30.76238,353.2,357.1,0
1.357039,-1.109146,13.675,-30.60259,353.2,357.1,0
1.393068,-1.117241,13.675,-30.44279,353.2,357.1,0
1.427945,-1.121288,13.675,-30.36289,353.2,357.1,0
1.462991,-1.129383,13.675,-30.2031,353,357.1,0
1.497982,-1.137478,13.675,-30.0433,352.9,357.1,1.34433E-08
1.533153,-1.145573,13.675,-29.88351,352.7,357.1,1.344923E-08
1.567901,-1.14962,13.675,-29.80361,352.5,357.1,1.345532E-08
1.603086,-1.157994,13.675,-29.64383,352.3,357,-1.346159E-08
1.639065,-1.166368,13.675,-29.48405,351.9,357,2.694928E-08
1.674067,-1.174463,13.675,-29.32425,351.6,357.1,0
1.709514,-1.182558,13.675,-29.16446,351.5,357.1,0
1.744169,-1.186605,13.675,-29.08456,351.4,357.1,1.349191E-08
1.779951,-1.1947,13.675,-28.92477,351.4,357.1,1.349191E-08
1.814911,-1.202795,13.675,-28.76497,351.4,357.1,1.349191E-08
1.849971,-1.21089,13.675,-28.60518,351.4,357.1,1.349191E-08
1.884866,-1.214937,13.675,-28.52528,351.4,357.1,1.349191E-08
1.919884,-1.223032,13.675,-28.36548,351.4,357.1,1.349191E-08
1.955998,-1.231127,13.675,-28.20569,351.4,357.1,1.349191E-08
1.99108,-1.239222,13.675,-28.04589,351.4,357.1,1.349191E-08
2.026911,-1.243269,13.675,-27.966,351.4,357.1,1.349191E-08
2.061908,-1.251364,13.675,-27.8062,351.4,357.1,1.349191E-08
2.097932,-1.259459,13.675,-27.64641,351.4,357.1,1.349191E-08
2.132881,-1.267554,13.675,-27.48661,351.4,357.1,1.349191E-08
2.16903,-1.271601,13.675,-27.40671,351.4,357.1,1.349191E-08
2.204063,-1.279696,13.675,-27.24692,351.4,357.1,1.349191E-08
2.239923,-1.28807,13.675,-27.08714,351.4,357,0
2.275241,-1.298395,13.675,-26.92747,351.7,356.3,0
2.31128,-1.301746,13.675,-26.76751,350.5,358.8,6.762856E-09
2.345847,-1.292967,13.675,-26.68799,343.6,6.300001,0
2.381648,-1.259974,13.675,-26.53143,340.3,11.9,0
