TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03971858,0.05823237,22.27023,43.27933,4.100001,352.6,-2.674888E-08
0.07806189,0.04792872,22.27023,43.35867,4.100001,352.6,-2.674888E-08
0.1171082,0.02732143,22.27023,43.51733,4.100001,352.6,-2.674888E-08
0.1561294,0.006714145,22.27023,43.676,4.100001,352.6,-2.674888E-08
0.1950608,-0.01389314,22.27023,43.83467,4.100001,352.6,-2.674888E-08
0.2330449,-0.01389314,22.27023,43.83467,4.100001,352.6,-2.674888E-08
0.2710937,0.006714145,22.27023,43.676,4.100001,352.6,-2.674888E-08
0.3099928,0.02732143,22.27024,43.51733,4.100001,352.6,-2.674888E-08
0.3469788,0.04792872,22.27023,43.35867,4.100001,352.6,-2.674888E-08
0.3851424,0.06853601,22.27023,43.2,4.100001,352.6,-2.674888E-08
0.4229783,0.08914329,22.27023,43.04133,4.100001,352.6,-2.674888E-08
0.4610275,0.1097506,22.27023,42.88266,4.100001,352.6,-2.674888E-08
0.5000431,0.1303579,22.27024,42.724,4.100001,352.6,-2.674888E-08
0.539035,0.1406615,22.27023,42.64466,4.100001,352.6,-2.674888E-08
0.5780019,0.1612688,22.27023,42.486,4.100001,352.6,-2.674888E-08
0.6180961,0.1818761,22.27024,42.32733,4.100001,352.6,-2.674888E-08
0.6572425,0.2024834,22.27023,42.16866,4.100001,352.6,-2.674888E-08
0.6971833,0.2230907,22.27023,42.00999,4.100001,352.6,-2.674888E-08
0.7371871,0.2436979,22.27023,41.85133,4.100001,352.6,-2.674888E-08
0.7771074,0.2643052,22.27023,41.69266,4.100001,352.6,-2.674888E-08
0.8172216,0.2849125,22.27024,41.53399,4.100001,352.6,-2.674888E-08
0.856346,0.3055198,22.27023,41.37532,4.100001,352.6,-2.674888E-08
0.8971884,0.3261271,22.27023,41.21666,4.100001,352.6,-2.674888E-08
0.9366345,0.3467344,22.27023,41.05799,4.100001,352.6,-2.674888E-08
0.9763362,0.3673417,22.27023,40.89932,4.100001,352.6,-2.674888E-08
1.016394,0.387949,22.27023,40.74065,4.100001,352.6,-2.674888E-08
1.056373,0.4085563,22.27024,40.58199,4.100001,352.6,-2.674888E-08
1.096154,0.4291635,22.27023,40.42332,4.100001,352.6,-2.674888E-08
1.135135,0.4497708,22.27023,40.26465,4.100001,352.6,-2.674888E-08
1.175128,0.4497708,22.27023,40.26465,4.100001,352.6,-2.674888E-08
1.215088,0.4291635,22.27023,40.42332,4.100001,352.6,-2.674888E-08
1.254413,0.4085563,22.27023,40.58199,4.100001,352.6,-2.674888E-08
1.294169,0.387949,22.27024,40.74065,4.100001,352.6,-2.674888E-08
1.333047,0.3673417,22.27023,40.89932,4.100001,352.6,-2.674888E-08
1.372377,0.3467344,22.27023,41.05799,4.100001,352.6,-2.674888E-08
1.412264,0.3261271,22.27023,41.21666,4.100001,352.6,-2.674888E-08
1.450945,0.3055198,22.27023,41.37532,4.100001,352.6,-2.674888E-08
1.491135,0.2849125,22.27024,41.53399,4.100001,352.6,-2.674888E-08
1.531136,0.2643052,22.27023,41.69266,4.100001,352.6,-2.674888E-08
1.570284,0.2436979,22.27023,41.85133,4.100001,352.6,-2.674888E-08
1.610987,0.2230907,22.27023,42.00999,4.100001,352.6,-2.674888E-08
1.651184,0.2024834,22.27023,42.16866,4.100001,352.6,-2.674888E-08
1.690115,0.1818761,22.27023,42.32733,4.100001,352.6,-2.674888E-08
1.730059,0.1612688,22.27024,42.486,4.100001,352.6,-2.674888E-08
1.770367,0.1406615,22.27023,42.64466,4.100001,352.6,-2.674888E-08
1.810024,0.1200542,22.27023,42.80333,4.100001,352.6,-2.674888E-08
1.850039,0.09944694,22.27023,42.962,4.100001,352.6,-2.674888E-08
1.890188,0.07883965,22.27023,43.12067,4.100001,352.6,-2.674888E-08
1.930102,0.05823236,22.27024,43.27933,4.100001,352.6,-2.674888E-08
1.969133,0.03762507,22.27023,43.438,4.100001,352.6,-2.674888E-08
2.009057,0.01701779,22.27023,43.59667,4.100001,352.6,-2.674888E-08
2.048103,-0.0035895,22.27023,43.75534,4.100001,352.6,-2.674888E-08
2.087156,-0.02419679,22.27023,43.914,4.100001,352.6,-2.674888E-08
2.126004,-0.04480407,22.27024,44.07267,4.100001,352.6,-2.674888E-08
2.164087,-0.06541136,22.27023,44.23134,4.100001,352.6,-2.674888E-08
2.202091,-0.08601864,22.27023,44.39,4.100001,352.6,-2.674888E-08
2.240008,-0.1066259,22.27023,44.54867,4.100001,352.6,-2.674888E-08
2.278035,-0.1169296,22.27024,44.62801,4.100001,352.6,-2.674888E-08
2.316195,-0.1375369,22.27023,44.78667,4.100001,352.6,-2.674888E-08
2.353216,-0.1581441,22.27023,44.94534,4.100001,352.6,-2.674888E-08
2.390037,-0.1787514,22.27023,45.10401,4.100001,352.6,-2.674888E-08
2.428048,-0.1993587,22.27023,45.26268,4.1,352.2,2.674889E-08
2.466122,-0.2210732,22.27024,45.4212,4,351.1,2.674558E-08
2.503319,-0.2458269,22.27023,45.57927,4,350.9,0
2.540886,-0.2711321,22.27023,45.73726,4,350.8,2.674558E-08
2.578997,-0.2839226,22.27024,45.81623,4,350.8,2.674558E-08
2.616992,-0.3095036,22.27023,45.97417,4,350.8,2.674558E-08
2.655132,-0.3350846,22.27023,46.13211,4,350.8,2.674558E-08
2.692001,-0.3606656,22.27023,46.29005,4,350.8,2.674558E-08
2.729855,-0.3862466,22.27023,46.44799,4,350.8,2.674558E-08
2.768038,-0.411963,22.28,46.60506,4.000001,350.6,-2.674557E-08
2.80692,-0.4380952,22.28,46.76291,4.000001,350.2,-5.349115E-08
2.845116,-0.4653287,22.281,46.92058,4.300001,348.7,-2.675574E-08
2.883954,-0.4966801,22.281,47.07748,4.6,347,0
2.921943,-0.5326722,22.281,47.23338,5.300001,345.1,0
2.959943,-0.5738134,22.281,47.388,5.7,343.6,-5.3626E-08
2.998789,-0.5964007,22.281,47.46474,5.700001,343.1,5.3626E-08
3.036964,-0.6429131,22.281,47.61783,5.7,342.6,-5.3626E-08
3.076812,-0.6907596,22.281,47.77051,6.300001,341.6,0
3.11572,-0.7412634,22.281,47.92233,6.900001,340.2,-1.075003E-07
3.156129,-0.7412634,22.281,47.92233,7.2,339.5,0
3.194695,-0.7412634,22.281,47.92233,7.800001,337.9,-1.077183E-07
3.233711,-0.7412634,22.281,47.92233,8.500002,334.9,2.158139E-07
3.273896,-0.7412634,22.281,47.92233,8.9,330.7,-2.160446E-07
3.313729,-0.7412634,22.281,47.92233,9.000001,326.4,0
3.353742,-0.7412634,22.281,47.92233,7.5,320.4,2.152852E-07
3.393426,-0.7412634,22.281,47.92233,6.599999,317.2,0
3.431415,-0.7412634,22.281,47.92233,5.9,314.3,-2.145801E-07
3.468573,-0.7412634,22.281,47.92233,4.8,310.3,0
3.503474,-0.7412634,22.281,47.92233,4.299999,308.7,0
3.538509,-0.7412634,22.281,47.92233,4.299999,308.7,0
3.571486,-0.7412634,22.281,47.92233,4.1,308.6,-1.069955E-07
3.605586,-0.7412634,22.281,47.92233,3.799999,308.6,0
3.637484,-0.7412634,22.281,47.92233,3.099999,308.7,1.068781E-07
3.670546,-0.7412634,22.281,47.92233,2.699999,309.1,-1.068403E-07
3.703636,-0.7412634,22.281,47.92233,2.299999,309.4,5.340387E-08
3.735693,-0.7412634,22.281,47.92233,1.699999,310,0
3.768553,-0.7412634,22.281,47.92233,1.499999,311,5.337914E-08
3.801531,-0.7412634,22.281,47.92233,1.299999,312.4,5.337459E-08
3.834361,-0.7412634,22.281,47.92233,1.099999,313,0
3.867441,-0.7412634,22.281,47.92233,0.8999989,314,0
3.900431,-0.7412634,22.281,47.92233,0.8999991,316.2,2.668371E-08
3.933432,-0.7412634,22.281,47.92233,0.7999991,317.4,0
3.966627,-0.7412634,22.281,47.92233,0.6999989,318.3,0
3.999567,-0.7412634,22.281,47.92233,0.699999,320,0
4.033677,-0.7412634,22.281,47.92233,0.699999,320.8,-2.668242E-08
4.06749,-0.7412634,22.281,47.92233,0.699999,320.8,-2.668242E-08
