TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0207137,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.04115697,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.06092697,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.08095305,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.1009447,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.120588,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.1410123,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.161066,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.1818382,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.2018243,-4.262693,22.27023,43.13503,5.700003,324.3,-2.14504E-07
0.2219561,-4.262693,22.27023,43.13503,5.700003,324.4,-1.07252E-07
0.241997,-4.262693,22.27023,43.13503,5.700003,324.4,-1.07252E-07
0.2618389,-4.262693,22.27023,43.13503,5.800003,324.5,0
0.2819332,-4.262693,22.27023,43.13503,5.800003,324.6,1.072709E-07
0.3028213,-4.262693,22.27023,43.13503,5.800003,324.6,1.072709E-07
0.3229988,-4.262693,22.27023,43.13503,5.800004,324.7,-2.145417E-07
0.3429776,-4.262693,22.27023,43.13503,5.800003,324.8,0
0.3638412,-4.262693,22.27023,43.13503,5.800003,324.8,0
0.3839622,-4.262693,22.27023,43.13503,5.800003,324.8,0
0.4050233,-4.262693,22.27023,43.13503,5.800003,324.8,0
0.4250791,-4.262693,22.27023,43.13503,5.800003,324.9,0
0.4448527,-4.262693,22.27023,43.13503,5.800003,324.9,0
0.4660473,-4.262693,22.27023,43.13503,5.800003,324.9,0
0.4860862,-4.262693,22.27023,43.13503,5.900002,325,0
0.5071017,-4.262693,22.27023,43.13503,5.900002,325,0
0.5270687,-4.262693,22.27023,43.13503,5.900002,325,0
0.5470989,-4.262693,22.27023,43.13503,5.900002,325,0
0.5680102,-4.262693,22.27023,43.13503,5.900002,325,0
0.5880352,-4.262693,22.27023,43.13503,5.900002,325,0
0.6088787,-4.262693,22.27023,43.13503,5.900002,325,0
0.6290905,-4.262693,22.27023,43.13503,5.900002,325,0
0.650225,-4.262693,22.27023,43.13503,5.900004,325.2,0
0.670363,-4.262693,22.27023,43.13503,5.900004,325.6,-1.0729E-07
0.6902854,-4.262693,22.27023,43.13503,5.900004,325.8,0
0.7110577,-4.262693,22.27023,43.13503,6.000003,325.9,1.073096E-07
0.7321403,-4.217843,22.27024,43.06879,6.000003,325.9,1.073096E-07
0.7531352,-4.172991,22.27023,43.00254,6.000003,325.9,1.073096E-07
0.7744082,-4.12814,22.27023,42.9363,6.000003,325.9,1.073096E-07
0.7943152,-4.083289,22.27023,42.87006,6.000003,325.9,1.073096E-07
0.8154841,-4.038554,22.27023,42.80373,6.000003,326,1.073095E-07
0.8365077,-3.993818,22.27024,42.73741,6.000003,326,1.073095E-07
0.8577484,-3.949083,22.27023,42.67109,6.000003,326,1.073095E-07
