TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03025386,-1,15.27646,-33,0,0,0
0.0559288,-1,15.25291,-33,0.2,0.2,2.605526E-11
0.08406638,-1,15.22152,-33,0.4000001,0.3,0
0.1140211,-1,15.13519,-33,1,0.1,5.211814E-11
0.1413196,-1,15.08026,-33,1.5,359.8,0
0.1671901,-1,14.94684,-33,1.5,0.1,0
0.1929969,-1,14.86836,-33,1.3,0.3,0
0.2198916,-1,14.78203,-33,1.3,0.3,0
0.2457318,-1,14.68786,-33,1.3,0.3,0
0.2728995,-1,14.47596,-33,1.3,0.3,0
0.2989978,-1,14.35824,-33,1.3,0.3,0
0.3249796,-1,14.23267,-33,1.7,0.1,0
0.3518949,-1,13.95799,-33,2,5.960464E-09,0
0.3777956,-1,13.80888,-33,2,5.960464E-09,0
0.4038718,-1,13.675,-33,2,5.960464E-09,0
0.431021,-1,13.675,-33,2,5.960464E-09,0
0.4571188,-1,13.675,-33,2.2,359.8,-4.171892E-10
0.4841146,-1,13.675,-33,2.3,359.8,0
0.5100713,-1,13.675,-33,2.5,359.7,0
0.5367115,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.5639248,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.58986,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.6170071,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.6429541,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.6688979,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.6956792,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.7218724,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.7488148,-1,13.675,-33,2.599999,359.8,-4.173112E-10
0.774851,-1,13.675,-33,2.7,359.9,2.086725E-10
0.8019166,-1.00014,13.675,-32.92,2.7,359.9,2.086725E-10
0.8280241,-1.00014,13.675,-32.76,2.7,-2.001031E-08,-4.975139E-17
0.854966,-1.000279,13.675,-32.68,3,359.9,0
0.8807755,-1.000558,13.675,-32.6,4.199999,359.8,-8.360084E-10
0.9079611,-1.001117,13.675,-32.44,4.3,359.8,8.361168E-10
0.9348168,-1.001396,13.675,-32.36,4.3,359.8,8.361168E-10
0.9610532,-1.001536,13.675,-32.28,4.4,359.9,0
0.9880131,-1.001536,13.675,-32.12,4.3,-2.071995E-08,0
1.015216,-1.001815,13.675,-32.04,4,359.8,4.178996E-10
1.041068,-1.003211,13.675,-31.96001,2.699999,359,-1.66938E-09
1.067945,-1.005725,13.675,-31.80004,2,359.1,1.668543E-09
1.095008,-1.006841,13.675,-31.72004,1.399999,359.2,0
1.12199,-1.010331,13.675,-31.64012,359.2,357.5,-1.667689E-09
1.149278,-1.019262,13.675,-31.48037,358.6,356.8,0
1.174973,-1.024007,13.675,-31.40051,357.5,356.6,-6.676462E-09
1.2013,-1.029309,13.675,-31.32068,356.2,356.2,-1.33696E-08
1.227927,-1.041862,13.675,-31.16118,355.2,355.5,0
1.253986,-1.048278,13.675,-31.08144,354.7,355.4,0
1.280939,-1.054555,13.675,-31.00168,353,355.5,0
1.306893,-1.066552,13.675,-30.84213,351.3,355.7,0
1.333197,-1.073246,13.675,-30.76241,350.2,355.2,-2.707552E-08
1.358951,-1.080496,13.675,-30.68274,349.8,354.8,0
1.385019,-1.088025,13.675,-30.6031,349.8,354.6,-5.421773E-08
1.41092,-1.103082,13.675,-30.44381,349.8,354.6,-5.421773E-08
1.4368,-1.110611,13.675,-30.36416,349.8,354.6,-5.421773E-08
1.461897,-1.11814,13.675,-30.28452,349.8,354.6,-5.421773E-08
1.487717,-1.133197,13.675,-30.12523,349.8,354.6,-5.421773E-08
1.512906,-1.140726,13.675,-30.04558,349.8,354.6,-5.421773E-08
1.538725,-1.148254,13.675,-29.96594,349.8,354.6,-5.421773E-08
1.56384,-1.155783,13.675,-29.88629,349.8,354.6,-5.421773E-08
1.590101,-1.17084,13.675,-29.727,349.8,354.6,-5.421773E-08
1.616032,-1.178647,13.675,-29.64738,350,354.4,-5.418403E-08
1.642073,-1.186454,13.675,-29.56777,350.1,354.4,0
1.667036,-1.201789,13.675,-29.4085,350.2,354.5,-5.415103E-08
1.693952,-1.209179,13.675,-29.32885,350.3,354.7,0
1.71893,-1.216568,13.675,-29.24919,350.5,354.7,0
1.745937,-1.231348,13.675,-29.08987,350.7,354.7,2.703579E-08
1.771929,-1.238598,13.675,-29.0102,350.8,354.8,0
1.798178,-1.245849,13.675,-28.93053,350.8,354.8,0
1.823983,-1.252404,13.675,-28.8508,351.3,355.3,2.699099E-08
1.849985,-1.261335,13.675,-28.69105,352.2,356.8,1.346479E-08
1.87506,-1.263709,13.675,-28.61108,353.1,358.3,6.718768E-09
1.901158,-1.265524,13.675,-28.53111,353.4,358.7,0
1.926892,-1.269154,13.675,-28.37115,353.4,358.7,0
1.954046,-1.270829,13.675,-28.29116,353.5,358.8,6.71326E-09
1.979954,-1.272644,13.675,-28.21118,353.7,358.7,-6.710632E-09
2.00573,-1.274459,13.675,-28.1312,354.2,358.7,0
2.031949,-1.278089,13.675,-27.97124,354.3,358.7,0
2.058125,-1.279625,13.675,-27.89126,354.5,358.9,0
2.084005,-1.28116,13.675,-27.81128,354.5,358.9,0
2.110046,-1.284232,13.675,-27.6513,354.5,358.9,0
2.136004,-1.285489,13.675,-27.57131,354.4,359.1,0
2.162028,-1.286606,13.675,-27.49132,353.8,359.2,-3.354675E-09
2.188046,-1.28884,13.675,-27.33134,353.4,359.2,0
2.214879,-1.289957,13.675,-27.25134,353.3,359.2,3.357986E-09
2.240739,-1.291213,13.675,-27.17136,353.1,359.1,3.359384E-09
2.267104,-1.293726,13.675,-27.01138,353.1,359.1,3.359384E-09
2.293014,-1.294983,13.675,-26.93139,353.1,359.1,3.359384E-09
