TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04469316,-1,15.27646,-33,0.3,1.9,0
0.08407255,-1,15.22152,-33,1.2,5.1,-3.335785E-09
0.1246902,-1,15.13519,-33,1.7,7.7,-1.334609E-08
0.167964,-1,14.94684,-33,1.7,12.1,0
0.2090203,-1,14.78203,-33,0.8,15.9,-6.670757E-09
0.2488015,-1,14.58583,-33,0.4000001,17.1,-6.670269E-09
0.2888152,-1,14.35824,-33,0.4000001,17.1,-6.670269E-09
0.3277071,-1,14.09926,-33,0.4000001,17.1,-6.670269E-09
0.3677782,-1,13.80888,-33,0.4000001,17.3,6.670268E-09
0.4077667,-1,13.675,-33,0.4000001,17.3,6.670268E-09
0.4465908,-1,13.675,-33,0.4000001,17.3,6.670268E-09
0.48561,-1,13.675,-33,0.4000001,17.3,6.670268E-09
0.5256118,-1,13.675,-33,359.1,16.2,0
0.5646104,-1,13.675,-33,357.6,14.1,0
0.6040832,-1,13.675,-33,355.2,13.5,0
0.6421602,-1,13.675,-33,353.9,12.7,0
0.6820045,-1,13.675,-33,351.1,10.5,5.401115E-08
0.7221813,-1,13.675,-33,348.5,7.699999,0
0.7607437,-1,13.675,-33,346.7,5.899998,5.483149E-08
0.8000759,-1,13.675,-33,344.5,0.5999983,6.921851E-09
0.8388652,-1,13.675,-33,344.9,359.2,0
0.8778417,-1,13.675,-33,345.7,359.3,6.883384E-09
0.9167028,-1,13.675,-33,346.7,359.2,0
0.9549738,-1,13.675,-33,346.8,359.1,6.85112E-09
0.9926931,-1,13.675,-33,346.8,359.1,6.85112E-09
1.030851,-1,13.675,-33,347.2,359.1,0
1.068923,-1,13.675,-33,347.3,359.1,0
1.106916,-1,13.675,-33,347.4,359,0
1.144808,-1,13.675,-33,347.5,359,6.832053E-09
1.182679,-1,13.675,-33,348,359,0
1.221993,-1,13.675,-33,348.2,359,0
1.260683,-1,13.675,-33,348.5,359.1,-6.806753E-09
1.298688,-1,13.675,-33,349,359.2,0
1.336878,-1,13.675,-33,349.3,359.4,-3.394066E-09
1.37471,-1,13.675,-33,349.8,359.7,1.694304E-09
1.4128,-1,13.675,-33,350.5,359.9,8.45357E-10
1.452216,-1,13.675,-33,351.4,0.0999983,0
1.490139,-1,13.675,-33,351.9,0.1999983,0
1.527888,-1,13.675,-33,352,0.2999983,0
1.566743,-1,13.675,-33,352,0.2999983,0
