TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0504113,-1,15.27646,-33,0,0,0
0.09293173,-1,15.22152,-33,0,0,0
0.138213,-1,15.08026,-33,0,0,0
0.1882517,-1,14.94684,-33,0,0,0
0.2321654,-1,14.78203,-33,0,1.4,0
0.2772768,-1,14.47596,-33,0,2.9,0
0.321348,-1,14.23267,-33,359,4.900001,-3.335561E-09
0.3651769,-1,13.95799,-33,357.7,8,0
0.4103314,-1,13.675,-33,356.3,9.9,2.673615E-08
0.4554043,-1,13.675,-33,352.9,10.7,0
0.5003017,-1,13.675,-33,350.4,10.6,5.411873E-08
0.5461141,-1,13.675,-33,348.1,10.3,0
0.5911295,-1,13.675,-33,347,10.1,0
0.6354054,-1,13.675,-33,345.3,9.400001,0
0.6788711,-1,13.675,-33,344.5,8.8,0
0.7223476,-1,13.675,-33,344.2,6.9,0
0.7661924,-1,13.675,-33,343.4,4.2,-5.568151E-08
0.8100661,-1,13.675,-33,343,3.1,0
0.8521709,-1,13.675,-33,342.5,359.1,-1.39876E-08
0.8938497,-1,13.675,-33,342.6,357.2,0
0.9359494,-1,13.675,-33,343.2,356.3,-5.573986E-08
0.9779285,-1,13.675,-33,345.1,353.9,-5.521748E-08
1.018165,-1,13.675,-33,345.8,353.4,5.504266E-08
1.059935,-1,13.675,-33,346.4,353.3,-5.490019E-08
1.102135,-1,13.675,-33,347.7,353.3,0
1.144105,-1,13.675,-33,349.2,353.7,0
1.186261,-1,13.675,-33,351.4,354.1,0
1.229055,-1,13.675,-33,353.2,354.7,0
1.272287,-1,13.675,-33,353.5,354.8,0
1.316128,-1,13.675,-33,355.5,355.8,1.338146E-08
1.3601,-1,13.675,-33,357.2,357,0
1.404271,-1,13.675,-33,357.5,357.3,0
1.449218,-1,13.675,-33,358.1,358,0
1.494314,-1,13.675,-33,358.2,358.1,-3.3367E-09
1.53921,-1,13.675,-33,358.5,358.4,0
1.583334,-1,13.675,-33,358.6,358.5,0
1.628076,-1,13.675,-33,358.6,358.5,0
1.673052,-1,13.675,-33,358.6,358.5,0
1.718191,-1,13.675,-33,358.6,358.5,0
1.764013,-1,13.675,-33,358.6,358.5,0
1.809076,-1,13.675,-33,358.6,358.5,0
1.854199,-1,13.675,-33,358.6,358.5,0
1.89903,-1,13.675,-33,358.6,358.5,0
1.944052,-1,13.675,-33,358.6,358.5,0
1.989137,-1,13.675,-33,358.6,358.5,0
2.034132,-1,13.675,-33,358.6,358.5,0
2.077866,-1,13.675,-33,358.6,358.5,0
2.12325,-1,13.675,-33,358.6,358.5,0
2.168037,-1,13.675,-33,358.6,358.5,0
2.213026,-1,13.675,-33,358.6,358.5,0
2.258106,-1,13.675,-33,358.6,358.5,0
2.303203,-1,13.675,-33,358.6,358.5,0
2.347136,-1,13.675,-33,358.6,358.5,0
2.392257,-1,13.675,-33,358.6,358.5,0
2.438204,-1,13.675,-33,358.6,358.5,0
2.482022,-1,13.675,-33,358.6,358.5,0
2.527187,-1,13.675,-33,358.6,358.5,0
2.572261,-1,13.675,-33,358.6,358.5,0
2.617194,-1.006282,13.675,-32.76008,358.6,358.5,0
2.662147,-1.010471,13.675,-32.60014,358.6,358.5,0
2.707087,-1.014659,13.675,-32.44019,358.6,358.5,0
2.752036,-1.018847,13.675,-32.28025,358.6,358.5,0
2.797223,-1.02513,13.675,-32.04033,358.6,358.5,0
2.842135,-1.029318,13.675,-31.88038,358.6,358.5,0
2.887086,-1.033507,13.675,-31.72044,358.6,358.5,0
2.932114,-1.037695,13.675,-31.56049,358.6,358.5,0
2.977103,-1.043977,13.675,-31.32058,358.6,358.5,0
3.021279,-1.048166,13.675,-31.16063,358.6,358.5,0
3.066006,-1.052354,13.675,-31.00068,358.6,358.5,0
3.111148,-1.056542,13.675,-30.84074,358.6,358.5,0
3.156503,-1.062825,13.675,-30.60082,358.6,358.5,0
3.201274,-1.067013,13.675,-30.44088,358.6,358.5,0
3.246178,-1.071201,13.675,-30.28093,358.6,358.5,0
3.292252,-1.07539,13.675,-30.12099,358.6,358.5,0
3.337219,-1.081672,13.675,-29.88107,358.6,358.5,0
3.383347,-1.08586,13.675,-29.72112,358.5,358.4,0
3.428312,-1.090328,13.675,-29.56119,358.1,358.3,0
3.474257,-1.097448,13.675,-29.32129,357.5,358.2,3.33823E-09
3.520274,-1.102473,13.675,-29.16137,357,358.1,-3.33963E-09
3.564161,-1.107778,13.675,-29.00146,356.6,357.9,0
3.610254,-1.113641,13.675,-28.84157,356.2,357.7,0
3.656588,-1.123273,13.675,-28.60176,355.4,357.5,0
3.703593,-1.130252,13.675,-28.44191,354.7,357.3,0
3.7491,-1.137789,13.675,-28.28209,353.5,357,0
3.795293,-1.15035,13.675,-28.04242,353.2,356.9,0
3.841213,-1.159002,13.675,-27.88265,353,356.9,1.34404E-08
3.88737,-1.167655,13.675,-27.72289,353,356.9,1.34404E-08
3.933245,-1.176308,13.675,-27.56312,353,356.9,1.34404E-08
3.980028,-1.189286,13.675,-27.32347,353,356.9,1.34404E-08
4.027097,-1.197939,13.675,-27.16371,353,356.9,1.34404E-08
4.073245,-1.206592,13.675,-27.00394,352.9,357,-1.34433E-08
4.119087,-1.219152,13.675,-26.76427,352.9,357,-1.34433E-08
4.166092,-1.227526,13.675,-26.60449,352.9,357.1,1.34433E-08
4.210927,-1.235621,13.675,-26.44469,352.9,357.4,0
4.259202,-1.246508,13.675,-26.20494,352.9,357.4,0
4.305255,-1.253766,13.675,-26.0451,352.9,358.1,0
4.351319,-1.259071,13.675,-25.88519,353,358.5,0
4.399109,-1.265353,13.675,-25.64528,353.3,359.5,-3.357986E-09
4.444198,-1.26675,13.675,-25.48528,353.4,359.6,0
4.493158,-1.267867,13.675,-25.32528,353.4,359.8,0
4.540427,-1.268704,13.675,-25.08529,353.7,1.199999,0
4.588425,-1.265354,13.675,-24.92532,354,2.599999,0
4.636219,-1.254467,13.675,-24.68557,354.1,2.799999,0
4.684155,-1.246651,13.675,-24.52576,354.1,3.099999,0
4.732328,-1.237998,13.675,-24.36599,354,3.499999,0
4.780088,-1.223346,13.675,-24.12644,354,3.6,-1.341369E-08
4.828023,-1.2133,13.675,-23.96676,354,3.699999,0
4.874908,-1.197812,13.675,-23.72726,354,3.699999,0
4.923914,-1.187487,13.675,-23.56759,354,3.699999,0
4.973218,-1.177162,13.675,-23.40792,354,3.699999,0
5.020865,-1.161674,13.675,-23.16842,354,3.699999,0
5.068892,-1.151289,13.69858,-23.00968,354,3.699999,0
5.116955,-1.135623,13.73471,-22.77293,354,3.699999,0
5.164925,-1.125179,13.75879,-22.6151,354,3.699999,0
5.211899,-1.114735,13.78288,-22.45727,354,3.699999,0
5.258924,-1.099068,13.81901,-22.22052,354,3.699999,0
5.306321,-1.088624,13.84309,-22.06269,354,3.699999,0
5.353149,-1.07818,13.86718,-21.90485,354,3.699999,0
5.399861,-1.062514,13.9033,-21.66811,354,3.699999,0
5.446948,-1.05207,13.92739,-21.51027,354,3.699999,0
5.494117,-1.036403,13.96351,-21.27353,353.8,3.299999,0
5.543113,-1.027087,13.98761,-21.11563,353,359.4,3.360099E-09
5.589211,-1.028782,14.01174,-20.95747,352.8,357.5,1.344624E-08
5.635143,-1.039371,14.04791,-20.72044,352.8,356.8,0
5.683074,-1.048406,14.07201,-20.56253,352.8,354.3,0
5.730061,-1.064479,14.09603,-20.40516,352.2,350.8,5.385916E-08
5.777947,-1.103283,14.13175,-20.17103,352,348.1,0
5.825015,-1.136641,14.15582,-20.01633,351.7,346,-1.078514E-07
5.873089,-1.175813,14.18037,-19.86316,351.4,343.4,0
5.920965,-1.24518,14.21672,-19.63629,350.6,337.9,-1.081743E-07
5.967913,-1.306033,14.24013,-19.49018,350.3,336.1,-2.165392E-07
6.015876,-1.404301,14.27477,-19.27398,350.3,334.4,2.165392E-07
6.061929,-1.474149,14.29754,-19.13184,350.3,330.6,2.165392E-07
6.108767,-1.553451,14.31953,-18.99463,350.3,329.2,2.165392E-07
6.153918,-1.677492,14.35203,-18.79176,350.3,328.9,2.165392E-07
6.199585,-1.760906,14.37363,-18.65694,350.3,328.9,2.165392E-07
6.243515,-1.84432,14.39524,-18.52212,350.3,328.9,2.165392E-07
6.287636,-1.927735,14.41684,-18.38731,350.3,328.9,2.165392E-07
6.332466,-2.011149,14.43844,-18.25249,350.3,328.9,2.165392E-07
6.376517,-2.136271,14.47084,-18.05027,350.3,330,0
6.41999,-2.217032,14.49269,-17.91389,350.3,331.6,0
6.463711,-2.29388,14.51489,-17.77532,351.2,336.6,0
6.50608,-2.358104,14.53808,-17.63062,351.8,340.6,1.078241E-07
6.54993,-2.411852,14.56192,-17.48181,352.3,343.8,1.076927E-07
6.593673,-2.457015,14.58621,-17.33025,353.1,349.6,5.375015E-08
6.640043,-2.500873,14.62354,-17.09727,353.9,355.5,2.683235E-08
6.687182,-2.513586,14.64877,-16.93978,354.6,0.199999,0
6.734133,-2.527207,14.68519,-16.71246,355.3,5.299999,-1.338522E-08
6.782131,-2.58819,14.70384,-16.59607,356,9.999999,2.674557E-08
6.829018,-2.612058,14.72682,-16.45266,356.7,14.6,-2.672474E-08
6.877192,-2.603081,14.72682,-16.22892,356.7,17.8,-5.344948E-08
6.924109,-2.558445,14.78711,-16.07631,356.7,19.7,0
6.972179,-2.503951,14.8098,-15.92762,356.3,23.4,0
7.021124,-2.407709,14.84297,-15.71028,355.5,28.4,0
7.068213,-2.33093,14.86415,-15.57151,355,29.8,0
7.115895,-2.178702,14.8906,-15.39814,353.8,32.3,0
7.163521,-2.071403,14.90771,-15.28599,353.3,33.2,2.149111E-07
7.20956,-1.962181,14.92465,-15.175,353,33.60001,2.150463E-07
7.255849,-1.797175,14.94995,-15.00922,352.9,33.7,0
