TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01689323,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.03359145,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.05022553,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.06664306,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.08328637,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.1001616,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.1163852,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.1333226,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.1502584,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.1665091,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.1834814,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.2003074,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.2165171,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.2334252,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.2503076,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.2667606,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.2835117,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.3002263,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.3168306,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.3335422,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.3503148,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.366876,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.383387,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.4003859,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.4168009,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.4333898,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.4501932,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.4667385,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.4834819,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.5002407,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.5167193,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.5333867,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.5502948,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.5667673,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.5834758,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.6002597,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.6168543,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.6334693,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.6501973,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.6665056,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.6834937,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.700194,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.71667,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.7335422,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.7502933,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.7667847,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.7835439,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.8002889,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.8167244,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.8333179,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.850111,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.8667456,2.073616,22.27023,40.66797,352.9,28.99999,-1.075464E-07
0.8834279,2.073616,22.27023,40.66797,352.9,28.89999,0
0.9003724,2.073616,22.27023,40.66797,352.8,28.79999,-1.075699E-07
0.9167361,2.073616,22.27023,40.66797,352.8,28.79999,-1.075699E-07
0.9335128,2.073616,22.27023,40.66797,352.8,28.79999,-1.075699E-07
0.9502177,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
0.9666619,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
0.983371,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.000288,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.01675,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.033524,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.050164,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.066593,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.083547,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.100136,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.116616,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.133541,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.150274,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.166791,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.183494,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.200173,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.216756,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.233279,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.250148,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.266638,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.283488,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.300254,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.317224,2.073616,22.27023,40.66797,352.8,28.69999,1.075699E-07
1.333545,2.112034,22.27024,40.73814,352.8,28.69999,1.075699E-07
1.350163,2.150452,22.27023,40.80832,352.8,28.69999,1.075699E-07
1.366642,2.150452,22.27023,40.80832,352.8,28.69999,1.075699E-07
1.383275,2.18887,22.27023,40.87849,352.8,28.69999,1.075699E-07
1.400225,2.227288,22.27023,40.94866,352.8,28.69999,1.075699E-07
1.416723,2.265706,22.27023,41.01883,352.8,28.69999,1.075699E-07
1.433445,2.304123,22.27024,41.089,352.8,28.69999,1.075699E-07
1.450203,2.342541,22.27023,41.15918,352.8,28.69999,1.075699E-07
1.466662,2.342541,22.27023,41.15918,352.8,28.69999,1.075699E-07
1.483367,2.380959,22.27023,41.22935,352.8,28.69999,1.075699E-07
1.50011,2.419377,22.27023,41.29952,352.8,28.69999,1.075699E-07
1.516585,2.457795,22.27023,41.36969,352.8,28.69999,1.075699E-07
1.533211,2.496213,22.27024,41.43986,352.8,28.69999,1.075699E-07
1.550091,2.534631,22.27023,41.51003,352.8,28.69999,1.075699E-07
1.566564,2.534631,22.27023,41.51003,352.8,28.69999,1.075699E-07
1.583448,2.573048,22.27023,41.5802,352.8,28.69999,1.075699E-07
1.600107,2.611466,22.27023,41.65038,352.8,28.69999,1.075699E-07
1.616725,2.649884,22.27023,41.72055,352.8,28.69999,1.075699E-07
1.633474,2.688302,22.27023,41.79072,352.8,28.69999,1.075699E-07
1.65014,2.72672,22.27023,41.86089,352.8,28.69999,1.075699E-07
1.666768,2.72672,22.27023,41.86089,352.8,28.69999,1.075699E-07
1.683298,2.765138,22.27024,41.93106,352.8,28.69999,1.075699E-07
1.700158,2.803556,22.27023,42.00124,352.8,28.69999,1.075699E-07
