TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02893145,-1,15.27646,-33,0,0,0
0.05166546,-1,15.25291,-33,359.9,359.9,6.513785E-12
0.07789615,-1,15.22152,-33,359.9,359.9,6.513785E-12
0.1064915,-1,15.13519,-33,359.9,359.9,6.513785E-12
0.1297412,-1,15.08026,-33,359.9,359.9,6.513785E-12
0.1538295,-1,15.01747,-33,359.9,359.9,6.513785E-12
0.1778648,-1,14.94684,-33,359.9,359.9,6.513785E-12
0.2020783,-1,14.78203,-33,359.9,0.1,-6.513785E-12
0.226046,-1,14.68786,-33,359.9,0.4,-2.605514E-11
0.250087,-1,14.58583,-33,359.1,0.7,-4.16933E-10
0.2750815,-1,14.47596,-33,358.2,0.6999999,0
0.298809,-1,14.35824,-33,357.3,0.4999999,-8.346899E-10
0.3228351,-1,14.09926,-33,356.6,0.3,0
0.3478271,-1,13.95799,-33,356.6,0.3,0
0.3717583,-1,13.80888,-33,356.6,0.3,0
0.3970129,-1,13.675,-33,356.6,0.3,0
0.4207225,-1,13.675,-33,356.6,0.3,0
0.4447804,-1,13.675,-33,356.6,0.3,0
0.4697575,-1,13.675,-33,356.6,0.3,0
0.4937046,-1,13.675,-33,356.6,0.3,0
0.5177559,-1,13.675,-33,356.6,0.3,0
0.541743,-1,13.675,-33,356.6,0.3,0
0.566914,-1,13.675,-33,356.6,0.3,0
0.5907646,-1,13.675,-33,356.6,0.3,0
0.6147292,-1,13.675,-33,356.6,0.3,0
0.6386989,-1,13.675,-33,356.6,0.3,0
0.6629591,-1,13.675,-33,356.4,0.3,-8.354119E-10
0.6881173,-1,13.675,-33,355.3,0.4999999,-1.673153E-09
0.7116472,-1,13.675,-33,354.2,0.6,-3.352214E-09
0.7361049,-0.9994415,13.675,-32.92,353.7,0.4,0
0.7610778,-0.9991623,13.675,-32.84,353.2,0.2,0
0.7849787,-0.998883,13.675,-32.68,352.8,0.09999999,-4.20195E-10
0.8088381,-0.9987434,13.675,-32.6,352.7,0.09999999,-4.202883E-10
0.8337516,-0.9986038,13.675,-32.52,352.5,0.09999999,0
0.85861,-0.9984641,13.675,-32.44,352.5,0.09999999,0
0.8826439,-0.9981849,13.675,-32.28,352.5,0.09999999,0
0.9077215,-0.9980453,13.675,-32.2,352.5,0.09999999,0
0.9328838,-0.9979056,13.675,-32.12,352.5,0.09999999,0
0.9568899,-0.997766,13.675,-32.04,352.5,0.09999999,0
0.9816499,-0.9976264,13.675,-31.96,352.5,0.09999999,0
1.005666,-0.9973471,13.675,-31.8,352.5,0.09999999,0
1.030691,-0.9972075,13.675,-31.72001,352.5,0.09999999,0
1.055521,-0.9970679,13.675,-31.64001,352.5,0.09999999,0
1.079634,-0.9969282,13.675,-31.56001,352.5,0.09999999,0
1.104907,-0.996649,13.675,-31.40001,352.5,0.09999999,0
1.12875,-0.9965094,13.675,-31.32001,352.5,0.09999999,0
1.153808,-0.9963697,13.675,-31.24001,352.5,0.09999999,0
1.178791,-0.9962301,13.675,-31.16001,352.5,0.09999999,0
1.202878,-0.9959508,13.675,-31.00001,352.5,0.09999999,0
1.227769,-0.9958112,13.675,-30.92001,352.5,0.09999999,0
1.251812,-0.9956716,13.675,-30.84001,352.5,0.09999999,0
1.276122,-0.995532,13.675,-30.76001,352.5,0.09999999,0
1.29985,-0.9953923,13.675,-30.68001,352.5,0.09999999,0
1.323869,-0.9951131,13.675,-30.52001,352.5,0.09999999,0
1.348868,-0.9949735,13.675,-30.44001,352.5,0.09999999,0
1.372831,-0.9948338,13.675,-30.36001,352.5,0.09999999,0
1.396837,-0.9946942,13.675,-30.28001,352.5,0.09999999,0
1.421755,-0.9944149,13.675,-30.12001,352.5,0.09999999,0
1.445713,-0.9942753,13.675,-30.04001,352.5,0.09999999,0
1.470925,-0.9941357,13.675,-29.96001,352.5,0.09999999,0
1.494871,-0.9939961,13.675,-29.88001,352.5,0.09999999,0
1.518993,-0.9938564,13.675,-29.80001,352.5,0.09999999,0
1.543749,-0.9935772,13.675,-29.64001,352.5,0.09999999,0
1.569171,-0.9934376,13.675,-29.56001,352.5,0.09999999,0
1.592781,-0.9932979,13.675,-29.48001,352.5,0.09999999,0
1.618037,-0.9931583,13.675,-29.40001,352.5,0.09999999,0
1.64172,-0.9931583,13.675,-29.32001,352.4,-6.670104E-09,0
1.667244,-0.9931583,13.675,-29.16001,352.4,-6.670104E-09,0
1.690694,-0.9931583,13.675,-29.08001,352.4,-6.670104E-09,0
1.716033,-0.9931583,13.675,-29.00001,352.4,-6.670104E-09,0
1.739602,-0.9931583,13.675,-28.92001,352.4,-6.670104E-09,0
1.76488,-0.9931583,13.675,-28.76001,352.4,-6.670104E-09,0
1.788842,-0.9931583,13.675,-28.68001,352.4,-6.670104E-09,0
1.813872,-0.9931583,13.675,-28.60001,352.4,-6.670104E-09,0
1.837859,-0.9931583,13.675,-28.52001,352.4,-6.670104E-09,0
1.86291,-0.9931583,13.675,-28.36001,352.4,-6.670104E-09,0
1.886831,-0.9931583,13.675,-28.28001,352.4,-6.670104E-09,0
1.911695,-0.9931583,13.675,-28.20001,352.4,-6.670104E-09,0
1.936048,-0.9931583,13.675,-28.12001,352.4,-6.670104E-09,0
1.960766,-0.9931583,13.675,-28.04001,352.4,-6.670104E-09,0
1.984887,-0.9931583,13.675,-27.88001,352.4,-6.670104E-09,0
2.008744,-0.9931583,13.675,-27.80001,352.4,-6.670104E-09,0
2.033949,-0.9931583,13.675,-27.72001,352.4,-6.670104E-09,0
2.057837,-0.9931583,13.675,-27.64001,352.4,-6.670104E-09,0
2.082716,-0.9931583,13.675,-27.48001,352.4,-6.670104E-09,0
2.106806,-0.9931583,13.675,-27.40001,352.4,-6.670104E-09,0
2.131857,-0.9931583,13.675,-27.32001,352.4,-6.670104E-09,0
2.155856,-0.9931583,13.675,-27.24001,352.4,-6.670104E-09,0
2.180708,-0.9931583,13.675,-27.16001,352.4,-6.670104E-09,0
2.204821,-0.9931583,13.675,-27.00001,352.4,-6.670104E-09,0
2.229895,-0.9931583,13.675,-26.92001,352.4,-6.670104E-09,0
2.253784,-0.9931583,13.675,-26.84001,352.4,-6.670104E-09,0
2.2788,-0.9931583,13.675,-26.76001,352.4,-6.670104E-09,0
2.303766,-0.9931583,13.675,-26.60001,352.4,-6.670104E-09,0
2.327847,-0.9931583,13.675,-26.52001,352.4,-6.670104E-09,0
2.35282,-0.9931583,13.675,-26.44001,352.4,-6.670104E-09,0
2.376832,-0.9931583,13.675,-26.36001,352.4,-6.670104E-09,0
2.401901,-0.9931583,13.675,-26.20001,352.4,-6.670104E-09,0
2.426865,-0.9931583,13.675,-26.12001,352.4,-6.670104E-09,0
2.45176,-0.9931583,13.675,-26.04001,352.4,-6.670104E-09,0
2.4758,-0.9931583,13.675,-25.96001,352.4,-6.670104E-09,0
2.500899,-0.9931583,13.675,-25.88001,352.4,-6.670104E-09,0
2.525744,-0.9931583,13.675,-25.72001,352.4,-6.670104E-09,0
2.550861,-0.9931583,13.675,-25.64001,352.4,-6.670104E-09,0
2.575988,-0.9931583,13.675,-25.56001,352.4,-6.670104E-09,0
2.600823,-0.9931583,13.675,-25.48001,352.4,-6.670104E-09,0
2.626122,-0.9937168,13.675,-25.32001,352.4,359.8,8.411524E-10
2.651137,-0.9944149,13.675,-25.24001,352.4,359.5,0
2.676968,-0.9953923,13.675,-25.16002,352.4,359.3,0
2.70206,-0.9979055,13.675,-25.00004,352.4,359.1,6.729219E-09
2.727092,-0.9993017,13.675,-24.92005,352.5,359,6.727663E-09
2.751951,-1.001256,13.675,-24.84007,352.6,358.6,1.345225E-08
2.777924,-1.00335,13.675,-24.7601,352.6,358.5,1.345225E-08
2.804161,-1.007818,13.675,-24.60016,352.7,358.4,6.724613E-09
2.828791,-1.010052,13.675,-24.5202,352.7,358.4,6.724613E-09
2.854143,-1.012285,13.675,-24.44023,352.7,358.4,6.724613E-09
2.878762,-1.014519,13.675,-24.36026,352.7,358.4,6.724613E-09
