TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02003838,-1,15.29215,-33,0,0,0
0.05014189,-1,15.25291,-33,359.5,0.3,1.042244E-10
0.06678008,-1,15.22152,-33,359.4,0.3999999,2.084522E-10
0.09895162,-1,15.18228,-33,359.4,0.3999999,2.084522E-10
0.1318149,-1,15.08026,-33,359.4,0.3999999,2.084522E-10
0.1488954,-1,15.01747,-33,359.4,0.3999999,2.084522E-10
0.1823452,-1,14.94684,-33,359.4,0.3999999,2.084522E-10
0.1991127,-1,14.86836,-33,359.4,0.09999999,0
0.2320843,-1,14.68786,-33,359.4,0.09999999,0
0.2493373,-1,14.58583,-33,359.4,0.09999999,0
0.2821169,-1,14.47596,-33,359.4,0.09999999,0
0.3000144,-1,14.35824,-33,359.4,359.9,0
0.332384,-1,14.09926,-33,359.4,359.6,2.084523E-10
0.3498571,-1,13.95799,-33,359.4,359.3,0
0.3825618,-1,13.80888,-33,359,359.1,-8.338902E-10
0.4006897,-1,13.675,-33,356.1,358.4,3.342794E-09
0.4327319,-1,13.675,-33,353.2,357.1,0
0.4549815,-1,13.675,-33,348.4,354.9,0
0.4821282,-1,13.675,-33,346.6,354.4,0
0.5155569,-1,13.675,-33,344.5,354.8,0
0.5325907,-1,13.675,-33,343.1,355.3,-5.576933E-08
0.5493644,-1,13.675,-33,342.6,355.6,5.591972E-08
0.5818746,-1,13.675,-33,342.4,355.7,0
0.5986606,-1,13.675,-33,342.4,355.7,0
0.6320534,-1.011997,13.675,-32.84045,342.4,355.7,0
0.6488907,-1.017995,13.675,-32.76068,342.4,355.7,0
0.6656321,-1.017995,13.675,-32.76068,342.4,355.7,0
0.6986765,-1.029992,13.675,-32.60113,342.4,355.7,0
0.715288,-1.03599,13.675,-32.52135,342.4,355.7,0
0.7487471,-1.047986,13.675,-32.3618,342.4,355.7,0
0.7653647,-1.047986,13.675,-32.3618,342.4,355.7,0
0.782181,-1.053985,13.675,-32.28203,342.4,355.7,0
0.8149139,-1.065981,13.675,-32.12248,342.4,355.7,0
0.8313761,-1.07198,13.675,-32.0427,342.4,355.7,0
0.8649942,-1.077978,13.675,-31.96293,342.4,355.7,0
0.881422,-1.083976,13.675,-31.88315,342.4,355.7,0
