TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01670695,3.189685,22.27023,42.11551,343.9,14.3,0
0.04983194,3.189685,22.27023,42.11551,343.9,14.3,0
0.0663326,3.189685,22.27023,42.11551,343.9,14.3,0
0.08298464,3.189685,22.27023,42.11551,343.9,14.3,0
0.1162184,3.189685,22.27023,42.11551,343.9,14.3,0
0.1331671,3.189685,22.27023,42.11551,343.9,14.3,0
0.1663654,3.189685,22.27023,42.11551,343.9,14.3,0
0.1831191,3.189685,22.27023,42.11551,343.9,14.3,0
0.1998953,3.189685,22.27023,42.11551,343.9,14.3,0
0.2333456,3.189685,22.27023,42.11551,343.9,14.3,0
0.2499074,3.189685,22.27023,42.11551,343.9,14.3,0
0.2832505,3.189685,22.27023,42.11551,343.9,14.3,0
0.2999851,3.189685,22.27023,42.11551,343.9,14.3,0
0.3334416,3.189685,22.27023,42.11551,343.9,14.3,0
0.3498484,3.189685,22.27023,42.11551,343.9,14.3,0
0.3663793,3.189685,22.27023,42.11551,343.9,14.3,0
0.4000862,3.189685,22.27023,42.11551,343.9,14.3,0
0.4167418,3.189685,22.27023,42.11551,343.9,14.3,0
0.4500069,3.189685,22.27023,42.11551,343.9,14.3,0
0.4664039,3.189685,22.27023,42.11551,343.9,14.3,0
0.4832253,3.189685,22.27023,42.11551,343.9,14.3,0
0.5166279,3.189685,22.27023,42.11551,343.9,14.3,0
0.5332635,3.189685,22.27023,42.11551,343.9,14.3,0
0.5666071,3.189685,22.27023,42.11551,343.9,14.3,0
0.5833325,3.189685,22.27023,42.11551,343.9,14.3,0
0.600137,3.189685,22.27023,42.11551,343.9,14.3,0
0.6332681,3.189685,22.27023,42.11551,343.9,14.3,0
0.6499812,3.189685,22.27023,42.11551,343.9,14.2,0
0.6833428,3.189685,22.27023,42.11551,343.9,14.2,0
0.7000271,3.189685,22.27023,42.11551,343.9,14.2,0
0.716441,3.189685,22.27023,42.11551,343.9,14.2,0
0.7500653,3.189685,22.27023,42.11551,343.9,14.2,0
0.7664213,3.189685,22.27023,42.11551,343.9,14.2,0
0.8002062,3.189685,22.27023,42.11551,343.9,14.2,0
