TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03497339,-0.1067593,22.27024,43.27997,359.6,358.2,0
0.07110499,-0.1117849,22.27023,43.43989,359.5,358.2,8.33795E-10
0.1064443,-0.1142977,22.27023,43.51985,359.5,358.2,8.33795E-10
0.1409789,-0.1193234,22.27024,43.67977,359.5,358.2,8.33795E-10
0.1769042,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.2129619,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.2478357,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.2838662,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.3189186,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.3540742,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.3901586,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.4250022,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.4608808,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.496217,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.5319046,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.5671321,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.6033294,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.6383079,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.6740756,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.7089376,-0.1193234,22.27023,43.67977,359.5,358.2,8.33795E-10
0.7450441,-0.1193234,22.27023,43.67977,358.5,357.9,3.336196E-09
0.7799949,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
0.8157827,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
0.8509008,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
0.8872643,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
0.9220212,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
0.9569889,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
0.9929439,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.02902,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.063896,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.098941,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.134911,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.170074,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.206036,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.240834,-0.1193234,22.27023,43.67977,358.5,357.8,3.336197E-09
1.2771,-0.1193234,22.27023,43.67977,358.7,0.8000283,0
1.312135,-0.1193234,22.27023,43.67977,358.7,3.800028,0
1.348013,-0.1193234,22.27023,43.67977,358.7,6.200029,-6.671824E-09
1.383193,-0.1193234,22.27023,43.67977,358.7,8.900029,0
1.41897,-0.1193234,22.27023,43.67977,358.6,10.10003,1.33442E-08
1.455226,-0.1193234,22.27023,43.67977,358.5,10.20003,-1.334479E-08
1.490234,-0.1193234,22.27023,43.67977,358.3,10.20003,0
1.526061,-0.1193234,22.27023,43.67977,358,10.10003,-1.334834E-08
1.56093,-0.1193234,22.27023,43.67977,357.9,10.00003,0
1.595861,-0.1193234,22.27023,43.67977,357.9,10.00003,0
1.630004,-0.1193234,22.27023,43.67977,357.8,10.00003,-1.335005E-08
1.664942,-0.1193234,22.27023,43.67977,357.4,10.00003,-2.670792E-08
1.699662,-0.1193234,22.27023,43.67977,356.9,9.800028,-2.671953E-08
1.735077,-0.1193234,22.27023,43.67977,356.3,9.300029,0
1.769167,-0.1193234,22.27023,43.67977,356.2,8.900028,-2.673921E-08
1.804027,-0.1193234,22.27023,43.67977,356.1,8.600029,-2.674236E-08
1.839027,-0.1193234,22.27023,43.67977,356.1,8.600029,-2.674236E-08
1.873906,-0.1193234,22.27023,43.67977,356.1,8.600029,-2.674236E-08
1.908872,-0.1193234,22.27023,43.67977,356.1,8.600029,-2.674236E-08
1.94383,-0.1193234,22.27023,43.67977,356.1,8.600029,-2.674236E-08
1.978882,-0.09539763,22.27023,43.83797,356.2,8.50003,-5.347843E-08
2.013856,-0.07174804,22.27024,43.99622,356.4,8.300027,2.673318E-08
2.049026,-0.06019951,22.27023,44.07538,356.5,8.200029,0
2.084924,-0.0373788,22.27023,44.23374,356.5,8.200029,0
2.119891,-0.01455809,22.27024,44.39211,356.5,8.200029,0
2.154997,0.008262619,22.27023,44.55047,356.5,8.200029,0
2.189802,0.01967297,22.27023,44.62965,356.5,8.200029,0
2.225879,0.04249368,22.27024,44.78802,356.6,8.200028,-2.672747E-08
2.260867,0.06531439,22.27023,44.94638,356.7,8.100028,0
2.295949,0.08785866,22.27023,45.10479,356.7,8.100028,0
2.331659,0.1104029,22.27023,45.26319,357,7.700027,1.335852E-08
2.367942,0.1211219,22.27024,45.34247,357.5,6.900028,0
2.403062,0.1403438,22.27023,45.50131,357.9,6.000028,6.674589E-09
2.439157,0.1570685,22.27023,45.66043,358.1,5.400028,0
2.473861,0.1721259,22.27023,45.81972,358.2,4.300028,0
2.509826,0.1781242,22.27023,45.8995,358.6,2.000028,-1.668024E-09
2.545173,0.1825441,22.27023,46.02026,358.6,0.800028,0
2.580832,0.1793119,22.27023,46.02039,358.9,359.2,-8.33917E-10
2.617121,0.1693854,22.27023,46.02098,359.2,357,-1.667689E-09
2.652009,0.1484649,22.27024,46.02309,359.3,354.3,-3.335303E-09
