TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04900729,-1,15.27646,-33,0,0,0
0.0930395,-1,15.18228,-33,0,0,0
0.1400383,-1,15.08026,-33,0,0,0
0.1884154,-1,14.94684,-33,0,359.7,0
0.2323132,-1,14.68786,-33,0,359.7,0
0.2770397,-1,14.47596,-33,359.4,1,-8.338091E-10
0.3219869,-1,14.23267,-33,357.5,1.8,-3.33823E-09
0.3662294,-1,13.95799,-33,357.3,1.9,6.677519E-09
0.4120808,-1,13.675,-33,357.3,1.9,6.677519E-09
0.4568904,-1,13.675,-33,357.3,1.9,6.677519E-09
0.5009596,-1,13.675,-33,357.3,1.9,6.677519E-09
0.5460868,-1,13.675,-33,357.3,1.9,6.677519E-09
0.5899446,-1,13.675,-33,357.3,1.9,6.677519E-09
0.634199,-1,13.675,-33,357.3,1.9,6.677519E-09
0.6791241,-1,13.675,-33,357.4,1.9,-3.33849E-09
0.7230224,-1,13.675,-33,357.5,1.8,-3.33823E-09
0.7682426,-1,13.675,-33,354.5,1.9,0
0.8129414,-1,13.675,-33,351.2,2.1,0
0.8571054,-1,13.675,-33,347.9,2.1,0
0.9006547,-1,13.675,-33,344.4,1.7,0
0.9450939,-0.9955325,13.675,-32.84006,342.9,1.6,2.791444E-08
0.9888259,-0.9913442,13.675,-32.68012,341.9,1.5,0
1.030751,-0.9871559,13.675,-32.52017,341.3,1.5,-2.816737E-08
1.072596,-0.9808735,13.675,-32.28025,340.8,1.5,0
1.114515,-0.9769643,13.675,-32.1203,340.5,1.4,0
1.151182,-0.9750097,13.675,-32.04033,340.5,1.4,0
1.189332,-0.9711006,13.675,-31.88037,340.5,1.4,0
1.227192,-0.9671915,13.675,-31.72042,340.5,1.4,0
1.264154,-0.9632823,13.675,-31.56047,340.5,1.4,0
1.302212,-0.9593731,13.675,-31.40052,340.5,1.4,0
1.34034,-0.955464,13.675,-31.24056,340.5,1.4,0
1.378424,-0.9515548,13.675,-31.08061,340.5,1.4,0
1.415999,-0.9476457,13.675,-30.92066,340.5,1.4,0
1.454368,-0.9437366,13.675,-30.76071,340.5,1.4,0
1.492228,-0.9398274,13.675,-30.60076,340.5,1.4,0
1.530208,-0.9378728,13.675,-30.52078,340.5,1.4,0
1.568189,-0.9339637,13.675,-30.36083,340.5,1.4,0
1.606158,-0.9300545,13.675,-30.20087,340.5,1.4,0
1.644331,-0.9261454,13.675,-30.04092,340.5,1.4,0
1.68206,-0.9222362,13.675,-29.88097,340.5,1.4,0
1.720169,-0.9183271,13.675,-29.72102,340.5,1.4,0
1.759177,-0.9144179,13.675,-29.56107,340.5,1.4,0
1.797054,-0.9105088,13.675,-29.40111,340.5,1.4,0
1.835262,-0.9065996,13.675,-29.24116,340.5,1.4,0
1.873373,-0.9026905,13.675,-29.08121,340.5,1.4,0
1.911094,-0.9007359,13.675,-29.00123,340.5,1.4,0
1.94912,-0.8968267,13.675,-28.84128,340.5,1.4,0
1.987167,-0.8929176,13.675,-28.68133,340.5,1.4,0
2.025582,-0.8890085,13.675,-28.52138,340.5,1.4,0
2.064324,-0.8850994,13.675,-28.36143,340.3,1.4,2.83391E-08
2.101028,-0.8811902,13.675,-28.20147,338.7,1.4,2.863655E-08
2.139138,-0.8756062,13.675,-28.04157,334.9,2,2.946262E-08
2.175352,-0.8683482,13.675,-27.88173,330.4,2.6,-6.136994E-08
2.210363,-0.8647192,13.675,-27.80182,328.4,2.6,-6.265019E-08
2.245457,-0.8585771,13.675,-27.64194,327,2.2,0
2.271286,-0.8557851,13.675,-27.56198,326.4,2,0
2.297402,-0.851876,13.675,-27.40203,325.5,1.4,0
2.327655,-0.8510382,13.675,-27.32203,324.5,0.6000001,1.638614E-08
2.357238,-0.8502005,13.675,-27.16204,324.1,0.3000001,0
2.386655,-0.8499212,13.675,-27.08204,323.7,0.2000001,0
2.411512,-0.8493627,13.675,-26.92204,321.7,0.2000001,0
2.434412,-0.8490835,13.675,-26.84204,319.7,0.2000001,-8.745751E-09
2.455155,-0.8488042,13.675,-26.76204,317.5,0.2000001,0
2.4698,-0.8488042,13.675,-26.76204,316.2,0.2000001,0
2.486462,-0.8488042,13.675,-26.68204,315.1,7.095878E-08,0
2.503335,-0.8492231,13.675,-26.60204,314.2,359.7,9.567473E-09
2.52001,-0.8499212,13.675,-26.52205,313.4,359.5,1.94156E-08
2.536543,-0.8506194,13.675,-26.44205,312.5,359.5,-1.974602E-08
2.553452,-0.8513175,13.675,-26.36205,312,359.5,0
2.569931,-0.8513175,13.675,-26.36205,311.6,359.5,2.009292E-08
2.586692,-0.8520156,13.675,-26.28205,311.4,359.5,0
2.60347,-0.8527137,13.675,-26.20206,311,359.5,0
2.619952,-0.8534119,13.675,-26.12206,310.7,359.5,-2.045737E-08
2.636651,-0.8539703,13.675,-26.04206,310.4,359.6,2.058295E-08
2.653342,-0.8543892,13.675,-25.96206,310,359.7,-2.07537E-08
2.670138,-0.8543892,13.675,-25.96206,309.4,359.7,0
2.686783,-0.8543892,13.675,-25.88206,309.1,6.244306E-08,2.521546E-15
2.703422,-0.8543892,13.675,-25.80206,308.8,6.244308E-08,-2.537932E-15
2.720101,-0.8542496,13.675,-25.72206,308.5,0.1000001,5.357391E-09
2.736937,-0.8541099,13.675,-25.64206,307.9,0.1000001,0
2.753327,-0.8538307,13.675,-25.56206,307.4,0.2,0
2.770263,-0.8538307,13.675,-25.56206,306.9,0.2,0
