TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05202826,-1,15.25291,-33,0,0,0
0.1184584,-1,15.13519,-33,0.6000001,358.2,0
0.1830878,-1,14.94684,-33,2.8,356.3,-6.678079E-09
0.2507407,-1,14.68786,-33,2.8,356.3,-6.678079E-09
0.2993175,-1,14.35824,-33,2.8,356.3,-6.678079E-09
0.3664449,-1,13.95799,-33,2.8,356.3,-6.678079E-09
0.4165514,-1,13.675,-33,2.8,356.3,-6.678079E-09
0.4835511,-1,13.675,-33,2.8,356.3,-6.678079E-09
0.550986,-1,13.675,-33,2.8,356.3,-6.678079E-09
0.6012213,-1,13.675,-33,2.8,356.3,-6.678079E-09
0.6673784,-1,13.675,-33,2.8,356.3,-6.678079E-09
0.7179965,-1,13.675,-33,2.8,356.3,-6.678079E-09
0.7832991,-1.015488,13.675,-32.7605,2.8,356.3,-6.678079E-09
0.8500741,-1.028885,13.675,-32.52087,0.2,356.8,0
0.9000215,-1.035586,13.675,-32.28097,355,358.4,-6.695585E-09
0.9668149,-1.035167,13.675,-32.04097,349.9,0.09999978,-8.468873E-10
1.02972,-1.025536,13.675,-31.80116,342.8,2.3,2.792948E-08
1.068828,-1.016047,13.675,-31.64144,336.7,3.4,0
1.125772,-1.001813,13.675,-31.40187,333,3.4,5.988829E-08
1.169456,-0.9923241,13.675,-31.24215,328.8,3.4,-6.238378E-08
1.215931,-0.9785087,13.675,-31.00255,327.6,3.3,0
1.256197,-0.9695772,13.675,-30.84279,327.2,3.200001,6.348201E-08
1.286246,-0.9652509,13.675,-30.76291,327.1,3.1,-6.355359E-08
1.324152,-0.9565983,13.675,-30.60315,327.1,3.1,-6.355359E-08
1.362651,-0.9479457,13.675,-30.44338,327.1,3.1,-6.355359E-08
1.400419,-0.9398508,13.675,-30.28358,326.9,2.9,0
1.438313,-0.931756,13.675,-30.12379,326.9,2.9,0
1.476522,-0.9236611,13.675,-29.96399,326.9,2.9,0
1.514488,-0.9155662,13.675,-29.8042,326.9,2.9,0
1.552552,-0.9074714,13.675,-29.64441,326.9,2.9,0
1.59046,-0.9034239,13.675,-29.56451,326.9,2.9,0
1.628793,-0.8953291,13.675,-29.40471,326.9,2.9,0
1.667517,-0.888629,13.675,-29.24485,326.9,2.4,6.369781E-08
1.706118,-0.8861158,13.675,-29.08487,327.9,0.9,0
1.739775,-0.8872328,13.675,-28.92488,329.2,359.6,0
1.778921,-0.8903043,13.675,-28.76491,330.3,358.9,0
1.817577,-0.8953301,13.675,-28.60498,331.2,358.2,3.044644E-08
1.849583,-0.8982615,13.675,-28.52504,331.6,357.9,0
1.887036,-0.9055197,13.675,-28.3652,332.3,357.4,0
1.918799,-0.9147299,13.675,-28.20547,333.1,356.7,-5.983517E-08
1.951612,-0.926448,13.675,-28.0459,334.1,355.8,-1.18638E-07
1.992672,-0.9448379,13.675,-27.88696,336.9,353.4,-1.160244E-07
2.03935,-0.9695916,13.675,-27.72889,341.3,351.1,0
2.091823,-1.010029,13.675,-27.49232,345.6,350.3,-1.101833E-07
2.138181,-1.036161,13.675,-27.33447,349.8,350.6,0
2.185585,-1.060639,13.675,-27.17635,351,351.2,5.4026E-08
2.252106,-1.10849,13.675,-26.85995,351.7,351.4,0
2.302507,-1.131587,13.675,-26.70162,352,351.7,0
2.369023,-1.164989,13.675,-26.46396,352.3,352,-5.384637E-08
2.436534,-1.186196,13.675,-26.14466,355.5,356.2,1.338146E-08
2.502876,-1.19206,13.675,-25.90473,356.2,358.6,0
2.553103,-1.194992,13.675,-25.66475,356,359.3,1.671598E-09
2.619766,-1.195411,13.675,-25.42475,355.6,359.9,0
2.68631,-1.195411,13.675,-25.18475,355.5,1.846909E-06,0
2.753636,-1.194853,13.675,-24.86475,355.4,0.1000019,0
2.820256,-1.194434,13.675,-24.62475,354.6,0.1000018,0
2.869733,-1.194154,13.675,-24.46475,354.1,0.1000019,-4.191017E-10
2.936417,-1.193596,13.675,-24.14475,353.7,0.1000018,0
3.002496,-1.194015,13.675,-23.90475,353.5,359.9,0
3.069263,-1.196109,13.675,-23.66476,353.1,359.5,3.359384E-09
3.136357,-1.204486,13.675,-23.34487,352.5,358.5,0
3.203831,-1.220391,13.68398,-23.1054,351.2,356.2,0
3.269567,-1.24745,13.71995,-22.86966,349.6,353.6,-5.425213E-08
3.319222,-1.290843,13.75556,-22.63631,346.8,349.7,0
3.380489,-1.347894,13.79072,-22.40586,344.7,346.4,1.106432E-07
3.445374,-1.409045,13.82573,-22.17644,343.9,345.4,0
3.511479,-1.491126,13.87239,-21.87069,343.7,345.3,4.44764E-07
3.558172,-1.534615,13.89562,-21.71847,342.6,344.4,0
3.607143,-1.578917,13.91881,-21.56649,342.3,344.1,0
3.669797,-1.646183,13.95356,-21.33874,342.1,343.9,-2.243008E-07
3.711996,-1.713449,13.98832,-21.111,342.1,343.9,-2.243008E-07
3.763638,-1.758293,14.01149,-20.95917,342.1,343.9,-2.243008E-07
3.813336,-1.825152,14.04626,-20.73131,341.9,344,-2.245554E-07
3.863492,-1.867826,14.06952,-20.57887,341.5,344.7,0
3.913322,-1.931021,14.10444,-20.34999,341.4,344.9,2.252063E-07
3.962179,-1.972606,14.4966,-20.19725,341.3,345.1,0
4.011798,-2.030063,15.02596,-19.96512,341.2,346.2,0
4.062202,-2.058121,15.33964,-19.8076,341.5,349.9,0
4.112302,-2.078621,15.75128,-19.56848,342.2,355.1,-5.60437E-08
4.162591,-2.076108,15.98648,-19.4085,343,0.900002,0
4.212269,-2.055191,16.2804,-19.16941,343.1,5.000002,-1.115387E-07
4.26271,-2.031817,16.43711,-19.01113,343.1,8.400002,-1.115387E-07
4.31473,-1.992206,16.61332,-18.77442,342.7,9.500002,1.117785E-07
4.367258,-1.963872,16.69156,-18.61695,342.5,10.2,2.238016E-07
4.418925,-1.904593,16.75004,-18.38438,342.6,14.3,0
4.472013,-1.818193,16.7379,-18.16047,344.1,21.1,0
4.521495,-1.752606,16.69057,-18.01453,344.4,24.2,2.216068E-07
4.57143,-1.652318,16.5607,-17.79649,344.4,24.7,2.216069E-07
4.622026,-1.582429,16.43489,-17.65256,344.3,25.9,2.217152E-07
4.674957,-1.493747,16.1873,-17.45926,344.3,28.5,0
4.725185,-1.438321,16.0774,-17.34733,344.4,30.8,0
4.777513,-1.320709,16.65385,-17.15441,344.4,31.1,-4.432137E-07
4.825631,-1.238064,16.99892,-17.01741,344.4,31.1,-4.432137E-07
4.874003,-1.114096,17.45765,-16.8119,344.4,31.1,-4.432137E-07
