TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02003274,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.03899297,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.05883123,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.07929553,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.09792376,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.1179006,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.1379102,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.1571352,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.1770104,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.1970688,-2.122503,22.27023,43.2,352.1,344.7,1.077443E-07
0.2170821,-2.122503,22.27023,43.2,352,344.8,2.15541E-07
0.2370671,-2.122503,22.27023,43.2,351.7,344.8,0
0.2561007,-2.122503,22.27023,43.2,351.3,345,1.07964E-07
0.2760164,-2.122503,22.27023,43.2,351.2,345,0
0.2960964,-2.122503,22.27023,43.2,350.9,345.1,1.080821E-07
0.3160655,-2.122503,22.27023,43.2,350.8,345.2,0
0.3361593,-2.122503,22.27023,43.2,350.5,345.5,0
0.3561433,-2.122503,22.27023,43.2,350.3,345.7,1.082696E-07
0.3760144,-2.122503,22.27023,43.2,350.1,346,1.083349E-07
0.3951598,-2.122503,22.27023,43.2,349.8,346.6,0
0.4151608,-2.122503,22.27023,43.2,349.5,347.4,0
0.435075,-2.122503,22.27023,43.2,349,347.5,1.087192E-07
0.4561489,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.4750537,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.4951465,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.5149648,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.5350575,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.5550143,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.574032,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.5940493,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.6142725,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.6330059,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.6531228,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.6731305,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.6921425,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.7121547,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.7320273,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.7510845,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.7711106,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.7911716,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.8111376,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.8300424,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.850247,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.8690774,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.8890737,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.9090505,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.9292161,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.9480619,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.9679515,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
0.9881141,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.007425,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.02681,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.046997,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.06618,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.085998,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.105007,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.125133,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.144899,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.164246,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.183968,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.20409,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.224082,-2.122503,22.27023,43.2,347.9,347.7,-1.091466E-07
1.243125,-2.122503,22.27023,43.2,347.9,347.6,0
1.263304,-2.122503,22.27023,43.2,348.9,347.2,1.087563E-07
1.28308,-2.122503,22.27023,43.2,349.1,347.1,0
1.303077,-2.122503,22.27023,43.2,349.1,347.1,0
1.323126,-2.122503,22.27023,43.2,349,347.1,0
1.343172,-2.122503,22.27023,43.2,348.6,347.4,1.088696E-07
1.36337,-2.122503,22.27023,43.2,348,347.8,1.091059E-07
1.382173,-2.122503,22.27023,43.2,347.6,349,-2.185415E-07
1.402316,-2.122503,22.27023,43.2,347.6,349.8,1.092707E-07
1.422259,-2.122503,22.27023,43.2,347.6,350.7,0
1.442315,-2.122503,22.27023,43.2,347.9,351.5,0
1.463321,-2.122503,22.27023,43.2,348.1,351.8,5.453282E-08
1.483297,-2.122503,22.27023,43.2,348.4,352.1,5.447346E-08
1.503146,-2.122503,22.27023,43.2,349.3,352.5,0
1.523152,-2.122503,22.27023,43.2,350,352.7,5.418403E-08
1.544219,-2.122503,22.27023,43.2,351,353,0
1.564295,-2.122503,22.27023,43.2,351.9,353.7,2.694929E-08
1.585251,-2.122503,22.27023,43.2,353.5,354.9,-2.685304E-08
1.606162,-2.122503,22.27023,43.2,354.9,356.1,0
1.627407,-2.122503,22.27023,43.2,356.4,358,0
1.648322,-2.122503,22.27023,43.2,357.4,359.6,0
1.670325,-2.122503,22.27023,43.2,357.8,0.09998231,2.085946E-10
1.691284,-2.122503,22.27023,43.2,358,0.2999823,0
1.71331,-2.122503,22.27023,43.2,358,0.2999823,0
1.734209,-2.122503,22.27023,43.2,358,0.2999823,0
1.756114,-2.122503,22.27023,43.2,358,0.1999823,2.085679E-10
1.777128,-2.122503,22.27023,43.2,358.1,0.09998233,0
1.799112,-2.122503,22.27023,43.2,358.1,0.09998233,0
1.821163,-2.122503,22.27023,43.2,358.1,0.09998233,0
1.8422,-2.122503,22.27023,43.2,358.1,-1.766736E-05,0
1.864265,-2.122503,22.27023,43.2,358.1,-1.766736E-05,0
1.885237,-2.122643,22.27023,43.28,358.1,359.9,1.042777E-10
1.907205,-2.122782,22.27024,43.36,358.1,359.9,1.042777E-10
1.92813,-2.122922,22.27023,43.44,358.1,359.9,1.042777E-10
1.950173,-2.123061,22.27023,43.52,358.1,359.9,1.042777E-10
1.972129,-2.123201,22.27023,43.6,358.1,359.9,1.042777E-10
1.994181,-2.123341,22.27023,43.68,358.1,359.9,1.042777E-10
2.016116,-2.12362,22.27023,43.84,358.1,359.9,1.042777E-10
2.038205,-2.12376,22.27024,43.92,358.1,359.9,1.042777E-10
2.06012,-2.123899,22.27023,44,358.1,359.9,1.042777E-10
2.082202,-2.124318,22.27023,44.08,358.1,359.7,4.17111E-10
2.105315,-2.124877,22.27023,44.16,358.1,359.6,0
2.127202,-2.125575,22.27023,44.23999,358.1,359.5,0
2.149068,-2.126273,22.27024,44.31999,358.1,359.5,0
2.17118,-2.126971,22.27023,44.39999,358.1,359.5,0
2.194114,-2.127809,22.27023,44.47998,358.1,359.4,0
2.21624,-2.129764,22.27023,44.63997,358.1,359.3,-8.342219E-10
2.23832,-2.131579,22.27024,44.71995,358.1,358.7,1.668444E-09
2.260181,-2.134789,22.27023,44.79988,358.1,357.7,0
2.282164,-2.139534,22.27023,44.87975,358.1,356.6,0
2.305109,-2.145811,22.27023,44.9595,358.1,355.5,-6.673775E-09
2.327128,-2.154589,22.27023,45.03902,358.1,353.7,6.673775E-09
2.349263,-2.165862,22.27024,45.11822,358.1,351.9,-1.334755E-08
2.372253,-2.179341,22.27023,45.19707,358.1,350.3,-1.334755E-08
2.395161,-2.21124,22.27023,45.35386,358.5,348.5,0
2.417192,-2.2291,22.27023,45.43184,358.7,347.1,0
2.439203,-2.248318,22.27024,45.5095,358.8,346.1,0
2.46124,-2.269023,22.27023,45.58677,359,345,1.334225E-08
2.483337,-2.292012,22.27023,45.6634,359.2,343.3,0
2.505403,-2.316866,22.27023,45.73944,359.2,341.9,0
2.52712,-2.34278,22.27023,45.81513,359.2,341.1,-1.334151E-08
2.549124,-2.369879,22.27023,45.8904,359.3,340.2,-1.334121E-08
2.570596,-2.398157,22.27024,45.96523,359.3,339.3,0
2.592188,-2.427087,22.27023,46.03982,359.3,338.8,0
2.614338,-2.472785,22.27024,46.0662,359.3,338.5,0
2.636263,-2.577497,22.27023,46.12689,359.3,338.1,-2.668242E-08
2.658098,-2.629654,22.27023,46.1736,359.3,337.6,-1.334121E-08
2.681298,-2.677936,22.27023,46.23102,359.3,337.4,-1.334121E-08
2.704123,-2.717623,22.27024,46.29914,359.3,337,-1.334121E-08
2.728121,-2.749267,22.27023,46.37262,359.4,336.7,0
2.753265,-2.781806,22.27059,46.4457,359.5,336,0
2.777989,-2.851762,22.29478,46.58501,359.6,334.8,6.670269E-09
2.803164,-2.88797,22.295,46.65632,359.9,333.1,0
2.828054,-2.928573,22.295,46.72525,0.3999619,329.5,1.334054E-08
2.852963,-2.972611,22.295,46.79204,0.8999621,326.6,0
2.879973,-3.067334,22.295,46.92099,1.299962,323.7,-2.66873E-08
2.905742,-3.117788,22.295,46.98307,1.799962,320.9,0
2.926784,-3.170588,22.295,47.04317,2.299962,318.7,0
2.947762,-3.224943,22.295,47.10187,2.699962,317.2,0
2.965654,-3.280012,22.295,47.1599,2.899962,316.5,-1.068586E-07
2.983901,-3.335584,22.295,47.21745,3.199962,316,0
3.000664,-3.391955,22.295,47.27421,3.599962,315.2,0
3.017738,-3.44921,22.295,47.33009,4.199963,314.3,-2.140181E-07
3.0337,-3.44921,22.295,47.33009,4.899963,313,0
3.050717,-3.508941,22.295,47.3833,5.499963,311.7,0
3.066688,-3.570493,22.295,47.43441,6.299964,309.7,0
3.083694,-3.633276,22.295,47.48399,6.699964,308.3,0
3.099665,-3.696913,22.295,47.53247,6.999964,307.3,0
3.116674,-3.761305,22.295,47.57994,7.199963,306.4,-2.151398E-07
3.132807,-3.761305,22.295,47.57994,7.299963,306,0
3.149675,-3.82619,22.295,47.62674,7.399963,305.8,0
3.16544,-3.891075,22.295,47.67353,7.399963,305.8,0
3.181207,-3.956123,22.295,47.7201,7.499964,305.6,0
3.19781,-4.021253,22.295,47.76656,7.499963,305.5,2.152852E-07
3.214352,-4.021253,22.295,47.76656,7.699962,305.1,0
3.231008,-4.087103,22.295,47.81199,7.799963,304.6,-2.154366E-07
3.248171,-4.153348,22.295,47.85684,7.799962,304.1,0
3.264507,-4.219982,22.295,47.90111,7.799963,303.6,0
3.281455,-4.286923,22.295,47.94491,7.799962,303.2,0
3.2975,-4.354244,22.295,47.98813,7.799963,302.7,4.308733E-07
3.314531,-4.354244,22.295,47.98813,7.799963,302.3,2.154366E-07
3.331005,-4.422235,22.295,48.03029,7.699964,301.8,2.153855E-07
3.347881,-4.490374,22.295,48.07221,7.599962,301.6,0
3.364552,-4.558658,22.295,48.11389,7.399963,301.4,2.15236E-07
3.38127,-4.627015,22.295,48.15545,7.199962,301.3,0
3.397546,-4.695444,22.295,48.19689,6.599964,301.2,0
3.414583,-4.763873,22.295,48.23833,5.499963,301.2,-2.144306E-07
3.43117,-4.763873,22.295,48.23833,3.899964,301.2,-1.069694E-07
3.447937,-4.832084,22.295,48.28014,2.199963,301.5,0
3.464521,-4.900075,22.295,48.32229,0.3999632,301.8,-1.334054E-08
3.481212,-4.967622,22.295,48.36516,358.5,302.4,0
3.498092,-5.034791,22.295,48.40861,356.6,302.9,-1.069099E-07
3.514258,-5.034791,22.295,48.40861,354.8,303.4,0
3.531264,-5.101114,22.295,48.45335,353.3,304,0
3.547825,-5.166727,22.295,48.49912,351.9,304.9,0
3.564526,-5.231775,22.295,48.54569,351.1,305.6,0
3.580983,-5.296414,22.295,48.59282,350.4,306.1,-4.329499E-07
3.597862,-5.360723,22.295,48.64041,350,306.5,4.334723E-07
3.614378,-5.360723,22.295,48.64041,349.5,306.9,4.341569E-07
3.631169,-5.424613,22.295,48.68855,349.4,307,0
3.647641,-5.48842,22.295,48.73681,349.3,307.1,0
3.66412,-5.552143,22.295,48.78518,349.2,307.2,0
3.681039,-5.615865,22.295,48.83355,349.2,307.2,0
3.697479,-5.679587,22.295,48.88192,349.2,307.2,0
3.714196,-5.679587,22.295,48.88192,349.2,307.2,0
3.730822,-5.743309,22.295,48.93028,349.2,307.2,0
3.747495,-5.807032,22.295,48.97865,349.2,307.2,0
3.764014,-5.870754,22.295,49.02702,349.2,307.2,0
3.780949,-5.934477,22.295,49.07539,349.2,307.2,0
3.797422,-5.998115,22.295,49.12387,349.2,307.3,0
3.814276,-5.998115,22.295,49.12387,349.2,307.7,0
3.830742,-6.061156,22.295,49.17312,349.4,308,4.34298E-07
3.847582,-6.123765,22.295,49.22292,349.6,308.5,0
3.864176,-6.18576,22.295,49.27348,350,309.2,4.334723E-07
3.88115,-6.246953,22.295,49.32501,350.7,310.1,-2.162864E-07
3.897951,-6.306962,22.295,49.37792,351.7,311.4,2.157028E-07
3.914205,-6.306962,22.295,49.37792,352.7,312.8,0
3.931019,-6.364316,22.295,49.43369,353.7,314.2,-2.147403E-07
3.948134,-6.419485,22.295,49.49162,355.1,316.4,-2.142263E-07
3.964647,-6.473223,22.295,49.55089,355.8,317.8,0
3.981275,-6.525602,22.295,49.61135,356.4,319.1,-1.069327E-07
3.997756,-6.576488,22.295,49.67308,357,320.5,0
4.01469,-6.625521,22.295,49.7363,357.5,322.2,0
4.031291,-6.625521,22.295,49.7363,357.8,323.4,5.340022E-08
4.048086,-6.671864,22.295,49.80151,357.9,324.6,0
4.064555,-6.717176,22.295,49.86744,358,325.5,5.339338E-08
4.081449,-6.761563,22.295,49.93399,358.2,326.3,0
4.098096,-6.805135,22.295,50.00109,358.2,327,0
4.114735,-6.848001,22.295,50.06863,358.3,327.6,-5.338435E-08
4.131456,-6.848001,22.295,50.06863,358.3,328.1,0
4.147794,-6.890276,22.295,50.13655,358.3,328.1,0
4.164543,-6.908279,22.295,50.20447,358.3,328.1,0
4.181489,-6.909439,22.295,50.27246,358.3,328.2,0
4.198118,-6.910592,22.295,50.3406,358.3,328.4,0
4.214938,-6.911745,22.295,50.40874,358.3,328.4,0
4.24765,-6.912891,22.295,50.47702,358.2,328.6,0
4.250881,-6.912891,22.295,50.47702,358.1,328.7,0
4.264467,-6.914035,22.295,50.54538,358.1,328.7,0
4.281119,-6.915178,22.295,50.61374,358.1,328.7,0
4.297702,-6.916321,22.295,50.68209,358.1,328.7,0
4.314542,-6.916321,22.295,50.68209,358,328.8,0
4.331057,-6.917441,22.295,50.75095,358,329.4,-1.067867E-07
4.348002,-6.918535,22.295,50.82037,358,330.2,5.339338E-08
4.364698,-6.919595,22.295,50.89048,358,331.2,5.339338E-08
4.381325,-6.920618,22.295,50.96131,358,332.3,0
4.398026,-6.921607,22.295,51.03278,358,333.3,-5.339338E-08
4.414505,-6.921607,22.295,51.03278,358,334.4,2.669669E-08
4.431275,-6.922519,22.295,51.10558,358,335.5,2.669669E-08
4.448436,-6.928014,22.295,51.18061,358,336.5,-2.669669E-08
4.464661,-6.955183,22.295,51.2556,358,337.4,0
4.481429,-6.975003,22.295,51.33239,357.9,338,-2.669836E-08
4.49792,-7.004194,22.295,51.40688,357.8,338.6,0
4.514732,-7.026876,22.295,51.46023,357.7,339.1,2.670194E-08
4.531265,-7.026876,22.295,51.46023,357.5,339.7,2.670585E-08
4.547959,-7.037893,22.295,51.47223,357.3,340.3,0
4.564772,-7.044353,22.295,51.478,357.2,341.1,-5.342464E-08
4.581489,-7.050196,22.295,51.48298,356.9,342.1,-5.343905E-08
4.597939,-7.05448,22.295,51.48584,356.8,343.1,0
4.61483,-7.057973,22.295,51.48785,356.5,344.1,-5.346056E-08
4.631464,-7.057973,22.295,51.48785,356.4,345,0
4.648031,-7.061072,22.295,51.48965,356.3,346.1,2.673615E-08
4.664674,-7.063967,22.295,51.49135,356.1,347.2,0
4.681498,-7.066694,22.295,51.49297,356,348.1,2.674558E-08
