TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01656481,0.1088575,22.27023,40.40256,348.1,357.5,-2.726641E-08
0.03294282,0.1053679,22.27023,40.48249,348.1,357.5,-2.726641E-08
0.04982681,0.1018784,22.27024,40.56241,348.1,357.5,-2.726641E-08
0.06671798,0.0983888,22.27023,40.64233,348.1,357.5,-2.726641E-08
0.08319914,0.09489924,22.27023,40.72226,348.1,357.5,-2.726641E-08
0.09980603,0.09140968,22.27023,40.80218,348.1,357.5,-2.726641E-08
0.1164411,0.09140968,22.27023,40.80218,348.1,357.5,-2.726641E-08
0.1331394,0.08792011,22.27023,40.88211,348.1,357.5,-2.726641E-08
0.1498417,0.08443055,22.27024,40.96203,348.1,357.5,-2.726641E-08
0.1664245,0.08094098,22.27023,41.04195,348.1,357.5,-2.726641E-08
0.1832428,0.07745142,22.27023,41.12188,348.1,357.5,-2.726641E-08
0.1999322,0.07396186,22.27023,41.2018,348.1,357.5,-2.726641E-08
0.2164806,0.07396186,22.27023,41.2018,348.1,357.5,-2.726641E-08
0.2332127,0.0704723,22.27023,41.28173,348.1,357.5,-2.726641E-08
0.2497898,0.06698274,22.27024,41.36165,348.1,357.5,-2.726641E-08
0.2664717,0.06349317,22.27023,41.44157,348.1,357.5,-2.726641E-08
0.2831268,0.06000361,22.27023,41.5215,348.1,357.5,-2.726641E-08
0.2998481,0.05651405,22.27023,41.60142,348.1,357.5,-2.726641E-08
0.316455,0.05651405,22.27023,41.60142,348.1,357.5,-2.726641E-08
0.3332866,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.3498884,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.3663726,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.3832114,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.3998173,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.4164098,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.4332152,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.449799,0.05302449,22.27023,41.68134,348.1,357.5,-2.726641E-08
0.4666137,0.05302449,22.27023,41.68134,348.7,357.8,-1.360393E-08
0.4834418,0.05302449,22.27023,41.68134,349.9,358.6,0
0.4998106,0.05302449,22.27023,41.68134,351,359.6,0
0.5164914,0.05302449,22.27023,41.68134,352,0.4999915,-3.367828E-09
0.5343657,0.05302449,22.27023,41.68134,352.9,1.199992,0
0.5511086,0.05302449,22.27023,41.68134,353.2,1.499992,0
0.5840139,0.05302449,22.27023,41.68134,353.4,1.599991,6.714606E-09
0.5875044,0.05302449,22.27023,41.68134,353.5,1.599991,0
0.6010483,0.05302449,22.27023,41.68134,353.5,1.599991,0
0.6173832,0.05302449,22.27023,41.68134,353.6,1.499992,-6.711936E-09
0.6344314,0.05302449,22.27023,41.68134,353.6,1.499992,-6.711936E-09
