TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03991769,-1,15.27646,-33,0,0,0
0.07600823,-1,15.25291,-33,359.9,1,0
0.1144419,-1,15.18228,-33,358.5,1.4,0
0.1539465,-1,15.08026,-33,358.5,1.4,0
0.189918,-1,14.94684,-33,358.5,1.4,0
0.2269163,-1,14.78203,-33,358.5,1.4,0
0.2630335,-1,14.58583,-33,358.5,1.4,0
0.299102,-1,14.35824,-33,358.5,1.4,0
0.3339707,-1,14.23267,-33,358.5,1.4,0
0.3707663,-0.9960908,13.95799,-32.84005,358.5,1.4,0
0.4069528,-0.9921817,13.675,-32.6801,358.5,1.4,0
0.4428473,-0.9882725,13.675,-32.52014,358.5,1.4,0
0.4780378,-0.9843634,13.675,-32.36019,358.5,1.4,0
0.5140067,-0.9824088,13.675,-32.28022,358.5,1.4,0
0.5499366,-0.9784997,13.675,-32.12026,358.5,1.4,0
0.5869354,-0.9745905,13.675,-31.96031,358.5,1.4,0
0.6220186,-0.9706814,13.675,-31.80036,358.5,1.4,0
0.6589307,-0.9695644,13.675,-31.64036,357.8,0.4,0
0.6949048,-0.9692851,13.675,-31.56036,357.3,0.2,4.173449E-10
0.7310949,-0.9692851,13.675,-31.40036,357,1.334019E-08,0
0.7670628,-0.9695644,13.675,-31.24036,356.9,359.9,0
0.802751,-0.9698436,13.675,-31.08036,356.9,359.9,0
0.8399012,-0.9709606,13.675,-30.92037,356.5,359.6,0
0.8758332,-0.9727756,13.675,-30.84039,354,358.7,0
0.9118965,-0.9814283,13.675,-30.68062,351.2,356.9,0
0.948104,-0.9970415,13.675,-30.52139,348,354.4,0
0.9843218,-1.016263,13.675,-30.36255,345,353.1,0
1.021796,-1.035763,13.675,-30.20374,343.3,353,0
1.058981,-1.054707,13.675,-30.04486,342.2,353.2,0
1.095891,-1.063902,13.675,-29.96539,341.9,353.4,0
1.128922,-1.082292,13.675,-29.80645,341.8,353.4,0
1.161783,-1.100682,13.675,-29.64751,341.7,353.4,0
1.193615,-1.109877,13.675,-29.56804,341.7,353.4,0
