TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03497852,-1,15.27646,-33,0,0,0
0.06494963,-1,15.25291,-33,0,0,0
0.09809668,-1,15.18228,-33,0,0,0
0.1321685,-1,15.08026,-33,0,359.3,0
0.1633244,-1,15.01747,-33,359.6,357.5,8.337836E-10
0.1938272,-1,14.86836,-33,359.6,356.8,0
0.2240672,-1,14.78203,-33,359.6,356.4,8.337836E-10
0.2550092,-1,14.58583,-33,359.6,356.1,0
0.2860554,-1,14.47596,-33,359.9,355.6,0
0.3164955,-1,14.23267,-33,-1.759805E-08,355.4,0
0.347125,-1,14.09926,-33,359.8,355.1,8.337684E-10
0.3780613,-1,13.80888,-33,357.9,354.7,0
0.4088817,-1,13.675,-33,355.1,354.6,-2.677829E-08
0.4399746,-1.015057,13.675,-32.84071,350.6,354.6,0
0.4708863,-1.020638,13.675,-32.76091,343.8,356,0
0.5005767,-1.028733,13.675,-32.60111,340.6,357.1,-5.657291E-08
0.5303277,-1.031106,13.675,-32.52114,338.3,358.3,0
0.5583318,-1.033061,13.675,-32.36116,337.1,359.3,1.448157E-08
0.5831493,-1.032921,13.675,-32.28116,335.9,0.1000002,0
0.6062928,-1.032083,13.675,-32.20116,335.2,0.6000003,0
0.6282586,-1.031246,13.675,-32.12117,335.2,0.6000003,0
0.6509619,-1.030408,13.675,-32.04117,335.2,0.6000003,0
0.6720102,-1.028732,13.675,-31.88118,335.2,0.6000003,0
0.6943229,-1.027895,13.675,-31.80118,335.2,0.6000003,0
0.7153368,-1.027057,13.675,-31.72119,335.2,0.6000003,0
0.7372821,-1.026219,13.675,-31.64119,335.2,0.6000003,0
0.7584012,-1.025381,13.675,-31.5612,335.2,0.6000003,0
0.7800663,-1.024544,13.675,-31.4812,335.2,0.6000003,0
0.8020803,-1.023706,13.675,-31.40121,335.2,0.6000003,0
0.8241442,-1.022868,13.675,-31.32121,335.2,0.6000003,0
0.8451668,-1.02203,13.675,-31.24121,335.1,0.6000003,-1.470735E-08
0.8670746,-1.021193,13.675,-31.16122,335.1,0.6000003,-1.470735E-08
0.8879259,-1.020355,13.675,-31.08122,335.1,0.6000003,-1.470735E-08
0.9101369,-1.019517,13.675,-31.00123,335.1,0.6000003,-1.470735E-08
0.9320001,-1.017842,13.675,-30.84124,335.1,0.6000003,-1.470735E-08
0.9531084,-1.017004,13.675,-30.76124,335,0.6000003,-1.47193E-08
0.9752292,-1.016166,13.675,-30.68125,335,0.6000003,-1.47193E-08
0.9970919,-1.015329,13.675,-30.60125,335,0.6000003,-1.47193E-08
1.019137,-1.01463,13.675,-30.52125,334.9,0.5000002,7.365653E-09
1.04017,-1.014072,13.675,-30.44125,334.9,0.4000002,0
1.062172,-1.013513,13.675,-30.36126,334.9,0.4000002,0
1.084149,-1.012955,13.675,-30.28126,334.9,0.4000002,0
1.106135,-1.012396,13.675,-30.20126,334.9,0.4000002,0
