TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0168804,-1.005723,22.27023,43.19999,346.5999,357.8,0
0.03404098,-1.008794,22.27024,43.27993,346.5999,357.8,0
0.05104094,-1.011865,22.27023,43.35987,346.5999,357.8,0
0.06790851,-1.014936,22.27023,43.43982,346.5999,357.8,0
0.08489821,-1.018007,22.27023,43.51976,346.5999,357.8,0
0.101931,-1.018007,22.27023,43.51976,346.5999,357.8,0
0.1189443,-1.021078,22.27023,43.5997,346.5999,357.8,0
0.1360059,-1.024149,22.27024,43.67964,346.5999,357.8,0
0.1530628,-1.02722,22.27023,43.75958,346.5999,357.8,0
0.1699504,-1.030291,22.27023,43.83952,346.5999,357.8,0
0.1869883,-1.033362,22.27023,43.91946,346.5999,357.8,0
0.2040283,-1.036294,22.27023,43.99941,346.6999,357.9,0
0.2210134,-1.036294,22.27023,43.99941,346.6999,357.9,0
0.2379841,-1.039225,22.27024,44.07935,346.6999,357.9,0
0.255976,-1.042156,22.27023,44.1593,346.6999,357.9,0
0.2729113,-1.045088,22.27023,44.23925,346.6999,357.9,0
0.2899672,-1.048019,22.27023,44.31919,346.6999,357.9,0
0.3070359,-1.050951,22.27023,44.39914,346.6999,357.9,0
0.3250535,-1.053743,22.27024,44.47909,346.7999,358,2.740449E-08
0.3420709,-1.053743,22.27024,44.47909,346.7999,358.2,0
0.3590524,-1.055558,22.27023,44.55907,346.7999,358.7,1.370224E-08
0.3755269,-1.056535,22.27023,44.63906,346.7999,359.3,0
0.4075219,-1.057652,22.27023,44.79906,346.8999,359.6,-3.424165E-09
0.4099599,-1.057652,22.27023,44.79906,346.5999,0.5000164,-6.856779E-09
0.4269917,-1.056954,22.27023,44.87906,346.5999,0.5000164,-6.856779E-09
0.4441343,-1.055697,22.27023,44.95905,346.0999,0.9000164,0
0.4619389,-1.055697,22.27023,44.95905,345.4999,1.100016,-1.377912E-08
0.4790128,-1.053882,22.27024,45.03903,345.3999,1.300016,-1.378536E-08
0.4969241,-1.052067,22.27023,45.11901,345.3999,1.300016,-1.378536E-08
0.5139744,-1.050252,22.27023,45.19899,345.3999,1.300016,-1.378536E-08
0.5319698,-1.048437,22.27023,45.27896,345.3999,1.300016,-1.378536E-08
0.5489262,-1.046622,22.27023,45.35894,345.3999,1.300016,-1.378536E-08
0.5670166,-1.044807,22.27024,45.43892,345.3999,1.300016,-1.378536E-08
0.5840397,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.6019356,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.6199773,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.6379723,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.6560299,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.6729544,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.69101,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.709125,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.7270451,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.7442021,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.7620267,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.7801592,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.7981783,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.8160717,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.8332046,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.8510979,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.8690401,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.8861498,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.9040622,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.922107,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.9392635,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.9572333,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.975082,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
0.9930868,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.010137,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.027971,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.045881,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.063913,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.081897,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.098912,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.117191,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.134989,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.152957,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.169962,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.188239,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.206094,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
1.223183,-1.042992,22.27023,45.5189,345.3999,1.300016,-1.378536E-08
