TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03322198,-1,15.27646,-33,0,0,0
0.06202514,-1,15.25291,-33,0.3,359.7,0
0.09198701,-1,15.18228,-33,0.6,359.5,0
0.1269363,-1,15.08026,-33,0.6999999,359.5,0
0.1548599,-1,15.01747,-33,0.6999999,359.5,0
0.1838226,-1,14.94684,-33,0.6999999,359.5,0
0.212769,-1,14.78203,-33,0.6999999,359.5,0
0.241917,-1,14.68786,-33,0.6999999,359.5,0
0.2698077,-1,14.47596,-33,0.6999999,359.5,0
0.2989521,-1,14.35824,-33,0.6999999,359.5,0
0.3268372,-1,14.09926,-33,0.8,359.4,0
0.3559067,-1,13.95799,-33,0.8,359.4,0
0.3850491,-1,13.80888,-33,0.8000001,359.2,4.169223E-10
0.4129306,-1.004188,13.675,-32.84005,0.4999999,358.5,4.168976E-10
0.4419267,-1.007957,13.675,-32.76014,358.2,357.3,0
0.4709664,-1.017446,13.675,-32.60043,355.2,356.6,1.338717E-08
0.5009165,-1.023305,13.675,-32.52064,350,355.8,-2.709201E-08
0.529772,-1.036972,13.675,-32.36123,345.4,355.1,5.514141E-08
0.5586228,-1.044639,13.675,-32.28159,343.8,354.5,0
0.5877272,-1.062474,13.675,-32.12259,342.2,353.6,0
0.6149647,-1.071531,13.675,-32.04311,340.9,353.5,0
0.6427718,-1.080587,13.675,-31.96362,339.9,353.5,0
0.6694521,-1.095088,13.675,-31.80428,337,354.8,-1.159382E-07
0.6953918,-1.099972,13.675,-31.72443,334.5,356.5,0
0.72143,-1.103043,13.675,-31.64449,332.4,357.8,0
0.7423269,-1.104439,13.675,-31.5645,330.4,359,0
0.7642984,-1.104858,13.675,-31.4845,328.1,359.7,7.856689E-09
0.7854216,-1.105137,13.675,-31.4045,325.8,359.8,-8.06464E-09
0.8019838,-1.105417,13.675,-31.3245,324.1,359.8,8.234277E-09
0.8345705,-1.105975,13.675,-31.1645,322.9,359.8,0
0.8416634,-1.105975,13.675,-31.1645,321.2,359.7,0
0.8547049,-1.106394,13.675,-31.0845,321.2,359.7,0
0.8681815,-1.106813,13.675,-31.0045,320.7,359.7,8.619489E-09
0.8848355,-1.106813,13.675,-31.0045,320.3,359.7,-8.669237E-09
0.9014609,-1.107232,13.675,-30.9245,319.7,359.7,8.74575E-09
0.9180847,-1.107651,13.675,-30.84451,319.1,359.7,0
0.9348876,-1.108349,13.675,-30.76451,318.7,359.5,1.775702E-08
0.9514529,-1.109466,13.675,-30.68451,318.4,359.2,0
0.9681162,-1.110862,13.675,-30.60453,318.1,359,0
0.9848324,-1.110862,13.675,-30.60453,318,358.9,0
1.00161,-1.112398,13.675,-30.52454,318,358.9,0
1.018049,-1.114073,13.675,-30.44456,317.9,358.8,7.191725E-08
1.034723,-1.115748,13.675,-30.36458,317.9,358.8,7.191725E-08
1.051403,-1.117424,13.675,-30.2846,317.9,358.8,7.191725E-08
1.067812,-1.119239,13.675,-30.20462,317.9,358.7,0
1.084715,-1.119239,13.675,-30.20462,317.9,358.7,0
1.101332,-1.121054,13.675,-30.12464,317.9,358.7,0
1.118144,-1.122869,13.675,-30.04466,317.9,358.7,0
1.134891,-1.124684,13.675,-29.96468,317.9,358.7,0
1.151335,-1.126499,13.875,-29.8847,317.9,358.7,0
1.167956,-1.128314,14.06715,-29.80472,317.9,358.7,0
1.184809,-1.128314,14.06715,-29.80472,317.9,358.7,0
1.201273,-1.130129,14.25146,-29.72474,317.9,358.7,0
