TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04515603,-1,15.27646,-33,0,0,0
0.08047888,-1,15.22152,-33,359.8,0.3,0
0.1200681,-1,15.13519,-33,359.8,0.3,0
0.1633363,-1,15.01747,-33,359.8,0.3,0
0.2030251,-1,14.86836,-33,359.8,0.3,0
0.241255,-1,14.68786,-33,359.8,0.3,0
0.2797086,-1,14.47596,-33,0.3,359.5,0
0.3170431,-1,14.23267,-33,1.7,355.7,-6.673044E-09
0.3556979,-1,13.95799,-33,0.9000002,355.3,3.335465E-09
0.3941341,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.4341154,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.4741988,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.512068,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.5500444,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.5880101,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.6263477,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.66512,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.7032796,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.7421458,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.780288,-1,13.675,-33,0.8000002,355.3,-3.335378E-09
0.8182059,-1,13.675,-33,0.8000001,355.4,0
0.8562336,-1,13.675,-33,0.6000003,355.3,0
0.8940468,-1,13.675,-33,359.8,355.2,0
0.933048,-1,13.675,-33,359.1,355.2,0
0.9710716,-1,13.675,-33,358.4,355.3,6.672708E-09
1.009327,-1,13.675,-33,357.7,355.8,0
1.047056,-1,13.675,-33,356.4,357.2,0
1.086256,-1,13.675,-33,355,0.1999996,0
1.124157,-1,13.675,-33,354,2.6,0
1.161419,-1,13.675,-33,353.7,3.799999,1.342126E-08
1.199046,-1,13.675,-33,353.5,4.5,0
1.237116,-1,13.675,-33,353.4,4.8,2.685842E-08
1.275407,-1,13.675,-33,353.4,4.8,2.685842E-08
1.312351,-1,13.675,-33,353.4,5.2,-2.685842E-08
1.349927,-1,13.675,-33,353.3,6.099999,-2.686389E-08
1.388044,-0.9892811,13.675,-32.92072,353.3,7.699998,0
1.425558,-0.9620476,13.675,-32.76306,353.2,9.8,5.373888E-08
1.46308,-0.9309701,13.675,-32.6061,352.9,11.2,-5.377318E-08
1.500059,-0.8998926,13.675,-32.44915,352.9,11.2,-5.377318E-08
1.536899,-0.8688151,13.675,-32.2922,352.9,11.2,-5.377318E-08
1.575246,-0.8377376,13.675,-32.13525,352.9,11.2,-5.377318E-08
1.612016,-0.8066601,13.675,-31.97829,352.9,11.2,-5.377318E-08
1.649129,-0.7911214,13.675,-31.89981,352.9,11.2,-5.377318E-08
1.685913,-0.7600439,13.675,-31.74286,352.9,11.2,-5.377318E-08
1.723075,-0.7289664,13.675,-31.58591,352.9,11.2,-5.377318E-08
1.761319,-0.6978889,13.675,-31.42896,352.9,11.2,-5.377318E-08
1.797968,-0.6668113,13.675,-31.27201,352.9,11.2,-5.377318E-08
1.83517,-0.6357338,13.675,-31.11505,352.9,11.2,-5.377318E-08
1.872034,-0.6046564,13.675,-30.9581,352.9,11.2,-5.377318E-08
1.909342,-0.5895287,13.675,-30.87954,352.9,10.9,5.377319E-08
1.946225,-0.560371,13.675,-30.72222,352.9,10.5,-5.377318E-08
1.9832,-0.5323124,13.675,-30.5647,352.9,10.1,0
2.021167,-0.505354,13.675,-30.40699,352.9,9.7,0
2.059336,-0.4803246,13.675,-30.24896,352.9,8.999999,-5.377319E-08
2.097377,-0.4583334,13.675,-30.09048,352.9,7.9,0
2.135277,-0.4407759,13.675,-29.93144,352.9,6.299999,0
2.172265,-0.4290578,13.675,-29.77187,352.9,4.2,0
2.211492,-0.4187327,13.675,-29.61221,352.9,3.7,-2.688659E-08
2.249168,-0.4148247,13.675,-29.5323,353,2.8,0
2.288206,-0.4081246,13.675,-29.37244,353,2.4,0
2.326204,-0.4036571,13.675,-29.2125,353,1.6,0
2.364179,-0.4008647,13.675,-29.05253,353,0.9999997,-6.720198E-09
2.402066,-0.3983516,13.675,-28.89255,353,0.8999999,-3.360099E-09
2.441476,-0.3958384,13.675,-28.73257,353,0.8999999,-3.360099E-09
2.479347,-0.3933252,13.675,-28.57259,353,0.8999999,-3.360099E-09
2.516946,-0.390812,13.675,-28.41261,353,0.8999999,-3.360099E-09
2.556095,-0.3882989,13.675,-28.25263,353,0.8999999,-3.360099E-09
2.594057,-0.3857857,13.675,-28.09265,353,0.8999999,-3.360099E-09
2.633032,-0.3832725,13.675,-27.93267,353,0.8999999,-3.360099E-09
2.672058,-0.3807594,13.675,-27.77269,353,0.8999999,-3.360099E-09
2.711193,-0.3782462,13.675,-27.61271,353,0.8999999,-3.360099E-09
2.748993,-0.3769896,13.675,-27.53272,353,0.8999999,-3.360099E-09
2.787937,-0.3744764,13.675,-27.37274,353,0.8999999,-3.360099E-09
2.827038,-0.3719633,13.675,-27.21276,353,0.8999999,-3.360099E-09
2.866074,-0.3694501,13.675,-27.05277,353,0.8999999,-3.360099E-09
2.905025,-0.3669369,13.675,-26.8928,353,0.8999999,-3.360099E-09
2.943191,-0.3644238,13.675,-26.73281,353,0.8999999,-3.360099E-09
2.981927,-0.3619106,13.675,-26.57283,353,0.8999999,-3.360099E-09
3.021023,-0.3593974,13.675,-26.41286,353,0.8999999,-3.360099E-09
3.061218,-0.3568842,13.675,-26.25287,353,0.8999999,-3.360099E-09
3.100018,-0.3543711,13.675,-26.09289,353,0.8999999,-3.360099E-09
3.139936,-0.3518579,13.675,-25.93291,353,0.8999999,-3.360099E-09
3.180167,-0.3493447,13.675,-25.77293,353,0.8999999,-3.360099E-09
3.219025,-0.3468316,13.675,-25.61295,353,0.8999999,-3.360099E-09
3.259173,-0.3443184,13.675,-25.45297,353,0.8999999,-3.360099E-09
3.29818,-0.3423637,13.675,-25.29298,353,0.6999997,3.360099E-09
3.338089,-0.3440392,13.675,-25.13299,353,359.4,3.360099E-09
3.376953,-0.3504603,13.675,-24.97312,353,357.7,0
3.416413,-0.3596705,13.675,-24.81339,353.1,356.7,0
3.456414,-0.3691595,13.675,-24.65367,353.1,356.6,1.343754E-08
3.495354,-0.3786485,13.675,-24.49395,353.1,356.6,1.343754E-08
3.535347,-0.3881376,13.675,-24.33423,353.1,356.6,1.343754E-08
3.574751,-0.3987414,13.675,-24.17459,353.1,356.2,2.687507E-08
3.614428,-0.4126863,13.675,-24.01519,353.1,355,0
3.653615,-0.4307988,13.675,-23.85622,353.1,353.5,0
3.693643,-0.4530665,13.675,-23.69778,353.5,352,-5.370608E-08
3.732465,-0.4778202,13.675,-23.53971,353.8,351.1,5.367479E-08
3.772413,-0.5047785,13.675,-23.38199,354.1,350.3,0
3.812568,-0.5339362,13.675,-23.22467,354.3,349.5,-5.3626E-08
3.852467,-0.5657371,13.68957,-23.06876,354.5,348.6,-1.072153E-07
3.893668,-0.6010246,13.71311,-22.91449,354.9,347.4,0
3.933547,-0.6431545,13.73639,-22.7619,355.2,344.9,0
3.973438,-0.6968466,13.75913,-22.6129,355.9,340.6,5.349777E-08
4.014307,-0.7599752,13.78131,-22.46757,356.4,337,5.346635E-08
4.054172,-0.8297577,13.80303,-22.32523,356.7,334.4,0
4.093947,-0.904059,13.8244,-22.18515,357,332.6,-5.343408E-08
4.132493,-0.984993,13.84522,-22.04871,357.1,329.9,0
4.170908,-1.073543,13.86533,-21.91697,357.1,326.7,5.342928E-08
4.209888,-1.166937,13.88492,-21.78855,357.1,324.6,0
4.246551,-1.216322,13.89442,-21.72633,357.1,322.2,5.342928E-08
4.283541,-1.318576,13.91298,-21.60468,357.2,320.6,0
4.318407,-1.421474,13.93147,-21.48355,357.2,320.3,-5.342463E-08
4.353333,-1.524372,13.94995,-21.36243,357.2,320.3,-5.342463E-08
4.386215,-1.575821,13.95919,-21.30187,357.2,320.3,-5.342463E-08
4.418283,-1.67872,13.97767,-21.18075,357.2,320.3,-5.342463E-08
4.449352,-1.730169,13.98691,-21.12019,357.2,320.3,-5.342463E-08
4.480409,-1.833067,14.00539,-20.99907,357.2,320.3,-5.342463E-08
4.510485,-1.935965,14.02388,-20.87795,357.2,320.3,-5.342463E-08
4.541304,-1.987414,14.03312,-20.81739,357.2,320.3,-5.342463E-08
4.571363,-2.090313,14.0516,-20.69627,357.2,320.3,-5.342463E-08
4.601332,-2.141654,14.06086,-20.63562,357.2,320.4,0
4.631408,-2.242611,14.07958,-20.51291,357.1,321.2,-1.068586E-07
4.660571,-2.292216,14.08905,-20.45086,356.9,322,0
4.690558,-2.38988,14.10817,-20.32558,356.7,322.7,0
4.723542,-2.438378,14.11777,-20.26268,356.6,323,-1.069099E-07
4.758487,-2.534705,14.13704,-20.13639,356.6,323.3,-1.069099E-07
4.792807,-2.629207,14.15705,-20.00871,356.5,324.1,0
4.827667,-2.675139,14.16741,-19.94403,356.3,325.3,0
4.86268,-2.762354,14.18863,-19.81158,356.1,327.3,0
4.897718,-2.843843,14.21041,-19.67562,355.7,329.7,0
4.934013,-2.922165,14.23249,-19.53786,355.4,331,0
4.97109,-2.997078,14.255,-19.39737,354.9,332.1,0
