TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01612708,4.172315,22.27024,43.20711,353.8999,18.10001,0
0.03330511,4.172315,22.27024,43.20711,353.8999,18.10001,0
0.05008493,4.197169,22.27023,43.28315,353.8999,18.10001,0
0.06663023,4.222023,22.27023,43.3592,353.8999,18.10001,0
0.0830652,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.09963411,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.116574,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.1332974,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.1498063,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.1664019,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.1830595,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.1998671,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.216575,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.2330223,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.249952,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.2666461,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.2832402,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.2998188,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.3166925,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.3334626,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.3499007,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.3667539,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.383389,4.246877,22.27023,43.43523,353.8999,18.10001,0
0.3999846,4.246877,22.27023,43.43523,353.8999,17.90001,-1.073294E-07
0.4165299,4.246877,22.27023,43.43523,353.8999,17.60002,0
0.433401,4.246877,22.27023,43.43523,353.9999,17.00001,0
0.4499551,4.246877,22.27023,43.43523,353.9999,16.30001,0
0.4668088,4.246877,22.27023,43.43523,353.3,16.00002,0
0.4833556,4.246877,22.27023,43.43523,352.7,15.70002,0
0.4999605,4.246877,22.27023,43.43523,352.3,16.00002,1.076928E-07
0.5167034,4.246877,22.27023,43.43523,352.3,16.10002,0
0.5331948,4.246877,22.27023,43.43523,352.3,16.10002,0
0.5499043,4.246877,22.27023,43.43523,352.3,16.10002,0
0.5667031,4.246877,22.27023,43.43523,352.3,16.10002,0
0.5835044,4.246877,22.27023,43.43523,352.3,16.10002,0
0.5998758,4.246877,22.27023,43.43523,352.3,16.10002,0
0.6166505,4.246877,22.27023,43.43523,352.3,16.10002,0
0.6335083,4.246877,22.27023,43.43523,352.3,16.10002,0
0.6500839,4.246877,22.27023,43.43523,352.3,16.10002,0
0.6665651,4.246877,22.27023,43.43523,352.3,16.10002,0
0.6833418,4.246877,22.27023,43.43523,352.3,16.10002,0
0.6999856,4.246877,22.27023,43.43523,352.3,16.10002,0
0.7165099,4.246877,22.27023,43.43523,352.3,16.10002,0
0.7334508,4.246877,22.27023,43.43523,352.3,16.10002,0
0.7497939,4.246877,22.27023,43.43523,352.3,16.10002,0
0.7667688,4.246877,22.27023,43.43523,352.3,16.10002,0
0.7831668,4.246877,22.27023,43.43523,352.3,16.10002,0
0.7996721,4.246877,22.27023,43.43523,352.3,16.10002,0
0.8166423,4.246877,22.27023,43.43523,352.3,16.10002,0
0.8332055,4.246877,22.27023,43.43523,352.3,16.10002,0
0.8499689,4.246877,22.27023,43.43523,352.3,16.10002,0
0.8665891,4.246877,22.27023,43.43523,352.3,16.10002,0
0.8832124,4.246877,22.27023,43.43523,352.3,16.10002,0
0.8997459,4.246877,22.27023,43.43523,352.3,16.10002,0
0.9162666,4.246877,22.27023,43.43523,352.3,16.10002,0
0.9331419,4.246877,22.27023,43.43523,352.3,16.10002,0
0.9497318,4.246877,22.27023,43.43523,352.3,16.10002,0
0.9665835,4.246877,22.27023,43.43523,352.3,16.10002,0
0.9838277,4.246877,22.27023,43.43523,352.3,16.10002,0
1.000058,4.246877,22.27023,43.43523,352.3,16.10002,0
1.016675,4.246877,22.27023,43.43523,352.3,16.10002,0
1.033339,4.246877,22.27023,43.43523,352.3,16.10002,0
1.050082,4.246877,22.27023,43.43523,352.3,16.10002,0
1.066525,4.246877,22.27023,43.43523,352.3,16.10002,0
1.083292,4.246877,22.27023,43.43523,352.3,16.10002,0
1.099916,4.246877,22.27023,43.43523,352.3,16.10002,0
1.116356,4.246877,22.27023,43.43523,352.3,16.10002,0
1.133418,4.246877,22.27023,43.43523,352.3,16.10002,0
1.14973,4.246877,22.27023,43.43523,352.3,16.10002,0
1.166418,4.246877,22.27023,43.43523,352.3,16.10002,0
1.183311,4.246877,22.27023,43.43523,352.3,16.10002,0
1.200094,4.246877,22.27023,43.43523,352.3,16.10002,0
1.216498,4.246877,22.27023,43.43523,352.3,16.10002,0
1.233228,4.246877,22.27023,43.43523,352.3,16.10002,0
1.250064,4.246877,22.27023,43.43523,352.3,16.10002,0
1.266476,4.246877,22.27023,43.43523,352.3,16.10002,0
1.283254,4.246877,22.27023,43.43523,352.3,16.10002,0
1.29983,4.246877,22.27023,43.43523,352.3,16.10002,0
1.316209,4.246877,22.27023,43.43523,352.3,16.10002,0
1.333035,4.246877,22.27023,43.43523,352.3,16.10002,0
1.349872,4.246877,22.27023,43.43523,352.3,16.10002,0
1.366607,4.246877,22.27023,43.43523,352.3,16.10002,0
1.383023,4.246877,22.27023,43.43523,352.3,16.10002,0
1.399644,4.246877,22.27023,43.43523,352.3,16.10002,0
1.416324,4.246877,22.27023,43.43523,352.3,16.10002,0
1.433214,4.246877,22.27023,43.43523,352.3,16.10002,0
1.449801,4.246877,22.27023,43.43523,352.3,16.10002,0
1.466393,4.246877,22.27023,43.43523,352.3,16.10002,0
1.483358,4.246877,22.27023,43.43523,352.3,16.10002,0
1.499782,4.246877,22.27023,43.43523,352.3,16.10002,0
1.516549,4.246877,22.27023,43.43523,352.3,16.10002,0
1.533535,4.246877,22.27023,43.43523,352.3,16.10002,0
1.549984,4.246877,22.27023,43.43523,352.3,16.10002,0
1.566591,4.246877,22.27023,43.43523,352.3,16.10002,0
1.583511,4.246877,22.27023,43.43523,352.3,16.10002,0
1.599954,4.246877,22.27023,43.43523,352.3,16.10002,0
1.61661,4.246877,22.27023,43.43523,352.3,16.10002,0
1.633613,4.246877,22.27023,43.43523,352.3,16.10002,0
1.649938,4.246877,22.27023,43.43523,352.3,16.10002,0
1.666454,4.246877,22.27023,43.43523,352.3,16.10002,0
1.683476,4.246877,22.27023,43.43523,352.3,16.10002,0
1.700061,4.246877,22.27023,43.43523,352.3,16.10002,0
1.716692,4.246877,22.27023,43.43523,352.3,16.10002,0
1.73344,4.246877,22.27023,43.43523,352.3,16.10002,0
1.749953,4.246877,22.27023,43.43523,352.3,16.10002,0
1.766469,4.246877,22.27023,43.43523,352.3,16.10002,0
1.783481,4.246877,22.27023,43.43523,352.3,16.10002,0
1.799964,4.246877,22.27023,43.43523,352.3,16.10002,0
1.816665,4.246877,22.27023,43.43523,352.3,16.10002,0
1.833381,4.246877,22.27023,43.43523,352.3,16.10002,0
1.850052,4.246877,22.27023,43.43523,352.3,16.20002,-1.076928E-07
1.866617,4.246877,22.27023,43.43523,352.3,16.20002,-1.076928E-07
1.883451,4.246877,22.27023,43.43523,352.3,16.20002,-1.076928E-07
1.900092,4.246877,22.27023,43.43523,352.3,16.20002,-1.076928E-07
1.916734,4.246877,22.27023,43.43523,352.3999,16.10002,-1.076675E-07
1.933351,4.246877,22.27023,43.43523,352.4999,16.10002,-1.076426E-07
1.95008,4.246877,22.27023,43.43523,352.5999,16.00002,0
1.966541,4.246877,22.27023,43.43523,352.7,15.90002,0
1.983513,4.246877,22.27023,43.43523,352.7,15.90002,0
2.00001,4.246877,22.27023,43.43523,352.7,15.90002,0
2.01661,4.246877,22.27023,43.43523,352.7,15.90002,0
2.033276,4.246877,22.27023,43.43523,352.7,15.90002,0
2.04995,4.246877,22.27023,43.43523,352.7,15.90002,0
2.066657,4.246877,22.27023,43.43523,352.7,15.90002,0
2.083558,4.246877,22.27023,43.43523,352.7,15.90002,0
2.100005,4.246877,22.27023,43.43523,352.7,15.90002,0
2.11671,4.246877,22.27023,43.43523,352.7,15.90002,0
2.133534,4.246877,22.27023,43.43523,352.5999,15.80002,0
2.149816,4.246877,22.27023,43.43523,352.5999,15.80002,0
2.166686,4.246877,22.27023,43.43523,352.5999,15.80002,0
2.183626,4.246877,22.27023,43.43523,352.5999,15.80002,0
2.199982,4.246877,22.27023,43.43523,352.5999,15.80002,0
2.216737,4.246877,22.27023,43.43523,352.5999,15.80002,0
2.233345,4.246877,22.27023,43.43523,352.5999,15.70002,0
2.249962,4.246877,22.27023,43.43523,352.5999,15.70002,0
2.266684,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.283572,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.299801,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.31659,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.333654,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.350032,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.366776,4.246877,22.27023,43.43523,352.4999,15.50002,-1.076426E-07
2.383752,4.246877,22.27023,43.43523,352.4999,15.30002,-1.076426E-07
2.400014,4.246877,22.27023,43.43523,352.4999,15.20002,0
2.416929,4.246877,22.27023,43.43523,352.3999,14.80002,0
2.433686,4.246877,22.27023,43.43523,352.2,14.00002,1.077183E-07
2.450129,4.246877,22.27023,43.43523,352.2,13.60002,-1.077183E-07
2.4668,4.246877,22.27023,43.43523,352.2,13.50002,0
2.483565,4.246877,22.27023,43.43523,352.2,13.40002,0
2.500057,4.265417,22.27023,43.51306,352.2,13.40002,0
2.516562,4.283957,22.27024,43.59088,352.2,13.40002,0
2.533683,4.283957,22.27024,43.59088,352.2,13.40002,0
2.550137,4.302497,22.27023,43.6687,352.2,13.40002,0
2.566693,4.321037,22.27023,43.74652,352.2,13.40002,0
2.583211,4.339577,22.27023,43.82434,352.2,13.40002,0
2.59995,4.358116,22.27023,43.90217,352.2,13.40002,0
2.616598,4.376656,22.27024,43.97999,352.2,13.40002,0
2.633243,4.376656,22.27024,43.97999,352.2,13.40002,0
2.650007,4.395196,22.27023,44.05781,352.2,13.40002,0
2.666674,4.413736,22.27023,44.13564,352.2,13.40002,0
2.683642,4.432276,22.27023,44.21346,352.2,13.40002,0
2.699896,4.450816,22.27023,44.29128,352.2,13.40002,0
2.716651,4.469356,22.27024,44.3691,352.2,13.40002,0
2.733382,4.469356,22.27024,44.3691,352.2,13.40002,0
2.749927,4.487895,22.27023,44.44692,352.2,13.40002,0
2.766755,4.506435,22.27023,44.52475,352.2,13.40002,0
2.783246,4.524975,22.27023,44.60257,352.2,13.40002,0
2.800097,4.543515,22.27023,44.68039,352.2,13.40002,0
2.816876,4.562055,22.27024,44.75821,352.2,13.40002,0
2.833357,4.562055,22.27024,44.75821,352.2,13.40002,0
2.849872,4.580595,22.27023,44.83603,352.2,13.40002,0
2.86653,4.599134,22.27023,44.91386,352.2,13.40002,0
2.883434,4.617674,22.27023,44.99168,352.2,13.40002,0
2.89981,4.636214,22.27023,45.0695,352.2,13.40002,0
2.916592,4.654754,22.27024,45.14732,352.2,13.40002,0
2.933356,4.654754,22.27024,45.14732,352.2,13.40002,0
2.949797,4.673294,22.27023,45.22514,352.2,13.40002,0
2.966661,4.691834,22.27023,45.30296,352.2,13.40002,0
2.983608,4.710374,22.27023,45.38079,352.2,13.40002,0
3.000127,4.728913,22.27023,45.45861,352.2,13.40002,0
3.016738,4.747453,22.27024,45.53643,352.2,13.40002,0
3.033216,4.747453,22.27024,45.53643,352.2,13.40002,0
3.049802,4.765993,22.27023,45.61425,352.2,13.40002,0
3.066648,4.784533,22.27024,45.69207,352.2,13.40002,0
3.083439,4.802937,22.27023,45.76993,352.0999,13.30002,0
3.099786,4.821341,22.27023,45.84778,352.0999,13.30002,0
3.116446,4.839745,22.27023,45.92564,352.0999,13.30002,0
3.132999,4.839745,22.27023,45.92564,352.0999,13.30002,0
3.149867,4.858149,22.27023,46.00349,352.0999,13.30002,0
3.166435,4.876553,22.27024,46.08135,352.0999,13.30002,0
3.182982,4.894957,22.27023,46.1592,352.0999,13.30002,0
3.199731,4.913361,22.27023,46.23706,352.0999,13.30002,0
3.216322,4.931765,22.27023,46.31491,352.0999,13.30002,0
3.233155,4.931765,22.27023,46.31491,351.8,13.30002,0
3.249712,4.950169,22.27023,46.39277,350.8999,13.30002,1.08082E-07
3.266813,4.968437,22.27024,46.47065,350.3999,13.20002,0
3.28321,4.986434,22.27735,46.5486,349.8999,13.00002,1.084016E-07
3.300002,4.986434,22.27735,46.5486,349.5999,12.90002,0
3.316541,4.986434,22.27735,46.5486,349.4999,12.90002,1.085392E-07
3.333035,4.986434,22.27735,46.5486,349.3,12.80002,0
3.349792,4.986434,22.27735,46.5486,349.3,12.80002,0
3.366703,4.986434,22.27735,46.5486,349.0999,12.80002,1.086825E-07
3.383254,4.986434,22.27735,46.5486,348.7,12.80002,0
3.400038,4.986434,22.27735,46.5486,348.0999,12.70002,-1.090656E-07
3.416394,4.986434,22.27735,46.5486,347.3,12.70002,1.093982E-07
3.433264,4.986434,22.27735,46.5486,346.5999,12.60002,0
3.449832,4.986434,22.27735,46.5486,345.2999,12.30002,-2.206664E-07
3.466542,4.986434,22.27735,46.5486,344.3,12.10002,0
3.481862,4.986434,22.27735,46.5486,343.0999,12.00002,1.115387E-07
3.498396,4.986434,22.27735,46.5486,342.0999,11.90002,0
3.515032,4.986434,22.27735,46.5486,341.2,11.90002,2.254726E-07
3.531821,5.003014,22.28,46.62645,339.8999,11.90002,0
3.548408,5.019783,22.28,46.70467,338.7,12.10002,0
3.564991,5.036826,22.2807,46.78283,337.4999,12.30002,0
3.581488,5.054423,22.281,46.86083,336.3,12.70002,2.331028E-07
3.598191,5.072283,22.281,46.93881,335.3,12.90002,2.349384E-07
3.614815,5.072283,22.281,46.93881,334.3999,13.20002,0
3.631504,5.090823,22.281,47.01663,333.4999,13.40002,0
3.648352,5.109635,22.281,47.09439,332.9999,13.60002,0
3.665108,5.128446,22.281,47.17215,332.8999,13.60002,0
3.681655,5.147257,22.281,47.2499,332.8,13.60002,0
3.698127,5.166069,22.281,47.32766,332.8,13.60002,0
3.7148,5.166069,22.281,47.32766,332.8,13.60002,0
3.731331,5.18488,22.281,47.40541,332.8,13.60002,0
3.748271,5.203691,22.281,47.48317,332.8,13.60002,0
3.765111,5.222503,22.281,47.56093,332.8,13.60002,0
3.781489,5.241314,22.281,47.63869,332.8,13.60002,0
3.798113,5.260126,22.281,47.71644,332.8,13.60002,0
3.814786,5.260126,22.281,47.71644,332.8,13.60002,0
3.831325,5.278937,22.281,47.7942,332.8,13.60002,0
3.848017,5.297749,22.281,47.87196,332.8,13.60002,0
3.864759,5.31656,22.281,47.94971,332.8,13.60002,0
3.881327,5.31656,22.281,47.94971,332.8,13.60002,0
3.898211,5.31656,22.281,47.94971,332.9999,13.60002,0
3.914843,5.31656,22.281,47.94971,334.2,13.40002,0
3.931381,5.31656,22.281,47.94971,335.7999,12.70002,0
3.948488,5.31656,22.281,47.94971,337.4999,12.10002,0
3.965069,5.31656,22.281,47.94971,339.2999,11.40002,2.281734E-07
3.981721,5.31656,22.281,47.94971,340.8,10.80002,0
3.99821,5.31656,22.281,47.94971,341.8999,10.00002,0
4.015087,5.31656,22.281,47.94971,342.9999,9.200018,0
4.03171,5.31656,22.281,47.94971,343.5999,8.600019,1.11248E-07
4.048415,5.31656,22.281,47.94971,344.0999,7.90002,-1.109672E-07
4.065093,5.31656,22.281,47.94971,344.2999,7.300018,0
4.081946,5.31656,22.281,47.94971,344.4999,6.900019,0
4.098282,5.31656,22.281,47.94971,344.4999,6.700019,-5.537483E-08
4.115118,5.31656,22.281,47.94971,344.4999,6.600019,5.537483E-08
4.131753,5.31656,22.281,47.94971,344.5999,6.40002,0
4.148662,5.325061,22.281,48.02926,344.7,6.10002,0
4.165149,5.333146,22.281,48.10885,344.8,5.800019,5.529529E-08
4.181869,5.340814,22.281,48.18848,344.8999,5.50002,0
4.198637,5.348064,22.281,48.26815,344.9999,5.20002,-5.524323E-08
4.215194,5.348064,22.281,48.26815,345.0999,4.90002,-1.10435E-07
4.23181,5.354897,22.281,48.34786,345.0999,4.90002,-1.10435E-07
4.248408,5.361731,22.281,48.42757,345.0999,4.90002,-1.10435E-07
4.264994,5.368564,22.281,48.50728,345.0999,4.90002,-1.10435E-07
4.281692,5.375398,22.281,48.58699,345.0999,4.90002,-1.10435E-07
4.298449,5.382231,22.281,48.66669,345.0999,4.90002,-1.10435E-07
4.315031,5.382231,22.281,48.66669,345.0999,4.90002,-1.10435E-07
4.33174,5.389064,22.281,48.7464,345.0999,4.90002,-1.10435E-07
4.34832,5.395898,22.281,48.82611,345.0999,4.90002,-1.10435E-07
4.36523,5.402731,22.281,48.90582,345.0999,4.90002,-1.10435E-07
4.381739,5.409564,22.281,48.98552,345.0999,4.90002,-1.10435E-07
4.398325,5.416398,22.281,49.06523,345.0999,4.90002,-1.10435E-07
4.414992,5.416398,22.281,49.06523,345.0999,4.90002,-1.10435E-07
4.43152,5.423231,22.281,49.14494,345.0999,4.90002,-1.10435E-07
4.448536,5.430065,22.281,49.22465,345.0999,4.90002,-1.10435E-07
4.465037,5.436898,22.281,49.30435,345.0999,4.90002,-1.10435E-07
4.481608,5.443731,22.281,49.38406,345.0999,4.90002,-1.10435E-07
4.498355,5.450565,22.281,49.46377,345.0999,4.90002,-1.10435E-07
4.515014,5.450565,22.281,49.46377,345.0999,4.90002,-1.10435E-07
4.531698,5.45712,22.281,49.5435,345.2,4.700019,5.519194E-08
4.548431,5.463675,22.281,49.62323,345.2,4.700019,5.519194E-08
4.564847,5.47023,22.281,49.70296,345.2,4.700019,5.519194E-08
4.581697,5.476785,22.281,49.78269,345.2,4.700019,5.519194E-08
4.598601,5.483201,22.281,49.86243,345.2999,4.600019,0
4.615007,5.483201,22.281,49.86243,345.2999,4.600019,0
4.631498,5.489617,22.281,49.94218,345.2999,4.600019,0
4.648258,5.496033,22.281,50.02192,345.2999,4.600019,0
4.66501,5.502449,22.281,50.10166,345.3999,4.60002,0
4.681673,5.509143,22.281,50.18138,345.5999,4.80002,0
4.69835,5.515838,22.281,50.2611,345.5999,4.80002,0
4.71498,5.515838,22.281,50.2611,345.7,4.90002,0
4.731554,5.52281,22.281,50.3408,345.7999,5.00002,0
4.748357,5.529782,22.281,50.42049,345.7999,5.00002,0
4.764983,5.536755,22.281,50.50019,345.8999,5.00002,5.501846E-08
4.781586,5.543727,22.281,50.57988,345.9999,5.00002,5.499444E-08
4.798419,5.5507,22.281,50.65958,346.2,5.000019,5.494694E-08
4.814968,5.5507,22.281,50.65958,346.3,5.00002,0
4.831537,5.557673,22.281,50.73927,346.4999,5.00002,5.487712E-08
4.848388,5.564645,22.281,50.81897,346.5999,5.00002,-5.485423E-08
4.864965,5.571618,22.281,50.89867,346.5999,5.00002,-5.485423E-08
4.881573,5.57859,22.281,50.97836,346.7,5.00002,-5.48315E-08
4.898279,5.585562,22.281,51.05806,346.7,5.00002,-5.48315E-08
4.914756,5.585562,22.281,51.05806,346.7,5.00002,-5.48315E-08
4.931649,5.592535,22.281,51.13775,346.7,5.00002,-5.48315E-08
4.948276,5.599507,22.281,51.21745,346.7,5.00002,-5.48315E-08
4.964842,5.60648,22.281,51.29714,346.7,5.00002,-5.48315E-08
4.981391,5.613452,22.281,51.37684,346.7,5.00002,-5.48315E-08
4.998227,5.620425,22.281,51.45654,346.7,5.00002,-5.48315E-08
5.014857,5.620425,22.281,51.45654,346.7,5.00002,-5.48315E-08
5.031743,5.627258,22.281,51.53624,346.8,4.900019,5.480898E-08
5.048171,5.633953,22.281,51.61596,346.8999,4.80002,-5.478663E-08
5.064729,5.640646,22.281,51.69568,346.8999,4.80002,-5.478663E-08
5.081471,5.647341,22.281,51.7754,346.8999,4.80002,-5.478663E-08
5.098263,5.653896,22.281,51.85513,346.9999,4.70002,0
5.114712,5.653896,22.281,51.85513,346.9999,4.70002,0
5.131343,5.660451,22.281,51.93486,346.9999,4.70002,0
5.148244,5.667006,22.281,52.01459,346.9999,4.70002,0
5.164688,5.673562,22.281,52.09432,346.9999,4.70002,0
5.181985,5.680117,22.281,52.17405,346.9999,4.70002,0
5.197988,5.686672,22.281,52.25378,346.9999,4.70002,0
5.214582,5.686672,22.281,52.25378,346.9999,4.70002,0
5.23168,5.693227,22.281,52.33352,346.9999,4.70002,0
5.248058,5.699643,22.281,52.41326,346.9999,4.60002,0
5.264786,5.705641,22.281,52.49303,346.9999,4.30002,0
5.28128,5.711361,22.281,52.57283,346.9999,4.100019,5.476447E-08
5.297998,5.717081,22.281,52.65263,346.9999,4.100019,5.476447E-08
5.314661,5.717081,22.281,52.65263,346.9999,4.100019,5.476447E-08
5.331214,5.7228,22.281,52.73242,346.9999,4.100019,5.476447E-08
5.348109,5.728381,22.281,52.81223,346.9999,4.00002,1.09529E-07
5.364789,5.733962,22.281,52.89203,346.9999,4.00002,1.09529E-07
5.381799,5.739542,22.281,52.97184,346.9999,4.00002,1.09529E-07
5.398212,5.744983,22.281,53.05165,347.0999,3.900021,-2.737125E-08
5.414708,5.744983,22.281,53.05165,347.0999,3.900021,-2.737125E-08
5.431267,5.750424,22.281,53.13147,347.0999,3.900021,-2.737125E-08
5.448047,5.755866,22.281,53.21128,347.0999,3.900021,-2.737125E-08
5.464686,5.761168,22.281,53.2911,347.0999,3.80002,0
5.481424,5.766191,22.281,53.37094,347.2,3.60002,0
5.497988,5.771075,22.281,53.4508,347.2,3.50002,2.736035E-08
5.514708,5.771075,22.281,53.4508,347.2,3.50002,2.736035E-08
5.53123,5.775819,22.281,53.53065,347.2,3.40002,2.736035E-08
5.548043,5.780564,22.281,53.61052,347.2,3.40002,2.736035E-08
5.564534,5.785169,22.281,53.69038,347.2,3.30002,0
5.58145,5.789635,22.281,53.77026,347.2,3.200019,0
5.597981,5.793961,22.281,53.85014,347.2,3.10002,0
5.614531,5.793961,22.281,53.85014,347.3,2.80002,0
5.631345,5.797869,22.281,53.93005,347.3,2.80002,0
5.648017,5.801638,22.281,54.00996,347.3,2.70002,2.734955E-08
5.664706,5.805128,22.281,54.08988,347.3,2.50002,2.734955E-08
5.681475,5.808198,22.281,54.16982,347.4,2.20002,0
5.697865,5.811269,22.281,54.24976,347.4,2.20002,0
5.714497,5.811269,22.281,54.24976,347.4,2.20002,0
5.731232,5.814341,22.281,54.3297,347.4,2.20002,0
5.747891,5.817411,22.281,54.40965,347.4,2.20002,0
5.764437,5.820483,22.281,54.48959,347.4,2.20002,0
5.78126,5.823554,22.281,54.56953,347.4,2.20002,0
5.79786,5.826625,22.281,54.64947,347.4,2.20002,0
5.814423,5.826625,22.281,54.64947,347.4,2.20002,0
5.831171,5.829696,22.281,54.72941,347.4,2.20002,0
5.847799,5.832767,22.281,54.80935,347.4,2.20002,0
5.864439,5.835838,22.281,54.88929,347.4,2.20002,0
5.881069,5.838909,22.281,54.96923,347.4,2.20002,0
5.897758,5.84198,22.281,55.04917,347.4,2.20002,0
5.914395,5.84198,22.281,55.04917,347.4,2.20002,0
5.93123,5.845051,22.281,55.12911,347.4,2.20002,0
5.947804,5.848122,22.281,55.20905,347.4,2.20002,0
5.964609,5.850914,22.281,55.28901,347.4999,2.00002,0
5.98111,5.853148,22.281,55.36897,347.4999,1.60002,1.366411E-08
5.997744,5.854265,22.281,55.44897,347.4999,0.8000201,-6.832054E-09
6.014487,5.854265,22.281,55.44897,347.5999,359.4,0
6.031153,5.850636,22.281,55.52888,347.5999,357.4,-2.731769E-08
6.04797,5.843107,22.281,55.60853,347.5999,354.6,0
6.064695,5.83073,22.281,55.68756,347.5999,351.1,-1.092708E-07
6.083722,5.811919,22.281,55.76532,347.7,346.4,-1.09229E-07
6.099842,5.789064,22.281,55.84199,348.0999,343.4,0
6.133169,5.762228,22.281,55.91735,348.5999,340.4,0
6.137076,5.729561,22.281,55.99038,349.5999,335.9,0
6.149646,5.729561,22.281,55.99038,349.8999,335.2,2.168032E-07
6.166254,5.695373,22.281,56.06271,350.2,334.7,2.166042E-07
6.182924,5.660429,22.281,56.13467,350.7,334.1,-2.162864E-07
6.199698,5.624983,22.281,56.20639,351.0999,333.7,0
6.216367,5.589287,22.281,56.27798,351.3,333.5,0
6.232942,5.589287,22.281,56.27798,351.5999,333.4,0
6.249505,5.553342,22.281,56.34945,351.8999,333.3,-2.155943E-07
6.266226,5.517272,22.281,56.42086,352.0999,333.2,0
6.282969,5.481077,22.281,56.49221,352.2999,333.1,2.153855E-07
6.299359,5.444882,22.281,56.56355,352.3999,333.1,1.076675E-07
6.316173,5.408688,22.281,56.63489,352.3999,333.1,1.076675E-07
6.332899,5.408688,22.281,56.63489,352.5999,333.1,2.152361E-07
6.34953,5.372493,22.281,56.70624,352.7,333.1,0
6.366327,5.336298,22.281,56.77758,352.7999,333.1,-1.075699E-07
6.38298,5.300103,22.281,56.84892,352.9999,333.1,-1.075232E-07
6.399543,5.300103,22.281,56.84892,353.2999,333.2,0
6.416276,5.300103,22.281,56.84892,353.4999,333.3,0
6.433008,5.300103,22.281,56.84892,353.7999,333.4,0
6.449492,5.300103,22.281,56.84892,354.0999,333.5,0
6.466482,5.300103,22.281,56.84892,354.2,333.5,0
6.482896,5.300103,22.281,56.84892,354.3999,333.5,0
6.49947,5.300103,22.281,56.84892,354.5999,333.5,0
6.516061,5.300103,22.281,56.84892,354.5999,333.5,0
6.533,5.300103,22.281,56.84892,354.5999,333.5,0
6.549455,5.300103,22.281,56.84892,354.5999,333.5,0
6.566104,5.300103,22.281,56.84892,354.5999,333.5,0
6.582905,5.300103,22.281,56.84892,354.5999,333.5,0
6.599492,5.300103,22.281,56.84892,354.5999,333.5,0
6.616191,5.300103,22.281,56.84892,354.5999,333.5,0
6.633243,5.300103,22.281,56.84892,354.5999,333.5,0
6.649563,5.300103,22.281,56.84892,354.5999,333.5,0
6.666112,5.300103,22.281,56.84892,354.5999,333.5,0
6.682908,5.300103,22.281,56.84892,354.5999,333.5,0
6.699501,5.300103,22.281,56.84892,354.5999,333.5,0
6.716123,5.300103,22.281,56.84892,354.5999,333.5,0
6.733004,5.300103,22.281,56.84892,354.5999,333.5,0
6.749541,5.300103,22.281,56.84892,354.5999,333.5,0
6.766342,5.300103,22.281,56.84892,354.5999,333.5,0
6.783233,5.300103,22.281,56.84892,354.5999,333.5,0
6.799407,5.300103,22.281,56.84892,354.5999,333.5,0
6.81642,5.300103,22.281,56.84892,354.5999,333.5,0
6.832906,5.300103,22.281,56.84892,354.5999,333.5,0
6.849566,5.300103,22.281,56.84892,354.5999,333.5,0
6.866389,5.300103,22.281,56.84892,354.7,333.4,0
6.883179,5.300103,22.281,56.84892,354.7,333.3,0
6.899693,5.300103,22.281,56.84892,354.7,333.1,0
6.916207,5.300103,22.281,56.84892,354.7,332.7,1.071799E-07
6.932862,5.300103,22.281,56.84892,354.7999,332.2,0
