TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03538905,-1,15.27646,-33,0,0,0
0.05026248,-1,15.25291,-33,0,359.8,0
0.06696122,-1,15.25291,-33,0,359.8,0
0.1005183,-1,15.18228,-33,0,359.8,0
0.116983,-1,15.13519,-33,0,359.8,0
0.133282,-1,15.08026,-33,0,359.8,0
0.150048,-1,15.01747,-33,0,359.8,0
0.1665697,-1,15.01747,-33,0,359.7,0
0.2000585,-1,14.86836,-33,0,359.7,0
0.2165833,-1,14.78203,-33,0,359.7,0
0.2332338,-1,14.68786,-33,0,359.7,0
0.2503138,-1,14.58583,-33,359.9,359.6,0
0.266661,-1,14.58583,-33,359.8,359.5,-5.211052E-11
0.2834367,-1,14.47596,-33,359.7,359.4,1.042218E-10
0.3165643,-1,14.23267,-33,359.6,359.3,-2.084459E-10
0.3335519,-1,14.09926,-33,359,359.3,-4.169452E-10
0.3502584,-1,13.95799,-33,358.2,359.4,8.341749E-10
0.3669679,-1,13.95799,-33,357.3,359.7,0
0.3834187,-1,13.80888,-33,356.2,359.7,0
0.4169142,-1,13.675,-33,354.7,359.2,0
0.4336997,-1,13.675,-33,350,357.9,0
0.4501393,-1,13.675,-33,346,357.4,0
0.466622,-1,13.675,-33,343.5,357.4,2.782632E-08
0.4828753,-1,13.675,-33,341.2,357.4,0
0.4994345,-1,13.675,-33,339.4,357.4,-5.700583E-08
0.515932,-1,13.675,-33,338.4,357.4,0
0.5323321,-1,13.675,-33,337.8,357.2,-5.763316E-08
0.5655921,-1,13.675,-33,337.2,357.2,0
0.5822046,-1,13.675,-33,337.2,357.2,0
0.5992738,-1,13.675,-33,337.2,357.2,0
0.6155831,-1,13.675,-33,337.1,357.1,-5.792629E-08
0.6323978,-1.004884,13.675,-32.92015,336.9,356.5,0
0.6489179,-1.010325,13.675,-32.84034,336.7,356.1,0
0.6656839,-1.010325,13.675,-32.84034,336.6,356,0
0.682224,-1.016045,13.675,-32.76054,336.5,355.9,0
0.6988961,-1.021765,13.675,-32.68074,336.5,355.9,0
0.7157775,-1.027485,13.675,-32.60095,336.4,355.9,0
0.732174,-1.033204,13.675,-32.52115,336.4,355.9,0
0.7488327,-1.038924,13.675,-32.44136,336.4,355.9,0
0.7654647,-1.038924,13.675,-32.44136,336.4,355.9,0
0.7821306,-1.044644,13.675,-32.36156,336.4,355.9,0
0.7987626,-1.050364,13.675,-32.28177,336.4,355.9,0
0.8155388,-1.056083,13.675,-32.20197,336.4,355.9,0
0.8322406,-1.061803,13.675,-32.12218,336.4,355.9,0
0.8489686,-1.067523,13.675,-32.04238,336.4,355.9,0
0.8654888,-1.067523,13.675,-32.04238,336.4,355.9,0
0.8822424,-1.073243,13.675,-31.96259,336.4,355.9,0
0.8989504,-1.07743,13.675,-31.8827,337,357,0
0.9161582,-1.080222,13.675,-31.80275,339,358,2.857861E-08
0.9331007,-1.081897,13.675,-31.72276,341,358.8,-1.410888E-08
0.9498399,-1.082735,13.675,-31.64277,342.1,359.4,-1.40188E-08
0.9665962,-1.082735,13.675,-31.64277,342.5,359.6,0
0.9831076,-1.082874,13.675,-31.56277,342.8,359.9,0
0.9996386,-1.082456,13.675,-31.48277,343.6,0.3,0
1.033457,-1.079384,13.675,-31.3228,345.3,1.1,0
1.050288,-1.075337,13.675,-31.2429,349,2.9,0
1.06693,-1.075337,13.675,-31.2429,350.8,3.5,0
1.083607,-1.070313,13.675,-31.16306,351.3,3.600001,0
1.099889,-1.065151,13.675,-31.08323,351.5,3.700001,0
1.116831,-1.059988,13.675,-31.00339,351.5,3.700001,0
1.150505,-1.049663,13.675,-30.84373,351.5,3.700001,0
1.166782,-1.049663,13.675,-30.84373,351.5,3.700001,0
1.183434,-1.0445,13.675,-30.76389,351.5,3.700001,0
1.200111,-1.039338,13.675,-30.68406,351.5,3.700001,0
1.216968,-1.034315,13.675,-30.60422,351.6,3.600001,-5.39395E-08
1.233426,-1.029291,13.675,-30.52437,351.6,3.600001,-5.39395E-08
1.267342,-1.019524,13.675,-30.36467,351.4,3.5,0
1.283749,-1.019524,13.675,-30.36467,351.2,3.4,0
1.299991,-1.014779,13.675,-30.28481,351.1,3.4,0
1.316613,-1.010035,13.675,-30.20495,351.1,3.4,0
1.333554,-1.00529,13.675,-30.1251,351.1,3.4,0
1.366936,-1.000685,13.675,-30.04523,351,3.3,-2.701301E-08
1.383346,-0.9960797,13.675,-29.96536,351,3.3,-2.701301E-08
1.400006,-0.9914746,13.675,-29.88549,351,3.3,-2.701301E-08
1.416663,-0.9868695,13.675,-29.80563,351,3.3,-2.701301E-08
1.433524,-0.9822644,13.675,-29.72576,351,3.3,-2.701301E-08
1.450163,-0.9776593,13.675,-29.64589,351,3.3,-2.701301E-08
1.483963,-0.9730542,13.675,-29.56602,351,3.3,-2.701301E-08
1.500203,-0.9684491,13.675,-29.48616,351,3.3,-2.701301E-08
1.516809,-0.9638439,13.675,-29.40629,351,3.3,-2.701301E-08
1.533354,-0.9592388,13.675,-29.32642,351,3.3,-2.701301E-08
1.550102,-0.9550519,13.675,-29.24653,351.4,3,-2.698382E-08
1.583539,-0.9515623,13.675,-29.16661,351.5,2.5,-1.348837E-08
1.600183,-0.9491891,13.675,-29.08664,349.6,1.7,1.356303E-08
1.616968,-0.9469553,13.675,-29.00667,349.7,1.6,-1.355871E-08
1.633586,-0.9447216,13.675,-28.9267,349.7,1.6,-1.355871E-08
1.650022,-0.9424879,13.675,-28.84674,349.7,1.6,-1.355871E-08
1.667045,-0.9424879,13.675,-28.84674,349.7,1.6,-1.355871E-08
1.700466,-0.9380204,13.675,-28.6868,349.7,1.6,-1.355871E-08
1.716896,-0.9357867,13.675,-28.60683,349.7,1.6,-1.355871E-08
1.733449,-0.9335529,13.675,-28.52686,349.7,1.6,-1.355871E-08
1.750255,-0.9313192,13.675,-28.44689,349.7,1.6,-1.355871E-08
1.766809,-0.9313192,13.675,-28.44689,349.7,1.6,-1.355871E-08
1.800433,-0.9268517,13.675,-28.28695,349.7,1.6,-1.355871E-08
1.816902,-0.924618,13.675,-28.20699,349.7,1.6,-1.355871E-08
1.833473,-0.9223843,13.675,-28.12702,349.7,1.6,-1.355871E-08
1.850055,-0.9201506,13.675,-28.04705,349.7,1.6,-1.355871E-08
1.866981,-0.9201506,13.675,-28.04705,349.7,1.6,-1.355871E-08
1.883665,-0.9179168,13.675,-27.96708,349.7,1.6,-1.355871E-08
1.917553,-0.9134493,13.675,-27.80714,349.7,1.6,-1.355871E-08
1.933852,-0.9112156,13.675,-27.72717,349.7,1.6,-1.355871E-08
1.950209,-0.9089819,13.675,-27.6472,349.7,1.6,-1.355871E-08
1.967033,-0.9089819,13.675,-27.6472,349.7,1.6,-1.355871E-08
1.983318,-0.9067482,13.675,-27.56724,349.7,1.6,-1.355871E-08
2.016698,-0.9022807,13.675,-27.4073,349.7,1.6,-1.355871E-08
2.033264,-0.9000469,13.675,-27.32733,349.7,1.6,-1.355871E-08
2.049811,-0.8978132,13.675,-27.24736,349.7,1.6,-1.355871E-08
2.066922,-0.8978132,13.675,-27.24736,349.7,1.6,-1.355871E-08
2.083154,-0.8955795,13.675,-27.16739,349.7,1.6,-1.355871E-08
