TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02865537,-5.094084,22.27023,43.12811,2.999984,343.2,0
0.05769355,-5.094084,22.27023,43.12811,2.999985,342.8,0
0.0871869,-5.094084,22.27023,43.12811,3.099984,342.3,0
0.1159239,-5.094084,22.27023,43.12811,3.399984,341.9,0
0.1442216,-5.094084,22.27023,43.12811,3.599985,341.7,-5.346635E-08
0.1731315,-5.094084,22.27023,43.12811,3.699985,341.6,-5.347231E-08
0.2022461,-5.094084,22.27023,43.12811,3.799984,341.7,0
0.2310585,-5.094084,22.27023,43.12811,3.499984,342.9,0
0.2601003,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.2890353,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.3180165,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.3470624,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.37705,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.4059568,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.4349442,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.4641907,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.4940412,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.5230419,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.552114,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.5811362,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.6099794,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.638957,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.6688763,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.6980392,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.7270748,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.7570336,-5.094084,22.27023,43.12811,3.599985,343.2,0
0.7861298,-5.094084,22.27023,43.12811,3.399985,343.4,0
0.8150494,-5.094084,22.27023,43.12811,3.399985,343.4,0
0.844063,-5.094084,22.27023,43.12811,2.699985,343,-5.342015E-08
0.8730093,-5.094084,22.27023,43.12811,2.699985,343,-5.342015E-08
0.9030353,-5.094084,22.27023,43.12811,2.699985,343,-5.342015E-08
0.9320294,-5.094084,22.27023,43.12811,2.399985,343.9,-2.670385E-08
0.9610973,-5.094084,22.27023,43.12811,2.199985,345.2,0
0.9900903,-5.094084,22.27023,43.12811,1.999985,347,-2.669669E-08
1.019093,-5.094084,22.27023,43.12811,1.999985,350.6,-1.334834E-08
1.049351,-5.094084,22.27023,43.12811,1.999985,354.5,-6.674172E-09
1.078329,-5.094084,22.27023,43.12811,1.999985,357,0
1.107588,-5.094084,22.27023,43.12811,1.899985,359.1,0
1.138416,-5.094084,22.27023,43.12811,1.699984,0.3000229,0
1.169474,-5.094084,22.27023,43.12811,1.399984,0.7000228,0
1.200383,-5.094084,22.27023,43.12811,1.099985,1.200023,8.339169E-10
1.232537,-5.094084,22.27023,43.12811,0.4999843,2.000023,8.33795E-10
1.264642,-5.094084,22.27023,43.12811,-1.576044E-05,2.500023,0
1.296527,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.329325,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.361391,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.393211,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.42539,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.456261,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.488591,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.519323,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.551291,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.58338,-5.094084,22.27023,43.12811,359.8,2.700023,0
1.614421,-5.094084,22.27023,43.12811,359.7,3.300023,0
1.64648,-5.094084,22.27023,43.12811,359.5,3.800023,0
1.67736,-5.094084,22.27023,43.12811,359.5,3.800023,0
1.709422,-5.094084,22.27023,43.12811,359.5,3.800023,0
1.741372,-5.094084,22.27023,43.12811,359.5,3.800023,0
1.772254,-5.094084,22.27023,43.12811,359.5,3.800023,0
1.804445,-5.094084,22.27023,43.12811,359.9,3.900023,0
1.836722,-5.094084,22.27023,43.12811,0.6999841,3.700023,-1.667651E-09
1.867427,-5.094084,22.27023,43.12811,1.499984,3.600022,-3.336196E-09
1.899344,-5.094084,22.27023,43.12811,2.399985,3.600023,0
1.931485,-5.094084,22.27023,43.12811,2.799985,3.600023,0
1.963515,-5.094084,22.27023,43.12811,3.499984,3.400023,0
1.996402,-5.094084,22.27023,43.12811,4.899984,3.200023,1.338915E-08
2.029469,-5.094084,22.27023,43.12811,6.599986,3.000022,-1.342921E-08
2.062503,-5.094084,22.27023,43.12811,8.199985,2.800023,0
2.095618,-5.094084,22.27023,43.12811,10.09998,2.100023,2.71004E-08
2.129607,-5.094084,22.27023,43.12811,10.49998,0.6000226,3.39185E-09
2.163405,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.198414,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.233365,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.267337,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.302462,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.336173,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.370168,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.404461,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.438545,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.472414,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.50734,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.541194,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.575279,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.610341,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.644407,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.679184,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.71332,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.748239,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.782358,-5.094084,22.27023,43.12811,10.49998,359.7,1.695925E-09
2.817236,-5.094084,22.27023,43.12811,10.89999,359.6,0
2.851382,-5.094084,22.27023,43.12811,11.49998,359.4,0
2.886503,-5.094084,22.27023,43.12811,11.89999,2.255824E-05,0
2.920465,-5.094084,22.27023,43.12811,12.49998,1.000023,-1.366411E-08
2.95555,-5.094084,22.27023,43.12811,12.49999,1.400023,0
2.990419,-5.094084,22.27023,43.12811,12.39999,1.600023,0
3.025506,-5.094084,22.27023,43.12811,12.19998,1.900023,0
3.061547,-5.094084,22.27023,43.12811,11.99998,2.200023,0
3.096506,-5.094084,22.27023,43.12811,11.59998,2.900023,0
3.132326,-5.094084,22.27023,43.12811,11.29998,3.900023,0
3.167347,-5.094084,22.27023,43.12811,10.89998,5.500023,0
3.203566,-5.094084,22.27023,43.12811,10.69998,6.700023,-5.430507E-08
3.238675,-5.094084,22.27023,43.12811,10.49998,7.300024,0
3.273615,-5.094084,22.27023,43.12811,10.29998,7.600024,0
3.309495,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.345632,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.381521,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.417386,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.452577,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.488539,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.523511,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.559578,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.594392,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.630503,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.665547,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.700399,-5.094084,22.27023,43.12811,10.09998,7.800023,0
3.736835,-5.094084,22.27023,43.12811,10.09998,7.700024,5.420079E-08
3.771584,-5.094084,22.27023,43.12811,9.999982,7.300026,0
3.807792,-5.094084,22.27023,43.12811,9.899982,6.600024,0
3.842709,-5.094084,22.27023,43.12811,9.799982,6.200024,0
3.878574,-5.094084,22.27023,43.12811,9.799984,6.000024,-5.415102E-08
3.913414,-5.094084,22.27023,43.12811,9.799984,6.000024,-5.415102E-08
3.949459,-5.07736,22.27023,43.28724,9.799984,6.000024,-5.415102E-08
3.984455,-5.068997,22.27023,43.3668,9.799984,6.000024,-5.415102E-08
4.019482,-5.052273,22.27023,43.52592,9.799984,5.900024,0
4.054467,-5.035826,22.27023,43.68507,9.799984,5.900024,0
4.090248,-5.019379,22.27023,43.84423,9.799984,5.900024,0
4.125393,-5.011156,22.27023,43.9238,9.799984,5.900024,0
4.160385,-4.994709,22.27023,44.08295,9.799984,5.900024,0
4.195255,-4.978262,22.27023,44.24211,9.799984,5.900024,0
4.231296,-4.961815,22.27023,44.40126,9.799984,5.900024,0
4.265209,-4.953591,22.27023,44.48083,9.799984,5.900024,0
4.30024,-4.937145,22.27023,44.63999,9.799983,5.800025,0
4.335639,-4.920976,22.27023,44.79917,9.699981,5.700025,5.413478E-08
4.370526,-4.905085,22.27024,44.95838,9.699981,5.700025,5.413478E-08
4.405381,-4.897139,22.27023,45.03798,9.699981,5.700025,5.413478E-08
4.440252,-4.881248,22.27023,45.19719,9.499982,5.200026,-2.705142E-08
4.475393,-4.866746,22.27024,45.35653,9.499982,5.100025,0
4.510371,-4.852523,22.27023,45.5159,9.499982,5.100025,0
4.545312,-4.845411,22.27023,45.59558,9.499982,5.100025,0
4.579334,-4.831188,22.27024,45.75495,9.499982,5.100025,0
4.614275,-4.816965,22.27023,45.91431,9.499982,5.100025,0
4.647204,-4.802742,22.27023,46.07368,9.499982,5.100025,0
4.681148,-4.79563,22.27024,46.15337,9.499982,5.100025,0
4.715401,-4.841563,22.27023,46.26595,9.499982,5.100025,0
4.749243,-4.89458,22.27023,46.39192,9.499982,5.100025,0
4.783245,-4.90833,22.27023,46.46663,9.499982,5.100025,0
4.816257,-4.90833,22.27023,46.46663,9.499981,4.600025,2.705142E-08
4.851293,-4.90833,22.27023,46.46663,8.799982,4.100025,0
4.885501,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
4.919272,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
4.954115,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
4.988407,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.0232,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.05733,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.092222,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.126297,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.160137,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.195314,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.22913,-4.90833,22.27023,46.46663,8.599982,4.100025,2.698382E-08
5.264302,-4.90833,22.27023,46.46663,8.499984,4.100025,0
5.298296,-4.90833,22.27023,46.46663,8.299983,3.800025,0
5.332453,-4.90833,22.27023,46.46663,8.299984,2.500025,1.348142E-08
5.367304,-4.90833,22.27023,46.46663,8.299984,1.800025,1.348142E-08
5.401362,-4.90833,22.27023,46.46663,8.299984,1.800025,1.348142E-08
5.435255,-4.90833,22.27023,46.46663,8.299984,1.800025,1.348142E-08
5.469285,-4.90329,22.28,46.62609,8.299984,1.700025,-1.348142E-08
5.504576,-4.902374,22.28,46.70606,8.299983,1.200025,6.74071E-09
5.538346,-4.901675,22.281,46.86599,8.299984,1.100025,-6.74071E-09
5.572418,-4.9,22.281,47.02596,8.299984,0.700025,-3.370355E-09
5.606246,-4.899023,22.281,47.10596,8.399982,359.9,8.428047E-10
5.641359,-4.899302,22.281,47.26595,8.799984,358.1,0
5.675186,-4.904607,22.281,47.42587,9.099984,356.7,0
5.710127,-4.913817,22.281,47.5856,9.699985,354.9,0
5.744221,-4.920928,22.281,47.66528,10.29998,352.1,-5.423484E-08
5.77845,-4.94292,22.281,47.82376,10.29998,349.8,0
5.812012,-4.971253,22.281,47.98124,10.29998,348.4,1.084697E-07
5.845245,-4.987339,22.281,48.0596,10.39999,347,-1.085043E-07
5.878158,-5.023331,22.281,48.2155,10.39998,345.3,-1.085043E-07
5.911104,-5.063932,22.281,48.37027,10.69998,340.6,1.086101E-07
5.943974,-5.090506,22.281,48.44572,10.79998,332.7,0
5.975901,-5.163889,22.281,48.5879,10.79998,324.5,0
6.007565,-5.256802,22.281,48.71816,10.79998,317.6,4.345844E-07
6.036198,-5.310746,22.281,48.77724,10.79998,314.1,0
6.062339,-5.310746,22.281,48.77724,10.79998,311.7,4.345845E-07
6.08447,-5.310746,22.281,48.77724,10.79998,310.7,0
6.103189,-5.310746,22.281,48.77724,10.89998,310.5,4.347299E-07
6.121236,-5.310746,22.281,48.77724,10.89998,310.5,4.347299E-07
6.138061,-5.310746,22.281,48.77724,10.89998,310.5,4.347299E-07
6.155212,-5.310746,22.281,48.77724,10.89998,310.5,4.347299E-07
6.172055,-5.310746,22.281,48.77724,10.99998,310.3,0
6.188604,-5.310746,22.281,48.77724,11.09999,310,0
6.20525,-5.310746,22.281,48.77724,11.09998,309.5,4.35025E-07
6.222019,-5.310746,22.281,48.77724,11.09999,309,-4.350249E-07
6.23864,-5.310746,22.281,48.77724,11.09999,308.4,0
6.255448,-5.310746,22.281,48.77724,11.09999,307.5,0
6.271959,-5.310746,22.281,48.77724,11.09999,307.1,0
6.288803,-5.310746,22.281,48.77724,11.09999,306.8,0
6.305262,-5.310746,22.281,48.77724,11.09999,306.8,0
6.321863,-5.310746,22.281,48.77724,11.09999,306.8,0
6.33843,-5.310746,22.281,48.77724,11.09999,306.8,0
6.354967,-5.310746,22.281,48.77724,11.09999,306.8,0
6.371539,-5.310746,22.281,48.77724,11.09999,306.8,0
6.388141,-5.310746,22.281,48.77724,11.09999,306.8,0
6.405023,-5.310746,22.281,48.77724,11.09999,306.8,0
6.421794,-5.310746,22.281,48.77724,11.09999,306.8,0
6.438442,-5.310746,22.281,48.77724,11.09999,306.8,0
6.455076,-5.310746,22.281,48.77724,11.09999,306.8,0
6.471803,-5.310746,22.281,48.77724,11.09999,306.8,0
6.488381,-5.310746,22.281,48.77724,11.09999,306.8,0
6.505244,-5.310746,22.281,48.77724,11.09999,306.8,0
6.521546,-5.310746,22.281,48.77724,11.09999,306.8,0
6.538329,-5.310746,22.281,48.77724,11.09999,306.8,0
6.555105,-5.310746,22.281,48.77724,11.09999,306.8,0
6.571707,-5.310746,22.281,48.77724,11.09999,306.8,0
6.588364,-5.310746,22.281,48.77724,11.09999,306.8,0
6.605532,-5.310746,22.281,48.77724,11.09999,306.8,0
6.62167,-5.310746,22.281,48.77724,11.09999,306.8,0
6.63825,-5.310746,22.281,48.77724,11.09999,306.8,0
6.654989,-5.310746,22.281,48.77724,11.09999,306.8,0
6.671809,-5.310746,22.281,48.77724,11.09999,306.8,0
6.688396,-5.310746,22.281,48.77724,11.09999,306.8,0
6.705014,-5.310746,22.281,48.77724,11.09999,306.8,0
6.722301,-5.310746,22.281,48.77724,11.09999,306.8,0
6.738388,-5.310746,22.281,48.77724,11.09999,306.8,0
6.755221,-5.310746,22.281,48.77724,11.09999,306.8,0
6.771823,-5.310746,22.281,48.77724,11.09999,306.8,0
6.788374,-5.310746,22.281,48.77724,11.09999,306.6,-4.350249E-07
6.805267,-5.310746,22.281,48.77724,10.99998,306.2,0
6.821884,-5.310746,22.281,48.77724,10.59998,305.8,0
6.838426,-5.310746,22.281,48.77724,9.799986,305.4,0
6.855398,-5.310746,22.281,48.77724,8.599984,304.7,-2.158706E-07
6.872206,-5.310746,22.281,48.77724,7.899984,304.1,-2.154885E-07
6.888401,-5.310746,22.281,48.77724,7.499983,303.4,-2.152852E-07
