TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03818423,-1,15.27646,-33,359.9,0,0
0.0688594,-1,15.25291,-33,359.8,0,0
0.1008221,-1,15.18228,-33,359.8,0,0
0.1378224,-1,15.08026,-33,359.8,0,0
0.1686947,-1,15.01747,-33,359.8,0,0
0.2036439,-1,14.86836,-33,359.8,0,0
0.2376947,-1,14.68786,-33,359.8,0,0
0.269702,-1,14.58583,-33,359.8,0,0
0.3017104,-1,14.35824,-33,359.8,0,0
0.3336361,-1,14.23267,-33,359.8,0,0
0.3660011,-1,13.95799,-33,0.8,2.6,0
0.3994786,-1,13.675,-33,0.9,4.6,0
0.4309933,-1,13.675,-33,0.9,4.6,0
0.4618717,-1,13.675,-33,0.9,4.6,0
0.4946872,-1,13.675,-33,0.9,4.6,0
0.5299547,-1,13.675,-33,0.9,4.6,0
0.5627225,-1,13.675,-33,0.9,4.6,0
0.5956925,-1,13.675,-33,0.9,4.6,0
0.6276737,-1,13.675,-33,0.9,4.6,0
0.6609403,-1,13.675,-33,0.9,4.6,0
0.6927552,-1,13.675,-33,0.9,4.6,0
0.7260562,-1,13.675,-33,0.9,4.6,0
0.7576622,-1,13.675,-33,0.9,4.6,0
0.7907984,-1,13.675,-33,0.9,4.6,0
0.8227175,-1,13.675,-33,0.9,4.6,0
0.8555146,-1,13.675,-33,0.9,4.6,0
0.8878714,-1,13.675,-33,0.8000001,4.7,0
0.9199131,-1,13.675,-33,0.5,4.6,0
0.9530402,-1,13.675,-33,358.4,4.800001,0
0.9848561,-1,13.675,-33,356.4,4.800001,0
1.015846,-1,13.675,-33,354.4,4.600001,0
1.047998,-1,13.675,-33,352.4,4.200001,2.691688E-08
1.080969,-1,13.675,-33,350.9,4.100001,0
1.113041,-1,13.675,-33,349.8,3.800001,0
1.14522,-1,13.675,-33,348.9,3.500001,0
1.176851,-1,13.675,-33,348.2,3.100001,5.451285E-08
1.208949,-1,13.675,-33,347.7,2.900001,0
1.240969,-1,13.675,-33,346.9,2.300001,2.739331E-08
1.272833,-1,13.675,-33,346.2,1.300001,0
1.304994,-1,13.675,-33,345.6,359.7,-3.443228E-09
1.3369,-1.000838,13.675,-32.84,345.5,358.4,1.377911E-08
1.368029,-1.003071,13.675,-32.76003,345.6,357.8,0
1.398944,-1.009214,13.675,-32.60015,345.7,357.7,0
1.430994,-1.012424,13.675,-32.52021,345.8,357.7,0
1.461698,-1.018845,13.675,-32.36034,345.8,357.7,0
1.494768,-1.025266,13.675,-32.20047,345.9,357.7,-2.750922E-08
1.524662,-1.028477,13.675,-32.12054,346.6,358.4,0
1.557919,-1.032944,13.675,-31.9606,347.8,359.5,-3.412113E-09
1.588841,-1.033642,13.675,-31.8806,349,0.9000011,0
1.619053,-1.031129,13.675,-31.72062,350.4,2.300001,0
1.650868,-1.027919,13.675,-31.64069,352,4.000002,0
1.682806,-1.016758,13.675,-31.48108,353,4.600002,-2.688079E-08
1.714949,-1.003926,13.675,-31.32159,353.7,4.900002,0
1.747037,-0.9970924,13.675,-31.24188,354.7,5.200002,0
1.780249,-0.9825912,13.675,-31.08254,356.2,5.900002,0
1.812223,-0.9743678,13.675,-31.00297,358.1,6.900002,0
1.844905,-0.9551459,13.675,-30.84413,1.100003,8.200002,0
1.878208,-0.9323252,13.675,-30.68576,2.200004,8.400003,1.335005E-08
1.911345,-0.9206386,13.675,-30.60662,2.400003,8.400002,0
1.944101,-0.8972653,13.675,-30.44834,2.500003,8.200004,0
1.977653,-0.8744447,13.675,-30.28997,2.600004,7.500003,0
2.010977,-0.8640026,13.675,-30.21066,2.600004,7.500003,0
