Downy,None,NoFlip
LegoTruck,None,NoFlip
Perrier_FLIPPED,Kindergarten,Flip
MosquitoRacket,ArtStudio,NoFlip
MobilePhone,None,NoFlip
Mushroom,Kitchen,Flip
Paprika,KTV,Flip
StrawberryDonut,Office,Flip
FireHydrant,None,NoFlip
Kela,ArtStudio,Flip
Suitcase_FLIPPED,Museum,Flip
Clamps,StorageRoom,NoFlip
AmazonEcho,None,NoFlip
Calculator,None,NoFlip
Coconut,None,NoFlip
BaseballBat,Classroom,Flip
Lotion_FLIPPED,Classroom,Flip
Recorder,StorageRoom,Flip
Hammer,None,NoFlip
Apple,StorageRoom,Flip
Padella,SPA,NoFlip
Cube,Kindergarten,Flip
Caiban,MeetingRoom,Flip
Router,None,NoFlip
JBLSpeaker,Bedroom,Flip
RugbyBall,None,NoFlip
PeanutButter,None,NoFlip
Pumpkin,Office,NoFlip
Shoe,Kitchen,NoFlip
PiggyBank,None,NoFlip
Spoons,Library,NoFlip
Chips,None,NoFlip
DeskLight,None,NoFlip
Deer,Lounge,Flip
Motorbike,ArtStudio,NoFlip
Openner,Gym,NoFlip
Leaf,Marmite,Flip
ToothBrush,Kitchen,Flip
Burger,LivingRoom,Flip
Xmas Globe,None,NoFlip
Chaynik,None,NoFlip
Car01,None,NoFlip
Honey,MeetingRoom,NoFlip
Lipsticks,SPA,Flip
Squeezer,Library,NoFlip
Carrots,MeetingRoom,Flip
Highlighter,Marmite,NoFlip
Car02,Library,Flip
Muffin,Bedroom,Flip
BandShell,Gym,Flip
CandyBar,None,NoFlip
SecurityCam,None,NoFlip
Wheels,None,NoFlip
YellowDuck,StorageRoom,Flip
OfficeBin,Gym,Flip
Pinza,Kindergarten,Flip
Pomegranate,ArtStudio,Flip
IceBoots,None,NoFlip
FirstAidKit,Classroom,NoFlip
HTCVive,None,NoFlip
Avocado,None,NoFlip
UGGboot,MeetingRoom,NoFlip
EggBeater,None,NoFlip
Jug,Museum,NoFlip
HandHeldRadio,None,NoFlip
BirdCage,None,NoFlip
OldRadio,KTV,Flip
CleaningBucket,Kindergarten,NoFlip
Ketchup,MeetingRoom,NoFlip
RasberryJam,None,NoFlip
Typewriter,StorageRoom,NoFlip
Matrioshka,Marmite,NoFlip
Weimeng_FLIPPED,Gym,Flip
Broccoli,Bedroom,NoFlip
RetroFan,Cafe,Flip
Laptop,KTV,NoFlip
Controller,LivingRoom,NoFlip
Dish,Gym,NoFlip
Slippers,Marmite,Flip
Lasagna,KTV,Flip
CoffeePot,LivingRoom,NoFlip
Dog,Lounge,Flip
FacialCream_FLIPPED,Library,Flip
CokeBottle,Gym,NoFlip
Marmite,Kindergarten,NoFlip
ClothesBasket,Kitchen,NoFlip
Cupcake,Marmite,NoFlip
Kiwi,None,NoFlip
MokaEspress,SPA,NoFlip
Scent,Kitchen,NoFlip
Printer_FLIPPED,Museum,Flip
FireExtinguisher,Museum,NoFlip
Canister_FLIPPED,ArtStudio,Flip
Stapler,None,NoFlip
MetalBucket,Museum,NoFlip
Cake,None,NoFlip
Cucumber,Library,Flip
RockingHorse,Cafe,NoFlip
Garlic,Office,Flip
Mango,Cafe,NoFlip
Clock,ArtStudio,NoFlip
PaintBucket,Classroom,NoFlip
Basket,Kindergarten,NoFlip
Basketball,LivingRoom,NoFlip
Oranges,StorageRoom,NoFlip
Toaster,None,NoFlip
FiellaCase,LivingRoom,Flip
NailScissors,SPA,Flip
Watermelon,Bedroom,Flip
MechanicalGloves,Classroom,Flip
CoffeeMachine,None,NoFlip
Headphones,KTV,NoFlip
TennisBall,None,NoFlip
Cereal,Office,NoFlip
BallonDog,None,NoFlip
Cabbaage,LivingRoom,Flip
CacerolaPan,None,NoFlip
Skateboard,Classroom,NoFlip
Bus,SPA,NoFlip
Tide,None,NoFlip
Glasses,Lounge,Flip
Cocktail,None,NoFlip
CottonSticks,SPA,Flip
HTCViveController,None,NoFlip
Banana,Office,NoFlip
Jam,Office,Flip
Buiscuits,None,NoFlip
Pears,Lounge,NoFlip
PaperCoffeeCup,Bedroom,NoFlip
Official hat,Museum,Flip
Ganmianzhang,Bedroom,NoFlip
ShowerHead,Marmite,Flip
Kettle,None,NoFlip
Pineapple,Lounge,NoFlip
Mouse,Cafe,Flip
NikonCamera,None,NoFlip
Toothpaste,Kitchen,Flip
Flower,None,NoFlip
Icecream,None,NoFlip
Grape,Cafe,NoFlip
HandDrill,None,NoFlip
SaltSub,None,NoFlip
Cheese,Lounge,NoFlip
Strawberries,KTV,NoFlip
PencilSharpener,MeetingRoom,Flip
CinRoll,Cafe,Flip
Mixer,None,NoFlip
OrangeJuice_FLIPPED,None,NoFlip
MilkCarton,Library,NoFlip
Teacup,None,NoFlip
