TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04774981,-1,15.25291,-33,0,0,0
0.088592,-1,15.18228,-33,0,0,0
0.1323679,-1,15.08026,-33,0,0,0
0.1776361,-1,14.94684,-33,0,0,0
0.2199115,-1,14.78203,-33,359.3,0,0
0.2617641,-1,14.58583,-33,359.1,0,0
0.3026828,-1,14.35824,-33,359.1,0,0
0.3449423,-1,14.09926,-33,358.7,0,0
0.3861319,-1,13.80888,-33,358.4,0.09999999,0
0.4277639,-1,13.675,-33,358.3,0.1,0
0.4696231,-1,13.675,-33,358.2,0.09999999,0
0.5109302,-1,13.675,-33,358.1,0.2,2.085555E-10
0.5526432,-1,13.675,-33,358.1,0.2,2.085555E-10
0.5955411,-1,13.675,-33,358.1,0.2,2.085555E-10
0.6375297,-1,13.675,-33,358.1,0.2,2.085555E-10
0.679604,-1,13.675,-33,358,0.3,0
0.7216906,-1,13.675,-33,357.9,0.4,-8.343236E-10
0.7635062,-1,13.675,-33,357.9,0.4,-8.343236E-10
0.8057806,-1,13.675,-33,357.9,0.4,-8.343236E-10
0.847528,-1,13.675,-33,357.9,0.4,-8.343236E-10
0.8897676,-1,13.675,-33,357.9,0.4,-8.343236E-10
0.9314319,-1,13.675,-33,357.9,0.4,-8.343236E-10
0.9734225,-1,13.675,-33,357.9,0.4,-8.343236E-10
1.01434,-1,13.675,-33,357.9,0.4,-8.343236E-10
1.057521,-1,13.675,-33,357.9,0.5999999,0
1.098664,-1,13.675,-33,357.9,0.5999999,0
1.141714,-1,13.675,-33,357.9,0.5999999,0
1.182421,-1,13.675,-33,357.9,0.5999999,0
1.224723,-1,13.675,-33,357.9,0.7,0
1.266718,-1,13.675,-33,357.9,0.7,0
1.307627,-1,13.675,-33,357.9,0.7,0
1.349404,-1,13.675,-33,357.9,0.7,0
1.391724,-1,13.675,-33,357.9,0.7,0
1.433494,-1,13.675,-33,357.9,0.7,0
1.475658,-1,13.675,-33,357.9,0.7,0
1.51643,-1,13.675,-33,357.9,0.7,0
1.558633,-1,13.675,-33,357.9,0.7,0
1.60053,-1,13.675,-33,357.9,0.7,0
1.641657,-1,13.675,-33,357.9,0.7,0
1.683677,-1,13.675,-33,357.9,0.8,0
1.724664,-1,13.675,-33,357.8,0.9999999,1.668757E-09
1.766535,-1,13.675,-33,357.7,1.1,0
1.808741,-1,13.675,-33,357.7,1.1,0
1.850543,-1,13.675,-33,357.7,1.1,0
1.892624,-1,13.675,-33,357.5,1.2,-1.669115E-09
1.934724,-1,13.675,-33,357.4,1.3,0
1.975679,-1,13.675,-33,357.3,1.3,-3.338759E-09
2.01766,-0.99637,13.675,-32.84004,357.3,1.3,-3.338759E-09
2.059979,-0.99274,13.675,-32.68008,357.3,1.3,-3.338759E-09
2.101678,-0.9891101,13.675,-32.52012,357.3,1.3,-3.338759E-09
2.142529,-0.9854801,13.675,-32.36016,357.2,1.3,3.339039E-09
2.184546,-0.9818501,13.675,-32.20021,357.2,1.3,3.339039E-09
2.226613,-0.9782202,13.675,-32.04025,357.2,1.3,3.339039E-09
2.267371,-0.9727752,13.675,-31.80031,357.2,1.3,3.339039E-09
2.309685,-0.9691452,13.675,-31.64035,357.2,1.3,3.339039E-09
2.35164,-0.9655153,13.675,-31.48039,357.2,1.3,3.339039E-09
2.392694,-0.9618853,13.675,-31.32043,357.2,1.3,3.339039E-09
2.434427,-0.9582553,13.675,-31.16047,357.2,1.3,3.339039E-09
2.476472,-0.9546253,13.675,-31.00051,357.2,1.3,3.339039E-09
2.51883,-0.9509954,13.675,-30.84056,357.2,1.3,3.339039E-09
2.560729,-0.9473654,13.675,-30.6806,357.2,1.3,3.339039E-09
2.602593,-0.9437354,13.675,-30.52064,357.2,1.3,3.339039E-09
2.644666,-0.9401054,13.675,-30.36068,357.2,1.3,3.339039E-09
2.687663,-0.9346605,13.675,-30.12074,357.2,1.3,3.339039E-09
2.729745,-0.9310305,13.675,-29.96078,357.2,1.3,3.339039E-09
2.772501,-0.9274005,13.675,-29.80082,357.2,1.3,3.339039E-09
2.8146,-0.9237705,13.675,-29.64087,357.2,1.3,3.339039E-09
2.856607,-0.9201406,13.675,-29.48091,357.2,1.3,3.339039E-09
2.899839,-0.9165106,13.675,-29.32095,357.2,1.3,3.339039E-09
2.941677,-0.9128807,13.675,-29.16099,357.2,1.3,3.339039E-09
2.983517,-0.9092507,13.675,-29.00103,357.2,1.3,3.339039E-09
3.02556,-0.9056207,13.675,-28.84107,357.2,1.3,3.339039E-09
3.067701,-0.9001758,13.675,-28.60113,357.2,1.3,3.339039E-09
3.110552,-0.8965458,13.675,-28.44117,357.2,1.3,3.339039E-09
3.152809,-0.8929158,13.675,-28.28122,357.2,1.3,3.339039E-09
3.194738,-0.8892858,13.675,-28.12126,357.2,1.3,3.339039E-09
3.236703,-0.8856558,13.675,-27.9613,357.2,1.3,3.339039E-09
3.27964,-0.8820258,13.675,-27.80134,357.2,1.3,3.339039E-09
3.321596,-0.8783959,13.675,-27.64138,357.2,1.3,3.339039E-09
3.363645,-0.8747659,13.675,-27.48142,357.2,1.3,3.339039E-09
3.406684,-0.871136,13.675,-27.32146,357.2,1.3,3.339039E-09
3.449531,-0.865691,13.675,-27.08152,357.2,1.3,3.339039E-09
3.491611,-0.862061,13.675,-26.92157,357.2,1.3,3.339039E-09
3.534562,-0.858431,13.675,-26.76161,357.2,1.3,3.339039E-09
3.576505,-0.8548011,13.675,-26.60165,357.2,1.3,3.339039E-09
3.619851,-0.8511711,13.675,-26.44169,357.2,1.3,3.339039E-09
3.662601,-0.8475411,13.675,-26.28173,357.2,1.3,3.339039E-09
3.706635,-0.8439112,13.675,-26.12177,357.2,1.3,3.339039E-09
3.750857,-0.8384662,13.675,-25.88183,357.2,1.3,3.339039E-09
3.794796,-0.8348362,13.675,-25.72187,357.2,1.3,3.339039E-09
3.839784,-0.8312063,13.675,-25.56191,356.7,0.6999999,-1.670296E-09
3.883906,-0.8292515,13.675,-25.40193,355.1,357.7,6.694572E-09
3.930084,-0.8388832,13.675,-25.16212,353.5,354.2,0
3.975694,-0.8550522,13.675,-25.00294,352.4,351.8,5.383375E-08
4.021902,-0.8778728,13.675,-24.84458,352.4,351.5,0
4.068848,-0.9133471,13.675,-24.60721,352.4,351.3,5.383376E-08
4.1147,-0.9375488,13.675,-24.44905,352.3,351,-5.384637E-08
4.16088,-0.9625783,13.675,-24.29102,352.3,350.8,-5.384637E-08
4.205879,-0.9881593,13.675,-24.13308,352.3,350.8,-5.384637E-08
4.251883,-1.026531,13.675,-23.89617,352.2,350.5,5.385916E-08
4.298155,-1.052938,13.675,-23.73836,352.2,350.5,5.385916E-08
4.343712,-1.079346,13.675,-23.58056,352.2,350.5,5.385916E-08
4.389639,-1.118957,13.675,-23.34385,352.2,350.5,5.385916E-08
4.435726,-1.145365,13.675,-23.18604,352.2,350.5,5.385916E-08
4.481761,-1.145365,13.675,-23.18604,352.2,350.5,5.385916E-08
4.527742,-1.145365,13.675,-23.18604,352.2,350.5,5.385916E-08
4.573528,-1.171921,13.69561,-23.02917,352.2,350.5,5.385916E-08
4.619893,-1.198626,13.71941,-22.87321,352.2,350.5,5.385916E-08
4.665586,-1.225331,13.7432,-22.71726,352.2,350.5,5.385916E-08
4.711577,-1.265388,13.7789,-22.48334,352.2,350.5,5.385916E-08
4.757603,-1.292093,13.8027,-22.32739,352.2,350.5,5.385916E-08
4.8036,-1.318798,13.8265,-22.17144,352.2,350.5,5.385916E-08
4.850491,-1.358855,13.86219,-21.93751,352.1,350.6,0
4.896775,-1.385282,13.886,-21.78152,352.1,350.6,0
4.942787,-1.411708,13.9098,-21.62552,351.9,350.6,0
4.989608,-1.451348,13.94551,-21.39152,351.5,350.6,5.395348E-08
5.036703,-1.477774,13.96931,-21.23553,351.4,350.5,1.079353E-07
5.083779,-1.504479,13.99311,-21.07958,351.3,350.4,0
5.131997,-1.544954,14.0288,-20.84572,351.2,349.7,-5.399647E-08
5.179761,-1.573883,14.05253,-20.69016,350.9,348,0
5.226674,-1.607517,14.07613,-20.53552,350.4,345.3,2.164749E-07
5.274633,-1.669077,14.11112,-20.30621,349.9,341.7,0
5.322632,-1.71984,14.13401,-20.15621,349.4,338.2,0
5.369973,-1.809885,14.16864,-19.93637,349,335.7,-2.174384E-07
5.416351,-1.876423,14.19166,-19.7927,348.6,332.5,0
5.462273,-1.876423,14.19166,-19.7927,348,328.5,-2.182119E-07
5.507248,-1.876423,14.19166,-19.7927,347.2,324,0
5.553288,-1.876423,14.19166,-19.7927,347.1,323.6,0
5.595303,-1.876423,14.19166,-19.7927,347.1,323.6,0
5.635243,-1.876423,14.19166,-19.7927,347.1,323.6,0
5.676055,-1.876423,14.19166,-19.7927,347,323.5,-4.381156E-07
5.716128,-1.876423,14.19166,-19.7927,346.9,323.5,-4.38293E-07
5.756292,-1.876423,14.19166,-19.7927,346.9,323.5,-4.38293E-07
5.795112,-1.876423,14.19166,-19.7927,346.9,323.5,-4.38293E-07
5.835187,-1.876423,14.19166,-19.7927,346.9,323.5,-4.38293E-07
5.875097,-1.876423,14.19166,-19.7927,346.8,323.5,0
5.915194,-1.876423,14.19166,-19.7927,346.7,323.6,-4.38652E-07
5.954183,-1.876423,14.19166,-19.7927,346.6,323.8,0
5.994197,-1.876423,14.19166,-19.7927,347,326.1,0
6.034153,-1.876423,14.19166,-19.7927,348.2,330,2.180514E-07
6.074307,-1.876423,14.19166,-19.7927,348.9,331.8,0
6.114505,-1.876423,14.19166,-19.7927,351,333,0
6.15546,-1.876423,14.19166,-19.7927,356.5,334.8,5.346057E-08
6.195682,-1.876423,14.19166,-19.7927,359.8,335,3.335074E-09
6.238019,-1.876423,14.19166,-19.7927,2.299996,335.3,0
6.281611,-1.876423,14.19166,-19.7927,4.999997,337.3,0
6.326813,-1.876423,14.19166,-19.7927,6.599996,338.5,0
6.372714,-1.876423,14.19166,-19.7927,9.599998,341.7,0
6.419077,-1.876423,14.19166,-19.7927,9.999997,342.5,0
6.467717,-1.876423,14.19166,-19.7927,9.999998,342.6,0
6.517936,-1.876423,14.19166,-19.7927,10.1,342.7,-2.168032E-07
6.566936,-1.876423,14.19166,-19.7927,10.1,342.7,-2.168032E-07
6.617566,-1.876423,14.19166,-19.7927,10.1,342.7,-2.168032E-07
6.667839,-1.948621,14.22787,-19.5667,10.1,342.7,-2.168032E-07
6.717661,-1.996753,14.25201,-19.41603,10.1,342.9,0
6.769166,-2.068144,14.28826,-19.18978,9.999998,343.1,-1.08368E-07
6.819142,-2.115199,14.31245,-19.03878,9.999998,343.1,-1.08368E-07
6.86887,-2.185781,14.34874,-18.81228,9.999998,343.1,-1.08368E-07
6.919147,-2.232835,14.37294,-18.66129,9.999998,343.1,-1.08368E-07
6.96927,-2.303417,14.40923,-18.43479,9.999998,343.1,-1.08368E-07
7.018891,-2.350472,14.43342,-18.28379,9.999998,343.1,-1.08368E-07
7.069973,-2.421054,14.46972,-18.05729,9.999998,343.1,-1.08368E-07
7.119995,-2.468108,14.49391,-17.9063,9.999998,343.1,-1.08368E-07
7.171141,-2.53869,14.5302,-17.6798,9.399998,344.9,0
7.220998,-2.580866,14.55462,-17.5274,9.199999,349.4,-5.405621E-08
7.272148,-2.625558,14.59192,-17.29457,8.799999,356.9,0
7.322152,-2.63432,14.6172,-17.13682,8.799997,3.000006,2.699824E-08
7.372162,-2.6216,14.65512,-16.90018,8.799998,7.400005,5.399648E-08
7.423352,-2.600734,14.68021,-16.74354,8.799999,11.60001,0
7.474038,-2.610099,14.7143,-16.53078,8.799998,16.60001,1.079929E-07
7.523681,-2.631495,14.72553,-16.38989,8.299998,20.2,0
7.575757,-2.631495,14.72553,-16.38989,6.499998,25.2,0
7.626864,-2.631495,14.72553,-16.38989,4.899999,27.60001,-1.071132E-07
7.677782,-2.631495,14.72553,-16.38989,3.599998,29.50001,5.346635E-08
7.729474,-2.631495,14.72553,-16.38989,2.099998,30.60001,5.339671E-08
7.780539,-2.631495,14.72553,-16.38989,1.799998,30.90001,0
7.827699,-2.631495,14.72553,-16.38989,1.599998,31.3,-2.669083E-08
7.870579,-2.631495,14.72553,-16.38989,1.399998,31.7,0
7.915481,-2.631495,14.72553,-16.38989,1.299998,32.20001,2.66873E-08
7.95855,-2.631495,14.72553,-16.38989,1.299998,32.4,0
8.002524,-2.631495,14.72553,-16.38989,1.199998,32.5,0
8.046576,-2.631495,14.72553,-16.38989,1.199998,32.5,0
8.089391,-2.631495,14.72553,-16.38989,1.199998,32.5,0
8.132106,-2.615989,14.7481,-16.24941,1.199998,32.5,0
8.176452,-2.551089,14.7481,-16.1102,1.199998,32.5,0
8.219454,-2.46832,14.80271,-15.97412,1.199998,32.5,0
8.262291,-2.381648,14.823,-15.84117,1.199998,32.5,0
8.306402,-2.294976,14.84328,-15.70822,1.199998,32.5,0
8.34927,-2.164967,14.87372,-15.50879,1.199998,32.5,0
8.392228,-2.078295,14.894,-15.37584,1.199998,32.5,0
