Object,Scene,Response,Rt
MetalBucket,None,Seen,4.967474
PiggyBank,Library,Seen,3.800852
Openner,Office,Seen,3.592369
ShowerHead,Kitchen,Seen,2.317173
SecurityCam,None,New,2.475555
Wheels,Gym,Familiar,2.775757
Mushroom,LivingRoom,New,2.85894
Dog,None,New,3.292389
NikonCamera,Bedroom,Seen,1.975574
Matrioshka,None,Familiar,2.958843
Toothpaste,LivingRoom,Familiar,3.492401
Ganmianzhang,None,Seen,1.658615
RugbyBall,Lounge,New,1.883606
Sandals,Lounge,Seen,1.466972
Scent_FLIPPED,Classroom,Seen,3.350731
Watermelon,None,Seen,3.934189
Brush,Classroom,New,3.150665
MobilePhone,Bedroom,New,1.633812
Headphones,Museum,Seen,1.800438
Mango,None,New,1.700424
Glasses,Bedroom,Familiar,1.574959
HandHeldRadio,Classroom,Familiar,1.783821
CoffeePot,None,Familiar,2.842262
PencilSharpener,None,New,2.534042
BirdCage,None,New,1.51712
Downy,Museum,Seen,1.166985
Calculator_FLIPPED,Kitchen,Seen,0.9336243
Basket,KTV,Seen,1.067108
Buiscuits_FLIPPED,StorageRoom,New,1.7752
CacerolaPan,Classroom,Familiar,2.66716
Cabbaage,LivingRoom,New,2.033768
CottonSticks,Lounge,Seen,1.718216
Icecream,Kindergarten,Familiar,2.767197
Teacup,KTV,New,2.033875
Coconut,Kindergarten,New,1.633789
Candle Lattern,StorageRoom,Seen,1.55928
Oranges,Gym,Seen,1.217117
OldRadio,None,Seen,2.158829
Carrots,Office,Familiar,1.916748
Pineapple,ArtStudio,Seen,2.842316
BaseballBat,Library,Seen,1.292206
SaltSub,Bedroom,Seen,1.400467
FiellaCase,Museum,New,0.9504852
HTCVive,ArtStudio,Seen,1.475388
Hammer,Museum,Familiar,1.808838
Bus,None,New,4.042816
FireExtinguisher,Cafe,Familiar,1.675568
Shoe,None,New,1.341934
Pomegranate,MeetingRoom,Seen,1.325424
Apple,ArtStudio,Familiar,2.100479
TennisBall,Library,Seen,1.633865
ClothesBasket,MeetingRoom,New,1.517105
Jug,SPA,New,1.183594
MechanicalGloves,None,New,1.267105
Kela,None,New,1.592209
BandShell,Gym,Seen,1.258667
RetroFan,Kitchen,Seen,1.283707
Cube,None,Familiar,1.775238
Chips,Gym,New,1.325409
Highlighter,Bedroom,Seen,1.200394
HandDrill,Museum,Familiar,1.79216
Xmas Globe,Lounge,Familiar,2.392441
Pinza,KTV,Familiar,1.408615
Slippers,Cafe,New,2.417328
Vanish_FLIPPED,LivingRoom,Familiar,1.425491
Marmite_FLIPPED,Office,Seen,0.9753723
Weimeng_FLIPPED,MeetingRoom,New,2.917313
Markers,MeetingRoom,Seen,1.317749
Burger,LivingRoom,New,1.283981
Cereal,None,New,2.875427
Kiwi,Kindergarten,Familiar,1.450394
YellowDuck,None,Familiar,1.358719
Stapler,Office,Seen,1.533798
Perrier_FLIPPED,SPA,Familiar,2.100586
MosquitoRacket,Kindergarten,Seen,1.067139
Deer,Lounge,New,3.50885
Garlic,Classroom,Seen,1.108551
FirstAidKit,MeetingRoom,Seen,0.8168335
Basketball,Kitchen,Seen,0.6751099
Canister,None,New,1.55896
RasberryJam,None,New,2.600616
Kettle,SPA,Seen,3.192505
ToothBrush,KTV,Seen,4.03418
Cocktail,StorageRoom,Familiar,2.409027
CoffeeMachine,Cafe,Seen,1.801025
Flower,None,New,1.2005
CleaningBucket,Gym,Seen,1.316925
CinRoll,None,New,0.9003906
Cucumber,ArtStudio,Familiar,1.367126
Laptop,None,New,1.986786
Caiban,None,New,1.233795
FireHydrant,ArtStudio,New,1.900482
IceBoots,Museum,Familiar,1.517273
Pumpkin,Classroom,Familiar,1.350403
Clamps,None,New,1.725464
DeskLight,StorageRoom,Seen,1.308746
Motorbike,None,New,1.48407
Car02,Office,Familiar,2.651886
Mouse,SPA,New,1.650513
Banana,Office,New,2.033875
AmazonEcho,None,New,1.375427
Typewriter,None,Seen,1.442139
RockingHorse,None,New,1.125336
Grape,StorageRoom,New,1.158905
BallonDog,None,New,1.58371
Broccoli,None,New,1.642273
Lasagna,ArtStudio,Seen,1.167145
HTCViveController,None,New,2.967438
MilkCarton,None,New,1.667175
Router,KTV,Seen,1.25882
Honey,None,New,1.183655
Cake,None,New,1.108337
Tide,None,New,1.491943
Official hat,None,Familiar,1.742218
Car01,Kitchen,New,1.125427
CokeBottle,None,Familiar,1.292175
Spoons,Cafe,Familiar,1.742126
Controller,Lounge,Seen,0.9498291
Toaster,MeetingRoom,Familiar,1.450439
Leaf,None,New,0.8504028
OfficeBin,Library,Seen,1.549988
Cheese,None,New,3.900787
Padella,Library,Familiar,1.308746
NailScissors,SPA,Seen,2.267212
RoadCone,LivingRoom,Familiar,1.483948
Suitcase,None,New,1.241577
MokaEspress,None,Familiar,2.800781
JBLSpeaker,Cafe,Familiar,1.942108
FacialCream,None,New,1.266541
Lipsticks,KTV,Seen,2.61731
UGGboot,SPA,Familiar,1.008606
PeanutButter_FLIPPED,Kindergarten,New,0.9836731
PaintBucket,Gym,Familiar,1.767273
Ketchup_FLIPPED,Kindergarten,Seen,1.066925
Lotion,None,Familiar,1.033722
OrangeJuice,Cafe,Seen,1.775543
Squeezer,None,Familiar,1.742218
Pears,None,New,0.9415283
Strawberries,StorageRoom,New,0.9505005
Mixer,Bedroom,Familiar,1.925507
Paprika,Kitchen,New,0.9420166
CandyBar,None,New,0.8838196
StrawberryDonut,Library,Seen,1.175415
Chaynik,None,New,1.291626

