TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03274715,-1,15.27646,-33,0,0,0
0.05576549,-1,15.25291,-33,0,0,0
0.08364952,-1,15.22152,-33,0,0,0
0.1147695,-1,15.13519,-33,0,0,0
0.140411,-1,15.08026,-33,0,0,0
0.1677496,-1,15.01747,-33,0,359.9,0
0.1935164,-1,14.86836,-33,359.8,359.7,0
0.2182886,-1,14.78203,-33,358.4,1,-8.340885E-10
0.2467885,-1,14.68786,-33,358,3.800001,-6.674172E-09
0.2702363,-1,14.58583,-33,358.7,6.7,0
0.2967892,-1,14.35824,-33,0.09999993,9.1,0
0.3201796,-1,14.23267,-33,1.3,13.8,0
0.3463508,-1,14.09926,-33,2,17.7,2.669669E-08
0.3719307,-1,13.80888,-33,4.3,25.8,1.07023E-07
0.3968313,-1,13.675,-33,5.800001,28.5,1.072708E-07
0.4233314,-1,13.675,-33,5.800001,28.5,1.072708E-07
0.4509276,-1,13.675,-33,4.300001,26.5,1.07023E-07
0.4753935,-1,13.675,-33,0.9000008,22.2,0
0.5010782,-1,13.675,-33,358.9,19.9,-1.334267E-08
0.5268614,-1,13.675,-33,357.1,18,0
0.5524116,-1,13.675,-33,355.8,15.3,0
0.577871,-0.9839138,13.675,-32.92163,354.4,11.6,0
0.6031293,-0.9691976,13.675,-32.843,354.2,10.6,0
0.6289679,-0.9551683,13.675,-32.76424,354.2,10.1,-5.363543E-08
0.6535821,-0.9293117,13.675,-32.60634,354.2,9.300001,0
0.6797497,-0.9173489,13.675,-32.52724,354.4,8.600001,0
0.7045466,-0.90663,13.675,-32.44796,354.8,7.700002,2.679069E-08
0.7308835,-0.8907388,13.675,-32.28875,355.1,5.700002,0
0.7558784,-0.8854369,13.675,-32.20893,355.4,3.800002,0
0.782027,-0.8830636,13.675,-32.12896,356,1.700001,6.686394E-09
0.8075972,-0.8839014,13.675,-32.04897,356.3,359.4,-1.67101E-09
0.8326523,-0.8875313,13.675,-31.88901,356.3,358.7,3.342019E-09
0.8585638,-0.8893463,13.675,-31.80903,356.3,358.7,3.342019E-09
0.8846903,-0.8911613,13.675,-31.72905,356.3,358.7,3.342019E-09
0.9104001,-0.8947912,13.675,-31.56909,356.3,358.7,3.342019E-09
0.9367052,-0.8966062,13.675,-31.48911,356.3,358.7,3.342019E-09
0.9625253,-0.8984212,13.675,-31.40913,356.3,358.7,3.342019E-09
0.988408,-0.9002362,13.675,-31.32915,356.3,358.7,3.342019E-09
1.014485,-0.9038662,13.675,-31.1692,356.3,358.7,3.342019E-09
1.040536,-0.9056811,13.675,-31.08922,356.3,358.7,3.342019E-09
1.06642,-0.9074962,13.675,-31.00924,356.3,358.7,3.342019E-09
1.092827,-0.9111261,13.675,-30.84928,356.3,358.7,3.342019E-09
1.119956,-0.9129411,13.675,-30.7693,356.3,358.7,3.342019E-09
1.145592,-0.9147561,13.675,-30.68932,356.3,358.7,3.342019E-09
1.17162,-0.918386,13.675,-30.52936,356.3,358.7,3.342019E-09
1.197901,-0.920201,13.675,-30.44938,356.3,358.7,3.342019E-09
1.224797,-0.922016,13.675,-30.3694,356.3,358.7,3.342019E-09
1.250717,-0.925646,13.675,-30.20944,356.3,358.7,3.342019E-09
1.277345,-0.927461,13.675,-30.12946,356.3,358.7,3.342019E-09
1.302735,-0.9292759,13.675,-30.04948,356.3,358.7,3.342019E-09
1.329839,-0.931091,13.675,-29.96951,356.3,358.7,3.342019E-09
1.355482,-0.9347209,13.675,-29.80955,356.3,358.7,3.342019E-09
1.381615,-0.9365359,13.675,-29.72957,356.3,358.7,3.342019E-09
1.408886,-0.9383509,13.675,-29.64959,356.3,358.7,3.342019E-09
1.434705,-0.940864,13.675,-29.48961,356,359.1,0
1.460758,-0.9412829,13.675,-29.40961,356.3,359.7,8.355048E-10
1.487096,-0.9398867,13.675,-29.32962,357,1.000002,-1.669815E-09
1.514001,-0.9340237,13.675,-29.16973,357.7,2.100002,-3.337742E-09
1.540846,-0.9301158,13.675,-29.08982,358,2.800002,-3.337086E-09
1.566646,-0.9262078,13.675,-29.00992,358,2.800002,-3.337086E-09
1.593518,-0.9183918,13.675,-28.85011,358,2.800002,-3.337086E-09
1.620631,-0.9144838,13.675,-28.7702,358,2.800002,-3.337086E-09
1.646913,-0.9105758,13.675,-28.6903,358,2.800002,-3.337086E-09
1.674197,-0.9016444,13.675,-28.53055,358.2,3.200001,3.3367E-09
