TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01886645,-1,15.29215,-33,0,0,0
0.0498263,-1,15.25291,-33,0,0,0
0.08315793,-1,15.18228,-33,0,0,0
0.09975626,-1,15.18228,-33,0,0,0
0.1333773,-1,15.08026,-33,0,0,0
0.1505016,-1,15.01747,-33,359.3,358.6,0
0.1832965,-1,14.86836,-33,357.4,357.8,3.33849E-09
0.1998625,-1,14.86836,-33,357.2,357.8,3.339039E-09
0.2330432,-1,14.68786,-33,357.2,357.8,3.339039E-09
0.2497627,-1,14.58583,-33,357.2,357.8,3.339039E-09
0.2830763,-1,14.35824,-33,357.2,357.8,3.339039E-09
0.2998389,-1,14.35824,-33,357.2,357.8,3.339039E-09
0.3330089,-1,14.09926,-33,357.2,357.8,3.339039E-09
0.3497304,-1,13.95799,-33,357.2,357.8,3.339039E-09
0.3831426,-1,13.675,-33,357.2,357.8,3.339039E-09
0.3998127,-1,13.675,-33,357.2,357.8,3.339039E-09
0.4332023,-1,13.675,-33,357.2,357.8,3.339039E-09
0.452622,-1,13.675,-33,357.2,357.8,3.339039E-09
0.4828911,-1,13.675,-33,357.2,357.8,3.339039E-09
0.4996911,-1,13.675,-33,357.2,357.8,3.339039E-09
0.5331038,-1.006142,13.675,-32.84012,357.2,357.8,3.339039E-09
0.549658,-1.009213,13.675,-32.76018,357.2,357.8,3.339039E-09
0.5830348,-1.015355,13.675,-32.6003,357.2,357.8,3.339039E-09
0.5998958,-1.015355,13.675,-32.6003,357.3,357.9,0
0.6334122,-1.019823,13.675,-32.44036,358.1,358.4,1.668444E-09
0.6499679,-1.02066,13.675,-32.36036,358.7,359.4,4.16989E-10
0.6832349,-1.022336,13.675,-32.20037,358.7,359.4,4.16989E-10
0.6999241,-1.022336,13.675,-32.20037,358.1,359.5,0
0.7331418,-1.023732,13.675,-32.04037,358,359.5,0
0.7495923,-1.02443,13.675,-31.96038,358,359.5,0
0.7829086,-1.025826,13.675,-31.80039,358,359.5,0
0.8164557,-1.026525,13.675,-31.72039,358,359.5,0
0.8330335,-1.027223,13.675,-31.64039,358,359.5,0
0.8664544,-1.028619,13.675,-31.4804,358,359.5,0
0.8830189,-1.029317,13.675,-31.4004,358,359.5,0
0.9166292,-1.030015,13.675,-31.3204,358,359.5,0
0.933166,-1.030713,13.675,-31.24041,358.9,359.5,0
0.9666064,-1.032668,13.675,-31.08042,359.9,359.3,0
0.9830723,-1.036018,13.675,-31.00049,1.9,357.6,3.336888E-09
1.016484,-1.040344,13.675,-30.92061,2.3,356.9,0
1.033345,-1.046621,13.675,-30.84085,3.3,355.5,-1.336237E-08
1.066697,-1.061956,13.675,-30.68159,3.9,354.5,0
1.083144,-1.071845,13.675,-30.6022,4.1,352.9,0
