TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04211058,-1,15.27646,-33,0,0,0
0.0592975,-1,15.25291,-33,0,0,0
0.08511405,-1,15.22152,-33,0,0,0
0.1146992,-1,15.18228,-33,0,0,0
0.1414722,-1,15.08026,-33,0,0,0
0.1678964,-1,15.01747,-33,0,0,0
0.1939346,-1,14.94684,-33,0,0,0
0.2199,-1,14.78203,-33,0,0,0
0.2469445,-1,14.68786,-33,0,0,0
0.2730956,-1,14.58583,-33,0,0,0
0.2988013,-1,14.35824,-33,0,0,0
0.3252316,-1,14.23267,-33,0,0,0
0.3519816,-1,14.09926,-33,0,0,0
0.3789265,-1,13.80888,-33,0,0,0
0.4048021,-1,13.675,-33,0,0,0
0.4320416,-1,13.675,-33,0,0,0
0.4582055,-1,13.675,-33,0,0,0
0.4848523,-1,13.675,-33,0,0,0
0.512547,-1,13.675,-33,0,0,0
0.5378032,-1,13.675,-33,0,0,0
0.5639646,-1,13.675,-33,359.9,0,0
0.591764,-1,13.675,-33,358.9,0.2,0
0.6190789,-1,13.675,-33,358.3,0.3,0
0.6444111,-1,13.675,-33,357.5,0.8000001,1.669115E-09
0.6707459,-1,13.675,-33,356.7,1.3,0
0.6974117,-1,13.675,-33,355.5,1.7,0
0.7257114,-1,13.675,-33,354.1,1.7,0
0.7534164,-1,13.675,-33,350.5,1,-6.762856E-09
0.778923,-1,13.675,-33,347.8,0.5,0
0.8063811,-0.9993019,13.675,-32.92,347.4,359.9,0
0.8340552,-0.9994415,13.675,-32.84,347.1,359.7,3.421405E-09
0.8615791,-1.000279,13.675,-32.68,347.1,359.7,3.421405E-09
0.8856468,-1.000698,13.675,-32.60001,347.1,359.7,3.421405E-09
0.9118636,-1.001117,13.675,-32.52001,347.1,359.7,3.421405E-09
0.9375303,-1.001955,13.675,-32.36001,347.1,359.7,3.421405E-09
0.9631026,-1.002374,13.675,-32.28001,347.1,359.7,3.421405E-09
0.9878108,-1.002792,13.675,-32.20001,347.1,359.7,3.421405E-09
1.014033,-1.003211,13.675,-32.12001,347.1,359.7,3.421405E-09
1.039981,-1.004049,13.675,-31.96001,347.6,359.4,0
1.066422,-1.004887,13.675,-31.88002,348.9,359.5,0
1.090873,-1.005585,13.675,-31.80002,352,0.5,0
1.117037,-1.004189,13.675,-31.64003,354.9,2.2,-6.696618E-09
1.143188,-1.001118,13.675,-31.56009,359.8,2.9,0
1.169002,-0.9970703,13.675,-31.48019,3.999997,2.9,-6.686394E-09
1.195176,-0.9930229,13.675,-31.40029,7.599998,2.3,0
1.222116,-0.9866018,13.675,-31.24042,11.1,1.9,0
1.249105,-0.9839494,13.675,-31.16047,14.3,1.9,0
1.277265,-0.9786445,13.675,-31.00055,16,2.7,2.775563E-08
1.306002,-0.974876,13.675,-30.92064,17.2,4.8,5.585895E-08
1.334009,-0.9681818,13.675,-30.84092,17.5,6.1,0
1.363083,-0.9511796,13.675,-30.68183,17.1,7.1,0
1.391417,-0.9412915,13.675,-30.60244,16.5,7.5,0
1.420095,-0.9204072,13.675,-30.44381,16.2,7.5,0
1.448958,-0.9099652,13.675,-30.3645,16.1,6.4,-5.553915E-08
1.47821,-0.8921301,13.675,-30.20549,15.6,6.3,5.540171E-08
1.506091,-0.8833514,13.675,-30.12598,15,6.6,5.524321E-08
1.535027,-0.8741564,13.675,-30.04651,15,6.6,5.524321E-08
1.563943,-0.8557665,13.675,-29.88757,15,6.6,5.524321E-08
1.593049,-0.8465715,13.675,-29.8081,15,6.6,5.524321E-08
1.621736,-0.8281816,13.675,-29.64916,15,6.6,5.524321E-08
1.649886,-0.8189866,13.675,-29.56969,15,6.6,5.524321E-08
1.679197,-0.8005967,13.675,-29.41075,15,6.6,5.524321E-08
1.707039,-0.7914016,13.675,-29.33128,15,6.6,5.524321E-08
1.736099,-0.7822067,13.675,-29.25181,15,6.6,5.524321E-08
1.764118,-0.7638167,13.675,-29.09287,15,6.6,5.524321E-08
1.792152,-0.7546217,13.675,-29.0134,15,6.6,5.524321E-08
1.821126,-0.7362318,13.675,-28.85446,15,6.6,5.524321E-08
1.849033,-0.7270368,13.675,-28.77499,15,6.6,5.524321E-08
1.878208,-0.7086469,13.675,-28.61605,15.4,4.9,0
1.905966,-0.7018136,13.675,-28.53634,14.3,2.6,-2.753353E-08
1.935094,-0.6981845,13.675,-28.45642,13.4,359.6,0
1.963319,-0.6993015,13.675,-28.29643,13.3,359.2,0
1.992158,-0.7004185,13.675,-28.21644,13.3,359.2,0
2.021171,-0.7026525,13.675,-28.05645,13.3,359.1,-6.853937E-09
2.04912,-0.703909,13.675,-27.97646,13.3,357.7,2.741575E-08
2.078195,-0.7103301,13.675,-27.81659,13.3,357.3,-2.741574E-08
2.107223,-0.7140986,13.675,-27.73668,13.3,357.3,-2.741574E-08
2.135062,-0.7178671,13.675,-27.65677,13.3,356.6,0
2.164256,-0.7273562,13.675,-27.49705,12.9,355.3,0
2.193264,-0.7339113,13.675,-27.41732,12.9,354,5.474249E-08
2.221198,-0.7506358,13.675,-27.25819,13.2,353.3,0
2.250108,-0.7599695,13.675,-27.17874,13.7,352.1,0
2.279083,-0.7819606,13.675,-27.02026,13.8,351.9,0
2.308201,-0.7932327,13.675,-26.94106,13.8,351.9,0
2.335917,-0.8045048,13.675,-26.86186,13.7,351.8,0
2.364848,-0.8273254,13.675,-26.70349,13.6,351.8,0
2.394165,-0.8387358,13.675,-26.62431,13.5,351.8,0
2.421953,-0.8615564,13.675,-26.46595,13.5,351.8,0
2.450817,-0.8729667,13.675,-26.38676,13.5,351.8,0
2.479152,-0.8957873,13.675,-26.2284,13.5,351.8,0
2.508015,-0.9071976,13.675,-26.14922,13.5,351.8,0
2.535847,-0.918608,13.675,-26.07003,13.5,351.8,0
2.565246,-0.9414285,13.675,-25.91167,13.5,351.8,0
2.593036,-0.9528389,13.675,-25.83249,13.5,351.8,0
2.621996,-0.9756595,13.675,-25.67412,13.5,351.8,0
2.649873,-0.9870698,13.675,-25.59494,13.5,351.8,0
2.679127,-1.00989,13.675,-25.43658,13.5,351.8,0
2.707083,-1.021301,13.675,-25.3574,13.5,351.8,0
2.735895,-1.032711,13.675,-25.27821,13.5,351.8,0
2.764055,-1.055532,13.675,-25.11985,13.5,351.8,0
2.79328,-1.066942,13.675,-25.04067,13.5,351.8,0
2.822101,-1.089763,13.675,-24.8823,13.5,351.8,0
2.849974,-1.101173,13.675,-24.80312,13.5,351.8,0
2.87918,-1.123994,13.675,-24.64476,13.5,351.8,0
2.907124,-1.135404,13.675,-24.56557,13.5,351.8,0
2.93586,-1.146814,13.675,-24.48639,13.5,351.8,0
2.965094,-1.169635,13.675,-24.32803,13.5,351.8,0
2.993219,-1.181045,13.675,-24.24885,13.5,351.8,0
3.022252,-1.203866,13.675,-24.09048,13.1,352.2,5.478662E-08
3.05006,-1.214723,13.675,-24.01122,12.9,352.7,0
3.079483,-1.235053,13.675,-23.85252,12.4,353.4,0
3.107067,-1.244248,13.675,-23.77305,12.1,354.1,0
3.136122,-1.252472,13.675,-23.69347,12,356,-2.727648E-08
3.165255,-1.263633,13.675,-23.53386,12.4,358.4,1.365884E-08
3.194341,-1.265867,13.675,-23.45389,12.5,359,0
3.223428,-1.268659,13.675,-23.29392,13.3,358.4,1.370787E-08
3.252272,-1.270893,13.675,-23.21395,13.5,356.2,0
3.281477,-1.281558,13.69163,-23.05522,13.4,349.5,0
3.310139,-1.296299,13.70349,-22.97749,12.5,343.6,0
3.338801,-1.341955,13.72663,-22.8259,11.7,338,-2.179722E-07
3.368124,-1.372221,13.7378,-22.75269,11.6,336.6,0
3.395823,-1.404302,13.74885,-22.68024,11.6,336.6,0
3.424827,-1.468463,13.77096,-22.53535,11.7,337,-2.179723E-07
3.45284,-1.500027,13.78205,-22.46268,11.8,337.1,2.180514E-07
3.480009,-1.562897,13.80425,-22.31723,11.8,337.1,2.180514E-07
3.50646,-1.594332,13.81534,-22.24451,11.8,337.1,2.180514E-07
3.533495,-1.625767,13.82644,-22.17179,11.8,337.1,2.180514E-07
3.561742,-1.688637,13.84864,-22.02634,11.8,337.1,2.180514E-07
3.588392,-1.720072,13.85973,-21.95362,11.8,337.1,2.180514E-07
3.615479,-1.751507,13.87083,-21.88089,11.9,337.2,4.362626E-07
3.642848,-1.814118,13.89304,-21.73534,11.9,337.2,4.362626E-07
3.669481,-1.845423,13.90415,-21.66256,11.9,337.2,4.362626E-07
3.695742,-1.876728,13.91525,-21.58978,11.9,337.2,4.362626E-07
3.722655,-1.939339,13.93747,-21.44423,11.9,337.3,2.181312E-07
3.749707,-1.970515,13.94858,-21.37139,12,337.5,0
3.776785,-2.032348,13.97084,-21.22551,12,337.6,2.182119E-07
3.803769,-2.063134,13.98198,-21.15252,12,337.6,2.182119E-07
3.830783,-2.093921,13.99312,-21.07952,12,337.7,-2.182119E-07
3.857647,-2.155234,14.01541,-20.93343,12,337.7,-2.182119E-07
3.884742,-2.185891,14.02656,-20.86038,12,337.8,0
3.911667,-2.216417,14.03771,-20.78728,12.1,338,0
3.938567,-2.276949,14.06006,-20.64087,12.3,338.5,-2.18458E-07
3.965772,-2.306562,14.07127,-20.5674,12.7,339.3,-2.187963E-07
3.992998,-2.335126,14.08254,-20.49353,13.1,340.8,2.191465E-07
4.020817,-2.388287,14.1053,-20.34435,13.3,341.3,0
4.047704,-2.414202,14.11672,-20.26953,13.7,342.1,2.196939E-07
4.075936,-2.439048,14.12819,-20.19435,13.9,342.6,0
4.103731,-2.487398,14.15146,-20.04358,14.1,343,0
4.131808,-2.51106,14.16355,-19.96812,14.30001,343.5,0
4.160236,-2.557035,14.18779,-19.8168,15.00001,345.3,0
4.187978,-2.577577,14.20003,-19.74045,15.30001,346.7,0
4.21598,-2.596203,14.21234,-19.66363,15.50001,347.4,-1.107496E-07
4.244119,-2.63153,14.23702,-19.50955,15.50001,347.4,-1.107496E-07
4.272894,-2.649193,14.24937,-19.4325,15.50001,347.4,-1.107496E-07
4.301762,-2.68452,14.27406,-19.27842,15.40001,347.5,-2.213924E-07
4.331255,-2.702045,14.28641,-19.20134,15.30001,347.5,0
4.360171,-2.737096,14.3111,-19.0472,15.2,347.5,-1.105906E-07
4.388993,-2.754622,14.32345,-18.97012,14.9,347.4,0
4.418104,-2.789948,14.34814,-18.81604,14.4,346.9,0
4.447102,-2.8083,14.36046,-18.73915,13.9,346.2,1.099412E-07
4.47498,-2.827611,14.37275,-18.66249,13.8,346.1,1.098939E-07
4.503788,-2.866509,14.3973,-18.50925,13.8,346.1,1.098939E-07
4.531982,-2.885958,14.40958,-18.43263,13.7,346,0
4.560081,-2.92513,14.43412,-18.27945,13.3,346.3,0
4.586728,-2.944305,14.44641,-18.20276,13,347.7,1.095289E-07
