TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01693393,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.03485311,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.05180603,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.06882566,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.08690597,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.1038065,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.1206917,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.1377406,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.155981,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.1729811,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.1898509,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.2069876,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.2240775,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.2419012,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.259198,-5.708596,22.27023,43.13231,8.800024,327.8,0
0.2760595,-5.708596,22.27023,43.13231,9.200024,328.2,2.162249E-07
0.2930797,-5.708596,22.27023,43.13231,9.800026,328.7,-2.166041E-07
0.3102743,-5.708596,22.27023,43.13231,10.50003,329.4,2.170784E-07
0.3283956,-5.708596,22.27023,43.13231,11.20002,330.1,0
0.3464498,-5.708596,22.27023,43.13231,11.80002,330.7,-2.180514E-07
0.3645054,-5.708596,22.27023,43.13231,12.30003,331.2,0
0.3833129,-5.708596,22.27023,43.13231,12.50002,331.4,0
0.4024185,-5.708596,22.27023,43.13231,12.60003,331.5,0
0.4213409,-5.708596,22.27023,43.13231,12.60003,331.5,0
0.4403217,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.4596998,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.4785421,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.4974132,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.5168723,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.5345278,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.5533034,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.5725086,-5.708596,22.27023,43.13231,12.60003,331.6,2.187107E-07
0.5917101,-5.708596,22.27023,43.13231,12.60002,331.7,0
0.6096149,-5.708596,22.27023,43.13231,12.70003,331.8,0
0.6286379,-5.708596,22.27023,43.13231,13.00003,332.1,2.190578E-07
0.6477095,-5.708596,22.27023,43.13231,13.20003,332.3,0
0.6667038,-5.708596,22.27023,43.13231,13.40002,332.4,0
0.6858201,-5.708596,22.27023,43.13231,13.70003,332.6,0
0.70607,-5.708596,22.27023,43.13231,14.00002,332.8,0
0.7251181,-5.708596,22.27023,43.13231,14.20002,333,2.201706E-07
0.7441811,-5.708596,22.27023,43.13231,14.50002,333.2,0
0.7644864,-5.708596,22.27023,43.13231,14.60003,333.3,2.205657E-07
0.7852516,-5.708596,22.27023,43.13231,14.90002,333.5,-2.208699E-07
0.8051864,-5.708596,22.27023,43.13231,14.90002,333.5,-2.208699E-07
0.826303,-5.708596,22.27023,43.13231,14.90002,333.5,-2.208699E-07
0.8462778,-5.708596,22.27023,43.13231,14.90002,333.5,-2.208699E-07
0.8671071,-5.708596,22.27023,43.13231,14.90002,333.5,-2.208699E-07
