TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03467761,-1,15.27646,-33,0,0,0
0.04976472,-1,15.27646,-33,0,0,0
0.06639077,-1,15.25291,-33,0,0,0
0.09984607,-1,15.18228,-33,0,0,0
0.1165947,-1,15.13519,-33,0.1,359.9,-6.513785E-12
0.1332429,-1,15.08026,-33,0.1,359.7,0
0.1498602,-1,15.08026,-33,0.1,359.4,5.211029E-11
0.1834242,-1,14.94684,-33,359,359.1,-8.338902E-10
0.1998604,-1,14.86836,-33,356.8,359.2,-1.670131E-09
0.2166137,-1,14.78203,-33,355.9,359.5,0
0.2333778,-1,14.68786,-33,355.2,359.8,0
0.2497165,-1,14.68786,-33,354.7,359.9,0
0.2833472,-1,14.47596,-33,354.2,0.1,0
0.2999025,-1,14.35824,-33,352.7,0.8,-6.724613E-09
0.3165285,-1,14.23267,-33,351.5,1.3,-1.348837E-08
0.3332787,-1,14.09926,-33,350.2,1.8,0
0.3499602,-1,14.09926,-33,349.2,2,0
0.383535,-0.9919052,13.80888,-32.84021,346.8,2.9,2.740448E-08
0.4000266,-0.9867426,13.675,-32.76037,344.2,3.7,0
0.4165654,-0.9810228,13.675,-32.68058,343.2,4.1,0
0.4335753,-0.9750245,13.675,-32.6008,342.5,4.3,0
0.4498113,-0.9750245,13.675,-32.6008,342.2,4.3,0
0.4665092,-0.9690261,13.675,-32.52103,342.1,4.3,0
0.4832307,-0.9630278,13.675,-32.44125,342.1,4.3,0
0.4996587,-0.9570296,13.675,-32.36148,342.1,4.3,0
0.5331771,-0.945033,13.675,-32.20193,342.1,4.3,0
0.5499822,-0.945033,13.675,-32.20193,342.4,4.7,0
0.5665148,-0.9381996,13.675,-32.12222,344.1,4.900001,-5.548359E-08
0.5832692,-0.9313663,13.675,-32.04251,345.4,4.9,-5.514141E-08
0.599849,-0.9245329,13.675,-31.9628,347,4.900001,0
0.6164217,-0.9176995,13.675,-31.8831,348.6,4.900001,0
0.6333218,-0.9110053,13.675,-31.80338,350.2,4.800001,0
0.6499165,-0.9110053,13.675,-31.80338,351.9,4.7,0
0.6664841,-0.9047286,13.675,-31.72363,353.3,4.5,0
0.6999707,-0.8930105,13.675,-31.56405,354.8,4.199999,1.339534E-08
0.7165726,-0.8877085,13.675,-31.48423,357.5,3.800001,-1.335292E-08
0.7332705,-0.8828247,13.675,-31.40438,358.3,3.5,-3.336522E-09
0.7498067,-0.8828247,13.675,-31.40438,359,3.3,0
0.7665097,-0.8787773,13.675,-31.32448,0.2000038,2.9,0
0.7999204,-0.8723562,13.675,-31.16461,1.200004,2.3,0
0.816531,-0.8706807,13.675,-31.08463,3.100004,1.2,0
0.8334346,-0.8701223,13.675,-31.00463,4.100005,0.4000002,1.671805E-09
0.8499329,-0.8701223,13.675,-31.00463,4.900005,359.7,0
0.8833728,-0.8740314,13.675,-30.84468,5.600004,358.6,0
0.8998849,-0.8783577,13.675,-30.7648,5.800004,356.9,0
0.9164273,-0.8824052,13.675,-30.6849,5.800004,357.1,0
