TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05761231,-1,15.25291,-33,0,0,0
0.1091012,-1,15.18228,-33,0,0,0
0.1642684,-1,15.01747,-33,359.8,359.8,2.605526E-11
0.2211838,-1,14.78203,-33,359.6,359.7,0
0.2734353,-1,14.47596,-33,359,359.6,2.084726E-10
0.3263313,-1,14.23267,-33,357.6,359.9,0
0.3783297,-1,13.80888,-33,355.3,1,0
0.4313227,-1,13.675,-33,354.4,1,3.351046E-09
0.4839646,-1,13.675,-33,354.4,1,3.351046E-09
0.5358723,-1,13.675,-33,354.4,1,3.351046E-09
0.5890243,-1,13.675,-33,354.4,1,3.351046E-09
0.6410654,-0.9958114,13.675,-32.76004,354.4,1,3.351046E-09
0.6931126,-0.9916229,13.675,-32.52007,354.4,1,3.351046E-09
0.7462522,-0.9888304,13.675,-32.3601,354.4,1,3.351046E-09
0.7980152,-0.9829667,13.675,-32.12017,356.4,1.4,0
0.8505201,-0.9708244,13.675,-31.88048,0.2999996,2.9,-8.337747E-10
0.9020496,-0.9593849,13.675,-31.72089,3,4.1,6.67926E-09
0.9551734,-0.9422255,13.675,-31.4815,6,4.1,0
1.008118,-0.9330152,13.675,-31.32177,9.500001,3.3,0
1.061312,-0.9250579,13.675,-31.0819,13,1.9,0
1.114404,-0.9258957,13.675,-30.8419,12.7,359.8,0
1.168134,-0.9264542,13.675,-30.6819,12.7,359.8,0
1.220106,-0.927292,13.675,-30.4419,12.7,359.8,0
1.272224,-0.9281297,13.675,-30.2019,12.7,359.8,0
1.323945,-0.9286882,13.675,-30.0419,12.7,359.8,0
1.37601,-0.929526,13.675,-29.8019,12.7,359.8,0
1.428132,-0.9300845,13.675,-29.64191,12.7,359.8,0
1.48027,-0.9309223,13.675,-29.40191,12.7,359.8,0
1.531216,-0.93176,13.675,-29.16191,12.7,359.8,0
1.58293,-0.9323185,13.675,-29.00191,12.7,359.8,0
1.634877,-0.9331563,13.675,-28.76191,12.7,359.8,0
1.686218,-0.9337147,13.675,-28.60191,12.7,359.8,0
1.738407,-0.936228,13.675,-28.36193,13.2,359.4,0
1.790197,-0.9391601,13.675,-28.12194,13.5,359.3,0
1.842059,-0.9405563,13.675,-27.96195,13.4,359.5,-6.856776E-09
1.894181,-0.9409752,13.675,-27.72195,13.4,359.9,8.570971E-10
1.94622,-0.9412544,13.675,-27.56195,13.4,359.9,8.570971E-10
1.998966,-0.9425111,13.675,-27.32195,13.4,359.7,0
2.051116,-0.945862,13.675,-27.08198,13.4,359.2,6.856776E-09
2.102884,-0.948096,13.675,-26.92199,13.4,359.2,6.856776E-09
2.156095,-0.9518657,13.675,-26.68202,13.4,359.1,6.856776E-09
2.2083,-0.9549373,13.675,-26.52205,13.3,358.9,0
2.261164,-0.9595447,13.675,-26.2821,13.3,358.9,0
2.313111,-0.9641521,13.675,-26.04214,13.3,358.9,0
2.36587,-0.9672236,13.675,-25.88217,13.3,358.9,0
2.418983,-0.9718311,13.675,-25.64221,13.3,358.9,0
2.472092,-0.9764385,13.675,-25.40226,13.3,358.9,0
2.523956,-0.97951,13.675,-25.24229,13.3,358.9,0
2.57718,-0.9841174,13.675,-25.00233,13.3,358.9,0
2.62927,-0.987189,13.675,-24.84236,13.3,358.9,0
2.680973,-0.9917964,13.675,-24.60241,13.3,358.9,0
2.734219,-0.9964038,13.675,-24.36245,13.3,358.9,0
2.786021,-0.9994754,13.675,-24.20248,13.3,358.9,0
2.839198,-1.004083,13.675,-23.96252,13.3,358.9,0
2.890949,-1.00869,13.675,-23.72257,13.3,358.9,0
2.944009,-1.011762,13.675,-23.5626,13.3,358.9,0
2.997032,-1.016369,13.675,-23.32264,13.3,358.9,0
3.050019,-1.020994,13.6873,-23.0836,13.3,358.9,0
3.102367,-1.024101,13.71143,-22.92546,13.3,358.9,0
3.154908,-1.028762,13.74763,-22.68825,13.3,358.9,0
3.207943,-1.031869,13.77176,-22.53012,13.3,358.9,0
3.261395,-1.03653,13.80796,-22.29291,13.3,358.9,0
3.314022,-1.041191,13.84416,-22.0557,13.3,358.9,0
3.367135,-1.044298,13.86829,-21.89756,13.3,358.9,0
3.420199,-1.080174,13.90409,-21.66297,12.1,351.5,5.45733E-08
3.473031,-1.160712,13.93819,-21.43947,10.6,340.6,0
3.525898,-1.227697,13.96011,-21.29583,9.7,335.5,2.165392E-07
3.579365,-1.341383,13.992,-21.08689,9.299998,332,0
3.632039,-1.473858,14.02218,-20.88905,8.5,326.8,0
3.683769,-1.574379,14.04096,-20.766,7.8,321.4,-2.154367E-07
3.734268,-1.736917,14.0676,-20.59143,7,317.7,-2.150463E-07
3.782627,-1.854179,14.08402,-20.48382,5.699999,313.2,2.14504E-07
3.824074,-1.982657,14.09841,-20.38955,3.7,306.9,0
3.854181,-2.113897,14.11221,-20.29908,3.2,305.2,-1.068884E-07
3.875179,-2.179517,14.11911,-20.25385,3.2,305.2,-1.068884E-07
3.885996,-2.179517,14.11911,-20.25385,3.2,305.2,-1.068884E-07
3.897066,-2.245137,14.12602,-20.20861,3.2,305.2,-1.068884E-07
3.912183,-2.310758,14.13292,-20.16337,3.2,305.2,-1.068884E-07
3.928589,-2.310758,14.13292,-20.16337,3.2,305.2,-1.068884E-07
3.945686,-2.376378,14.13982,-20.11814,3.2,305.2,-1.068884E-07
3.962343,-2.441998,14.14672,-20.0729,3.2,305.2,-1.068884E-07
3.979076,-2.507601,14.15402,-20.0276,3.2,305.2,-1.068884E-07
3.9956,-2.573247,14.16125,-19.98245,3.2,305.2,-1.068884E-07
4.012204,-2.638892,14.16848,-19.93731,3.2,305.2,-1.068884E-07
4.029153,-2.638892,14.16848,-19.93731,3.2,305.2,-1.068884E-07
4.045466,-2.704537,14.17572,-19.89216,3.2,305.2,-1.068884E-07
4.062152,-2.770182,14.18295,-19.84701,3.2,305.2,-1.068884E-07
4.079206,-2.823322,14.19034,-19.80091,3.2,305.2,-1.068884E-07
4.095403,-2.82833,14.19851,-19.74993,3.2,305.2,-1.068884E-07
4.112207,-2.842479,14.20744,-19.69417,3.2,305.2,-1.068884E-07
4.12911,-2.842479,14.20744,-19.69417,3.2,305.6,1.068884E-07
4.145741,-2.860714,14.21667,-19.63656,4,307.6,1.069823E-07
4.163117,-2.890089,14.22666,-19.57421,5.2,310.5,2.143255E-07
4.180421,-2.933534,14.23667,-19.51177,6.600001,313.7,0
4.197755,-2.988767,14.24582,-19.45463,7.800001,316.7,2.154367E-07
4.214165,-2.955668,14.25581,-19.33237,8.999999,319.8,0
4.248208,-3.004868,14.27539,-19.27008,10,322.4,0
4.281663,-3.089954,14.29683,-19.13629,11.7,328.2,-4.359445E-07
4.315106,-3.170229,14.31873,-18.99963,12.2,330.2,0
4.350442,-3.248553,14.3408,-18.86187,12.3,331,2.18458E-07
4.365088,-3.248553,14.3408,-18.86187,12.8,332.4,0
4.412548,-3.356353,14.37472,-18.65014,13.1,333.6,0
4.462969,-3.420061,14.39795,-18.50522,13.8,336.8,0
4.514712,-3.514458,14.43285,-18.28734,13.8,337.1,2.197877E-07
4.565825,-3.57739,14.45613,-18.14209,13.8,337.1,2.197877E-07
4.617923,-3.671399,14.49106,-17.92405,13.8,337.2,0
4.669184,-3.734072,14.51435,-17.77869,13.8,337.2,0
4.720139,-3.826913,14.54937,-17.56016,13.8,337.5,0
4.772104,-3.894251,14.58581,-17.3327,13.8,343.9,2.197878E-07
4.823858,-3.904747,14.6095,-17.18486,12.1,353.1,0
4.876172,-3.789232,14.62977,-17.05836,11.7,1.200004,1.362327E-08
4.928335,-3.705286,14.64472,-16.96505,11.7,7.300004,1.089861E-07
4.980402,-3.565622,14.66935,-16.81137,12.8,15.6,1.094414E-07
5.033277,-3.416055,14.69556,-16.64777,13.9,23.3,-4.397646E-07
5.088993,-3.316237,14.71497,-16.52659,15.6,34.40001,8.864274E-07
5.146086,-3.148729,14.74217,-16.35688,16.9,43.90001,0
5.199161,-2.960243,14.76567,-16.21018,17.8,51.40001,-4.483496E-07
5.250576,-2.76307,14.7873,-16.07508,17.9,54.9,0
5.296525,-2.630104,14.80073,-15.9871,17.9,55.9,-8.972033E-07
5.333402,-2.496065,14.81391,-15.90073,17.9,56.6,0
5.362449,-2.42897,14.82048,-15.85766,17.8,56.7,8.966991E-07
