TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02284387,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.0458263,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.06899448,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.09179012,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.1150071,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.1378468,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.160878,-0.3264097,22.27023,43.00592,4.200017,351.1,-2.675227E-08
0.1840328,-0.3264097,22.27023,43.00592,4.200016,351,0
0.2058853,-0.3264097,22.27023,43.00592,4.200016,351,0
0.2288441,-0.3264097,22.27023,43.00592,4.200016,351,0
0.2517834,-0.3264097,22.27023,43.00592,4.200016,351,0
0.2747859,-0.3264097,22.27023,43.00592,4.200016,351,0
0.2978468,-0.3264097,22.27023,43.00592,4.200016,351,0
0.3209067,-0.3264097,22.27023,43.00592,4.200016,351,0
0.3438738,-0.3264097,22.27023,43.00592,4.200016,351,0
0.3670389,-0.3264097,22.27023,43.00592,4.200016,351,0
0.3900115,-0.3264097,22.27023,43.00592,4.200016,351,0
0.4129067,-0.3264097,22.27023,43.00592,4.200016,350.8,-2.675227E-08
0.4351502,-0.3264097,22.27023,43.00592,3.500016,350.6,0
0.4578458,-0.3264097,22.27023,43.00592,1.300016,350.9,-1.334365E-08
0.4809853,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.50398,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.5268711,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.5489714,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.5717871,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.5936744,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.6158779,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.6387812,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.6609267,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.6829033,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.7058555,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.7278229,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.7498996,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.7727461,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.7947263,-0.3264097,22.27023,43.00592,1.200016,350.8,-6.671569E-09
0.8168774,-0.3264097,22.27023,43.00592,1.300016,350.8,-6.671824E-09
0.8398685,-0.3264097,22.27023,43.00592,1.300016,350.8,-6.671824E-09
0.8618257,-0.3264097,22.27023,43.00592,1.300016,350.8,-6.671824E-09
0.8840543,-0.3264097,22.27023,43.00592,1.300016,350.8,-6.671824E-09
0.9068294,-0.3264097,22.27023,43.00592,1.300016,350.8,-6.671824E-09
0.9288882,-0.3264097,22.27023,43.00592,2.400017,350.8,-1.335192E-08
0.9508269,-0.3264097,22.27023,43.00592,4.200016,350.7,0
0.9740956,-0.3264097,22.27023,43.00592,5.200017,350.8,0
0.9969626,-0.3264097,22.27023,43.00592,6.400018,351.4,5.369549E-08
1.019861,-0.3264097,22.27023,43.00592,7.100017,352,0
1.042818,-0.3264097,22.27023,43.00592,8.300018,353,-5.392568E-08
1.067222,-0.3264097,22.27023,43.00592,9.400017,354.1,0
1.089862,-0.3264097,22.27023,43.00592,10.20002,354.7,0
1.113865,-0.3264097,22.27023,43.00592,10.90002,354.8,0
1.137916,-0.3264097,22.27023,43.00592,11.70002,354.8,5.449307E-08
1.160961,-0.3264097,22.27023,43.00592,12.80002,354.4,0
1.185045,-0.3264097,22.27023,43.00592,13.90002,353.9,0
1.208964,-0.3264097,22.27023,43.00592,15.30002,353.5,-5.532159E-08
1.23321,-0.3264097,22.27023,43.00592,16.80002,353.3,0
1.256894,-0.3264097,22.27023,43.00592,17.60002,353.1,0
1.281044,-0.3264097,22.27023,43.00592,17.80002,353.1,1.120874E-07
1.305049,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.328915,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.353094,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.37789,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.401897,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.426037,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.450277,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.473951,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.497921,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.521947,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.546926,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.57094,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.594984,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.61885,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.642954,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.66715,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.691888,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.716045,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.739838,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.763868,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.787964,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.812955,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.837023,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.860896,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.884969,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.910047,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.934111,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.957948,-0.3264097,22.27023,43.00592,17.90003,353.1,0
1.98316,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.006888,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.032036,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.055859,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.080907,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.105015,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.129904,-0.3264097,22.27023,43.00592,17.90003,353.1,0
2.153975,-0.3264097,22.27023,43.00592,17.90003,353.1,0
